1265_135635_000000_000000	CHAPTER XLVI.	CHAPTER forty six.	true	26.955	28.48	28.482012
1265_135635_000000_000001	RECORDS A TOUCHING ACT OF DELICATE FEELING, NOT UNMIXED WITH PLEASANTRY, ACHIEVED AND PERFORMED BY Messrs.	RECORDS A TOUCHING a c t OF DELICATE FEELING, NOT UNMIXED WITH PLEASANTRY, ACHIEVED AND PERFORMED BY Messrs.	false	30.02	37.53	23.836283
1265_135635_000000_000002	DODSON AND FOGG	DODSON AND FOGG	true	37.53	39.82	21.287514
1265_135635_000001_000000	It was within a week of the close of the month of July, that a hackney cabriolet, number unrecorded, was seen to proceed at a rapid pace up Goswell Street; three people were squeezed into it besides the driver, who sat in his own particular little dickey at the side; over the apron were hung two shawls, belonging to two small vixenish-looking ladies under the apron; between whom, compressed into a very small compass, was stowed away, a gentleman of heavy and subdued demeanour, who, whenever he ventured to make an observation, was snapped up short by one of the vixenish ladies before-mentioned.	It was within a week of the close of the month of July, that a hackney cabriolet, number unrecorded, was seen to proceed at a rapid pace up Goswell Street; three people were squeezed into it besides the driver, who sat in his own particular little dickey at the side; over the apron were hung two shawls, belonging to two small vixenish looking ladies under the apron; between whom, compressed into a very small compass, was stowed away, a gentleman of heavy and subdued demeanour, who, whenever he ventured to make an observation, was snapped up short by one of the vixenish ladies before mentioned.	true	40.43	81.25	24.277903
1265_135635_000001_000001	Lastly, the two vixenish ladies and the heavy gentleman were giving the driver contradictory directions, all tending to the one point, that he should stop at Mrs. Bardell's door; which the heavy gentleman, in direct opposition to, and defiance of, the vixenish ladies, contended was a green door and not a yellow one.	Lastly, the two vixenish ladies and the heavy gentleman were giving the driver contradictory directions, all tending to the one point, that he should stop at mrs Bardell's door; which the heavy gentleman, in direct opposition to, and defiance of, the vixenish ladies, contended was a green door and not a yellow one.	true	81.62	100.78	21.463007
1265_135635_000002_000000	'Stop at the house with a green door, driver,' said the heavy gentleman.	'Stop at the house with a green door, driver,' said the heavy gentleman.	true	101.36	105.49	23.188944
1265_135635_000003_000000	'Oh!	'Oh!	true	105.89	106.38	100
1265_135635_000003_000001	You perwerse creetur!' exclaimed one of the vixenish ladies.	You perwerse creetur!' exclaimed one of the vixenish ladies.	false	106.38	110.44	23.979946
1265_135635_000003_000002	'Drive to the 'ouse with the yellow door, cabmin.'	'Drive to the 'ouse with the yellow door, cabmin.'	false	110.72	113.5	21.330837
1265_135635_000004_000000	Upon this the cabman, who in a sudden effort to pull up at the house with the green door, had pulled the horse up so high that he nearly pulled him backward into the cabriolet, let the animal's fore-legs down to the ground again, and paused.	Upon this the cabman, who in a sudden effort to pull up at the house with the green door, had pulled the horse up so high that he nearly pulled him backward into the cabriolet, let the animal's fore legs down to the ground again, and paused.	false	114.02	128.59	22.470402
1265_135635_000005_000000	'Now vere am I to pull up?' inquired the driver.	'Now vere am I to pull up?' inquired the driver.	true	128.96	132.19	26.201931
1265_135635_000005_000001	'Settle it among yourselves.	'Settle it among yourselves.	true	132.35	133.995	22.66321
1265_135635_000005_000002	All I ask is, vere?'	All I ask is, vere?'	false	133.995	136.26	23.36211
1265_135635_000006_000000	Here the contest was renewed with increased violence; and the horse being troubled with a fly on his nose, the cabman humanely employed his leisure in lashing him about on the head, on the counter-irritation principle.	Here the contest was renewed with increased violence; and the horse being troubled with a fly on his nose, the cabman humanely employed his leisure in lashing him about on the head, on the counter irritation principle.	false	136.26	149.41	22.916748
1265_135635_000007_000000	'Most wotes carries the day!' said one of the vixenish ladies at length. 'The 'ouse with the yellow door, cabman.'	'Most wotes carries the day!' said one of the vixenish ladies at length. 'The 'ouse with the yellow door, cabman.'	false	149.81	157.02	22.563799
1265_135635_000008_000000	But after the cabriolet had dashed up, in splendid style, to the house with the yellow door, 'making,' as one of the vixenish ladies triumphantly said, 'acterrally more noise than if one had come in one's own carriage,' and after the driver had dismounted to assist the ladies in getting out, the small round head of Master Thomas Bardell was thrust out of the one-pair window of a house with a red door, a few numbers off.	But after the cabriolet had dashed up, in splendid style, to the house with the yellow door, 'making,' as one of the vixenish ladies triumphantly said, 'acterrally more noise than if one had come in one's own carriage,' and after the driver had dismounted to assist the ladies in getting out, the small round head of Master Thomas Bardell was thrust out of the one pair window of a house with a red door, a few numbers off.	false	157.02	182.38	22.504038
1265_135635_000009_000000	'Aggrawatin' thing!' said the vixenish lady last-mentioned, darting a withering glance at the heavy gentleman.	'Aggrawatin' thing!' said the vixenish lady last mentioned, darting a withering glance at the heavy gentleman.	true	182.69	189.01	22.361967
1265_135635_000010_000000	'My dear, it's not my fault,' said the gentleman.	'My dear, it's not my fault,' said the gentleman.	true	189.38	192.67	25.550547
1265_135635_000011_000000	'Don't talk to me, you creetur, don't,' retorted the lady.	'Don't talk to me, you creetur, don't,' retorted the lady.	true	193.01	196.635	26.249039
1265_135635_000011_000001	'The house with the red door, cabmin.	'The house with the red door, cabmin.	true	196.635	198.76	21.645475
1265_135635_000011_000002	Oh!	Oh!	true	198.86	199.635	25.505127
1265_135635_000011_000003	If ever a woman was troubled with a ruffinly creetur, that takes a pride and a pleasure in disgracing his wife on every possible occasion afore strangers, I am that woman!'	If ever a woman was troubled with a ruffinly creetur, that takes a pride and a pleasure in disgracing his wife on every possible occasion afore strangers, I am that woman!'	true	199.635	210.04	18
1265_135635_000012_000000	'You ought to be ashamed of yourself, Raddle,' said the other little woman, who was no other than Mrs. Cluppins. 'What have I been a-doing of?' asked Mr. Raddle.	'You ought to be ashamed of yourself, Raddle,' said the other little woman, who was no other than mrs Cluppins. 'What have I been a doing of?' asked mr Raddle.	true	210.59	220.27	22.386463
1265_135635_000013_000000	'Don't talk to me, don't, you brute, for fear I should be perwoked to forgit my sect and strike you!' said Mrs. Raddle.	'Don't talk to me, don't, you brute, for fear I should be perwoked to forgit my sect and strike you!' said mrs Raddle.	true	220.76	227.98	25.798658
1265_135635_000014_000000	While this dialogue was going on, the driver was most ignominiously leading the horse, by the bridle, up to the house with the red door, which Master Bardell had already opened.	While this dialogue was going on, the driver was most ignominiously leading the horse, by the bridle, up to the house with the red door, which Master Bardell had already opened.	false	228.35	238.69	21.594646
1265_135635_000014_000001	Here was a mean and low way of arriving at a friend's house!	Here was a mean and low way of arriving at a friend's house!	false	238.91	242.77	25.079346
1265_135635_000014_000002	No dashing up, with all the fire and fury of the animal; no jumping down of the driver; no loud knocking at the door; no opening of the apron with a crash at the very last moment, for fear of the ladies sitting in a draught; and then the man handing the shawls out, afterwards, as if he were a private coachman!	No dashing up, with all the fire and fury of the animal; no jumping down of the driver; no loud knocking at the door; no opening of the apron with a crash at the very last moment, for fear of the ladies sitting in a draught; and then the man handing the shawls out, afterwards, as if he were a private coachman!	false	242.81	261.73	23.592127
1265_135635_000014_000003	The whole edge of the thing had been taken off--it was flatter than walking.	The whole edge of the thing had been taken off-it was flatter than walking.	true	261.95	266.47	27.39912
1265_135635_000015_000000	'Well, Tommy,' said Mrs. Cluppins, 'how's your poor dear mother?'	'Well, Tommy,' said mrs Cluppins, 'how's your poor dear mother?'	true	267.02	271.36	25.009352
1265_135635_000016_000000	'Oh, she's very well,' replied Master Bardell. 'She's in the front parlour, all ready.	'Oh, she's very well,' replied Master Bardell. 'She's in the front parlour, all ready.	true	271.43	276	22.3207
1265_135635_000016_000001	I'm ready too, I am.' Here Master Bardell put his hands in his pockets, and jumped off and on the bottom step of the door.	I'm ready too, I am.' Here Master Bardell put his hands in his pockets, and jumped off and on the bottom step of the door.	true	276	283.84	22.793562
1265_135635_000017_000000	'Is anybody else a-goin', Tommy?' said Mrs. Cluppins, arranging her pelerine.	'Is anybody else a goin', Tommy?' said mrs Cluppins, arranging her pelerine.	false	284.09	289.53	24.691973
1265_135635_000018_000000	'Mrs.	'mrs	true	289.53	289.86	31
1265_135635_000018_000001	Sanders is going, she is,' replied Tommy; 'I'm going too, I am.'	Sanders is going, she is,' replied Tommy; 'I'm going too, I am.'	true	289.86	293.95	20
1265_135635_000019_000000	'Drat the boy,' said little Mrs. Cluppins. 'He thinks of nobody but himself.	'Drat the boy,' said little mrs Cluppins. 'He thinks of nobody but himself.	true	294.44	299.115	21.229782
1265_135635_000019_000001	Here, Tommy, dear.'	Here, Tommy, dear.'	true	299.115	300.46	25.751106
1265_135635_000020_000000	'Well,' said Master Bardell.	'Well,' said Master Bardell.	false	300.8	302.97	24.992294
1265_135635_000021_000000	'Who else is a-goin', lovey?' said Mrs. Cluppins, in an insinuating manner.	'Who else is a goin', lovey?' said mrs Cluppins, in an insinuating manner.	true	302.97	307.6	22.354866
1265_135635_000022_000000	'Oh! Mrs. Rogers is a-goin',' replied Master Bardell, opening his eyes very wide as he delivered the intelligence.	'Oh! mrs Rogers is a goin',' replied Master Bardell, opening his eyes very wide as he delivered the intelligence.	true	307.94	315.34	22.940315
1265_135635_000023_000000	'What?	'What?	true	315.65	316.245	32.050724
