8725_294554_000003_000000	PLIABLE	PLIABLE
8725_294554_000004_000000	'He hath not root in himself.'--Our Lord.	'He hath not root in himself.'--Our Lord.
8725_294554_000005_000002	We call the text a parable, but our Lord's parables are all portraits--portraits and groups of portraits, rather than ordinary parables.	We call the text a parable, but our Lord's parables are all portraits-portraits and groups of portraits, rather than ordinary parables.
8725_294554_000005_000003	Our Lord knew this man quite well who had no root in himself.	Our Lord knew this man quite well who had no root in himself.
8725_294554_000005_000004	Our Lord had crowds of such men always running after Him, and He threw off this rapid portrait from hundreds of men and women who caused discredit to fall on His name and His work, and burdened His heart continually.	Our Lord had crowds of such men always running after Him, and He threw off this rapid portrait from hundreds of men and women who caused discredit to fall on His name and His work, and burdened His heart continually.
8725_294554_000006_000000	Our Lord's short preliminary description of Pliable goes, like all His descriptions, to the very bottom of the whole matter.	Our Lord's short preliminary description of Pliable goes, like all His descriptions, to the very bottom of the whole matter.
8725_294554_000006_000001	Our Lord in this passage is like one of those masterly artists who begin their portrait- painting with the study of anatomy.	Our Lord in this passage is like one of those masterly artists who begin their portrait painting with the study of anatomy.
8725_294554_000006_000002	All the great artists in this walk build up their best portraits from the inside of their subjects.	All the great artists in this walk build up their best portraits from the inside of their subjects.
8725_294554_000006_000004	'Without self- knowledge,' says one of the greatest students of the human heart that ever lived, 'you have no real root in yourselves.	'Without self knowledge,' says one of the greatest students of the human heart that ever lived, 'you have no real root in yourselves.
8725_294554_000006_000006	It is a deceit and a mischief to think that the Christian doctrines can either be understood or aright accepted by any outward means.	It is a deceit and a mischief to think that the Christian doctrines can either be understood or aright accepted by any outward means.
8725_294554_000006_000007	It is just in proportion as we search our own hearts and understand our own nature that we shall ever feel what a blessing the removal of sin will be; redemption, pardon, sanctification, are all otherwise mere words without meaning or power to us.	It is just in proportion as we search our own hearts and understand our own nature that we shall ever feel what a blessing the removal of sin will be; redemption, pardon, sanctification, are all otherwise mere words without meaning or power to us.
8725_294554_000006_000009	Honest, that is, with itself, and with God and man about itself.	Honest, that is, with itself, and with God and man about itself.
8725_294554_000006_000010	As David says in his so honest psalm, 'Behold, Thou desirest truth in the inward parts, and in the hidden part Thou shalt make me to know wisdom.' And, indeed, all the preachers and writers in Scripture, and all Scriptural preachers and writers outside of Scripture, are at one in this: that all true wisdom begins at home, and that it all begins at the heart.	As David says in his so honest psalm, 'Behold, Thou desirest truth in the inward parts, and in the hidden part Thou shalt make me to know wisdom.' And, indeed, all the preachers and writers in Scripture, and all Scriptural preachers and writers outside of Scripture, are at one in this: that all true wisdom begins at home, and that it all begins at the heart.
8725_294554_000006_000011	And they all teach us that he is the wisest of men who has the worst opinion of his own heart, as he is the foolishest of men who does not know his own heart to be the worst heart that ever any man was cursed with in this world.	And they all teach us that he is the wisest of men who has the worst opinion of his own heart, as he is the foolishest of men who does not know his own heart to be the worst heart that ever any man was cursed with in this world.
