8222_274378_000000_000000	* Life of the Duke of Newcastle, p. 40.	asterisk Life of the Duke of Newcastle, p. forty.	false	1.74	5.34	10
8222_274378_000001_000000	** Clarendon, vol. v.	asterisk asterisk Clarendon, vol v.	false	5.34	7.44	24
8222_274378_000001_000001	p. 506.	p. five hundred six.	false	7.44	20.73	22.437666
8222_274378_000002_000000	*** Rush, part iii.	asterisk asterisk asterisk Rush, part iii.	false	20.73	27.03	22.227947
8222_274378_000002_000001	vol. ii.	vol ii.	false	27.03	27.75	14
8222_274378_000002_000002	p. 633.	p. six hundred thirty three.	false	27.75	32.16	25.24249
8222_274378_000003_000000	After a short combat, the cavalry of the royalists gave way; and such of the infantry as stood next them were likewise borne down and put to flight.	After a short combat, the cavalry of the royalists gave way; and such of the infantry as stood next them were likewise borne down and put to flight.	true	32.16	40.18	25
8222_274378_000003_000001	Newcastle's regiment alone, resolute to conquer or to perish, obstinately kept their ground, and maintained, by their dead bodies, the same order in which they had at first been ranged.	Newcastle's regiment alone, resolute to conquer or to perish, obstinately kept their ground, and maintained, by their dead bodies, the same order in which they had at first been ranged.	true	40.49	51.1	23.523602
8222_274378_000003_000002	In the other wing, Sir Thomas Fairfax and Colonel Lambert, with some troops, broke through the royalists; and, transported by the ardor of pursuit, soon reached their victorious friends, engaged also in pursuit of the enemy.	In the other wing, Sir Thomas Fairfax and Colonel Lambert, with some troops, broke through the royalists; and, transported by the ardor of pursuit, soon reached their victorious friends, engaged also in pursuit of the enemy.	true	51.38	64.18	23.86071
8222_274378_000003_000003	But after that tempest was past, Lucas, who commanded the royalists in this wing, restoring order to his broken forces, made a furious attack on the parliamentary cavalry, threw them into disorder, pushed them upon their own infantry, and put that whole wing to rout.	But after that tempest was past, Lucas, who commanded the royalists in this wing, restoring order to his broken forces, made a furious attack on the parliamentary cavalry, threw them into disorder, pushed them upon their own infantry, and put that whole wing to rout.	false	64.61	80.26	25.128885
8222_274378_000003_000004	When ready to seize on their carriages and baggage, he perceived Cromwell, who was now returned from pursuit of the other wing.	When ready to seize on their carriages and baggage, he perceived Cromwell, who was now returned from pursuit of the other wing.	true	80.57	87.19	22.796108
8222_274378_000003_000005	Both sides were not a little surprised to find that they must again renew the combat for that victory which each of them thought they had already obtained.	Both sides were not a little surprised to find that they must again renew the combat for that victory which each of them thought they had already obtained.	true	87.29	94.75	25.704401
8222_274378_000003_000006	The front of the battle was now exactly counterchanged; and each army occupied the ground which had been possessed by the enemy at the beginning of the day.	The front of the battle was now exactly counterchanged; and each army occupied the ground which had been possessed by the enemy at the beginning of the day.	true	94.97	103.6	24.995483
8222_274378_000003_000007	This second battle was equally furious and desperate with the first: but after the utmost efforts of courage by both parties, victory wholly turned to the side of the parliament.	This second battle was equally furious and desperate with the first: but after the utmost efforts of courage by both parties, victory wholly turned to the side of the parliament.	true	104.03	113.44	24.145369
8222_274378_000003_000008	The prince's train of artillery was taken; and his whole army pushed off the field of battle.[*]	The prince's train of artillery was taken; and his whole army pushed off the field of battle.[asterisk]	false	113.63	118.44	28
8222_274378_000004_000000	* Rush. vol. vi.	asterisk Rush. vol vi.	false	118.44	118.68	-20
8222_274378_000004_000001	p. 632.	p. six hundred thirty two.	false	118.68	118.98	8
8222_274378_000004_000002	Whitlocke, p. 89.	Whitlocke, p. eighty nine.	false	118.98	119.205	8
8222_274378_000005_000000	This event was in itself a mighty blow to the king; but proved more fatal in its consequences.	This event was in itself a mighty blow to the king; but proved more fatal in its consequences.	true	119.205	124.57	21.80236
8222_274378_000005_000001	The marquis of Newcastle was entirely lost to the royal cause.	The marquis of Newcastle was entirely lost to the royal cause.	true	124.73	128.8	23.246202
8222_274378_000005_000002	That nobleman the ornament of the court and of his order, had been engaged, contrary to the natural bent of his disposition, into these military operations merely by a high sense of honor and a personal regard to his master.	That nobleman the ornament of the court and of his order, had been engaged, contrary to the natural bent of his disposition, into these military operations merely by a high sense of honor and a personal regard to his master.	true	128.96	141.91	23.584894
8222_274378_000005_000003	The dangers of war were disregarded by his valor; but its fatigues were oppressive to his natural indolence.	The dangers of war were disregarded by his valor; but its fatigues were oppressive to his natural indolence.	true	142.25	148.27	22.099768
8222_274378_000005_000004	Munificent and generous in his expense; polite and elegant in his taste; courteous and humane in his behavior; he brought a great accession of friends and of credit to the party which he embraced. But amidst all the hurry of action, his inclinations were secretly drawn to the soft arts of peace, in which he took delight; and the charms of poetry music, and conversation often stole him from his rougher occupations.	Munificent and generous in his expense; polite and elegant in his taste; courteous and humane in his behavior; he brought a great accession of friends and of credit to the party which he embraced. But amidst all the hurry of action, his inclinations were secretly drawn to the soft arts of peace, in which he took delight; and the charms of poetry music, and conversation often stole him from his rougher occupations.	false	148.4	172.78	23.512983
