6446_40571_000000_000000	CHORUS OF MYSTAE IN HADES	CHORUS OF m y s t a e IN HADES	false	2.82	38.59	20.235418
6446_40571_000001_000000	From 'The Frogs': Frere's Translation	From 'The Frogs': Frere's Translation	true	40.13	43.54	20.804392
6446_40571_000002_000000	CHORUS [_shouting and singing_']	CHORUS [underscore shouting and singing underscore']	false	43.94	47.4	18.21787
6446_40571_000003_000000	Iacchus!	Iacchus!	true	47.4	48.12	23
6446_40571_000003_000001	Iacchus!	Iacchus!	true	48.12	48.84	20
6446_40571_000003_000002	Ho!	Ho!	false	48.84	50.01	21.370829
6446_40571_000004_000000	Iacchus!	Iacchus!	true	50.01	50.73	20
6446_40571_000004_000001	Iacchus!	Iacchus!	true	50.73	51.39	20
6446_40571_000004_000002	Ho!	Ho!	false	51.39	52.08	19.345034
6446_40571_000005_000000	_Xanthias_--There, master, there they are, the initiated All sporting about as he told us we should find 'em. They're singing in praise of Bacchus like Diagoras.	underscore Xanthias underscore--There, master, there they are, the initiated All sporting about as he told us we should find 'em. They're singing in praise of Bacchus like Diagoras.	false	52.08	63.78	22.082407
6446_40571_000006_000000	_Bacchus_--Indeed, and so they are; but we'll keep quiet Till we make them out a little more distinctly.	underscore Bacchus underscore--Indeed, and so they are; but we'll keep quiet Till we make them out a little more distinctly.	false	63.78	70.69	21.753433
6446_40571_000007_000000	CHORUS _[song]_	CHORUS underscore[song]underscore	false	71.18	73.2	21.076685
6446_40571_000008_000000	Mighty Bacchus!	Mighty Bacchus!	true	73.2	74.85	23.751581
6446_40571_000008_000001	Holy Power! Hither at the wonted hour Come away, Come away, With the wanton holiday, Where the revel uproar leads To the mystic holy meads, Where the frolic votaries fly, With a tipsy shout and cry; Flourishing the Thyrsus high, Flinging forth, alert and airy, To the sacred old vagary, The tumultuous dance and song, Sacred from the vulgar throng; Mystic orgies that are known To the votaries alone-- To the mystic chorus solely-- Secret unrevealed--and holy. _Xan_.--O glorious virgin, daughter of the Goddess! What a scent of roasted griskin reached my senses!	Holy Power! Hither at the wonted hour Come away, Come away, With the wanton holiday, Where the revel uproar leads To the mystic holy meads, Where the frolic votaries fly, With a tipsy shout and cry; Flourishing the Thyrsus high, Flinging forth, alert and airy, To the sacred old vagary, The tumultuous dance and song, Sacred from the vulgar throng; Mystic orgies that are known To the votaries alone- To the mystic chorus solely- Secret unrevealed-and holy. underscore Xan underscore.--O glorious virgin, daughter of the Goddess! What a scent of roasted griskin reached my senses!	false	74.85	127.2	21.295656
6446_40571_000009_000000	_Bac_.--Keep quiet--and watch for a chance of a piece of the haslets.	underscore b a c underscore.--Keep quiet-and watch for a chance of a piece of the haslets.	false	127.2	132.82	24.090094
6446_40571_000010_000000	CHORUS _[song]_	CHORUS underscore[song]underscore	false	133.76	135.45	20.190872
6446_40571_000011_000000	Raise the fiery torches high! Bacchus is approaching nigh, Like the planet of the morn Breaking with the hoary dawn On the dark solemnity-- There they flash upon the sight; All the plain is blazing bright, Flushed and overflown with light: Age has cast his years away, And the cares of many a day, Sporting to the lively lay-- Mighty Bacchus! march and lead (Torch in hand toward the mead) Thy devoted humble Chorus; Mighty Bacchus--move before us! Keep silence--keep peace--and let all the profane From our holy solemnity duly refrain; Whose souls, unenlightened by taste, are obscure; Whose poetical notions are dark and impure; Whose theatrical conscience Is sullied by nonsense; Who never were trained by the mighty Cratinus In mystical orgies, poetic and vinous; Who delight in buffooning and jests out of season; Who promote the designs of oppression and treason; Who foster sedition and strife and debate; All traitors, in short, to the Stage and the State: Who surrender a fort, or in private export To places and harbors of hostile resort Clandestine consignments of cables and pitch,-- In the way that Thorycion grew to be rich From a scoundrelly dirty collector of tribute: All such we reject and severely prohibit; All statesmen retrenching the fees and the salaries Of theatrical bards, in revenge for the railleries And jests and lampoons of this holy solemnity, Profanely pursuing their personal enmity, For having been flouted and scoffed and scorned-- All such are admonished and heartily warned; We warn them once, We warn them twice, We warn and admonish--we warn them thrice, To conform to the law, To retire and withdraw; While the Chorus again with the formal saw, (Fixt and assign'd to the festive day) Move to the measure and march away.	Raise the fiery torches high! Bacchus is approaching nigh, Like the planet of the morn Breaking with the hoary dawn On the dark solemnity- There they flash upon the sight; All the plain is blazing bright, Flushed and overflown with light: Age has cast his years away, And the cares of many a day, Sporting to the lively lay- Mighty Bacchus! march and lead (Torch in hand toward the mead) Thy devoted humble Chorus; Mighty Bacchus-move before us! Keep silence-keep peace-and let all the profane From our holy solemnity duly refrain; Whose souls, unenlightened by taste, are obscure; Whose poetical notions are dark and impure; Whose theatrical conscience Is sullied by nonsense; Who never were trained by the mighty Cratinus In mystical orgies, poetic and vinous; Who delight in buffooning and jests out of season; Who promote the designs of oppression and treason; Who foster sedition and strife and debate; All traitors, in short, to the Stage and the State: Who surrender a fort, or in private export To places and harbors of hostile resort Clandestine consignments of cables and pitch,-- In the way that Thorycion grew to be rich From a scoundrelly dirty collector of tribute: All such we reject and severely prohibit; All statesmen retrenching the fees and the salaries Of theatrical bards, in revenge for the railleries And jests and lampoons of this holy solemnity, Profanely pursuing their personal enmity, For having been flouted and scoffed and scorned- All such are admonished and heartily warned; We warn them once, We warn them twice, We warn and admonish-we warn them thrice, To conform to the law, To retire and withdraw; While the Chorus again with the formal saw, (Fixt and assign'd to the festive day) Move to the measure and march away.	false	135.45	286.15	21.58661
6446_40571_000012_000000	SEMI-CHORUS	SEMI CHORUS	true	286.19	287.41	24.821264
6446_40571_000013_000000	March! march! lead forth, Lead forth manfully, March in order all; Bustling, hustling, justling, As it may befall; Flocking, shouting, laughing, Mocking, flouting, quaffing, One and all; All have had a belly-full Of breakfast brave and plentiful; Therefore Evermore With your voices and your bodies Serve the goddess, And raise Songs of praise; She shall save the country still, And save it against the traitor's will; So she says.	March! march! lead forth, Lead forth manfully, March in order all; Bustling, hustling, justling, As it may befall; Flocking, shouting, laughing, Mocking, flouting, quaffing, One and all; All have had a belly full Of breakfast brave and plentiful; Therefore Evermore With your voices and your bodies Serve the goddess, And raise Songs of praise; She shall save the country still, And save it against the traitor's will; So she says.	true	287.78	328.36	20.620321
6446_40571_000014_000000	SEMI-CHORUS	SEMI CHORUS	true	328.82	330.1	23.362196
6446_40571_000015_000000	Now let us raise in a different strain The praise of the goddess, the giver of grain; Imploring her favor With other behavior, In measures more sober, submissive, and graver.	Now let us raise in a different strain The praise of the goddess, the giver of grain; Imploring her favor With other behavior, In measures more sober, submissive, and graver.	true	330.38	343.72	19.099562
6446_40571_000016_000000	SEMI-CHORUS	SEMI CHORUS	false	344.54	346.35	22.617088
6446_40571_000017_000000	Ceres, holy patroness, Condescend to mark and bless, With benevolent regard, Both the Chorus and the Bard; Grant them for the present day Many things to sing and say, Follies intermixed with sense; Folly, but without offense. Grant them with the present play To bear the prize of verse away.	Ceres, holy patroness, Condescend to mark and bless, With benevolent regard, Both the Chorus and the Bard; Grant them for the present day Many things to sing and say, Follies intermixed with sense; Folly, but without offense. Grant them with the present play To bear the prize of verse away.	true	346.35	371.02	21.096401
6446_40571_000018_000000	SEMI-CHORUS	SEMI CHORUS	true	371.27	372.43	25.682707
6446_40571_000019_000000	Now call again, and with a different measure, The power of mirth and pleasure; The florid, active Bacchus, bright and gay, To journey forth and join us on the way.	Now call again, and with a different measure, The power of mirth and pleasure; The florid, active Bacchus, bright and gay, To journey forth and join us on the way.	true	372.68	385.93	22.420692
6446_40571_000020_000000	SEMI-CHORUS	SEMI CHORUS	true	386.36	387.52	24.506742
6446_40571_000021_000000	O Bacchus, attend! the customary patron of every lively lay; Go forth without delay Thy wonted annual way, To meet the ceremonious holy matron: Her grave procession gracing, Thine airy footsteps tracing With unlaborious, light, celestial motion; And here at thy devotion Behold thy faithful choir In pitiful attire: All overworn and ragged, This jerkin old and jagged, These buskins torn and burst, Though sufferers in the fray, May serve us at the worst To sport throughout the day; And then within the shades I spy some lovely maids With whom we romped and reveled, Dismantled and disheveled, With their bosoms open,-- With whom we might be coping. _Xan_.--Well, I was always hearty, Disposed to mirth and ease: I'm ready to join the party. _Bac_.--And I will if you please.	O Bacchus, attend! the customary patron of every lively lay; Go forth without delay Thy wonted annual way, To meet the ceremonious holy matron: Her grave procession gracing, Thine airy footsteps tracing With unlaborious, light, celestial motion; And here at thy devotion Behold thy faithful choir In pitiful attire: All overworn and ragged, This jerkin old and jagged, These buskins torn and burst, Though sufferers in the fray, May serve us at the worst To sport throughout the day; And then within the shades I spy some lovely maids With whom we romped and reveled, Dismantled and disheveled, With their bosoms open,-- With whom we might be coping. underscore Xan underscore.--Well, I was always hearty, Disposed to mirth and ease: I'm ready to join the party. underscore b a c underscore.--And I will if you please.	false	387.83	453.67	21.74951
6446_40571_000022_000000	A PARODY OF EURIPIDES'S LYRIC VERSE	A PARODY OF EURIPIDES'S LYRIC VERSE	true	456.26	459.615	21
6446_40571_000023_000000	From 'The Frogs'	From 'The Frogs'	true	459.615	460.96	22.790453
6446_40571_000024_000000	Halcyons ye by the flowing sea Waves that warble twitteringly, Circling over the tumbling blue, Dipping your down in its briny dew, Spi-i-iders in corners dim Spi-spi-spinning your fairy film, Shuttles echoing round the room Silver notes of the whistling loom, Where the light-footed dolphin skips Down the wake of the dark-prowed ships, Over the course of the racing steed Where the clustering tendrils breed Grapes to drown dull care in delight, Oh! mother make me a child again just for to-night! I don't exactly see how that last line is to scan, But that's a consideration I leave to our musical man.	Halcyons ye by the flowing sea Waves that warble twitteringly, Circling over the tumbling blue, Dipping your down in its briny dew, s p i i iders in corners dim s p i s p i spinning your fairy film, Shuttles echoing round the room Silver notes of the whistling loom, Where the light footed dolphin skips Down the wake of the dark prowed ships, Over the course of the racing steed Where the clustering tendrils breed Grapes to drown dull care in delight, Oh! mother make me a child again just for to night! I don't exactly see how that last line is to scan, But that's a consideration I leave to our musical man.	false	461.51	512.41	20.980038
6446_40571_000025_000000	THE PROLOGUES OF EURIPIDES	THE PROLOGUES OF EURIPIDES	true	515.63	517.56	19.74465
6446_40571_000026_000000	From 'The Frogs'	From 'The Frogs'	true	517.56	518.86	22.796625
6446_40571_000027_000000	[The point of the following selection lies in the monotony of both narrative style and metre in Euripides's prologues, and especially his regular caesura after the fifth syllable of a line.	[The point of the following selection lies in the monotony of both narrative style and metre in Euripides's prologues, and especially his regular caesura after the fifth syllable of a line.	true	519.38	531.55	21
6446_40571_000027_000001	The burlesque tag used by Aristophanes to demonstrate this effect could not be applied in the same way to any of the fourteen extant plays of Sophocles and AEschylus.]	The burlesque tag used by Aristophanes to demonstrate this effect could not be applied in the same way to any of the fourteen extant plays of Sophocles and AEschylus.]	true	532.01	542.94	20.831196
