288_131218_000000_000000	CHAPTER XXXII.	CHAPTER thirty two.
288_131218_000001_000000	IT WAS Friday night, and Diamond, like the rest of the household, had had very little to eat that day.	IT WAS Friday night, and Diamond, like the rest of the household, had had very little to eat that day.
288_131218_000001_000001	The mother would always pay the week's rent before she laid out anything even on food.	The mother would always pay the week's rent before she laid out anything even on food.
288_131218_000001_000002	His father had been very gloomy--so gloomy that he had actually been cross to his wife.	His father had been very gloomy-so gloomy that he had actually been cross to his wife.
288_131218_000001_000004	This comes of not having faith enough in God, and shows how necessary this faith is, for when we lose it, we lose even the kindness which alone can soothe the suffering.	This comes of not having faith enough in God, and shows how necessary this faith is, for when we lose it, we lose even the kindness which alone can soothe the suffering.
288_131218_000001_000005	Diamond in consequence had gone to bed very quiet and thoughtful--a little troubled indeed.	Diamond in consequence had gone to bed very quiet and thoughtful-a little troubled indeed.
288_131218_000002_000001	When Diamond went to his bed, which was in a tiny room in the roof, he heard it like the sea moaning; and when he fell asleep he still heard the moaning.	When Diamond went to his bed, which was in a tiny room in the roof, he heard it like the sea moaning; and when he fell asleep he still heard the moaning.
288_131218_000002_000002	All at once he said to himself, "Am I awake, or am I asleep?" But he had no time to answer the question, for there was North Wind calling him.	All at once he said to himself, "Am I awake, or am I asleep?" But he had no time to answer the question, for there was North Wind calling him.
288_131218_000002_000004	He jumped out of bed, and looked everywhere, but could not see her.	He jumped out of bed, and looked everywhere, but could not see her.
288_131218_000002_000005	"Diamond, come here," she said again and again; but where the here was he could not tell.	"Diamond, come here," she said again and again; but where the here was he could not tell.
288_131218_000003_000000	"Dear North Wind," said Diamond, "I want so much to go to you, but I can't tell where."	"Dear North Wind," said Diamond, "I want so much to go to you, but I can't tell where."
288_131218_000004_000000	"Come here, Diamond," was all her answer.	"Come here, Diamond," was all her answer.
288_131218_000005_000000	Diamond opened the door, and went out of the room, and down the stair and into the yard.	Diamond opened the door, and went out of the room, and down the stair and into the yard.
288_131218_000005_000001	His little heart was in a flutter, for he had long given up all thought of seeing her again.	His little heart was in a flutter, for he had long given up all thought of seeing her again.
288_131218_000005_000003	It blew him right up to the stable-door, and went on blowing.	It blew him right up to the stable door, and went on blowing.
288_131218_000006_000000	"She wants me to go into the stable," said Diamond to himself, "but the door is locked."	"She wants me to go into the stable," said Diamond to himself, "but the door is locked."
288_131218_000007_000001	He ran to the place, however: just as he reached it there came a wild blast, and down fell the key clanging on the stones at his feet.	He ran to the place, however: just as he reached it there came a wild blast, and down fell the key clanging on the stones at his feet.
288_131218_000007_000002	He picked it up, and ran back and opened the stable-door, and went in.	He picked it up, and ran back and opened the stable door, and went in.
288_131218_000008_000002	This is what he saw.	This is what he saw.
288_131218_000009_000000	But what do you think he heard?	But what do you think he heard?
288_131218_000010_000000	He heard the two horses talking to each other--in a strange language, which yet, somehow or other, he could understand, and turn over in his mind in English.	He heard the two horses talking to each other-in a strange language, which yet, somehow or other, he could understand, and turn over in his mind in English.
288_131218_000010_000001	The first words he heard were from Diamond, who apparently had been already quarrelling with Ruby.	The first words he heard were from Diamond, who apparently had been already quarrelling with Ruby.
288_131218_000012_000000	"There's no harm in being fat," said Ruby in a deprecating tone.	"There's no harm in being fat," said Ruby in a deprecating tone.
288_131218_000013_000000	"No harm?" retorted Diamond.	"No harm?" retorted Diamond.
288_131218_000014_000001	"I must attend to my own master's interests, and eat all that is given me, and be sleek and fat as I can, and go no faster than I need."	"I must attend to my own master's interests, and eat all that is given me, and be sleek and fat as I can, and go no faster than I need."
288_131218_000015_000000	"Now really if the rest of the horses weren't all asleep, poor things--they work till they're tired--I do believe they would get up and kick you out of the stable.	"Now really if the rest of the horses weren't all asleep, poor things-they work till they're tired-I do believe they would get up and kick you out of the stable.
288_131218_000015_000001	You make me ashamed of being a horse.	You make me ashamed of being a horse.
288_131218_000015_000002	You dare to say my master ain't your master!	You dare to say my master ain't your master!
288_131218_000015_000003	That's your gratitude for the way he feeds you and spares you!	That's your gratitude for the way he feeds you and spares you!
288_131218_000015_000004	Pray where would your carcass be if it weren't for him?"	Pray where would your carcass be if it weren't for him?"
288_131218_000016_000000	"He doesn't do it for my sake.	"He doesn't do it for my sake.
288_131218_000016_000001	If I were his own horse, he would work me as hard as he does you."	If I were his own horse, he would work me as hard as he does you."
288_131218_000017_000000	"And I'm proud to be so worked.	"And I'm proud to be so worked.
288_131218_000017_000004	He's something like a horse--all skin and bone.	He's something like a horse-all skin and bone.
288_131218_000017_000005	And his master ain't over kind to him either.	And his master ain't over kind to him either.
288_131218_000017_000006	He put a stinging lash on his whip last week.	He put a stinging lash on his whip last week.
288_131218_000017_000007	But that old horse knows he's got the wife and children to keep--as well as his drunken master--and he works like a horse.	But that old horse knows he's got the wife and children to keep-as well as his drunken master-and he works like a horse.
288_131218_000017_000008	I daresay he grudges his master the beer he drinks, but I don't believe he grudges anything else."	I daresay he grudges his master the beer he drinks, but I don't believe he grudges anything else."
288_131218_000018_000000	"Well, I don't grudge yours what he gets by me," said Ruby.	"Well, I don't grudge yours what he gets by me," said Ruby.
288_131218_000019_000000	"Gets!" retorted Diamond.	"Gets!" retorted Diamond.
288_131218_000019_000001	"What he gets isn't worth grudging.	"What he gets isn't worth grudging.
288_131218_000019_000002	It comes to next to nothing--what with your fat and shine.	It comes to next to nothing-what with your fat and shine.
288_131218_000020_000000	"Well, at least you ought to be thankful you're the better for it.	"Well, at least you ought to be thankful you're the better for it.
288_131218_000021_000001	You go along like a buttock of beef upon castors--you do."	You go along like a buttock of beef upon castors-you do."
288_131218_000023_000000	"Kick!	"Kick!
288_131218_000023_000002	You might heave your rump up half a foot, but for lashing out--oho!	You might heave your rump up half a foot, but for lashing out-oho!
288_131218_000023_000004	It's my belief, once out, they'd stick out for ever.	It's my belief, once out, they'd stick out for ever.
288_131218_000023_000005	Talk of kicking!	Talk of kicking!
288_131218_000023_000006	Why don't you put one foot before the other now and then when you're in the cab?	Why don't you put one foot before the other now and then when you're in the cab?
288_131218_000023_000007	The abuse master gets for your sake is quite shameful.	The abuse master gets for your sake is quite shameful.
288_131218_000023_000008	No decent horse would bring it on him.	No decent horse would bring it on him.
288_131218_000023_000009	Depend upon it, Ruby, no cabman likes to be abused any more than his fare.	Depend upon it, Ruby, no cabman likes to be abused any more than his fare.
288_131218_000023_000011	Indeed they are."	Indeed they are."
288_131218_000024_000000	"Well, you see, Diamond, I don't want to go lame again."	"Well, you see, Diamond, I don't want to go lame again."
288_131218_000025_000000	"I don't believe you were so very lame after all--there!"	"I don't believe you were so very lame after all-there!"
288_131218_000026_000000	"Oh, but I was."	"Oh, but I was."
288_131218_000027_000000	"Then I believe it was all your own fault.	"Then I believe it was all your own fault.
288_131218_000027_000005	There you are with your huge carcass crushing down your poor legs all night long.	There you are with your huge carcass crushing down your poor legs all night long.
288_131218_000027_000006	You don't even care for your own legs--so long as you can eat, eat, and sleep, sleep.	You don't even care for your own legs-so long as you can eat, eat, and sleep, sleep.
288_131218_000027_000007	You a horse indeed!"	You a horse indeed!"
288_131218_000028_000000	"But I tell you I was lame."	"But I tell you I was lame."
288_131218_000029_000001	But my belief is, it wasn't even grease--it was fat."	But my belief is, it wasn't even grease-it was fat."
288_131218_000030_000000	"I tell you I put my foot on one of those horrid stones they make the roads with, and it gave my ankle such a twist."	"I tell you I put my foot on one of those horrid stones they make the roads with, and it gave my ankle such a twist."
288_131218_000031_000000	"Ankle indeed!	"Ankle indeed!
288_131218_000031_000001	Why should you ape your betters?	Why should you ape your betters?
288_131218_000031_000003	And so long as you don't lift your feet better, but fall asleep between every step, you'll run a good chance of laming all your ankles as you call them, one after another.	And so long as you don't lift your feet better, but fall asleep between every step, you'll run a good chance of laming all your ankles as you call them, one after another.
288_131218_000031_000004	It's not your lively horse that comes to grief in that way.	It's not your lively horse that comes to grief in that way.
288_131218_000031_000005	I tell you I believe it wasn't much, and if it was, it was your own fault.	I tell you I believe it wasn't much, and if it was, it was your own fault.
288_131218_000031_000006	There!	There!
288_131218_000031_000008	I'll try to think as well of you as I can.	I'll try to think as well of you as I can.
288_131218_000031_000009	If you would but step out a bit and run off a little of your fat!"	If you would but step out a bit and run off a little of your fat!"
288_131218_000032_000000	"I say, Diamond, I can't bear to have an honest old horse like you think of me like that.	"I say, Diamond, I can't bear to have an honest old horse like you think of me like that.
288_131218_000032_000001	I will tell you the truth: it was my own fault that I fell lame."	I will tell you the truth: it was my own fault that I fell lame."
288_131218_000035_000000	At the words, the old horse arose with a scramble like thunder, shot his angry head and glaring eye over into Ruby's stall, and said--	At the words, the old horse arose with a scramble like thunder, shot his angry head and glaring eye over into Ruby's stall, and said-
288_131218_000038_000000	"You grease-tub!	"You grease tub!
288_131218_000038_000002	I thought you were a humbug!	I thought you were a humbug!
288_131218_000038_000003	Why did you want to get fat?	Why did you want to get fat?
288_131218_000038_000004	There's no truth to be got out of you but by cross-questioning.	There's no truth to be got out of you but by cross questioning.
288_131218_000038_000005	You ain't fit to be a horse."	You ain't fit to be a horse."
288_131218_000039_000000	"Because once I am fat, my nature is to keep fat for a long time; and I didn't know when master might come home and want to see me."	"Because once I am fat, my nature is to keep fat for a long time; and I didn't know when master might come home and want to see me."
288_131218_000040_000000	"You conceited, good-for-nothing brute!	"You conceited, good for nothing brute!
288_131218_000040_000001	You're only fit for the knacker's yard.	You're only fit for the knacker's yard.
288_131218_000040_000002	You wanted to look handsome, did you?	You wanted to look handsome, did you?
288_131218_000040_000003	Hold your tongue, or I'll break my halter and be at you--with your handsome fat!"	Hold your tongue, or I'll break my halter and be at you-with your handsome fat!"
288_131218_000041_000000	"Never mind, Diamond.	"Never mind, Diamond.
288_131218_000041_000002	You can't hurt me."	You can't hurt me."
288_131218_000042_000000	"Can't hurt you!	"Can't hurt you!
288_131218_000042_000001	Just let me once try."	Just let me once try."
288_131218_000043_000000	"No, you can't."	"No, you can't."
288_131218_000044_000000	"Why then?"	"Why then?"
288_131218_000045_000000	"Because I'm an angel."	"Because I'm an angel."
288_131218_000046_000000	"What's that?"	"What's that?"
288_131218_000047_000000	"Of course you don't know."	"Of course you don't know."
288_131218_000049_000000	"I know you don't.	"I know you don't.
288_131218_000049_000001	An ignorant, rude old human horse, like you, couldn't know it.	An ignorant, rude old human horse, like you, couldn't know it.
288_131218_000049_000002	But there's young Diamond listening to all we're saying; and he knows well enough there are horses in heaven for angels to ride upon, as well as other animals, lions and eagles and bulls, in more important situations.	But there's young Diamond listening to all we're saying; and he knows well enough there are horses in heaven for angels to ride upon, as well as other animals, lions and eagles and bulls, in more important situations.
288_131218_000049_000004	Well, I'm one of them."	Well, I'm one of them."
288_131218_000052_000000	"Never before.	"Never before.
288_131218_000052_000001	But you've confessed to shamming lame."	But you've confessed to shamming lame."
288_131218_000053_000000	"Nothing of the sort.	"Nothing of the sort.
288_131218_000053_000001	It was necessary I should grow fat, and necessary that good Joseph, your master, should grow lean.	It was necessary I should grow fat, and necessary that good Joseph, your master, should grow lean.
288_131218_000053_000002	I could have pretended to be lame, but that no horse, least of all an angel-horse would do.	I could have pretended to be lame, but that no horse, least of all an angel horse would do.
288_131218_000053_000003	So I must be lame, and so I sprained my ankle--for the angel-horses have ankles--they don't talk horse-slang up there--and it hurt me very much, I assure you, Diamond, though you mayn't be good enough to be able to believe it."	So I must be lame, and so I sprained my ankle-for the angel horses have ankles-they don't talk horse slang up there-and it hurt me very much, I assure you, Diamond, though you mayn't be good enough to be able to believe it."
288_131218_000054_000000	Old Diamond made no reply.	Old Diamond made no reply.
288_131218_000054_000002	When young Diamond found this, he thought he might venture to take up the dropt shuttlecock of the conversation.	When young Diamond found this, he thought he might venture to take up the dropt shuttlecock of the conversation.
288_131218_000055_000000	"I'm good enough to believe it, Ruby," he said.	"I'm good enough to believe it, Ruby," he said.
288_131218_000056_000000	But Ruby never turned his head, or took any notice of him.	But Ruby never turned his head, or took any notice of him.
288_131218_000056_000001	I suppose he did not understand more of English than just what the coachman and stableman were in the habit of addressing him with.	I suppose he did not understand more of English than just what the coachman and stableman were in the habit of addressing him with.
288_131218_000056_000002	Finding, however, that his companion made no reply, he shot his head over the partition and looking down at him said--	Finding, however, that his companion made no reply, he shot his head over the partition and looking down at him said-
288_131218_000057_000000	"You just wait till to-morrow, and you'll see whether I'm speaking the truth or not.--I declare the old horse is fast asleep!--Diamond!--No I won't."	"You just wait till to morrow, and you'll see whether I'm speaking the truth or not.--I declare the old horse is fast asleep!--Diamond!--No I won't."
288_131218_000058_000000	Ruby turned away, and began pulling at his hayrack in silence.	Ruby turned away, and began pulling at his hayrack in silence.
