6139_58869_000001_000000	CHAPTER II.	CHAPTER two.
6139_58869_000002_000000	"ONE FLEW INTO THE CUCKOO'S NEST."	"ONE FLEW INTO THE CUCKOO'S NEST."
6139_58869_000003_000000	The letter for Jaynes's Post-office reached the end of its journey first.	The letter for Jaynes's Post office reached the end of its journey first.
6139_58869_000003_000001	It wasn't much of a post-office; only an old case of pigeon-holes set up in one corner of a cross-roads store.	It wasn't much of a post office; only an old case of pigeon holes set up in one corner of a cross roads store.
6139_58869_000003_000002	A man riding over from the nearest town twice a week brought the mail-bag on horseback.	A man riding over from the nearest town twice a week brought the mail bag on horseback.
6139_58869_000003_000003	So few letters found their way into this, particular bag that Squire Jaynes, who kept the store and post-office, felt a personal interest in every envelope that passed through his hands.	So few letters found their way into this, particular bag that Squire Jaynes, who kept the store and post office, felt a personal interest in every envelope that passed through his hands.
6139_58869_000004_000000	"Miss Elizabeth Lloyd Lewis," he spelled aloud, examining the address through his square-bowed spectacles with a critical squint.	"Miss Elizabeth Lloyd Lewis," he spelled aloud, examining the address through his square bowed spectacles with a critical squint.
6139_58869_000005_000000	There was no one in the store to answer the question but an overgrown boy who had stopped to get his father's weekly paper.	There was no one in the store to answer the question but an overgrown boy who had stopped to get his father's weekly paper.
6139_58869_000005_000001	He sat on the counter dangling his big bare feet against a nail-keg, and catching flies in his sunburned hands, while he waited for the mail to be opened.	He sat on the counter dangling his big bare feet against a nail keg, and catching flies in his sunburned hands, while he waited for the mail to be opened.
6139_58869_000007_000001	"That's Betty.	"That's Betty.
6139_58869_000007_000002	The Appletons' Betty.	The Appletons' Betty.
6139_58869_000007_000003	Don't you know?	Don't you know?
6139_58869_000008_000003	Any-how, they're all she's got, and her father made some arrangement with them before he died.	Any how, they're all she's got, and her father made some arrangement with them before he died.
6139_58869_000009_000000	"That's the truth," said Jake; "she does.	"That's the truth," said Jake; "she does.
6139_58869_000009_000001	Talk about bringin' up.	Talk about bringin' up.
6139_58869_000009_000004	It's Betty that 'pears to be bringin' up the little Appletons."	It's Betty that 'pears to be bringin' up the little Appletons."
6139_58869_000010_000002	Lloydsboro Valley it's postmarked.	Lloydsboro Valley it's postmarked.
6139_58869_000010_000003	Wish she'd happen down here.	Wish she'd happen down here.
6139_58869_000010_000004	I'd ask her who it's from."	I'd ask her who it's from."
6139_58869_000011_000000	Jake got up, dragged his bare feet across the floor, and leaned lazily on the counter as he reached for his paper.	Jake got up, dragged his bare feet across the floor, and leaned lazily on the counter as he reached for his paper.
6139_58869_000012_000002	I'll take it up to her, squire, if you say so.	I'll take it up to her, squire, if you say so.
6139_58869_000013_000000	"Reckon you might as well," answered the old man, giving a final close scrutiny before handing it to the boy.	"Reckon you might as well," answered the old man, giving a final close scrutiny before handing it to the boy.
6139_58869_000013_000001	"It might lie here all week in case none of them happened to come to the store, and it looks as if it might be important."	"It might lie here all week in case none of them happened to come to the store, and it looks as if it might be important."
6139_58869_000014_000002	Jake mounted and rode off slowly, his bare feet dangling far below the stirrups.	Jake mounted and rode off slowly, his bare feet dangling far below the stirrups.
