1649_68762_000001_000000	CHAPTER III	CHAPTER three
1649_68762_000002_000000	DON QUIXOTE	DON QUIXOTE
1649_68762_000003_000000	When Kenneth got home he told Mr. Watson of his discovery and asked the old gentleman to write to the sign painter and find out what could be done.	When Kenneth got home he told mr Watson of his discovery and asked the old gentleman to write to the sign painter and find out what could be done.
1649_68762_000003_000001	The lawyer laughed heartily at his young friend's whim, but agreed to help him.	The lawyer laughed heartily at his young friend's whim, but agreed to help him.
1649_68762_000004_000000	"If you are going to try to prevent rural advertising," he remarked, "you'll find your hands full."	"If you are going to try to prevent rural advertising," he remarked, "you'll find your hands full."
1649_68762_000005_000000	Kenneth looked up smiling.	Kenneth looked up smiling.
1649_68762_000006_000000	"Thank you," he said.	"Thank you," he said.
1649_68762_000007_000000	"For what?"	"For what?"
1649_68762_000008_000000	"For finding me something to do.	"For finding me something to do.
1649_68762_000008_000001	I'm sick of this inaction."	I'm sick of this inaction."
1649_68762_000009_000000	Again the lawyer laughed.	Again the lawyer laughed.
1649_68762_000011_000000	"To remove such eyesores as advertising signs from the neighborhood of Elmhurst."	"To remove such eyesores as advertising signs from the neighborhood of Elmhurst."
1649_68762_000012_000000	"It's a Titan's task, Ken."	"It's a Titan's task, Ken."
1649_68762_000013_000000	"So much the better."	"So much the better."
1649_68762_000014_000000	The lawyer grew thoughtful.	The lawyer grew thoughtful.
1649_68762_000015_000000	"I believe it's impossible," he ventured.	"I believe it's impossible," he ventured.
1649_68762_000016_000000	"Better yet.	"Better yet.
1649_68762_000016_000001	I don't say I'll succeed, but I promise to try.	I don't say I'll succeed, but I promise to try.
1649_68762_000016_000002	I want something to occupy myself--something really difficult, so that I may test my own powers."	I want something to occupy myself-something really difficult, so that I may test my own powers."
1649_68762_000017_000000	"But, my dear boy!	"But, my dear boy!
1649_68762_000017_000001	This foolish proposition isn't worthy your effort.	This foolish proposition isn't worthy your effort.
1649_68762_000017_000002	If you want to be up and doing we'll find something else to occupy your mind."	If you want to be up and doing we'll find something else to occupy your mind."
1649_68762_000018_000000	"No, Mr. Watson; I'm set on this.	"No, mr Watson; I'm set on this.
1649_68762_000018_000001	It's a crime to allow these signs to flaunt themselves in our prettiest scenes.	It's a crime to allow these signs to flaunt themselves in our prettiest scenes.
1649_68762_000018_000003	Besides, no one else seems to have undertaken the task of exterminating them."	Besides, no one else seems to have undertaken the task of exterminating them."
1649_68762_000019_000000	"True enough.	"True enough.
1649_68762_000019_000001	If you're serious, Ken, I'll frankly say the thing can't be done.	If you're serious, Ken, I'll frankly say the thing can't be done.
1649_68762_000019_000002	You may, perhaps, buy the privilege of maintaining the rocks of the glen free from advertising; but the advertisers will paint more signs on all the approaches, and you won't have gained much."	You may, perhaps, buy the privilege of maintaining the rocks of the glen free from advertising; but the advertisers will paint more signs on all the approaches, and you won't have gained much."
1649_68762_000020_000000	"I'll drive every advertising sign out of this country."	"I'll drive every advertising sign out of this country."
1649_68762_000021_000000	"Impossible.	"Impossible.
1649_68762_000021_000001	The great corporations who control these industries make their fortunes by this style of advertising.	The great corporations who control these industries make their fortunes by this style of advertising.
1649_68762_000021_000003	And they must advertise or they can't sell their products."	And they must advertise or they can't sell their products."
1649_68762_000022_000000	"Let them advertise in decent ways, then.	"Let them advertise in decent ways, then.
1649_68762_000022_000001	What right has any soap maker to flaunt his wares in my face, whether I'm interested in them or not?"	What right has any soap maker to flaunt his wares in my face, whether I'm interested in them or not?"
1649_68762_000023_000000	"The right of custom.	"The right of custom.
1649_68762_000023_000002	I see no way to stop them."	I see no way to stop them."
1649_68762_000024_000000	"Nor I, at present.	"Nor I, at present.
1649_68762_000025_000000	"Drive out one, and another will take his place.	"Drive out one, and another will take his place.
1649_68762_000026_000001	Ten dollars a year for a rock as big as a barn!"	Ten dollars a year for a rock as big as a barn!"
1649_68762_000027_000000	"But they rent thousands of such positions, and in the aggregate our farmers get large sums from them."	"But they rent thousands of such positions, and in the aggregate our farmers get large sums from them."
1649_68762_000028_000000	"And ruin the appearance of their homes and farms."	"And ruin the appearance of their homes and farms."
1649_68762_000029_000000	Mr. Watson smiled.	mr Watson smiled.
1649_68762_000031_000000	"They need to be educated, that's all.	"They need to be educated, that's all.
1649_68762_000031_000001	These farmers seem very honest, decent fellows."	These farmers seem very honest, decent fellows."
1649_68762_000032_000001	I wish you knew them better."	I wish you knew them better."
1649_68762_000033_000001	This campaign ought to bring us closer together, for I mean to get them to help me."	This campaign ought to bring us closer together, for I mean to get them to help me."
1649_68762_000034_000000	"You'll have to buy them, I'm afraid."	"You'll have to buy them, I'm afraid."
1649_68762_000035_000000	"Not all of them.	"Not all of them.
1649_68762_000035_000001	There must be some refinement among them."	There must be some refinement among them."
1649_68762_000036_000000	But the lawyer was not convinced.	But the lawyer was not convinced.
1649_68762_000036_000001	However, it was not his desire to stifle this new-born enthusiasm of Kenneth's, even though he believed it misdirected.	However, it was not his desire to stifle this new born enthusiasm of Kenneth's, even though he believed it misdirected.
1649_68762_000036_000003	It would cost the boy something, but he would gain his money's worth in experience.	It would cost the boy something, but he would gain his money's worth in experience.
1649_68762_000037_000000	After a few days the sign painter answered the letter.	After a few days the sign painter answered the letter.
1649_68762_000037_000001	He would relinquish the three signs in the glen for a payment of fifty dollars each, with the understanding that no other competing signs were to take their place.	He would relinquish the three signs in the glen for a payment of fifty dollars each, with the understanding that no other competing signs were to take their place.
1649_68762_000037_000002	Kenneth promptly mailed a check for the amount demanded and early next morning started for the glen with what he called his "eliminators."	Kenneth promptly mailed a check for the amount demanded and early next morning started for the glen with what he called his "eliminators."
1649_68762_000038_000000	These "eliminators" consisted of two men with cans of turpentine and gasoline and an equipment of scrubbing brushes.	These "eliminators" consisted of two men with cans of turpentine and gasoline and an equipment of scrubbing brushes.
1649_68762_000038_000001	Parsons, the farmer, came over to watch this novel proceeding, happy in the possession of three crisp five-dollar notes given in accordance with the agreement made with him.	Parsons, the farmer, came over to watch this novel proceeding, happy in the possession of three crisp five dollar notes given in accordance with the agreement made with him.
1649_68762_000038_000002	All day the two men scrubbed the rocks faithfully, assisted at odd times by their impatient employer; but the thick splashes of paint clung desperately to the rugged surface of the rock, and the task was a hard one.	All day the two men scrubbed the rocks faithfully, assisted at odd times by their impatient employer; but the thick splashes of paint clung desperately to the rugged surface of the rock, and the task was a hard one.
