4133_6541_000001_000001	To-night Ponting has photographed the hand.	To night Ponting has photographed the hand.
4133_6541_000002_000000	As I expected, some amendment of Atkinson's tale as written last night is necessary, partly due to some lack of coherency in the tale as first told and partly a reconsideration of the circumstances by Atkinson himself.	As I expected, some amendment of Atkinson's tale as written last night is necessary, partly due to some lack of coherency in the tale as first told and partly a reconsideration of the circumstances by Atkinson himself.
4133_6541_000004_000000	He seems in this predicament to have clung to the old idea of walking up wind, and it must be considered wholly providential that on this course he next struck Tent Island.	He seems in this predicament to have clung to the old idea of walking up wind, and it must be considered wholly providential that on this course he next struck Tent Island.
4133_6541_000004_000003	The distance of Tent Island, 4 to 5 miles, partly accounts for the time he took in returning.	The distance of Tent Island, four to five miles, partly accounts for the time he took in returning.
4133_6541_000005_000000	For some time past some of the ponies have had great irritation of the skin.	For some time past some of the ponies have had great irritation of the skin.
4133_6541_000006_000001	A dilute solution of carbolic is expected to rid the poor beasts of their pests, but meanwhile one or two of them have rubbed off patches of hair which they can ill afford to spare in this climate.	A dilute solution of carbolic is expected to rid the poor beasts of their pests, but meanwhile one or two of them have rubbed off patches of hair which they can ill afford to spare in this climate.
4133_6541_000008_000002	Frostbiting weather!	Frostbiting weather!
4133_6541_000009_000002	A new pair of sealskin overshoes for ski made by Evans seem to be a complete success.	A new pair of sealskin overshoes for ski made by Evans seem to be a complete success.
4133_6541_000009_000004	I am very pleased with this arrangement.	I am very pleased with this arrangement.
4133_6541_000010_000000	I find it exceedingly difficult to settle down to solid work just at present and keep putting off the tasks which I have set myself.	I find it exceedingly difficult to settle down to solid work just at present and keep putting off the tasks which I have set myself.
4133_6541_000014_000000	I was the victim of a very curious illusion to-day.	I was the victim of a very curious illusion to day.
4133_6541_000014_000001	On our small heating stove stands a cylindrical ice melter which keeps up the supply of water necessary for the dark room and other scientific instruments.	On our small heating stove stands a cylindrical ice melter which keeps up the supply of water necessary for the dark room and other scientific instruments.
4133_6541_000016_000000	Apropos.	Apropos.
4133_6541_000019_000001	It was my turn for duty on Saturday night, and on the occasions when I had to step out of doors I was struck with the impossibility of enduring such conditions for any length of time.	It was my turn for duty on Saturday night, and on the occasions when I had to step out of doors I was struck with the impossibility of enduring such conditions for any length of time.
4133_6541_000019_000004	Twice whilst engaged in this task I had literally to lean against the wind with head bent and face averted and so stagger crab-like on my course.	Twice whilst engaged in this task I had literally to lean against the wind with head bent and face averted and so stagger crab like on my course.
4133_6541_000019_000005	In those two days of really terrible weather our thoughts often turned to absentees at Cape Crozier with the devout hope that they may be safely housed.	In those two days of really terrible weather our thoughts often turned to absentees at Cape Crozier with the devout hope that they may be safely housed.
4133_6541_000020_000000	They are certain to have been caught by this gale, but I trust before it reached them they had managed to get up some sort of shelter.	They are certain to have been caught by this gale, but I trust before it reached them they had managed to get up some sort of shelter.
4133_6541_000021_000000	To-day with the temperature at zero one can walk about outside without inconvenience in spite of a 50-mile wind.	To day with the temperature at zero one can walk about outside without inconvenience in spite of a fifty-mile wind.
4133_6541_000022_000002	This is the fourth day of gale; if one reflects on the quantity of transported air (nearly 4,000 miles) one gets a conception of the transference which such a gale effects and must conclude that potentially warm upper currents are pouring into our polar area from more temperate sources.	This is the fourth day of gale; if one reflects on the quantity of transported air (nearly four thousand miles) one gets a conception of the transference which such a gale effects and must conclude that potentially warm upper currents are pouring into our polar area from more temperate sources.
4133_6541_000023_000003	It was so warm that I could have slept very comfortably.	It was so warm that I could have slept very comfortably.
4133_6541_000024_000000	I have been amused and pleased lately in observing the manners and customs of the persons in charge of our stores; quite a number of secret caches exist in which articles of value are hidden from public knowledge so that they may escape use until a real necessity arises.	I have been amused and pleased lately in observing the manners and customs of the persons in charge of our stores; quite a number of secret caches exist in which articles of value are hidden from public knowledge so that they may escape use until a real necessity arises.
4133_6541_000024_000001	The policy of every storekeeper is to have something up his sleeve for a rainy day.	The policy of every storekeeper is to have something up his sleeve for a rainy day.
4133_6541_000024_000002	For instance, Evans (P.O.), after thoroughly examining the purpose of some individual who is pleading for a piece of canvas, will admit that he may have a small piece somewhere which could be used for it, when, as a matter of fact, he possesses quite a number of rolls of that material.	For instance, Evans (p o), after thoroughly examining the purpose of some individual who is pleading for a piece of canvas, will admit that he may have a small piece somewhere which could be used for it, when, as a matter of fact, he possesses quite a number of rolls of that material.
4133_6541_000025_000000	Tools, metal material, leather, straps and dozens of items are administered with the same spirit of jealous guardianship by Day, Lashly, Oates and Meares, while our main storekeeper Bowers even affects to bemoan imaginary shortages.	Tools, metal material, leather, straps and dozens of items are administered with the same spirit of jealous guardianship by Day, Lashly, Oates and Meares, while our main storekeeper Bowers even affects to bemoan imaginary shortages.
4133_6541_000026_000002	It would be hardly possible for a tearing, raging wind to make itself more visible.	It would be hardly possible for a tearing, raging wind to make itself more visible.
4133_6541_000028_000000	The snow is so hard blown that only the fiercest gusts raise the drifting particles--it is interesting to note the balance of nature whereby one evil is eliminated by the excess of another.	The snow is so hard blown that only the fiercest gusts raise the drifting particles-it is interesting to note the balance of nature whereby one evil is eliminated by the excess of another.
