7981_112061_000001_000000	Chapter 8 AT COURT	Chapter eight AT COURT
7981_112061_000003_000000	Some remarks made by the King during his illness and certain other words of Vincent's were remembered by the Queen, Anne of Austria, who had been left Regent during the minority of her son.	Some remarks made by the King during his illness and certain other words of Vincent's were remembered by the Queen, Anne of Austria, who had been left Regent during the minority of her son.
7981_112061_000003_000003	She was a good-natured woman, quite ready to do right when it was not too inconvenient, and it was clear to her that of late years bishoprics and abbeys had been too often given to most unworthy persons.	She was a good-natured woman, quite ready to do right when it was not too inconvenient, and it was clear to her that of late years bishoprics and abbeys had been too often given to most unworthy persons.
7981_112061_000003_000004	In France the Crown was almost supreme in such matters; the Queen therefore determined to appoint a "Council of Conscience" consisting of five members, whose business it would be to help her with advice as to ecclesiastical preferment.	In France the Crown was almost supreme in such matters; the Queen therefore determined to appoint a "Council of Conscience" consisting of five members, whose business it would be to help her with advice as to ecclesiastical preferment.
7981_112061_000005_000004	Well did Vincent know that he was no match for such a diplomatist; but having once realized that the duty must be undertaken, he determined that there should be no flinching.	Well did Vincent know that he was no match for such a diplomatist; but having once realized that the duty must be undertaken, he determined that there should be no flinching.
7981_112061_000006_000000	He went to Court in the old cassock in which he went about his daily work, and which was probably the only one he had.	He went to Court in the old cassock in which he went about his daily work, and which was probably the only one he had.
7981_112061_000007_000000	"Why not?" replied Vincent quietly; "it is neither stained nor torn."	"Why not?" replied Vincent quietly; "it is neither stained nor torn."
7981_112061_000008_000002	"A nice clodhopper you are!" he said amiably to his own reflection, and passed on, smiling.	"A nice clodhopper you are!" he said amiably to his own reflection, and passed on, smiling.
7981_112061_000010_000001	Nearly all the priests of Paris had passed through his hands at the ordination retreats and those who belonged to the "Tuesday Conferences" were intimately known to him.	Nearly all the priests of Paris had passed through his hands at the ordination retreats and those who belonged to the "Tuesday Conferences" were intimately known to him.
7981_112061_000010_000002	Who could be better fitted to select those who were suitable for preferment?	Who could be better fitted to select those who were suitable for preferment?
7981_112061_000010_000004	Certain reforms on which Vincent insisted were not to his mind either, although he offered no opposition.	Certain reforms on which Vincent insisted were not to his mind either, although he offered no opposition.
7981_112061_000011_000000	In the meantime it began to dawn upon the public that the Superior of St. Lazare was for the moment a man of influence.	In the meantime it began to dawn upon the public that the Superior of st Lazare was for the moment a man of influence.
7981_112061_000012_000000	Vincent's reception of these proposals was disconcerting.	Vincent's reception of these proposals was disconcerting.
7981_112061_000012_000001	"God forbid!" he would cry indignantly.	"God forbid!" he would cry indignantly.
7981_112061_000013_000000	Some would come with a recommendation from the Queen herself, which made things doubly embarrassing; but in spite of everything Vincent remained faithful to his first determination to choose for bishoprics no priests save those worthy of the position by reason of their virtue and learning.	Some would come with a recommendation from the Queen herself, which made things doubly embarrassing; but in spite of everything Vincent remained faithful to his first determination to choose for bishoprics no priests save those worthy of the position by reason of their virtue and learning.
7981_112061_000015_000000	"You are an old lunatic," said a young man who had been refused a benefice through Vincent's agency.	"You are an old lunatic," said a young man who had been refused a benefice through Vincent's agency.
7981_112061_000016_000000	"You are quite right," was the only answer, accompanied by a good-natured smile.	"You are quite right," was the only answer, accompanied by a good-natured smile.
7981_112061_000017_000000	Another day a gentleman who had come to recommend his son for a bishopric was so angry when Vincent explained that he did not see his way to grant his request that he answered the "impertinent peasant" with a blow.	Another day a gentleman who had come to recommend his son for a bishopric was so angry when Vincent explained that he did not see his way to grant his request that he answered the "impertinent peasant" with a blow.
7981_112061_000017_000001	Vincent, without the slightest allusion to this treatment, quietly escorted him downstairs and saw him into his carriage.	Vincent, without the slightest allusion to this treatment, quietly escorted him downstairs and saw him into his carriage.
7981_112061_000018_000001	Catching her royal mistress in an unguarded moment, this lady succeeded in inducing the Queen to promise the bishopric of Poitiers to her son, a young man of very bad character.	Catching her royal mistress in an unguarded moment, this lady succeeded in inducing the Queen to promise the bishopric of Poitiers to her son, a young man of very bad character.
