93_124557_000001_000000	1.	one.
93_124557_000001_000001	The Master said, Love makes a spot beautiful: who chooses not to dwell in love, has he got wisdom?	The Master said, Love makes a spot beautiful: who chooses not to dwell in love, has he got wisdom?
93_124557_000002_000001	The Master said, Loveless men cannot bear need long, they cannot bear fortune long.	The Master said, Loveless men cannot bear need long, they cannot bear fortune long.
93_124557_000003_000000	3.	three.
93_124557_000005_000000	5.	five.
93_124557_000007_000000	6.	six.
93_124557_000008_000001	The Master said, A man and his faults are of a piece.	The Master said, A man and his faults are of a piece.
93_124557_000008_000002	By watching his faults we learn whether love be his.	By watching his faults we learn whether love be his.
93_124557_000009_000000	8.	eight.
93_124557_000010_000000	9.	nine.
93_124557_000012_000000	10.	ten.
93_124557_000012_000002	He follows right.	He follows right.
93_124557_000013_000000	11.	eleven.
93_124557_000014_000000	12.	twelve.
93_124557_000014_000001	The Master said, The chase of gain is rich in hate.	The Master said, The chase of gain is rich in hate.
93_124557_000015_000000	13.	thirteen.
93_124557_000015_000001	The Master said, What is it to sway a kingdom by courteous yielding?	The Master said, What is it to sway a kingdom by courteous yielding?
93_124557_000016_000000	14.	fourteen.
93_124557_000017_000000	15.	fifteen.
93_124557_000019_000000	Yes, said Tseng-tzu.	Yes, said Tseng tzu.
93_124557_000020_000000	After the Master had left, the disciples asked what was meant.	After the Master had left, the disciples asked what was meant.
93_124557_000022_000000	16.	sixteen.
93_124557_000024_000000	18.	eighteen.
93_124557_000025_000000	19.	nineteen.
93_124557_000025_000002	If thou must travel, hold a set course.	If thou must travel, hold a set course.
93_124557_000026_000000	20.	twenty.
93_124557_000027_000000	21.	twenty one.
93_124557_000029_000000	23.	twenty three.
93_124557_000030_000000	24.	twenty four.
93_124557_000031_000000	25.	twenty five.
