1445_139387_000000_000000	CHAPTER 6 -- Swimming in Glory	CHAPTER six -- Swimming in Glory	false	23.055	26.49	24.139408
1445_139387_000001_000000	_Let us endeavor so to live that when we come to die even the undertaker will be sorry._ --Pudd'nhead Wilson's Calendar	underscore Let us endeavor so to live that when we come to die even the undertaker will be sorry.underscore --Pudd'nhead Wilson's Calendar	false	26.49	40.71	17.931097
1445_139387_000002_000000	_Habit is habit, and not to be flung out of the window by any man, but coaxed downstairs a step at a time._ --Pudd'nhead Wilson's Calendar	underscore Habit is habit, and not to be flung out of the window by any man, but coaxed downstairs a step at a time.underscore --Pudd'nhead Wilson's Calendar	false	40.71	57.1	17.303017
1445_139387_000003_000000	At breakfast in the morning, the twins' charm of manner and easy and polished bearing made speedy conquest of the family's good graces.	At breakfast in the morning, the twins' charm of manner and easy and polished bearing made speedy conquest of the family's good graces.	true	59.87	71.17	16
1445_139387_000003_000001	All constraint and formality quickly disappeared, and the friendliest feeling succeeded.	All constraint and formality quickly disappeared, and the friendliest feeling succeeded.	true	72.08	78.82	18
1445_139387_000003_000002	Aunt Patsy called them by their Christian names almost from the beginning.	Aunt Patsy called them by their Christian names almost from the beginning.	true	79.52	84.37	11
1445_139387_000003_000003	She was full of the keenest curiosity about them, and showed it; they responded by talking about themselves, which pleased her greatly.	She was full of the keenest curiosity about them, and showed it; they responded by talking about themselves, which pleased her greatly.	true	85.01	94.87	17
1445_139387_000003_000004	It presently appeared that in their early youth they had known poverty and hardship.	It presently appeared that in their early youth they had known poverty and hardship.	true	96.5	102.67	18
1445_139387_000003_000005	As the talk wandered along, the old lady watched for the right place to drop in a question or two concerning that matter, and when she found it, she said to the blond twin, who was now doing the biographies in his turn while the brunette one rested:	As the talk wandered along, the old lady watched for the right place to drop in a question or two concerning that matter, and when she found it, she said to the blond twin, who was now doing the biographies in his turn while the brunette one rested:	true	103.34	121.84	19
1445_139387_000004_000000	"If it ain't asking what I ought not to ask, Mr. Angelo, how did you come to be so friendless and in such trouble when you were little?	"If it ain't asking what I ought not to ask, mr Angelo, how did you come to be so friendless and in such trouble when you were little?	true	121.85	132.13	20.569565
1445_139387_000004_000001	Do you mind telling?	Do you mind telling?	true	132.59	134.14	22
