4243_187023_000001_000000	CHAPTER 28	CHAPTER twenty eight
4243_187023_000002_000000	Chris and Amos lay belly down in a low clump of pine scrub at the top of a precipitous rocky pinnacle.	Chris and amos lay belly down in a low clump of pine scrub at the top of a precipitous rocky pinnacle.
4243_187023_000002_000001	Below them in the blistering noon lay the palace walls of the Lord of the Seven Seas, Descendant of the Sun and the Moon, Overlord of the Mountains and the Plains, Prince of all the Isles, Father of Plenty, and Brilliance-Before-Which-All-Cast-Down-Their-Eyes, the Emperor of China.	Below them in the blistering noon lay the palace walls of the Lord of the Seven Seas, Descendant of the Sun and the Moon, Overlord of the Mountains and the Plains, Prince of all the Isles, Father of Plenty, and Brilliance Before Which All Cast Down Their Eyes, the Emperor of China.
4243_187023_000003_000000	The two boys were uninterested in titles.	The two boys were uninterested in titles.
4243_187023_000003_000001	Somewhere within that city-within-a-city, inside the enormous spread of the palace walls that were surrounded in their turn by the city of Peking, lay the goal they had come so far to seek, the Jewel Tree of the Princess of China. Now, like a general planning his campaign, Chris lay looking down at the high angular walls, thinking of how he would gain entry.	Somewhere within that city within a city, inside the enormous spread of the palace walls that were surrounded in their turn by the city of Peking, lay the goal they had come so far to seek, the Jewel Tree of the Princess of China. Now, like a general planning his campaign, Chris lay looking down at the high angular walls, thinking of how he would gain entry.
4243_187023_000004_000001	He had given much thought to what he considered would be the last dangerous section of the journey, and after listening to what his master said through the shell, was permitted to take Amos on this stage of the voyage.	He had given much thought to what he considered would be the last dangerous section of the journey, and after listening to what his master said through the shell, was permitted to take amos on this stage of the voyage.
4243_187023_000004_000002	It was reasoned if something happened to Chris, Amos might be able to carry out their mission by himself.	It was reasoned if something happened to Chris, amos might be able to carry out their mission by himself.
4243_187023_000005_000000	The boys had come to Peking on camel-back, a camel made from the magic rope.	The boys had come to Peking on camel back, a camel made from the magic rope.
4243_187023_000005_000001	As Amos had never seen a real camel, he thought the rope animal quite natural, and as remarkable a creature as a real one.	As amos had never seen a real camel, he thought the rope animal quite natural, and as remarkable a creature as a real one.
4243_187023_000005_000002	Chris took care to make it or disentangle it out of Amos's sight, and so many were the strange and wonderful things to be seen, that Amos had no time to concern himself over the reality of a camel.	Chris took care to make it or disentangle it out of Amos's sight, and so many were the strange and wonderful things to be seen, that amos had no time to concern himself over the reality of a camel.
4243_187023_000006_000000	The arid countryside was blanched by the excessive heat.	The arid countryside was blanched by the excessive heat.
4243_187023_000006_000001	Flies droned over the dates and figs that the boys pulled from their pockets to eat.	Flies droned over the dates and figs that the boys pulled from their pockets to eat.
4243_187023_000006_000002	Amos wriggled with excitement as he pointed out details to Chris.	amos wriggled with excitement as he pointed out details to Chris.
4243_187023_000007_000000	"Chris!	"Chris!
4243_187023_000007_000001	Look at that procession going in the big gate!	Look at that procession going in the big gate!
4243_187023_000007_000002	All those pigtailed gentlemen dressed in embroidered coats.	All those pigtailed gentlemen dressed in embroidered coats.
4243_187023_000007_000004	No, I'd sooner have the black satin one with the dragon in red and yellow!" He looked again more closely.	No, I'd sooner have the black satin one with the dragon in red and yellow!" He looked again more closely.
4243_187023_000007_000005	"Or the one with the peacock in green and purple.	"Or the one with the peacock in green and purple.
4243_187023_000007_000006	Which would you sooner have?"	Which would you sooner have?"
4243_187023_000008_000000	Chris paid little attention to Amos's exclamations.	Chris paid little attention to Amos's exclamations.
4243_187023_000008_000001	Leaning on his elbows and looking at the scene below, his mind worked busily on these last vital problems.	Leaning on his elbows and looking at the scene below, his mind worked busily on these last vital problems.
4243_187023_000008_000002	But Amos was not waiting for an answer.	But amos was not waiting for an answer.
4243_187023_000008_000003	His mind was on the present moment and the present scene, forgetful of what lay ahead of them, a few hours away.	His mind was on the present moment and the present scene, forgetful of what lay ahead of them, a few hours away.
4243_187023_000008_000004	He chattered on.	He chattered on.
4243_187023_000009_000000	"I like their funny black hats and droopy mustaches.	"I like their funny black hats and droopy mustaches.
4243_187023_000009_000001	Why don't they look like us, Chris?" he asked.	Why don't they look like us, Chris?" he asked.
4243_187023_000009_000002	And then, "Who-all's in the curtained stretcher they're carrying?"	And then, "Who all's in the curtained stretcher they're carrying?"
4243_187023_000011_000000	"It's a palanquin, Amos.	"It's a palanquin, amos.
4243_187023_000011_000001	They carry dignitaries in them."	They carry dignitaries in them."
4243_187023_000012_000000	"Hate to be a dignitary in all this heat," Amos said, unenviously. "What are they doing now?" he enquired, and both boys parted the prickly pine needles to look out and down.	"Hate to be a dignitary in all this heat," amos said, unenviously. "What are they doing now?" he enquired, and both boys parted the prickly pine needles to look out and down.
4243_187023_000013_000000	The leader of the procession rapped three times on the great gate with a gold staff.	The leader of the procession rapped three times on the great gate with a gold staff.
4243_187023_000013_000001	Sentinels and guards came forward, walking on the broad gate top, and after talking with the members of the procession, turned to give an order.	Sentinels and guards came forward, walking on the broad gate top, and after talking with the members of the procession, turned to give an order.
4243_187023_000015_000000	Gaily dressed trumpeters with dragon masks on the visors of their helmets raised long brass trumpets.	Gaily dressed trumpeters with dragon masks on the visors of their helmets raised long brass trumpets.
4243_187023_000015_000003	Sixteen men came into sight, eight on either side, pushing wide the gates.	Sixteen men came into sight, eight on either side, pushing wide the gates.
4243_187023_000016_000000	"Gee!	"Gee!
4243_187023_000016_000001	Imagine the weight of those doors!" Chris murmured, and taking out his spyglass looked through it.	Imagine the weight of those doors!" Chris murmured, and taking out his spyglass looked through it.
4243_187023_000016_000002	"Golly Moses!" he exclaimed.	"Golly Moses!" he exclaimed.
4243_187023_000016_000003	"Take a look, Amos.	"Take a look, amos.
4243_187023_000016_000004	Those gates are made of bronze, nearly three feet thick!	Those gates are made of bronze, nearly three feet thick!
4243_187023_000016_000005	And now they have the gates open, look at the depth of the walls.	And now they have the gates open, look at the depth of the walls.
4243_187023_000017_000000	The waiting procession, the richly dressed courtiers and curtained palanquin, moved inside and the gates were slowly pulled close by lines of men dragging at ropes and chains to shut them.	The waiting procession, the richly dressed courtiers and curtained palanquin, moved inside and the gates were slowly pulled close by lines of men dragging at ropes and chains to shut them.
4243_187023_000017_000001	From within the main gate drifted out the sound, becoming fainter and fainter, of other trumpets sounding the order for the opening of other gates.	From within the main gate drifted out the sound, becoming fainter and fainter, of other trumpets sounding the order for the opening of other gates.
4243_187023_000018_000001	"Ten walls and ten gates--at the very least!	"Ten walls and ten gates-at the very least!
4243_187023_000018_000002	'Course we don't know--" He rolled his worried eyes toward Chris, "We don't know whether those folks got to the Emperor or not.	'Course we don't know-" He rolled his worried eyes toward Chris, "We don't know whether those folks got to the Emperor or not.
4243_187023_000018_000003	Likely he's in behind a couple more walls, just to be on the safe side." He searched his friend's face. "How are we going past all that many guards and trumpets, Chris?	Likely he's in behind a couple more walls, just to be on the safe side." He searched his friend's face. "How are we going past all that many guards and trumpets, Chris?
4243_187023_000019_000000	Amos need not have been so concerned, for Chris had a good plan.	amos need not have been so concerned, for Chris had a good plan.
4243_187023_000019_000001	But just at that moment the heat overcame Chris.	But just at that moment the heat overcame Chris.
4243_187023_000019_000002	Putting his head down on his arms, he slept.	Putting his head down on his arms, he slept.
4243_187023_000020_000000	Amos slept too, and it must have been several hours later that the rising sound of a crowd talking and laughing with excitement penetrated their sleep and brought them to consciousness.	amos slept too, and it must have been several hours later that the rising sound of a crowd talking and laughing with excitement penetrated their sleep and brought them to consciousness.
4243_187023_000020_000001	For a moment they both lay rubbing their eyes and peering out.	For a moment they both lay rubbing their eyes and peering out.
4243_187023_000020_000002	Then they realized, by the growing crowd on either side of the palace gate and along the narrow street leading away from it, that someone of importance was about to come from the palace and parade through the streets of Peking.	Then they realized, by the growing crowd on either side of the palace gate and along the narrow street leading away from it, that someone of importance was about to come from the palace and parade through the streets of Peking.
4243_187023_000021_000001	Boys climbed upon one another's shoulders, teakwood stools were brought for the richer people to stand on, and along the street that led away to the right around the palace walls, Chris and Amos could see embroidered silks hung from all the windows, and Chinese people in their best holiday clothes laughing excitedly.	Boys climbed upon one another's shoulders, teakwood stools were brought for the richer people to stand on, and along the street that led away to the right around the palace walls, Chris and amos could see embroidered silks hung from all the windows, and Chinese people in their best holiday clothes laughing excitedly.
4243_187023_000021_000002	All were looking toward the gates, and at last, from far within, even more distantly than before, came the first sound of trumpets.	All were looking toward the gates, and at last, from far within, even more distantly than before, came the first sound of trumpets.
4243_187023_000021_000003	These had a sweeter, clearer sound than those the boys had heard at noon.	These had a sweeter, clearer sound than those the boys had heard at noon.
4243_187023_000022_000000	"Never heard a sweeter note," Amos said.	"Never heard a sweeter note," amos said.
4243_187023_000025_000000	The trumpeters atop the great outer gates were now differently dressed, and there were not two but a dozen lined along the deep palace walls.	The trumpeters atop the great outer gates were now differently dressed, and there were not two but a dozen lined along the deep palace walls.
4243_187023_000025_000002	As they were blown, the final gates were pushed aside.	As they were blown, the final gates were pushed aside.
4243_187023_000026_000000	A long procession emerged of such fantasy and variety of color that the two boys were spellbound.	A long procession emerged of such fantasy and variety of color that the two boys were spellbound.
4243_187023_000026_000001	Elephants and camels, llamas and horses, all richly caparisoned in Eastern silks, passed along with their riders.	Elephants and camels, llamas and horses, all richly caparisoned in Eastern silks, passed along with their riders.
4243_187023_000026_000002	Guards with curved swords and many-thonged whips formed a double hedge between those in the procession and the bystanders.	Guards with curved swords and many thonged whips formed a double hedge between those in the procession and the bystanders.
4243_187023_000026_000003	Still others led leopards and black panthers on chains as an added protection to those they guarded.	Still others led leopards and black panthers on chains as an added protection to those they guarded.
4243_187023_000026_000004	Palanquin after palanquin passed by, but still the crowd seemed to be waiting for something.	Palanquin after palanquin passed by, but still the crowd seemed to be waiting for something.
4243_187023_000028_000000	Then, as the silver trumpets continued their sweet lingering notes, a murmur arose from the crowd.	Then, as the silver trumpets continued their sweet lingering notes, a murmur arose from the crowd.
4243_187023_000028_000001	Four lines of youths preceded a palanquin more finely decked than the rest, and the murmur rose.	Four lines of youths preceded a palanquin more finely decked than the rest, and the murmur rose.
4243_187023_000028_000002	After it came four lines of Chinese girls, fanning the air with peacock fans on long staves, fans of white egret feathers, and ostrich plumes dyed a yellow gold.	After it came four lines of Chinese girls, fanning the air with peacock fans on long staves, fans of white egret feathers, and ostrich plumes dyed a yellow gold.
4243_187023_000030_000000	"Amos!" Chris breathed, "That color!	"amos!" Chris breathed, "That color!
4243_187023_000030_000001	Yellow is the royal color of China!"	Yellow is the royal color of China!"
