1639_133290_000000_000000	Principal Causes Which Tend To Maintain The Democratic Republic In The United States	Principal Causes Which Tend To Maintain The Democratic Republic In The United States	false	28.905	38.14	19.447697
1639_133290_000001_000000	A democratic republic subsists in the United States, and the principal object of this book has been to account for the fact of its existence. Several of the causes which contribute to maintain the institutions of America have been involuntarily passed by or only hinted at as I was borne along by my subject.	A democratic republic subsists in the United States, and the principal object of this book has been to account for the fact of its existence. Several of the causes which contribute to maintain the institutions of America have been involuntarily passed by or only hinted at as I was borne along by my subject.	true	40.97	58.09	18
1639_133290_000001_000001	Others I have been unable to discuss, and those on which I have dwelt most are, as it were, buried in the details of the former parts of this work.	Others I have been unable to discuss, and those on which I have dwelt most are, as it were, buried in the details of the former parts of this work.	true	58.25	66.28	18
1639_133290_000001_000002	I think, therefore, that before I proceed to speak of the future, I cannot do better than collect within a small compass the reasons which best explain the present.	I think, therefore, that before I proceed to speak of the future, I cannot do better than collect within a small compass the reasons which best explain the present.	true	66.41	75.16	17
1639_133290_000001_000003	In this retrospective chapter I shall be succinct, for I shall take care to remind the reader very summarily of what he already knows; and I shall only select the most prominent of those facts which I have not yet pointed out.	In this retrospective chapter one shall be succinct, for I shall take care to remind the reader very summarily of what he already knows; and I shall only select the most prominent of those facts which I have not yet pointed out.	false	75.35	87.67	18
1639_133290_000002_000000	All the causes which contribute to the maintenance of the democratic republic in the United States are reducible to three heads:--	All the causes which contribute to the maintenance of the democratic republic in the United States are reducible to three heads:--	true	89.12	96	15
1639_133290_000003_000000	I.	I.	false	96	97.53	20.41982
1639_133290_000003_000001	The peculiar and accidental situation in which Providence has placed the Americans.	The peculiar and accidental situation in which Providence has placed the Americans.	true	97.53	102.33	11
1639_133290_000004_000000	II.	two.	false	102.33	103.65	16.100271
1639_133290_000004_000001	The laws.	The laws.	true	103.65	104.65	18.733488
1639_133290_000005_000000	III.	three.	true	104.96	105.66	18.472544
1639_133290_000005_000001	The manners and customs of the people.	The manners and customs of the people.	true	105.66	107.71	17
1639_133290_000006_000000	Accidental Or Providential Causes Which Contribute To The Maintenance Of The Democratic Republic In The United States The Union has no neighbors--No metropolis--The Americans have had the chances of birth in their favor--America an empty country--How this circumstance contributes powerfully to the maintenance of the democratic republic in America--How the American wilds are peopled--Avidity of the Anglo-Americans in taking possession of the solitudes of the New World--Influence of physical prosperity upon the political opinions of the Americans.	Accidental Or Providential Causes Which Contribute To The Maintenance Of The Democratic Republic In The United States The Union has no neighbors-No metropolis-The Americans have had the chances of birth in their favor-America an empty country-How this circumstance contributes powerfully to the maintenance of the democratic republic in America-How the American wilds are peopled-Avidity of the Anglo Americans in taking possession of the solitudes of the New World-Influence of physical prosperity upon the political opinions of the Americans.	true	108.5	141.19	19.497293
1639_133290_000007_000000	A thousand circumstances, independent of the will of man, concur to facilitate the maintenance of a democratic republic in the United States.	A thousand circumstances, independent of the will of man, concur to facilitate the maintenance of a democratic republic in the United States.	true	142.85	150.94	16
1639_133290_000007_000001	Some of these peculiarities are known, the others may easily be pointed out; but I shall confine myself to the most prominent amongst them.	Some of these peculiarities are known, the others may easily be pointed out; but I shall confine myself to the most prominent amongst them.	true	151.25	158.98	20.34638
1639_133290_000008_000000	The Americans have no neighbors, and consequently they have no great wars, or financial crises, or inroads, or conquest to dread; they require neither great taxes, nor great armies, nor great generals; and they have nothing to fear from a scourge which is more formidable to republics than all these evils combined, namely, military glory.	The Americans have no neighbors, and consequently they have no great wars, or financial crises, or inroads, or conquest to dread; they require neither great taxes, nor great armies, nor great generals; and they have nothing to fear from a scourge which is more formidable to republics than all these evils combined, namely, military glory.	true	162.32	184.57	20
1639_133290_000008_000001	It is impossible to deny the inconceivable influence which military glory exercises upon the spirit of a nation.	It is impossible to deny the inconceivable influence which military glory exercises upon the spirit of a nation.	true	184.97	192.19	13
1639_133290_000008_000002	General Jackson, whom the Americans have twice elected to the head of their Government, is a man of a violent temper and mediocre talents; no one circumstance in the whole course of his career ever proved that he is qualified to govern a free people, and indeed the majority of the enlightened classes of the Union has always been opposed to him.	General Jackson, whom the Americans have twice elected to the head of their Government, is a man of a violent temper and mediocre talents; no one circumstance in the whole course of his career ever proved that he is qualified to govern a free people, and indeed the majority of the enlightened classes of the Union has always been opposed to him.	true	192.47	211.9	18
1639_133290_000008_000003	But he was raised to the Presidency, and has been maintained in that lofty station, solely by the recollection of a victory which he gained twenty years ago under the walls of New Orleans, a victory which was, however, a very ordinary achievement, and which could only be remembered in a country where battles are rare.	But he was raised to the Presidency, and has been maintained in that lofty station, solely by the recollection of a victory which he gained twenty years ago under the walls of New Orleans, a victory which was, however, a very ordinary achievement, and which could only be remembered in a country where battles are rare.	true	212.03	228.43	15
1639_133290_000008_000004	Now the people which is thus carried away by the illusions of glory is unquestionably the most cold and calculating, the most unmilitary (if I may use the expression), and the most prosaic of all the peoples of the earth.	Now the people which is thus carried away by the illusions of glory is unquestionably the most cold and calculating, the most unmilitary (if I may use the expression), and the most prosaic of all the peoples of the earth.	true	228.83	242.29	20.697153
1639_133290_000009_000000	America has no great capital *a city, whose influence is directly or indirectly felt over the whole extent of the country, which I hold to be one of the first causes of the maintenance of republican institutions in the United States.	America has no great capital asterisk a city, whose influence is directly or indirectly felt over the whole extent of the country, which I hold to be one of the first causes of the maintenance of republican institutions in the United States.	false	243.14	255.52	16
1639_133290_000009_000001	In cities men cannot be prevented from concerting together, and from awakening a mutual excitement which prompts sudden and passionate resolutions.	In cities men cannot be prevented from concerting together, and from awakening a mutual excitement which prompts sudden and passionate resolutions.	true	255.71	263.83	18
1639_133290_000009_000002	Cities may be looked upon as large assemblies, of which all the inhabitants are members; their populace exercises a prodigious influence upon the magistrates, and frequently executes its own wishes without their intervention.	Cities may be looked upon as large assemblies, of which all the inhabitants are members; their populace exercises a prodigious influence upon the magistrates, and frequently executes its own wishes without their intervention.	false	263.93	276.42	16
1639_133290_000010_000000	[Footnote a: The United States have no metropolis, but they already contain several very large cities.	[Footnote a: The United States have no metropolis, but they already contain several very large cities.	false	276.42	276.72	19.227688
1639_133290_000010_000001	Philadelphia reckoned 161,000 inhabitants and New York 202,000 in the year 1830.	Philadelphia reckoned one hundred sixty one thousand inhabitants and New York two hundred two thousand in the year eighteen thirty.	false	276.72	277.14	-20
1639_133290_000010_000002	The lower orders which inhabit these cities constitute a rabble even more formidable than the populace of European towns.	The lower orders which inhabit these cities constitute a rabble even more formidable than the populace of European towns.	false	277.14	277.53	-20
1639_133290_000010_000003	They consist of freed blacks in the first place, who are condemned by the laws and by public opinion to a hereditary state of misery and degradation.	They consist of freed blacks in the first place, who are condemned by the laws and by public opinion to a hereditary state of misery and degradation.	false	277.53	278.07	100
1639_133290_000010_000004	They also contain a multitude of Europeans who have been driven to the shores of the New World by their misfortunes or their misconduct; and these men inoculate the United States with all our vices, without bringing with them any of those interests which counteract their baneful influence.	They also contain a multitude of Europeans who have been driven to the shores of the New World by their misfortunes or their misconduct; and these men inoculate the United States with all our vices, without bringing with them any of those interests which counteract their baneful influence.	false	278.07	278.07	
1639_133290_000010_000005	As inhabitants of a country where they have no civil rights, they are ready to turn all the passions which agitate the community to their own advantage; thus, within the last few months serious riots have broken out in Philadelphia and in New York.	As inhabitants of a country where they have no civil rights, they are ready to turn all the passions which agitate the community to their own advantage; thus, within the last few months serious riots have broken out in Philadelphia and in New York.	false	278.07	278.07	
1639_133290_000010_000006	Disturbances of this kind are unknown in the rest of the country, which is nowise alarmed by them, because the population of the cities has hitherto exercised neither power nor influence over the rural districts.	Disturbances of this kind are unknown in the rest of the country, which is nowise alarmed by them, because the population of the cities has hitherto exercised neither power nor influence over the rural districts.	false	278.07	278.07	
1639_133290_000010_000007	Nevertheless, I look upon the size of certain American cities, and especially on the nature of their population, as a real danger which threatens the future security of the democratic republics of the New World; and I venture to predict that they will perish from this circumstance unless the government succeeds in creating an armed force, which, whilst it remains under the control of the majority of the nation, will be independent of the town population, and able to repress its excesses.	Nevertheless, I look upon the size of certain American cities, and especially on the nature of their population, as a real danger which threatens the future security of the democratic republics of the New World; and I venture to predict that they will perish from this circumstance unless the government succeeds in creating an armed force, which, whilst it remains under the control of the majority of the nation, will be independent of the town population, and able to repress its excesses.	false	278.07	278.07	
1639_133290_000011_000000	[The population of the city of New York had risen, in 1870, to 942,292, and that of Philadelphia to 674,022.	[The population of the city of New York had risen, in eighteen seventy, to nine hundred forty two thousand two hundred ninety two, and that of Philadelphia to six hundred seventy four thousand twenty two.	false	278.07	278.07	
1639_133290_000011_000001	Brooklyn, which may be said to form part of New York city, has a population of 396,099, in addition to that of New York.	Brooklyn, which may be said to form part of New York city, has a population of three hundred ninety six thousand ninety nine, in addition to that of New York.	false	278.07	278.07	
1639_133290_000011_000002	The frequent disturbances in the great cities of America, and the excessive corruption of their local governments--over which there is no effectual control--are amongst the greatest evils and dangers of the country.]]	The frequent disturbances in the great cities of America, and the excessive corruption of their local governments-over which there is no effectual control-are amongst the greatest evils and dangers of the country.]]	false	278.07	278.07	
1639_133290_000012_000000	To subject the provinces to the metropolis is therefore not only to place the destiny of the empire in the hands of a portion of the community, which may be reprobated as unjust, but to place it in the hands of a populace acting under its own impulses, which must be avoided as dangerous.	To subject the provinces to the metropolis is therefore not only to place the destiny of the empire in the hands of a portion of the community, which may be reprobated as unjust, but to place it in the hands of a populace acting under its own impulses, which must be avoided as dangerous.	false	278.07	294.1	15
1639_133290_000012_000001	The preponderance of capital cities is therefore a serious blow upon the representative system, and it exposes modern republics to the same defect as the republics of antiquity, which all perished from not having been acquainted with that form of government.	The preponderance of capital cities is therefore a serious blow upon the representative system, and it exposes modern republics to the same defect as the republics of antiquity, which all perished from not having been acquainted with that form of government.	false	294.44	308.71	16
1639_133290_000013_000000	It would be easy for me to adduce a great number of secondary causes which have contributed to establish, and which concur to maintain, the democratic republic of the United States.	It would be easy for me to adduce a great number of secondary causes which have contributed to establish, and which concur to maintain, the democratic republic of the United States.	true	309.89	319.87	17
1639_133290_000013_000001	But I discern two principal circumstances amongst these favorable elements, which I hasten to point out.	But I discern two principal circumstances amongst these favorable elements, which I hasten to point out.	true	320.18	325.96	16
1639_133290_000013_000002	I have already observed that the origin of the American settlements may be looked upon as the first and most efficacious cause to which the present prosperity of the United States may be attributed.	I have already observed that the origin of the American settlements may be looked upon as the first and most efficacious cause to which the present prosperity of the United States may be attributed.	false	326.21	335.86	16
1639_133290_000013_000003	The Americans had the chances of birth in their favor, and their forefathers imported that equality of conditions into the country whence the democratic republic has very naturally taken its rise.	The Americans had the chances of birth in their favor, and their forefathers imported that equality of conditions into the country whence the democratic republic has very naturally taken its rise.	false	336.11	346.51	20.361626
1639_133290_000013_000004	Nor was this all they did; for besides this republican condition of society, the early settler bequeathed to their descendants those customs, manners, and opinions which contribute most to the success of a republican form of government. When I reflect upon the consequences of this primary circumstance, methinks I see the destiny of America embodied in the first Puritan who landed on those shores, just as the human race was represented by the first man.	Nor was this all they did; for besides this republican condition of society, the early settler bequeathed to their descendants those customs, manners, and opinions which contribute most to the success of a republican form of government. When I reflect upon the consequences of this primary circumstance, methinks I see the destiny of America embodied in the first Puritan who landed on those shores, just as the human race was represented by the first man.	true	347.36	373.51	18
1639_133290_000014_000000	The chief circumstance which has favored the establishment and the maintenance of a democratic republic in the United States is the nature of the territory which the American inhabit.	The chief circumstance which has favored the establishment and the maintenance of a democratic republic in the United States is the nature of the territory which the American inhabit.	true	374.48	383.92	14
1639_133290_000014_000001	Their ancestors gave them the love of equality and of freedom, but God himself gave them the means of remaining equal and free, by placing them upon a boundless continent, which is open to their exertions.	Their ancestors gave them the love of equality and of freedom, but God himself gave them the means of remaining equal and free, by placing them upon a boundless continent, which is open to their exertions.	true	384.08	395.26	16
1639_133290_000014_000002	General prosperity is favorable to the stability of all governments, but more particularly of a democratic constitution, which depends upon the dispositions of the majority, and more particularly of that portion of the community which is most exposed to feel the pressure of want.	General prosperity is favorable to the stability of all governments, but more particularly of a democratic constitution, which depends upon the dispositions of the majority, and more particularly of that portion of the community which is most exposed to feel the pressure of want.	true	395.36	410.17	15
1639_133290_000014_000003	When the people rules, it must be rendered happy, or it will overturn the State, and misery is apt to stimulate it to those excesses to which ambition rouses kings.	When the people rules, it must be rendered happy, or it will overturn the State, and misery is apt to stimulate it to those excesses to which ambition rouses kings.	false	410.42	420.07	14
1639_133290_000014_000004	The physical causes, independent of the laws, which contribute to promote general prosperity, are more numerous in America than they have ever been in any other country in the world, at any other period of history.	The physical causes, independent of the laws, which contribute to promote general prosperity, are more numerous in America than they have ever been in any other country in the world, at any other period of history.	true	421.85	433.15	14
1639_133290_000014_000005	In the United States not only is legislation democratic, but nature herself favors the cause of the people.	In the United States not only is legislation democratic, but nature herself favors the cause of the people.	true	433.25	439.63	19.460981
1639_133290_000015_000000	In what part of human tradition can be found anything at all similar to that which is occurring under our eyes in North America?	In what part of human tradition can be found anything at all similar to that which is occurring under our eyes in North America?	true	440.09	446.83	14
1639_133290_000015_000001	The celebrated communities of antiquity were all founded in the midst of hostile nations, which they were obliged to subjugate before they could flourish in their place.	The celebrated communities of antiquity were all founded in the midst of hostile nations, which they were obliged to subjugate before they could flourish in their place.	true	446.99	456.16	17
1639_133290_000015_000002	Even the moderns have found, in some parts of South America, vast regions inhabited by a people of inferior civilization, but which occupied and cultivated the soil.	Even the moderns have found, in some parts of South America, vast regions inhabited by a people of inferior civilization, but which occupied and cultivated the soil.	false	456.23	465.61	16
1639_133290_000015_000003	To found their new states it was necessary to extirpate or to subdue a numerous population, until civilization has been made to blush for their success.	To found their new states it was necessary to extirpate or to subdue a numerous population, until civilization has been made to blush for their success.	true	465.74	474.04	13
1639_133290_000015_000004	But North America was only inhabited by wandering tribes, who took no thought of the natural riches of the soil, and that vast country was still, properly speaking, an empty continent, a desert land awaiting its inhabitants.	But North America was only inhabited by wandering tribes, who took no thought of the natural riches of the soil, and that vast country was still, properly speaking, an empty continent, a desert land awaiting its inhabitants.	true	474.23	486.43	17
1639_133290_000016_000000	Everything is extraordinary in America, the social condition of the inhabitants, as well as the laws; but the soil upon which these institutions are founded is more extraordinary than all the rest. When man was first placed upon the earth by the Creator, the earth was inexhaustible in its youth, but man was weak and ignorant; and when he had learned to explore the treasures which it contained, hosts of his fellow creatures covered its surface, and he was obliged to earn an asylum for repose and for freedom by the sword.	Everything is extraordinary in America, the social condition of the inhabitants, as well as the laws; but the soil upon which these institutions are founded is more extraordinary than all the rest. When man was first placed upon the earth by the Creator, the earth was inexhaustible in its youth, but man was weak and ignorant; and when he had learned to explore the treasures which it contained, hosts of his fellow creatures covered its surface, and he was obliged to earn an asylum for repose and for freedom by the sword.	true	487.58	515.47	16
1639_133290_000016_000001	At that same period North America was discovered, as if it had been kept in reserve by the Deity, and had just risen from beneath the waters of the deluge.	At that same period North America was discovered, as if it had been kept in reserve by the Deity, and had just risen from beneath the waters of the deluge.	true	515.66	524.11	20.566847
1639_133290_000017_000000	That continent still presents, as it did in the primeval time, rivers which rise from never-failing sources, green and moist solitudes, and fields which the ploughshare of the husbandman has never turned.	That continent still presents, as it did in the primeval time, rivers which rise from never failing sources, green and moist solitudes, and fields which the ploughshare of the husbandman has never turned.	true	525.29	537.22	16
1639_133290_000017_000001	In this state it is offered to man, not in the barbarous and isolated condition of the early ages, but to a being who is already in possession of the most potent secrets of the natural world, who is united to his fellow-men, and instructed by the experience of fifty centuries.	In this state it is offered to man, not in the barbarous and isolated condition of the early ages, but to a being who is already in possession of the most potent secrets of the natural world, who is united to his fellow men, and instructed by the experience of fifty centuries.	false	537.38	551.89	13
1639_133290_000017_000002	At this very time thirteen millions of civilized Europeans are peaceably spreading over those fertile plains, with whose resources and whose extent they are not yet themselves accurately acquainted.	At this very time thirteen millions of civilized Europeans are peaceably spreading over those fertile plains, with whose resources and whose extent they are not yet themselves accurately acquainted.	true	552.11	563.23	17
1639_133290_000017_000003	Three or four thousand soldiers drive the wandering races of the aborigines before them; these are followed by the pioneers, who pierce the woods, scare off the beasts of prey, explore the courses of the inland streams, and make ready the triumphal procession of civilization across the waste.	Three or four thousand soldiers drive the wandering races of the aborigines before them; these are followed by the pioneers, who pierce the woods, scare off the beasts of prey, explore the courses of the inland streams, and make ready the triumphal procession of civilization across the waste.	true	563.84	580.81	15
1639_133290_000018_000000	The favorable influence of the temporal prosperity of America upon the institutions of that country has been so often described by others, and adverted to by myself, that I shall not enlarge upon it beyond the addition of a few facts.	The favorable influence of the temporal prosperity of America upon the institutions of that country has been so often described by others, and adverted to by myself, that I shall not enlarge upon it beyond the addition of a few facts.	true	582.65	595.51	15
1639_133290_000018_000001	An erroneous notion is generally entertained that the deserts of America are peopled by European emigrants, who annually disembark upon the coasts of the New World, whilst the American population increases and multiplies upon the soil which its forefathers tilled.	An erroneous notion is generally entertained that the deserts of America are peopled by European emigrants, who annually disembark upon the coasts of the New World, whilst the American population increases and multiplies upon the soil which its forefathers tilled.	true	595.76	609.91	14
1639_133290_000018_000002	The European settler, however, usually arrives in the United States without friends, and sometimes without resources; in order to subsist he is obliged to work for hire, and he rarely proceeds beyond that belt of industrious population which adjoins the ocean.	The European settler, however, usually arrives in the United States without friends, and sometimes without resources; in order to subsist he is obliged to work for hire, and he rarely proceeds beyond that belt of industrious population which adjoins the ocean.	true	610.07	623.5	16
1639_133290_000018_000003	The desert cannot be explored without capital or credit; and the body must be accustomed to the rigors of a new climate before it can be exposed to the chances of forest life.	The desert cannot be explored without capital or credit; and the body must be accustomed to the rigors of a new climate before it can be exposed to the chances of forest life.	true	624.5	633.88	17
1639_133290_000018_000004	It is the Americans themselves who daily quit the spots which gave them birth to acquire extensive domains in a remote country.	It is the Americans themselves who daily quit the spots which gave them birth to acquire extensive domains in a remote country.	true	633.98	640.99	15
1639_133290_000018_000005	Thus the European leaves his cottage for the trans-Atlantic shores; and the American, who is born on that very coast, plunges in his turn into the wilds of Central America.	Thus the European leaves his cottage for the trans Atlantic shores; and the American, who is born on that very coast, plunges in his turn into the wilds of Central America.	true	641.21	650.8	14
1639_133290_000018_000006	This double emigration is incessant; it begins in the remotest parts of Europe, it crosses the Atlantic Ocean, and it advances over the solitudes of the New World.	This double emigration is incessant; it begins in the remotest parts of Europe, it crosses the Atlantic Ocean, and it advances over the solitudes of the New World.	true	650.84	660.07	15
1639_133290_000018_000007	Millions of men are marching at once towards the same horizon; their language, their religion, their manners differ, their object is the same.	Millions of men are marching at once towards the same horizon; their language, their religion, their manners differ, their object is the same.	true	660.11	667.725	15
1639_133290_000018_000008	The gifts of fortune are promised in the West, and to the West they bend their course.	The gifts of fortune are promised in the West, and to the West they bend their course.	true	667.725	671.91	15
1639_133290_000018_000009	*b	asterisk b	false	671.91	671.94	0
1639_133290_000019_000000	[Footnote b: [The number of foreign immigrants into the United States in the last fifty years (from 1820 to 1871) is stated to be 7,556,007.	[Footnote b: [The number of foreign immigrants into the United States in the last fifty years (from eighteen twenty to eighteen seventy one) is stated to be seven million five hundred fifty six thousand seven.	false	671.94	672.6	-20
