1093_132891_000001_000000	BROTHER SQUARE-TOES	BROTHER SQUARE TOES
1093_132891_000002_000000	Philadelphia	Philadelphia
1093_132891_000003_000000	If you're off to Philadelphia in the morning, You mustn't take my stories for a guide. There's little left indeed of the city you will read of, And all the folk I write about have died. Now few will understand if you mention Talleyrand, Or remember what his cunning and his skill did. And the cabmen at the wharf do not know Count Zinnendorf, Nor the Church in Philadelphia he builded.	If you're off to Philadelphia in the morning, You mustn't take my stories for a guide. There's little left indeed of the city you will read of, And all the folk I write about have died. Now few will understand if you mention Talleyrand, Or remember what his cunning and his skill did. And the cabmen at the wharf do not know Count Zinnendorf, Nor the Church in Philadelphia he builded.
1093_132891_000004_000000	It is gone, gone, gone with lost Atlantis (Never say I didn't give you warning). In Seventeen Ninety-three 'twas there for all to see, But it's not in Philadelphia this morning.	It is gone, gone, gone with lost Atlantis (Never say I didn't give you warning). In Seventeen Ninety three 'twas there for all to see, But it's not in Philadelphia this morning.
1093_132891_000006_000000	It is gone, gone, gone with Thebes the Golden (Never say I didn't give you warning). In Seventeen Ninety-four 'twas a famous dancing-floor-- But it's not in Philadelphia this morning.	It is gone, gone, gone with Thebes the Golden (Never say I didn't give you warning). In Seventeen Ninety four 'twas a famous dancing floor- But it's not in Philadelphia this morning.
1093_132891_000009_000000	Brother Square-Toes	Brother Square Toes
1093_132891_000010_000000	It was almost the end of their visit to the seaside.	It was almost the end of their visit to the seaside.
1093_132891_000010_000001	They had turned themselves out of doors while their trunks were being packed, and strolled over the Downs towards the dull evening sea.	They had turned themselves out of doors while their trunks were being packed, and strolled over the Downs towards the dull evening sea.
1093_132891_000010_000002	The tide was dead low under the chalk cliffs, and the little wrinkled waves grieved along the sands up the coast to Newhaven and down the coast to long, grey Brighton, whose smoke trailed out across the Channel.	The tide was dead low under the chalk cliffs, and the little wrinkled waves grieved along the sands up the coast to Newhaven and down the coast to long, grey Brighton, whose smoke trailed out across the Channel.
1093_132891_000011_000000	They walked to The Gap, where the cliff is only a few feet high.	They walked to The Gap, where the cliff is only a few feet high.
1093_132891_000011_000002	The Coastguard cottages are a little farther on, and an old ship's figurehead of a Turk in a turban stared at them over the wall.	The Coastguard cottages are a little farther on, and an old ship's figurehead of a Turk in a turban stared at them over the wall.
1093_132891_000011_000003	'This time tomorrow we shall be at home, thank goodness,' said Una.	'This time tomorrow we shall be at home, thank goodness,' said Una.
1093_132891_000011_000004	'I hate the sea!'	'I hate the sea!'
1093_132891_000012_000001	'The edges are the sorrowful parts.'	'The edges are the sorrowful parts.'
