373_130977_000004_000000	The Same Subject Continued (Concerning Dangers From Foreign Force and Influence)	The Same Subject Continued (Concerning Dangers From Foreign Force and Influence)
373_130977_000005_000000	For the Independent Journal.	For the Independent Journal.
373_130977_000005_000001	Wednesday, November 7, 1787	wednesday november seventh seventeen eighty seven
373_130977_000006_000000	JAY	JAY
373_130977_000007_000000	To the People of the State of New York:	To the People of the State of New York:
373_130977_000009_000000	But the safety of the people of America against dangers from FOREIGN force depends not only on their forbearing to give JUST causes of war to other nations, but also on their placing and continuing themselves in such a situation as not to INVITE hostility or insult; for it need not be observed that there are PRETENDED as well as just causes of war.	But the safety of the people of America against dangers from FOREIGN force depends not only on their forbearing to give JUST causes of war to other nations, but also on their placing and continuing themselves in such a situation as not to INVITE hostility or insult; for it need not be observed that there are PRETENDED as well as just causes of war.
373_130977_000012_000000	With them and with most other European nations we are rivals in navigation and the carrying trade; and we shall deceive ourselves if we suppose that any of them will rejoice to see it flourish; for, as our carrying trade cannot increase without in some degree diminishing theirs, it is more their interest, and will be more their policy, to restrain than to promote it.	With them and with most other European nations we are rivals in navigation and the carrying trade; and we shall deceive ourselves if we suppose that any of them will rejoice to see it flourish; for, as our carrying trade cannot increase without in some degree diminishing theirs, it is more their interest, and will be more their policy, to restrain than to promote it.
373_130977_000013_000000	In the trade to China and India, we interfere with more than one nation, inasmuch as it enables us to partake in advantages which they had in a manner monopolized, and as we thereby supply ourselves with commodities which we used to purchase from them.	In the trade to China and India, we interfere with more than one nation, inasmuch as it enables us to partake in advantages which they had in a manner monopolized, and as we thereby supply ourselves with commodities which we used to purchase from them.
373_130977_000015_000000	Spain thinks it convenient to shut the Mississippi against us on the one side, and Britain excludes us from the Saint Lawrence on the other; nor will either of them permit the other waters which are between them and us to become the means of mutual intercourse and traffic.	Spain thinks it convenient to shut the Mississippi against us on the one side, and Britain excludes us from the Saint Lawrence on the other; nor will either of them permit the other waters which are between them and us to become the means of mutual intercourse and traffic.
373_130977_000017_000001	That situation consists in the best possible state of defense, and necessarily depends on the government, the arms, and the resources of the country.	That situation consists in the best possible state of defense, and necessarily depends on the government, the arms, and the resources of the country.
373_130977_000019_000000	One government can collect and avail itself of the talents and experience of the ablest men, in whatever part of the Union they may be found.	One government can collect and avail itself of the talents and experience of the ablest men, in whatever part of the Union they may be found.
373_130977_000019_000002	It can harmonize, assimilate, and protect the several parts and members, and extend the benefit of its foresight and precautions to each.	It can harmonize, assimilate, and protect the several parts and members, and extend the benefit of its foresight and precautions to each.
373_130977_000019_000003	In the formation of treaties, it will regard the interest of the whole, and the particular interests of the parts as connected with that of the whole.	In the formation of treaties, it will regard the interest of the whole, and the particular interests of the parts as connected with that of the whole.
