2194_141235_000000_000000	He fed the course tape into the console and scowled.	He fed the course tape into the console and scowled.	false	0	4.62	18.427832
2194_141235_000000_000001	"But there was a good chunk of truth in what I said.	"But there was a good chunk of truth in what I said.	false	4.62	5.94	16
2194_141235_000000_000002	I wanted a young, fit and highly qualified biologist from recruiting.	I wanted a young, fit and highly qualified biologist from recruiting.	false	5.94	9.12	22.206291
2194_141235_000000_000003	I never thought they would find a female one--and it's too late to send her back now. Dis is no place for a woman."	I never thought they would find a female one-and it's too late to send her back now. Dis is no place for a woman."	false	9.12	14.73	24
2194_141235_000001_000000	"Why?" Brion asked, as Lea appeared in the doorway.	"Why?" Brion asked, as Lea appeared in the doorway.	false	14.73	17.04	18
2194_141235_000002_000000	"Come inside, and I'll show you both," Ihjel said.	"Come inside, and I'll show you both," Ihjel said.	false	17.04	20.34	19.60247
2194_141235_000003_000000	V	V	false	20.34	20.715	13
2194_141235_000004_000000	"Dis," Ihjel said, consulting a thick file, "third planet out from its primary, Epsilon Eridani.	"Dis," Ihjel said, consulting a thick file, "third planet out from its primary, Epsilon Eridani.	false	20.715	27.76	19
2194_141235_000004_000001	The fourth planet is Nyjord--remember that, because it is going to be very important.	The fourth planet is Nyjord-remember that, because it is going to be very important.	true	28.67	33.27	16
2194_141235_000004_000002	Dis is a place you need a good reason to visit and no reason at all to leave.	Dis is a place you need a good reason to visit and no reason at all to leave.	false	33.27	38.59	19.674698
2194_141235_000004_000003	Too hot, too dry; the temperature in the temperate zones rarely drops below a hundred Fahrenheit.	Too hot, too dry; the temperature in the temperate zones rarely drops below a hundred Fahrenheit.	true	38.9	44.83	15
2194_141235_000004_000004	The planet is nothing but scorched rock and burning sand.	The planet is nothing but scorched rock and burning sand.	true	45.17	48.73	14
2194_141235_000004_000005	Most of the water is underground and normally inaccessible.	Most of the water is underground and normally inaccessible.	true	49.4	52.54	15
2194_141235_000004_000006	The surface water is all in the form of briny, chemically saturated swamps--undrinkable without extensive processing.	The surface water is all in the form of briny, chemically saturated swamps-undrinkable without extensive processing.	true	52.88	60.79	15
2194_141235_000004_000007	All the facts and figures are here in the folder and you can study them later.	All the facts and figures are here in the folder and you can study them later.	true	61.4	64.96	15
2194_141235_000004_000008	Right now I want you just to get the idea that this planet is as loathsome and inhospitable as they come.	Right now I want you just to get the idea that this planet is as loathsome and inhospitable as they come.	true	65.45	71.41	15
2194_141235_000004_000009	So are the people.	So are the people.	true	71.87	73.15	23.311052
2194_141235_000004_000010	This is a solido of a Disan."	This is a solido of a Disan."	true	73.49	75.75	18
2194_141235_000005_000000	Lea gasped at the three-dimensional representation on the screen. Not at the physical aspects of the man; as a biologist trained in the specialty of alien life she had seen a lot stranger sights. It was the man's pose, the expression on his face--tensed to leap, his lips drawn back to show all of this teeth.	Lea gasped at the three dimensional representation on the screen. Not at the physical aspects of the man; as a biologist trained in the specialty of alien life she had seen a lot stranger sights. It was the man's pose, the expression on his face-tensed to leap, his lips drawn back to show all of this teeth.	false	75.75	95.56	21
2194_141235_000006_000000	"He looks as if he wanted to kill the photographer," she said.	"He looks as if he wanted to kill the photographer," she said.	true	95.93	99.22	22
2194_141235_000007_000000	"He almost did--just after the picture was taken.	"He almost did-just after the picture was taken.	true	99.77	102.73	22.23415
2194_141235_000007_000001	Like all Disans, he has an overwhelming hatred and loathing of offworlders.	Like all Disans, he has an overwhelming hatred and loathing of offworlders.	true	103.28	107.59	16
2194_141235_000007_000002	Not without good reason, though.	Not without good reason, though.	true	107.9	109.63	22
2194_141235_000007_000003	His planet was settled completely by chance during the Breakdown.	His planet was settled completely by chance during the Breakdown.	false	109.94	114.04	22.637981
2194_141235_000007_000004	I'm not sure of the details, but the overall picture is clear, since the story of their desertion forms the basis of all the myths and animistic religions on Dis.	I'm not sure of the details, but the overall picture is clear, since the story of their desertion forms the basis of all the myths and animistic religions on Dis.	true	114.41	123.61	16
2194_141235_000008_000000	"Apparently there were large-scale mining operations carried on there once; the world is rich enough in minerals and mining them is very simple.	"Apparently there were large scale mining operations carried on there once; the world is rich enough in minerals and mining them is very simple.	true	124.13	132.31	20.149868
2194_141235_000008_000001	But water came only from expensive extraction processes and I imagine most of the food came from offworld.	But water came only from expensive extraction processes and I imagine most of the food came from offworld.	true	132.32	139.63	21.278894
2194_141235_000008_000002	Which was good enough until the settlement was forgotten, the way a lot of other planets were during the Breakdown.	Which was good enough until the settlement was forgotten, the way a lot of other planets were during the Breakdown.	true	139.85	145.39	19
2194_141235_000008_000003	All the records were destroyed in the fighting, and the ore carriers were pressed into military service.	All the records were destroyed in the fighting, and the ore carriers were pressed into military service.	true	145.91	151.18	17
2194_141235_000008_000004	Dis was on its own.	Dis was on its own.	true	151.58	153.13	23.680222
2194_141235_000008_000005	What happened to the people there is a tribute to the adaptation possibilities of homo sapiens. Individuals died, usually in enormous pain, but the race lived. Changed a good deal, but still human.	What happened to the people there is a tribute to the adaptation possibilities of homo sapiens. Individuals died, usually in enormous pain, but the race lived. Changed a good deal, but still human.	true	153.8	167.56	22.606508
2194_141235_000008_000006	As the water and food ran out and the extraction machinery broke down, they must have made heroic efforts to survive.	As the water and food ran out and the extraction machinery broke down, they must have made heroic efforts to survive.	false	167.87	175.54	18
2194_141235_000008_000007	They couldn't do it mechanically, but by the time the last machine collapsed, enough people were adjusted to the environment to keep the race going.	They couldn't do it mechanically, but by the time the last machine collapsed, enough people were adjusted to the environment to keep the race going.	true	176	184.47	20
2194_141235_000009_000000	"Their descendants are still there, completely adapted to the environment.	"Their descendants are still there, completely adapted to the environment.	true	184.47	188.35	20
2194_141235_000009_000001	Their body temperatures are around a hundred and thirty degrees.	Their body temperatures are around a hundred and thirty degrees.	true	188.75	191.98	16
2194_141235_000009_000002	They have specialized tissue in the gluteal area for storing water.	They have specialized tissue in the gluteal area for storing water.	false	192.47	197.16	18.816969
2194_141235_000009_000003	These are minor changes, compared to the major ones they have done in fitting themselves for this planet.	These are minor changes, compared to the major ones they have done in fitting themselves for this planet.	true	197.16	201.97	17
2194_141235_000009_000004	I don't know the exact details, but the reports are very enthusiastic about symbiotic relationships.	I don't know the exact details, but the reports are very enthusiastic about symbiotic relationships.	true	202.49	208.69	20
2194_141235_000009_000005	They assure us that this is the first time homo sapiens has been an active part of either commensalism or inquilinism other than in the role of host."	They assure us that this is the first time homo sapiens has been an active part of either commensalism or inquilinism other than in the role of host."	false	208.88	217.06	16
2194_141235_000010_000000	"Wonderful!" Lea exclaimed.	"Wonderful!" Lea exclaimed.	true	217.37	219.37	21.898893
2194_141235_000011_000000	"Is it?" Ihjel scowled.	"Is it?" Ihjel scowled.	false	219.41	220.99	22.358831
2194_141235_000011_000001	"Perhaps from the abstract scientific point of view.	"Perhaps from the abstract scientific point of view.	true	221.12	223.96	22.566704
2194_141235_000011_000002	If you can keep notes perhaps you might write a book about it some time.	If you can keep notes perhaps you might write a book about it some time.	true	224.66	228.31	23
2194_141235_000011_000003	But I'm not interested.	But I'm not interested.	true	228.62	230.26	25.024282
2194_141235_000011_000004	I'm sure all these morphological changes and disgusting intimacies will fascinate you, Dr. Morees.	I'm sure all these morphological changes and disgusting intimacies will fascinate you, dr Morees.	true	230.42	236.02	16
2194_141235_000011_000005	But while you are counting blood types and admiring your thermometers, I hope you will be able to devote a little time to a study of the Disans' obnoxious personalities.	But while you are counting blood types and admiring your thermometers, I hope you will be able to devote a little time to a study of the Disans' obnoxious personalities.	false	236.45	245.71	19
2194_141235_000011_000006	We must either find out what makes these people tick--or we are going to have to stand by and watch the whole lot blown up!"	We must either find out what makes these people tick-or we are going to have to stand by and watch the whole lot blown up!"	true	246.26	253.39	22.484833
2194_141235_000012_000000	"Going to do what!" Lea gasped.	"Going to do what!" Lea gasped.	true	253.7	255.84	21.038063
2194_141235_000012_000001	"Destroy them?	"Destroy them?	true	255.84	256.965	27.706766
2194_141235_000012_000002	Wipe out this fascinating genetic pool?	Wipe out this fascinating genetic pool?	true	256.965	259.815	23.365788
2194_141235_000012_000003	Why?	Why?	true	259.815	261.49	21.655539
