1547_130184_000005_000001	"I can't do it.	"I can't do it.
1547_130184_000009_000001	She gave him entire confidence, he gave her the help she needed, and both found consolation in the act.	She gave him entire confidence, he gave her the help she needed, and both found consolation in the act.
1547_130184_000010_000001	Brooms and dishcloths never could be as distasteful as they once had been, for Beth had presided over both, and something of her housewifely spirit seemed to linger around the little mop and the old brush, never thrown away.	Brooms and dishcloths never could be as distasteful as they once had been, for Beth had presided over both, and something of her housewifely spirit seemed to linger around the little mop and the old brush, never thrown away.
1547_130184_000014_000001	You are like a chestnut burr, prickly outside, but silky-soft within, and a sweet kernal, if one can only get at it.	You are like a chestnut burr, prickly outside, but silky soft within, and a sweet kernal, if one can only get at it.
1547_130184_000016_000001	A little more sunshine to ripen the nut, then, not a boy's impatient shake, but a man's hand reached up to pick it gently from the burr, and find the kernal sound and sweet.	A little more sunshine to ripen the nut, then, not a boy's impatient shake, but a man's hand reached up to pick it gently from the burr, and find the kernal sound and sweet.
1547_130184_000017_000000	Now, if she had been the heroine of a moral storybook, she ought at this period of her life to have become quite saintly, renounced the world, and gone about doing good in a mortified bonnet, with tracts in her pocket.	Now, if she had been the heroine of a moral storybook, she ought at this period of her life to have become quite saintly, renounced the world, and gone about doing good in a mortified bonnet, with tracts in her pocket.
1547_130184_000017_000004	She had often said she wanted to do something splendid, no matter how hard, and now she had her wish, for what could be more beautiful than to devote her life to Father and Mother, trying to make home as happy to them as they had to her?	She had often said she wanted to do something splendid, no matter how hard, and now she had her wish, for what could be more beautiful than to devote her life to Father and Mother, trying to make home as happy to them as they had to her?
1547_130184_000019_000000	"Why don't you write?	"Why don't you write?
1547_130184_000021_000000	"We do.	"We do.
1547_130184_000021_000002	I'm sure it would do you good, and please us very much."	I'm sure it would do you good, and please us very much."
1547_130184_000023_000000	An hour afterward her mother peeped in and there she was, scratching away, with her black pinafore on, and an absorbed expression, which caused Mrs. March to smile and slip away, well pleased with the success of her suggestion.	An hour afterward her mother peeped in and there she was, scratching away, with her black pinafore on, and an absorbed expression, which caused mrs March to smile and slip away, well pleased with the success of her suggestion.
1547_130184_000037_000001	But you are right in one thing.	But you are right in one thing.
1547_130184_000044_000000	"Wait for me, my friend.	"Wait for me, my friend.
1547_130184_000046_000000	And holding the little paper fast, as if it were a promise yet to be fulfilled, Jo laid her head down on a comfortable rag bag, and cried, as if in opposition to the rain pattering on the roof.	And holding the little paper fast, as if it were a promise yet to be fulfilled, Jo laid her head down on a comfortable rag bag, and cried, as if in opposition to the rain pattering on the roof.
1547_130184_000047_000000	Was it all self-pity, loneliness, or low spirits?	Was it all self pity, loneliness, or low spirits?
1547_130184_000047_000001	Or was it the waking up of a sentiment which had bided its time as patiently as its inspirer?	Or was it the waking up of a sentiment which had bided its time as patiently as its inspirer?
