596_127685_000000_000000	The Approach To The Valley	The Approach To The Valley	false	0	0.45	100
596_127685_000001_000000	Sauntering up the foothills to Yosemite by any of the old trails or roads in use before the railway was built from the town of Merced up the river to the boundary of Yosemite Park, richer and wilder become the forests and streams.	Sauntering up the foothills to Yosemite by any of the old trails or roads in use before the railway was built from the town of Merced up the river to the boundary of Yosemite Park, richer and wilder become the forests and streams.	false	0.45	1.92	10
596_127685_000001_000001	At an elevation of 6000 feet above the level of the sea the silver firs are 200 feet high, with branches whorled around the colossal shafts in regular order, and every branch beautifully pinnate like a fern frond.	At an elevation of six thousand feet above the level of the sea the silver firs are two hundred feet high, with branches whorled around the colossal shafts in regular order, and every branch beautifully pinnate like a fern frond.	false	1.92	2.07	11
596_127685_000001_000002	The Douglas spruce, the yellow and sugar pines and brown-barked Libocedrus here reach their finest developments of beauty and grandeur.	The Douglas spruce, the yellow and sugar pines and brown barked Libocedrus here reach their finest developments of beauty and grandeur.	false	2.07	2.16	5
596_127685_000001_000003	The majestic Sequoia is here, too, the king of conifers, the noblest of all the noble race.	The majestic Sequoia is here, too, the king of conifers, the noblest of all the noble race.	false	2.16	3.15	14
596_127685_000001_000004	These colossal trees are as wonderful in fineness of beauty and proportion as in stature--an assemblage of conifers surpassing all that have ever yet been discovered in the forests of the world.	These colossal trees are as wonderful in fineness of beauty and proportion as in stature-an assemblage of conifers surpassing all that have ever yet been discovered in the forests of the world.	false	3.15	4.59	13
596_127685_000001_000005	Here indeed is the tree-lover's paradise; the woods, dry and wholesome, letting in the light in shimmering masses of half sunshine, half shade; the night air as well as the day air indescribably spicy and exhilarating; plushy fir-boughs for campers' beds and cascades to sing us to sleep.	Here indeed is the tree lover's paradise; the woods, dry and wholesome, letting in the light in shimmering masses of half sunshine, half shade; the night air as well as the day air indescribably spicy and exhilarating; plushy fir boughs for campers' beds and cascades to sing us to sleep.	false	4.59	7.41	22
596_127685_000001_000006	On the highest ridges, over which these old Yosemite ways passed, the silver fir (Abies magnifica) forms the bulk of the woods, pressing forward in glorious array to the very brink of the Valley walls on both sides, and beyond the Valley to a height of from 8000 to 9000 feet above the level of the sea.	On the highest ridges, over which these old Yosemite ways passed, the silver fir (Abies magnifica) forms the bulk of the woods, pressing forward in glorious array to the very brink of the Valley walls on both sides, and beyond the Valley to a height of from eight thousand to nine thousand feet above the level of the sea.	false	7.41	13.11	24.065956
596_127685_000001_000007	Thus it appears that Yosemite, presenting such stupendous faces of bare granite, is nevertheless imbedded in magnificent forests, and the main species of pine, fir, spruce and libocedrus are also found in the Valley itself, but there are no "big trees" (Sequoia gigantea) in the Valley or about the rim of it.	Thus it appears that Yosemite, presenting such stupendous faces of bare granite, is nevertheless imbedded in magnificent forests, and the main species of pine, fir, spruce and libocedrus are also found in the Valley itself, but there are no "big trees" (Sequoia gigantea) in the Valley or about the rim of it.	false	13.11	15.84	18
596_127685_000001_000008	The nearest are about ten and twenty miles beyond the lower end of the valley on small tributaries of the Merced and Tuolumne Rivers.	The nearest are about ten and twenty miles beyond the lower end of the valley on small tributaries of the Merced and Tuolumne Rivers.	false	15.84	23.01	20.315557
596_127685_000002_000000	The First View: The Bridal Veil	The First View: The Bridal Veil	true	23.01	25.69	25.518845
596_127685_000003_000000	From the margin of these glorious forests the first general view of the Valley used to be gained--a revelation in landscape affairs that enriches one's life forever.	From the margin of these glorious forests the first general view of the Valley used to be gained-a revelation in landscape affairs that enriches one's life forever.	true	25.73	36.405	16
596_127685_000003_000001	Entering the Valley, gazing overwhelmed with the multitude of grand objects about us, perhaps the first to fix our attention will be the Bridal Veil, a beautiful waterfall on our right.	Entering the Valley, gazing overwhelmed with the multitude of grand objects about us, perhaps the first to fix our attention will be the Bridal Veil, a beautiful waterfall on our right.	true	36.405	48.94	16
