5400_3587_000000_000000	POLLY'S BIG BUNDLE	POLLY'S BIG BUNDLE
5400_3587_000001_000000	The room was very quiet; but presently Phronsie strayed in, and seeing Polly studying, climbed up in a chair by the window to watch the birds hop over the veranda and pick up worms in the grass beside the carriage drive.	The room was very quiet; but presently Phronsie strayed in, and seeing Polly studying, climbed up in a chair by the window to watch the birds hop over the veranda and pick up worms in the grass beside the carriage drive.
5400_3587_000001_000001	And then came Mrs. Pepper with the big mending basket, and ensconced herself opposite by the table; and nothing was to be heard but the "tick, tick" of the clock, and an occasional dropping of a spool of thread, or scissors, from the busy hands flying in and out among the stockings.	And then came mrs Pepper with the big mending basket, and ensconced herself opposite by the table; and nothing was to be heard but the "tick, tick" of the clock, and an occasional dropping of a spool of thread, or scissors, from the busy hands flying in and out among the stockings.
5400_3587_000002_000001	And then he set up a loud and angry chirping, flying up and down, and opening his mouth as if he wanted to express his mind, but couldn't, and otherwise acting in a very strange and unaccountable manner.	And then he set up a loud and angry chirping, flying up and down, and opening his mouth as if he wanted to express his mind, but couldn't, and otherwise acting in a very strange and unaccountable manner.
5400_3587_000003_000000	"Dear me!" said Mrs. Pepper, "what's that?"	"Dear me!" said mrs Pepper, "what's that?"
5400_3587_000004_000000	"It's Cherry," said Polly, lifting up her head from "Fasquelle," "and--oh, dear me!" and flinging down the pile of books in her lap on a chair, she rushed across the room and flew up to the cage and began to wildly gesticulate and explain and shower down on him every endearing name she could think of.	"It's Cherry," said Polly, lifting up her head from "Fasquelle," "and-oh, dear me!" and flinging down the pile of books in her lap on a chair, she rushed across the room and flew up to the cage and began to wildly gesticulate and explain and shower down on him every endearing name she could think of.
5400_3587_000005_000000	"What is the matter?" asked her mother, turning around in her chair in perfect astonishment.	"What is the matter?" asked her mother, turning around in her chair in perfect astonishment.
5400_3587_000005_000001	"What upon earth, Polly!"	"What upon earth, Polly!"
5400_3587_000006_000000	"How could I!" cried Polly, in accents of despair, not heeding her mother's question.	"How could I!" cried Polly, in accents of despair, not heeding her mother's question.
5400_3587_000006_000001	"Oh, mamsie, will he die, do you think?"	"Oh, mamsie, will he die, do you think?"
5400_3587_000007_000000	"I guess not," said Mrs. Pepper, laying down her work and coming up to the cage, while Phronsie scrambled off from her chair and hurried to the scene.	"I guess not," said mrs Pepper, laying down her work and coming up to the cage, while Phronsie scrambled off from her chair and hurried to the scene.
5400_3587_000007_000001	"Why, he does act queer, don't he?	"Why, he does act queer, don't he?
5400_3587_000007_000002	P'raps he's been eating too much?"	P'raps he's been eating too much?"
5400_3587_000008_000000	"Eating!" said Polly, "oh mamsie, he hasn't had anything." And she pointed with shame and remorse to the seed-cup with only a few dried husks in the very bottom.	"Eating!" said Polly, "oh mamsie, he hasn't had anything." And she pointed with shame and remorse to the seed cup with only a few dried husks in the very bottom.
5400_3587_000009_000000	"Oh, Polly," began Mrs. Pepper; but seeing the look on her face, she changed her tone for one more cheerful.	"Oh, Polly," began mrs Pepper; but seeing the look on her face, she changed her tone for one more cheerful.
5400_3587_000009_000002	There, there," she said, nodding persuasively at the cage, "you pretty creature you!	There, there," she said, nodding persuasively at the cage, "you pretty creature you!
5400_3587_000009_000003	so you sha'n't be starved."	so you sha'n't be starved."
5400_3587_000010_000000	At the word "starved," Polly winced as though a pin had been pointed at her.	At the word "starved," Polly winced as though a pin had been pointed at her.
5400_3587_000011_000000	"There isn't any, mamsie, in the house," she stammered; "he had the last yesterday."	"There isn't any, mamsie, in the house," she stammered; "he had the last yesterday."
5400_3587_000012_000000	"And you forgot him to-day?" asked Mrs. Pepper, with a look in her black eyes Polly didn't like.	"And you forgot him to day?" asked mrs Pepper, with a look in her black eyes Polly didn't like.
5400_3587_000014_000000	"Well, he must have something right away," said Mrs. Pepper, decidedly. "That's certain."	"Well, he must have something right away," said mrs Pepper, decidedly. "That's certain."
5400_3587_000015_000000	"I'll run right down to Fletcher's and get it," cried Polly.	"I'll run right down to Fletcher's and get it," cried Polly.
5400_3587_000016_000000	"Twon't take me but a minute, mamsie; Jasper's gone, and Thomas, too, so I've got to go," she added, as she saw her mother hesitate.	"Twon't take me but a minute, mamsie; Jasper's gone, and Thomas, too, so I've got to go," she added, as she saw her mother hesitate.
5400_3587_000017_000001	"I'm most afraid it will rain, Polly."	"I'm most afraid it will rain, Polly."
5400_3587_000018_000000	"Oh, no, mamsie," cried Polly, feeling as if she could fly to the ends of the earth to atone, and longing beside for the brisk walk down town. Going up to the window she pointed triumphantly to the little bit of blue sky still visible.	"Oh, no, mamsie," cried Polly, feeling as if she could fly to the ends of the earth to atone, and longing beside for the brisk walk down town. Going up to the window she pointed triumphantly to the little bit of blue sky still visible.
5400_3587_000018_000001	"There, now, see, it can't rain yet awhile."	"There, now, see, it can't rain yet awhile."
5400_3587_000019_000000	"Well," said Mrs. Pepper, while Phronsie, standing in a chair with her face pressed close to the cage, was telling Cherry through the bars "not to be hungry, please don't!" which he didn't seem to mind in the least, but went on screaming harder than ever!	"Well," said mrs Pepper, while Phronsie, standing in a chair with her face pressed close to the cage, was telling Cherry through the bars "not to be hungry, please don't!" which he didn't seem to mind in the least, but went on screaming harder than ever!
5400_3587_000019_000001	"And besides, 'tisn't much use to wait for Ben.	"And besides, 'tisn't much use to wait for Ben.
5400_3587_000019_000003	But be sure, Polly, to hurry, for it's getting late, and I shall be worried about you.	But be sure, Polly, to hurry, for it's getting late, and I shall be worried about you.
5400_3587_000020_000000	"Oh, mamsie," said Polly, turning back just a minute, "I know the way to Fletcher's just as easy as anything.	"Oh, mamsie," said Polly, turning back just a minute, "I know the way to Fletcher's just as easy as anything.
5400_3587_000020_000001	I couldn't get lost."	I couldn't get lost."
5400_3587_000021_000000	"I know you do," said Mrs. Pepper, "but it'll be dark early on account of the shower.	"I know you do," said mrs Pepper, "but it'll be dark early on account of the shower.
5400_3587_000021_000001	Well," she said, pulling out her well-worn purse from her pocket, "if it does sprinkle, you get into a car, Polly, remember."	Well," she said, pulling out her well worn purse from her pocket, "if it does sprinkle, you get into a car, Polly, remember."
