492_131882_000000_000000	XXXV IN WHICH PHILEAS FOGG DOES NOT HAVE TO REPEAT HIS ORDERS TO PASSEPARTOUT TWICE	thirty five IN WHICH PHILEAS FOGG DOES NOT HAVE TO REPEAT HIS ORDERS TO PASSEPARTOUT TWICE	false	0	7.35	17.280922
492_131882_000001_000000	XXXVI IN WHICH PHILEAS FOGG'S NAME IS ONCE MORE AT A PREMIUM ON 'CHANGE	thirty six IN WHICH PHILEAS FOGG'S NAME IS ONCE MORE AT A PREMIUM ON 'CHANGE	false	7.35	11.76	18
492_131882_000002_000000	XXXVII IN WHICH IT IS SHOWN THAT PHILEAS FOGG GAINED NOTHING BY HIS TOUR AROUND THE WORLD, UNLESS IT WERE HAPPINESS	thirty seven IN WHICH IT IS SHOWN THAT PHILEAS FOGG GAINED NOTHING BY HIS TOUR AROUND THE WORLD, UNLESS IT WERE HAPPINESS	false	11.76	23.79	19.282011
492_131882_000003_000000	Chapter I	Chapter one	true	23.79	24.64	20.347778
492_131882_000004_000000	IN WHICH PHILEAS FOGG AND PASSEPARTOUT ACCEPT EACH OTHER, THE ONE AS MASTER, THE OTHER AS MAN	IN WHICH PHILEAS FOGG AND PASSEPARTOUT ACCEPT EACH OTHER, THE ONE AS MASTER, THE OTHER AS MAN	true	25.19	31.3	20.835966
492_131882_000005_000000	Mr. Phileas Fogg lived, in 1872, at No. 7, Saville Row, Burlington Gardens, the house in which Sheridan died in 1814.	mr Phileas Fogg lived, in eighteen seventy two, at no seven Saville Row ,Burlington Gardens, the house in which Sheridan died in eighteen fourteen.	false	32.09	43.96	18.290539
492_131882_000005_000001	He was one of the most noticeable members of the Reform Club, though he seemed always to avoid attracting attention; an enigmatical personage, about whom little was known, except that he was a polished man of the world.	He was one of the most noticeable members of the Reform Club, though he seemed always to avoid attracting attention; an enigmatical personage, about whom little was known, except that he was a polished man of the world.	false	44.21	60.945	17.957851
492_131882_000005_000002	People said that he resembled Byron--at least that his head was Byronic; but he was a bearded, tranquil Byron, who might live on a thousand years without growing old.	People said that he resembled Byron-at least that his head was Byronic; but he was a bearded, tranquil Byron, who might live on a thousand years without growing old.	false	60.945	75.49	16
492_131882_000006_000000	Certainly an Englishman, it was more doubtful whether Phileas Fogg was a Londoner.	Certainly an Englishman, it was more doubtful whether Phileas Fogg was a Londoner.	true	75.83	81.58	16
492_131882_000006_000001	He was never seen on 'Change, nor at the Bank, nor in the counting-rooms of the "City"; no ships ever came into London docks of which he was the owner; he had no public employment; he had never been entered at any of the Inns of Court, either at the Temple, or Lincoln's Inn, or Gray's Inn; nor had his voice ever resounded in the Court of Chancery, or in the Exchequer, or the Queen's Bench, or the Ecclesiastical Courts.	He was never seen on 'Change, nor at the Bank, nor in the counting rooms of the "City"; no ships ever came into London docks of which he was the owner; he had no public employment; he had never been entered at any of the Inns of Court, either at the Temple, or Lincoln's Inn, or Gray's Inn; nor had his voice ever resounded in the Court of Chancery, or in the Exchequer, or the Queen's Bench, or the Ecclesiastical Courts.	false	82.07	118.81	19.054264
492_131882_000006_000002	He certainly was not a manufacturer; nor was he a merchant or a gentleman farmer.	He certainly was not a manufacturer; nor was he a merchant or a gentleman farmer.	false	118.88	127.14	20
