7981_112058_000000_000000	Chapter 5 MISSION WORK	Chapter five MISSION WORK	true	19.86	23.56	24.855822
7981_112058_000001_000000	THE incident which had given rise to Vincent's first mission at Folleville had never been forgotten by Madame de Gondi.	THE incident which had given rise to Vincent's first mission at Folleville had never been forgotten by Madame de Gondi.	true	25.16	31.69	19
7981_112058_000001_000001	It seemed to her that there was need to multiply such missions among the country poor, and no sooner had Vincent returned to her house than she offered him a large sum of money to endow a band of priests who would devote their lives to evangelizing the peasantry on her estates.	It seemed to her that there was need to multiply such missions among the country poor, and no sooner had Vincent returned to her house than she offered him a large sum of money to endow a band of priests who would devote their lives to evangelizing the peasantry on her estates.	true	31.91	46.69	22.1186
7981_112058_000002_000000	Vincent was delighted, but considering himself unfit to undertake the management of such an enterprise, he proposed that it should be put into the hands of the Jesuits or the Oratorians.	Vincent was delighted, but considering himself unfit to undertake the management of such an enterprise, he proposed that it should be put into the hands of the Jesuits or the Oratorians.	true	47	56.7	23.660213
7981_112058_000003_000000	Madame de Gondi, although convinced in her own mind that Vincent, and Vincent alone, was the man to carry out the enterprise, obediently suggested it to one religious Order after another.	Madame de Gondi, although convinced in her own mind that Vincent, and Vincent alone, was the man to carry out the enterprise, obediently suggested it to one religious Order after another.	false	56.7	67.12	20.823217
7981_112058_000003_000001	In every case some obstacle intervened, until the Countess was more than ever persuaded that her first instinct had been right.	In every case some obstacle intervened, until the Countess was more than ever persuaded that her first instinct had been right.	true	68	74.62	24.454552
7981_112058_000003_000002	Knowing Vincent's loyalty to Holy Church and his obedience to authority, she determined to have recourse to her brother-in-law, the Archbishop of Paris.	Knowing Vincent's loyalty to Holy Church and his obedience to authority, she determined to have recourse to her brother in law, the Archbishop of Paris.	true	75.44	84.07	23.054974
7981_112058_000003_000003	An old house called the College des Bons Enfants was at that moment vacant.	An old house called the College des Bons Enfants was at that moment vacant.	true	84.62	90.43	23.597574
7981_112058_000003_000004	She asked it of the Archbishop, whom she had interested in her scheme, and who proposed to Vincent to undertake the foundation.	She asked it of the Archbishop, whom she had interested in her scheme, and who proposed to Vincent to undertake the foundation.	false	90.47	97.66	24.158983
7981_112058_000003_000005	There was no longer room for hesitation; the will of God seemed plain; indeed, Vincent's love of the poor had been for some time struggling with his humility.	There was no longer room for hesitation; the will of God seemed plain; indeed, Vincent's love of the poor had been for some time struggling with his humility.	true	98.03	107.14	23.393175
7981_112058_000004_000000	The new Congregation was to consist of a few good priests who, renouncing all thought of honor and worldly advancement, were to devote their lives to preaching in the villages and small towns of France.	The new Congregation was to consist of a few good priests who, renouncing all thought of honor and worldly advancement, were to devote their lives to preaching in the villages and small towns of France.	true	107.63	118.68	23.11046
7981_112058_000004_000001	Their traveling expenses were to be paid from a common fund. They were to spend themselves in the service of their neighbor, instructing, catechizing and exhorting; and they were to take nothing in return for their labors.	Their traveling expenses were to be paid from a common fund. They were to spend themselves in the service of their neighbor, instructing, catechizing and exhorting; and they were to take nothing in return for their labors.	false	118.68	128.82	22.05538
7981_112058_000004_000002	Nine months of the year were to be given to this kind of work; the other three to prayer and preparation.	Nine months of the year were to be given to this kind of work; the other three to prayer and preparation.	false	128.82	135.61	23.690756
7981_112058_000005_000000	In March, 1625, the foundation was made, and Vincent de Paul was named the first superior.	In March, sixteen twenty five, the foundation was made, and Vincent de Paul was named the first superior.	true	136.7	142.72	22.315048
7981_112058_000005_000001	It was stipulated, however, that he should remain, as he had already promised, in the house of the founders, a condition which seemed likely to doom the enterprise to failure.	It was stipulated, however, that he should remain, as he had already promised, in the house of the founders, a condition which seemed likely to doom the enterprise to failure.	true	143.09	152.62	22.156801
7981_112058_000005_000002	Vincent could hardly fail to realize how necessary it was that the superior of a new Congregation should be in residence in his own house, but he confided the little company to God and awaited the development of events.	Vincent could hardly fail to realize how necessary it was that the superior of a new Congregation should be in residence in his own house, but he confided the little company to God and awaited the development of events.	true	153.41	165.55	21.743254
7981_112058_000006_000000	The solution was altogether unexpected.	The solution was altogether unexpected.	true	166.58	169	22.037958
7981_112058_000006_000001	Two months after the signing of the contract of foundation, Madame de Gondi was taken suddenly ill, and she died a few days later.	Two months after the signing of the contract of foundation, Madame de Gondi was taken suddenly ill, and she died a few days later.	false	169.76	177.52	23.912827
7981_112058_000006_000002	Her broken-hearted husband not only consented to Vincent's residence in the College des Bons Enfants, but shortly afterwards, leaving that world where he had shone so brilliantly, he himself became a postulant at the Oratory.	Her broken hearted husband not only consented to Vincent's residence in the College des Bons Enfants, but shortly afterwards, leaving that world where he had shone so brilliantly, he himself became a postulant at the Oratory.	true	177.74	191.52	23.647003
7981_112058_000007_000000	The beginnings of the new Congregation were humble enough.	The beginnings of the new Congregation were humble enough.	false	191.52	194.83	19.804995
7981_112058_000007_000001	Its members were three in number: Vincent, his friend M. Portail, and a poor priest who had lately joined them.	Its members were three in number: Vincent, his friend m Portail, and a poor priest who had lately joined them.	false	195.11	202.9	21.143015
7981_112058_000007_000002	Before setting out on their mission journeys they used to give the key of the house to a neighbor; but as there was nothing in it to steal, there was little cause for anxiety. In the course of their travels other priests, realizing the greatness of the work, asked to be enrolled in the little company.	Before setting out on their mission journeys they used to give the key of the house to a neighbor; but as there was nothing in it to steal, there was little cause for anxiety. In the course of their travels other priests, realizing the greatness of the work, asked to be enrolled in the little company.	true	203.24	219.13	22.414883
7981_112058_000007_000003	Its growth, nevertheless, was slow; ten years after the foundation the Congregation only numbered thirty-three members; but Vincent had no desire that it should be otherwise.	Its growth, nevertheless, was slow; ten years after the foundation the Congregation only numbered thirty three members; but Vincent had no desire that it should be otherwise.	true	219.59	229.75	22.439348
7981_112058_000007_000004	In 1652 it was recognized by Pope Urban VIII under the name of the Congregation of the Mission.	In sixteen fifty two it was recognized by Pope Urban the eighth under the name of the Congregation of the Mission.	true	230.45	236.38	22.543013
7981_112058_000008_000000	Vincent lavished the greatest care on the training of his priests. They were to be simple and frank in their relations with the poor, modest in manner, friendly and easy of access.	Vincent lavished the greatest care on the training of his priests. They were to be simple and frank in their relations with the poor, modest in manner, friendly and easy of access.	true	237.11	247.57	22.548475
7981_112058_000009_000000	"Our sermons must go straight to the point," he would say, "so that the humblest of our hearers may understand; our language must be clear and unaffected." The love of virtue and the hatred of evil were the points to be insisted on; the people were to be shown where virtue lay and how to attain it.	"Our sermons must go straight to the point," he would say, "so that the humblest of our hearers may understand; our language must be clear and unaffected." The love of virtue and the hatred of evil were the points to be insisted on; the people were to be shown where virtue lay and how to attain it.	false	247.94	264.1	22.951626
