7540_101262_000000_000000	(Volksmarchen der Serben.)	(Volksmarchen der Serben.)	false	0	15.285	24.149734
7540_101262_000001_000000	THE NINE PEA-HENS AND THE GOLDEN APPLES	THE NINE PEA HENS AND THE GOLDEN APPLES	false	15.285	20.14	22.055387
7540_101262_000002_000000	Once upon a time there stood before the palace of an emperor a golden apple tree, which blossomed and bore fruit each night.	Once upon a time there stood before the palace of an emperor a golden apple tree, which blossomed and bore fruit each night.	false	20.48	26.95	23.341503
7540_101262_000002_000001	But every morning the fruit was gone, and the boughs were bare of blossom, without anyone being able to discover who was the thief.	But every morning the fruit was gone, and the boughs were bare of blossom, without anyone being able to discover who was the thief.	true	27.5	35.17	23.449247
7540_101262_000003_000000	At last the emperor said to his eldest son, 'If only I could prevent those robbers from stealing my fruit, how happy I should be!'	At last the emperor said to his eldest son, 'If only I could prevent those robbers from stealing my fruit, how happy I should be!'	true	35.66	42.31	23.663921
7540_101262_000004_000000	And his son replied, 'I will sit up to-night and watch the tree, and I shall soon see who it is!'	And his son replied, 'I will sit up to night and watch the tree, and I shall soon see who it is!'	true	42.74	48.34	25.213919
7540_101262_000005_000000	So directly it grew dark the young man went and hid himself near the apple tree to begin his watch, but the apples had scarcely begun to ripen before he fell asleep, and when he awoke at sunrise the apples were gone.	So directly it grew dark the young man went and hid himself near the apple tree to begin his watch, but the apples had scarcely begun to ripen before he fell asleep, and when he awoke at sunrise the apples were gone.	true	48.89	61.18	24.506641
7540_101262_000005_000001	He felt very much ashamed of himself, and went with lagging feet to tell his father!	He felt very much ashamed of himself, and went with lagging feet to tell his father!	true	61.73	66.52	23.396893
7540_101262_000006_000000	Of course, though the eldest son had failed, the second made sure that he would do better, and set out gaily at nightfall to watch the apple tree.	Of course, though the eldest son had failed, the second made sure that he would do better, and set out gaily at nightfall to watch the apple tree.	false	66.8	74.2	21.229013
7540_101262_000006_000001	But no sooner had he lain himself down than his eyes grew heavy, and when the sunbeams roused him from his slumbers there was not an apple left on the tree.	But no sooner had he lain himself down than his eyes grew heavy, and when the sunbeams roused him from his slumbers there was not an apple left on the tree.	true	74.69	83.05	20.732912
7540_101262_000007_000000	Next came the turn of the youngest son, who made himself a comfortable bed under the apple tree, and prepared himself to sleep.	Next came the turn of the youngest son, who made himself a comfortable bed under the apple tree, and prepared himself to sleep.	true	83.72	91.63	23.427612
7540_101262_000007_000001	Towards midnight he awoke, and sat up to look at the tree.	Towards midnight he awoke, and sat up to look at the tree.	true	91.79	95.2	26.690395
7540_101262_000007_000002	And behold!	And behold!	true	95.36	96.43	26.16441
7540_101262_000007_000003	the apples were beginning to ripen, and lit up the whole palace with their brightness.	the apples were beginning to ripen, and lit up the whole palace with their brightness.	true	96.65	101.35	25.443628
7540_101262_000007_000004	At the same moment nine golden pea-hens flew swiftly through the air, and while eight alighted upon the boughs laden with fruit, the ninth fluttered to the ground where the prince lay, and instantly was changed into a beautiful maiden, more beautiful far than any lady in the emperor's court.	At the same moment nine golden pea hens flew swiftly through the air, and while eight alighted upon the boughs laden with fruit, the ninth fluttered to the ground where the prince lay, and instantly was changed into a beautiful maiden, more beautiful far than any lady in the emperor's court.	true	101.99	118.99	23.754452
7540_101262_000007_000005	The prince at once fell in love with her, and they talked together for some time, till the maiden said her sisters had finished plucking the apples, and now they must all go home again.	The prince at once fell in love with her, and they talked together for some time, till the maiden said her sisters had finished plucking the apples, and now they must all go home again.	false	119.24	129.28	21.217438
7540_101262_000007_000006	The prince, however, begged her so hard to leave him a little of the fruit that the maiden gave him two apples, one for himself and one for his father.	The prince, however, begged her so hard to leave him a little of the fruit that the maiden gave him two apples, one for himself and one for his father.	false	130.13	139.12	22.65386
7540_101262_000007_000007	Then she changed herself back into a pea-hen, and the whole nine flew away.	Then she changed herself back into a pea hen, and the whole nine flew away.	true	139.7	144.46	21.35491
7540_101262_000008_000000	As soon as the sun rose the prince entered the palace, and held out the apple to his father, who was rejoiced to see it, and praised his youngest son heartily for his cleverness.	As soon as the sun rose the prince entered the palace, and held out the apple to his father, who was rejoiced to see it, and praised his youngest son heartily for his cleverness.	true	145.1	154.3	21.383705
7540_101262_000008_000001	That evening the prince returned to the apple tree, and everything passed as before, and so it happened for several nights.	That evening the prince returned to the apple tree, and everything passed as before, and so it happened for several nights.	true	155.39	161.65	22.345263
7540_101262_000008_000002	At length the other brothers grew angry at seeing that he never came back without bringing two golden apples with him, and they went to consult an old witch, who promised to spy after him, and discover how he managed to get the apples.	At length the other brothers grew angry at seeing that he never came back without bringing two golden apples with him, and they went to consult an old witch, who promised to spy after him, and discover how he managed to get the apples.	false	162.14	176.17	26.47702
7540_101262_000008_000003	So, when the evening came, the old woman hid herself under the tree and waited for the prince.	So, when the evening came, the old woman hid herself under the tree and waited for the prince.	true	176.36	182.08	21.564163
7540_101262_000008_000004	Before long he arrived and laid down on his bed, and was soon fast asleep.	Before long he arrived and laid down on his bed, and was soon fast asleep.	true	182.66	187.51	18.59495
7540_101262_000008_000005	Towards midnight there was a rush of wings, and the eight pea-hens settled on the tree, while the ninth became a maiden, and ran to greet the prince.	Towards midnight there was a rush of wings, and the eight pea hens settled on the tree, while the ninth became a maiden, and ran to greet the prince.	false	187.91	196.6	22.78106
7540_101262_000008_000006	Then the witch stretched out her hand, and cut off a lock of the maiden's hair, and in an instant the girl sprang up, a pea-hen once more, spread her wings and flew away, while her sisters, who were busily stripping the boughs, flew after her.	Then the witch stretched out her hand, and cut off a lock of the maiden's hair, and in an instant the girl sprang up, a pea hen once more, spread her wings and flew away, while her sisters, who were busily stripping the boughs, flew after her.	true	197.45	212.2	23.094828
