2269_147627_000000_000000	Elsa, lonely and sad, did not live long after the separation.	Elsa, lonely and sad, did not live long after the separation.	false	2.52	8.97	20.494526
2269_147627_000000_000001	Her only hope was that she would be reunited to her dear husband; and she parted willingly with her own life, as other children of earth have done when they have lost all that they held most precious.	Her only hope was that she would be reunited to her dear husband; and she parted willingly with her own life, as other children of earth have done when they have lost all that they held most precious.	false	8.97	23.4	20.80136
2269_147627_000001_000000	FRITHIOF THE BOLD	f r i t h i o f THE BOLD	false	23.4	28	18.752232
2269_147627_000002_000000	Frithiof was a Norwegian hero, grandson of Viking, who was the largest and strongest man of his time.	Frithiof was a Norwegian hero, grandson of Viking, who was the largest and strongest man of his time.	true	29.27	37.06	20.719439
2269_147627_000002_000001	Viking had sailed the sea in a dragon ship, meeting with many adventures, and Thorsten, Frithiof's father, had likewise sailed abroad, capturing many priceless treasures and making a great name for himself.	Viking had sailed the sea in a dragon ship, meeting with many adventures, and Thorsten, Frithiof's father, had likewise sailed abroad, capturing many priceless treasures and making a great name for himself.	true	37.43	53.2	21.029327
2269_147627_000003_000000	Frithiof was entrusted to the care of Hilding, his foster father, and in his care, also, were Halfdan and Helge, King Bele's sons, and, some years later, their little sister, Ingeborg.	Frithiof was entrusted to the care of Hilding, his foster father, and in his care, also, were Halfdan and Helge, King Bele's sons, and, some years later, their little sister, Ingeborg.	false	54.08	69.33	20.339504
2269_147627_000003_000001	Frithiof and Ingeborg became firm friends, and as the lad increased in bravery and strength, the girl increased in beauty and loveliness of soul.	Frithiof and Ingeborg became firm friends, and as the lad increased in bravery and strength, the girl increased in beauty and loveliness of soul.	false	69.33	80.41	21.669395
2269_147627_000003_000002	Hilding, noticing how each day they became fonder of each other, called Frithiof to him and bade him remember that he was only a humble subject and could never hope to wed Ingeborg, the king's only daughter, descended from the great god Odin.	Hilding, noticing how each day they became fonder of each other, called Frithiof to him and bade him remember that he was only a humble subject and could never hope to wed Ingeborg, the king's only daughter, descended from the great god Odin.	false	81.11	98.86	20.317509
2269_147627_000003_000003	The warning, however, came too late, for Frithiof already loved the fair maiden, and vowed that he would have her for his bride at any cost.	The warning, however, came too late, for Frithiof already loved the fair maiden, and vowed that he would have her for his bride at any cost.	true	99.47	109.09	20.870989
2269_147627_000004_000000	Soon after this the king died, leaving his kingdom to his two sons and giving instructions that his funeral mound should be erected in sight of that of his dear friend Thorsten, so that their spirits might not be separated even in death.	Soon after this the king died, leaving his kingdom to his two sons and giving instructions that his funeral mound should be erected in sight of that of his dear friend Thorsten, so that their spirits might not be separated even in death.	true	109.94	127.6	23.143236
2269_147627_000004_000001	Then Ingeborg went to live with her brothers, the Kings of Sogn, while Frithiof retired to his own home at Framnas, closed in by the mountains and the sea.	Then Ingeborg went to live with her brothers, the Kings of s o g n, while Frithiof retired to his own home at Framnas, closed in by the mountains and the sea.	false	127.85	139.03	20.34235
2269_147627_000005_000000	Frithiof was now one of the wealthiest and most envied of land-owners. His treasures were richer by far than those of any king.	Frithiof was now one of the wealthiest and most envied of land owners. His treasures were richer by far than those of any king.	true	139.97	149.32	20.320585
2269_147627_000006_000000	In the spring he held a great celebration, which the kings of Sogn and their sister Ingeborg, among many other guests, attended.	In the spring he held a great celebration, which the kings of s o g n and their sister Ingeborg, among many other guests, attended.	false	150.23	158.97	22.799318
2269_147627_000006_000001	Frithiof and Ingeborg were much together, and Frithiof was very happy to learn that Ingeborg returned his affection.	Frithiof and Ingeborg were much together, and Frithiof was very happy to learn that Ingeborg returned his affection.	false	158.97	167.53	22.437853
