362_123047_000000_000000	Part IV	Part four	false	29.19	31.2	15.007119
362_123047_000001_000000	46 Jakes and the Lady	forty six Jakes and the Lady	true	31.2	35.44	15.046961
362_123047_000002_000000	I was sold to a corn dealer and baker, whom Jerry knew, and with him he thought I should have good food and fair work.	I was sold to a corn dealer and baker, whom Jerry knew, and with him he thought I should have good food and fair work.	true	36.74	44.98	17
362_123047_000002_000001	In the first he was quite right, and if my master had always been on the premises I do not think I should have been overloaded, but there was a foreman who was always hurrying and driving every one, and frequently when I had quite a full load he would order something else to be taken on.	In the first he was quite right, and if my master had always been on the premises I do not think I should have been overloaded, but there was a foreman who was always hurrying and driving every one, and frequently when I had quite a full load he would order something else to be taken on.	true	45.32	64.66	17.943945
362_123047_000002_000002	My carter, whose name was Jakes, often said it was more than I ought to take, but the other always overruled him.	My carter, whose name was Jakes, often said it was more than I ought to take, but the other always overruled him.	true	65.84	73.42	18.366138
362_123047_000002_000003	"'Twas no use going twice when once would do, and he chose to get business forward."	"'twas no use going twice when once would do, and he chose to get business forward."	true	73.85	80.05	20.013187
362_123047_000003_000000	Jakes, like the other carters, always had the check-rein up, which prevented me from drawing easily, and by the time I had been there three or four months I found the work telling very much on my strength.	Jakes, like the other carters, always had the check rein up, which prevented me from drawing easily, and by the time I had been there three or four months I found the work telling very much on my strength.	true	80.57	95.11	18
362_123047_000004_000000	One day I was loaded more than usual, and part of the road was a steep uphill.	One day I was loaded more than usual, and part of the road was a steep uphill.	true	95.66	101.83	18.505363
362_123047_000004_000001	I used all my strength, but I could not get on, and was obliged continually to stop.	I used all my strength, but I could not get on, and was obliged continually to stop.	true	102.44	110.71	19.164974
362_123047_000004_000002	This did not please my driver, and he laid his whip on badly.	This did not please my driver, and he laid his whip on badly.	true	111.23	116.08	19
362_123047_000004_000003	"Get on, you lazy fellow," he said, "or I'll make you."	"Get on, you lazy fellow," he said, "or I'll make you."	true	116.42	120.94	20.629002
362_123047_000005_000000	Again I started the heavy load, and struggled on a few yards; again the whip came down, and again I struggled forward.	Again I started the heavy load, and struggled on a few yards; again the whip came down, and again I struggled forward.	true	121.61	132.04	19.384588
362_123047_000005_000001	The pain of that great cart whip was sharp, but my mind was hurt quite as much as my poor sides.	The pain of that great cart whip was sharp, but my mind was hurt quite as much as my poor sides.	true	132.68	141.88	19.034496
362_123047_000005_000002	To be punished and abused when I was doing my very best was so hard it took the heart out of me.	To be punished and abused when I was doing my very best was so hard it took the heart out of me.	true	142.46	151.99	18.662735
362_123047_000005_000003	A third time he was flogging me cruelly, when a lady stepped quickly up to him, and said in a sweet, earnest voice:	A third time he was flogging me cruelly, when a lady stepped quickly up to him, and said in a sweet, earnest voice:	true	153.2	162.76	18.804613
362_123047_000006_000000	"Oh! pray do not whip your good horse any more; I am sure he is doing all he can, and the road is very steep; I am sure he is doing his best."	"Oh! pray do not whip your good horse any more; I am sure he is doing all he can, and the road is very steep; I am sure he is doing his best."	false	163.61	176.83	19.063803
362_123047_000007_000000	"If doing his best won't get this load up he must do something more than his best; that's all I know, ma'am," said Jakes.	"If doing his best won't get this load up he must do something more than his best; that's all I know, ma'am," said Jakes.	true	178.13	186.52	18.63199
362_123047_000008_000000	"But is it not a heavy load?" she said.	"But is it not a heavy load?" she said.	true	187.19	190.12	17.525997
362_123047_000009_000000	"Yes, yes, too heavy," he said; "but that's not my fault; the foreman came just as we were starting, and would have three hundredweight more put on to save him trouble, and I must get on with it as well as I can."	"Yes, yes, too heavy," he said; "but that's not my fault; the foreman came just as we were starting, and would have three hundredweight more put on to save him trouble, and I must get on with it as well as I can."	true	190.7	208.15	18.360426
362_123047_000010_000000	He was raising the whip again, when the lady said:	He was raising the whip again, when the lady said:	true	208.88	212.56	18
362_123047_000011_000000	"Pray, stop; I think I can help you if you will let me."	"Pray, stop; I think I can help you if you will let me."	true	212.87	216.46	21.30478
362_123047_000012_000000	The man laughed.	The man laughed.	true	216.95	218.59	16.05868
362_123047_000013_000000	"You see," she said, "you do not give him a fair chance; he cannot use all his power with his head held back as it is with that check-rein; if you would take it off I am sure he would do better--do try it," she said persuasively, "I should be very glad if you would."	"You see," she said, "you do not give him a fair chance; he cannot use all his power with his head held back as it is with that check rein; if you would take it off I am sure he would do better-do try it," she said persuasively, "I should be very glad if you would."	true	219.17	237.88	18.81474
362_123047_000014_000000	"Well, well," said Jakes, with a short laugh, "anything to please a lady, of course.	"Well, well," said Jakes, with a short laugh, "anything to please a lady, of course.	false	239.15	245.2	20.304163
362_123047_000014_000001	How far would you wish it down, ma'am?"	How far would you wish it down, ma'am?"	false	245.51	248.61	17.68234
362_123047_000015_000000	"Quite down, give him his head altogether."	"Quite down, give him his head altogether."	false	248.61	251.29	19.6728
362_123047_000016_000000	The rein was taken off, and in a moment I put my head down to my very knees.	The rein was taken off, and in a moment I put my head down to my very knees.	true	252.08	257.71	18.915813
362_123047_000016_000001	What a comfort it was!	What a comfort it was!	true	258.5	260.67	19.136768
362_123047_000016_000002	Then I tossed it up and down several times to get the aching stiffness out of my neck.	Then I tossed it up and down several times to get the aching stiffness out of my neck.	false	260.67	267.28	19.287745
362_123047_000017_000000	"Poor fellow! that is what you wanted," said she, patting and stroking me with her gentle hand; "and now if you will speak kindly to him and lead him on I believe he will be able to do better."	"Poor fellow! that is what you wanted," said she, patting and stroking me with her gentle hand; "and now if you will speak kindly to him and lead him on I believe he will be able to do better."	true	268.13	282.43	18.833286
362_123047_000018_000000	Jakes took the rein.	Jakes took the rein.	true	283.31	284.95	18.945694
