1259_27120_000000_000000	When the clock struck three, Elizabeth felt that she must go, and very unwillingly said so.	When the clock struck three, Elizabeth felt that she must go, and very unwillingly said so.	false	0	2.49	18
1259_27120_000000_000001	Miss Bingley offered her the carriage, and she only wanted a little pressing to accept it, when Jane testified such concern in parting with her, that Miss Bingley was obliged to convert the offer of the chaise to an invitation to remain at Netherfield for the present. Elizabeth most thankfully consented, and a servant was dispatched to Longbourn to acquaint the family with her stay and bring back a supply of clothes.	Miss Bingley offered her the carriage, and she only wanted a little pressing to accept it, when Jane testified such concern in parting with her, that Miss Bingley was obliged to convert the offer of the chaise to an invitation to remain at Netherfield for the present. Elizabeth most thankfully consented, and a servant was dispatched to Longbourn to acquaint the family with her stay and bring back a supply of clothes.	false	2.49	13.455	18.597599
1259_27120_000001_000000	Chapter 8	Chapter eight	true	13.455	14.59	17
1259_27120_000002_000000	At five o'clock the two ladies retired to dress, and at half-past six Elizabeth was summoned to dinner.	At five o'clock the two ladies retired to dress, and at half past six Elizabeth was summoned to dinner.	true	15.89	22.24	17
1259_27120_000002_000001	To the civil inquiries which then poured in, and amongst which she had the pleasure of distinguishing the much superior solicitude of Mr. Bingley's, she could not make a very favourable answer.	To the civil inquiries which then poured in, and amongst which she had the pleasure of distinguishing the much superior solicitude of mr Bingley's, she could not make a very favourable answer.	true	22.52	32.5	11
1259_27120_000002_000002	Jane was by no means better.	Jane was by no means better.	true	32.69	34.81	12
1259_27120_000002_000003	The sisters, on hearing this, repeated three or four times how much they were grieved, how shocking it was to have a bad cold, and how excessively they disliked being ill themselves; and then thought no more of the matter: and their indifference towards Jane when not immediately before them restored Elizabeth to the enjoyment of all her former dislike.	The sisters, on hearing this, repeated three or four times how much they were grieved, how shocking it was to have a bad cold, and how excessively they disliked being ill themselves; and then thought no more of the matter: and their indifference towards Jane when not immediately before them restored Elizabeth to the enjoyment of all her former dislike.	true	35.09	54.4	12
1259_27120_000003_000000	Their brother, indeed, was the only one of the party whom she could regard with any complacency.	Their brother, indeed, was the only one of the party whom she could regard with any complacency.	true	54.86	59.47	14
1259_27120_000003_000001	His anxiety for Jane was evident, and his attentions to herself most pleasing, and they prevented her feeling herself so much an intruder as she believed she was considered by the others.	His anxiety for Jane was evident, and his attentions to herself most pleasing, and they prevented her feeling herself so much an intruder as she believed she was considered by the others.	true	59.69	69.49	11
1259_27120_000003_000002	She had very little notice from any but him.	She had very little notice from any but him.	true	69.77	72.25	15
1259_27120_000003_000003	Miss Bingley was engrossed by Mr. Darcy, her sister scarcely less so; and as for Mr. Hurst, by whom Elizabeth sat, he was an indolent man, who lived only to eat, drink, and play at cards; who, when he found her to prefer a plain dish to a ragout, had nothing to say to her.	Miss Bingley was engrossed by mr Darcy, her sister scarcely less so; and as for mr Hurst, by whom Elizabeth sat, he was an indolent man, who lived only to eat, drink, and play at cards; who, when he found her to prefer a plain dish to a ragout, had nothing to say to her.	true	72.35	89.95	16
1259_27120_000004_000000	When dinner was over, she returned directly to Jane, and Miss Bingley began abusing her as soon as she was out of the room.	When dinner was over, she returned directly to Jane, and Miss Bingley began abusing her as soon as she was out of the room.	true	90.08	96.67	12
1259_27120_000004_000001	Her manners were pronounced to be very bad indeed, a mixture of pride and impertinence; she had no conversation, no style, no beauty.	Her manners were pronounced to be very bad indeed, a mixture of pride and impertinence; she had no conversation, no style, no beauty.	true	96.74	105.61	14
1259_27120_000004_000002	Mrs. Hurst thought the same, and added:	mrs Hurst thought the same, and added:	false	105.77	107.95	11
1259_27120_000005_000000	"She has nothing, in short, to recommend her, but being an excellent walker.	"She has nothing, in short, to recommend her, but being an excellent walker.	true	108.23	113.62	14
1259_27120_000005_000001	I shall never forget her appearance this morning.	I shall never forget her appearance this morning.	true	113.87	116.805	18.181309
1259_27120_000005_000002	She really looked almost wild."	She really looked almost wild."	true	116.805	119.35	19.676317
1259_27120_000006_000000	"She did, indeed, Louisa.	"She did, indeed, Louisa.	true	119.78	121.9	7
1259_27120_000006_000001	I could hardly keep my countenance.	I could hardly keep my countenance.	true	121.97	124.365	13
1259_27120_000006_000002	Very nonsensical to come at all!	Very nonsensical to come at all!	true	124.365	126.85	17.747444
1259_27120_000006_000003	Why must _she_ be scampering about the country, because her sister had a cold?	Why must underscore she underscore be scampering about the country, because her sister had a cold?	false	126.95	132.01	15
1259_27120_000006_000004	Her hair, so untidy, so blowsy!"	Her hair, so untidy, so blowsy!"	false	132.17	136.77	18.860369
1259_27120_000007_000000	"Yes, and her petticoat; I hope you saw her petticoat, six inches deep in mud, I am absolutely certain; and the gown which had been let down to hide it not doing its office."	"Yes, and her petticoat; I hope you saw her petticoat, six inches deep in mud, I am absolutely certain; and the gown which had been let down to hide it not doing its office."	true	136.77	149.23	14
1259_27120_000008_000000	"Your picture may be very exact, Louisa," said Bingley; "but this was all lost upon me.	"Your picture may be very exact, Louisa," said Bingley; "but this was all lost upon me.	false	149.93	155.77	19
1259_27120_000008_000001	I thought Miss Elizabeth Bennet looked remarkably well when she came into the room this morning.	I thought Miss Elizabeth Bennet looked remarkably well when she came into the room this morning.	true	155.96	160.3	15
1259_27120_000008_000002	Her dirty petticoat quite escaped my notice."	Her dirty petticoat quite escaped my notice."	true	160.34	163.08	18
1259_27120_000009_000000	"_You_ observed it, Mr. Darcy, I am sure," said Miss Bingley; "and I am inclined to think that you would not wish to see _your_ sister make such an exhibition."	"underscore You underscore observed it, mr Darcy, I am sure," said Miss Bingley; "and I am inclined to think that you would not wish to see underscore your underscore sister make such an exhibition."	false	163.08	174.76	18.389317
1259_27120_000010_000000	"Certainly not."	"Certainly not."	true	175.31	176.68	19.163227
1259_27120_000011_000000	"To walk three miles, or four miles, or five miles, or whatever it is, above her ankles in dirt, and alone, quite alone!	"To walk three miles, or four miles, or five miles, or whatever it is, above her ankles in dirt, and alone, quite alone!	false	177.38	186.61	17
1259_27120_000011_000001	What could she mean by it?	What could she mean by it?	true	186.68	188.71	14
1259_27120_000011_000002	It seems to me to show an abominable sort of conceited independence, a most country-town indifference to decorum."	It seems to me to show an abominable sort of conceited independence, a most country town indifference to decorum."	true	189.02	196.57	15
1259_27120_000012_000000	"It shows an affection for her sister that is very pleasing," said Bingley.	"It shows an affection for her sister that is very pleasing," said Bingley.	true	197.06	201.31	18
1259_27120_000013_000000	"I am afraid, Mr. Darcy," observed Miss Bingley in a half whisper, "that this adventure has rather affected your admiration of her fine eyes."	"I am afraid, mr Darcy," observed Miss Bingley in a half whisper, "that this adventure has rather affected your admiration of her fine eyes."	false	201.77	211.9	15
1259_27120_000014_000000	"Not at all," he replied; "they were brightened by the exercise." A short pause followed this speech, and Mrs. Hurst began again:	"Not at all," he replied; "they were brightened by the exercise." A short pause followed this speech, and mrs Hurst began again:	true	212.3	222.01	18.526278
1259_27120_000015_000000	"I have an excessive regard for Miss Jane Bennet, she is really a very sweet girl, and I wish with all my heart she were well settled.	"I have an excessive regard for Miss Jane Bennet, she is really a very sweet girl, and I wish with all my heart she were well settled.	true	222.62	231.28	16
1259_27120_000015_000001	But with such a father and mother, and such low connections, I am afraid there is no chance of it."	But with such a father and mother, and such low connections, I am afraid there is no chance of it."	false	231.35	239.4	19.539148
1259_27120_000016_000000	"I think I have heard you say that their uncle is an attorney in Meryton."	"I think I have heard you say that their uncle is an attorney in Meryton."	true	239.4	242.65	11
1259_27120_000017_000000	"Yes; and they have another, who lives somewhere near Cheapside."	"Yes; and they have another, who lives somewhere near Cheapside."	true	243.29	248.47	16
1259_27120_000018_000000	"That is capital," added her sister, and they both laughed heartily.	"That is capital," added her sister, and they both laughed heartily.	true	248.84	253.96	18
1259_27120_000019_000000	"If they had uncles enough to fill _all_ Cheapside," cried Bingley, "it would not make them one jot less agreeable."	"If they had uncles enough to fill underscore all underscore Cheapside," cried Bingley, "it would not make them one jot less agreeable."	false	254.45	261.61	19.037933
1259_27120_000020_000000	"But it must very materially lessen their chance of marrying men of any consideration in the world," replied Darcy.	"But it must very materially lessen their chance of marrying men of any consideration in the world," replied Darcy.	false	262.25	269.08	16.984783
1259_27120_000021_000000	To this speech Bingley made no answer; but his sisters gave it their hearty assent, and indulged their mirth for some time at the expense of their dear friend's vulgar relations.	To this speech Bingley made no answer; but his sisters gave it their hearty assent, and indulged their mirth for some time at the expense of their dear friend's vulgar relations.	true	269.42	279.25	12
1259_27120_000022_000000	With a renewal of tenderness, however, they returned to her room on leaving the dining-parlour, and sat with her till summoned to coffee. She was still very poorly, and Elizabeth would not quit her at all, till late in the evening, when she had the comfort of seeing her sleep, and when it seemed to her rather right than pleasant that she should go downstairs herself.	With a renewal of tenderness, however, they returned to her room on leaving the dining parlour, and sat with her till summoned to coffee. She was still very poorly, and Elizabeth would not quit her at all, till late in the evening, when she had the comfort of seeing her sleep, and when it seemed to her rather right than pleasant that she should go downstairs herself.	true	279.68	298.3	14
