7247_101864_000006_000000	CHAPTER XII	CHAPTER twelve
7247_101864_000007_000000	The great dining-room at Hilcrest, the old Spencer homestead, was perhaps the pleasantest room in the house.	The great dining room at Hilcrest, the old Spencer homestead, was perhaps the pleasantest room in the house.
7247_101864_000007_000001	The house itself crowned the highest hill that overlooked the town, and its dining-room windows and the veranda without, commanded a view of the river for miles, just where the valley was the greenest and the most beautiful.	The house itself crowned the highest hill that overlooked the town, and its dining room windows and the veranda without, commanded a view of the river for miles, just where the valley was the greenest and the most beautiful.
7247_101864_000007_000002	On the other side of the veranda which ran around three sides of the house, one might see the town with its myriad roofs and tall chimneys; but although these same tall chimneys represented the wealth that made possible the great Spencer estate, yet it was the side of the veranda overlooking the green valley that was the most popular with the family.	On the other side of the veranda which ran around three sides of the house, one might see the town with its myriad roofs and tall chimneys; but although these same tall chimneys represented the wealth that made possible the great Spencer estate, yet it was the side of the veranda overlooking the green valley that was the most popular with the family.
7247_101864_000007_000003	It was said, to be sure, that old Jacob Spencer, who built the house, and who laid the foundations for the Spencer millions, had preferred the side that overlooked the town; and that he spent long hours gloating over the visible results of his thrift and enterprise.	It was said, to be sure, that old Jacob Spencer, who built the house, and who laid the foundations for the Spencer millions, had preferred the side that overlooked the town; and that he spent long hours gloating over the visible results of his thrift and enterprise.
7247_101864_000007_000005	This was, indeed, typical of the Spencer code--the farther away they could get from the oil that made the machinery of life run easily and noiselessly, the better pleased they were.	This was, indeed, typical of the Spencer code-the farther away they could get from the oil that made the machinery of life run easily and noiselessly, the better pleased they were.
7247_101864_000008_000000	The dining-room looked particularly pleasant this July evening.	The dining room looked particularly pleasant this July evening.
7247_101864_000008_000001	A gentle breeze stirred the curtains at the open windows, and the setting sun peeped through the vines outside and glistened on the old family plate. Three generations of Spencers looked down from the walls on the two men and the woman sitting at the great mahogany table.	A gentle breeze stirred the curtains at the open windows, and the setting sun peeped through the vines outside and glistened on the old family plate. Three generations of Spencers looked down from the walls on the two men and the woman sitting at the great mahogany table.
7247_101864_000008_000002	The two men and the woman, however, were not looking at the sunlight, the vines, or the swaying curtains; they were looking at each other, and their eyes were troubled and questioning.	The two men and the woman, however, were not looking at the sunlight, the vines, or the swaying curtains; they were looking at each other, and their eyes were troubled and questioning.
7247_101864_000009_000000	"You say she is coming next week?" asked the younger man, glancing at the letter in the other's hand.	"You say she is coming next week?" asked the younger man, glancing at the letter in the other's hand.
7247_101864_000010_000000	"Yes.	"Yes.
7247_101864_000010_000001	Tuesday afternoon."	Tuesday afternoon."
7247_101864_000011_000000	"But, Frank, this is so--sudden," remonstrated the young fellow, laughing a little as he uttered the trite phrase.	"But, Frank, this is so-sudden," remonstrated the young fellow, laughing a little as he uttered the trite phrase.
7247_101864_000012_000000	Frank Spencer made an impatient gesture that showed how great was his perturbation.	Frank Spencer made an impatient gesture that showed how great was his perturbation.
7247_101864_000013_000000	"Come, come, Ned, don't be foolish," he protested.	"Come, come, Ned, don't be foolish," he protested.
7247_101864_000013_000001	"You know very well that your brother's stepdaughter has been my ward for a dozen years."	"You know very well that your brother's stepdaughter has been my ward for a dozen years."
7247_101864_000014_000000	"Yes, but that is all I know," rejoined the young man, quietly.	"Yes, but that is all I know," rejoined the young man, quietly.
7247_101864_000015_000000	"The boy is right," interposed the low voice of the woman across the table.	"The boy is right," interposed the low voice of the woman across the table.
7247_101864_000015_000001	"Ned doesn't know anything about her.	"Ned doesn't know anything about her.
7247_101864_000015_000002	He was a mere child himself when it all happened, and he's been away from home most of the time since.	He was a mere child himself when it all happened, and he's been away from home most of the time since.
7247_101864_000015_000003	For that matter, we don't know much about her ourselves."	For that matter, we don't know much about her ourselves."
7247_101864_000016_000000	"We certainly don't," sighed Frank Spencer; then he raised his head and squared his shoulders.	"We certainly don't," sighed Frank Spencer; then he raised his head and squared his shoulders.
7247_101864_000016_000001	"See here, good people, this will never do in the world," he asserted with sudden authority.	"See here, good people, this will never do in the world," he asserted with sudden authority.
7247_101864_000016_000002	"I have offered the hospitality of this house to a homeless, orphan girl, and she has accepted it.	"I have offered the hospitality of this house to a homeless, orphan girl, and she has accepted it.
7247_101864_000016_000003	There is nothing for us to do now but to try to make her happy.	There is nothing for us to do now but to try to make her happy.
7247_101864_000016_000004	After all, we needn't worry--it may turn out that she will make us happy."	After all, we needn't worry-it may turn out that she will make us happy."
7247_101864_000017_000001	How does she look?" catechized Ned.	How does she look?" catechized Ned.
7247_101864_000018_000000	His brother shook his head.	His brother shook his head.
7247_101864_000019_000000	"I don't know," he replied simply.	"I don't know," he replied simply.
7247_101864_000020_000000	"You don't know!	"You don't know!
7247_101864_000020_000001	But, surely you have seen her!"	But, surely you have seen her!"
7247_101864_000022_000000	Frank paused, and looked at the letter in his hand.	Frank paused, and looked at the letter in his hand.
7247_101864_000022_000001	After a minute he laid it gently down.	After a minute he laid it gently down.
7247_101864_000022_000002	When he spoke his voice was not quite steady.	When he spoke his voice was not quite steady.
