5154_26558_000000_000000	Perhaps you do not know it, but the monkeys think that all the bananas belong to them.	Perhaps you do not know it, but the monkeys think that all the bananas belong to them.	true	24.03	29.14	23.503214
5154_26558_000000_000001	When Brazilian children eat bananas they say, "I am a monkey." I once knew a little boy in Brazil who was very, very fond of bananas.	When Brazilian children eat bananas they say, "I am a monkey." I once knew a little boy in Brazil who was very, very fond of bananas.	false	30.02	38.41	18.703884
5154_26558_000000_000002	He always said, "I am _very much_ of a monkey." If you are fond of bananas the Brazilian children would tell you that you are a monkey, too.	He always said, "I am underscore very much underscore of a monkey." If you are fond of bananas the Brazilian children would tell you that you are a monkey, too.	false	38.84	48.93	19.42491
5154_26558_000000_000003	This is the story they tell to show us how it all came about.	This is the story they tell to show us how it all came about.	true	48.93	51.79	15
5154_26558_000001_000000	Once upon a time when the world had just been made and there was only one kind of banana, but very many kinds of monkeys, there was a little old woman who had a big garden full of banana trees.	Once upon a time when the world had just been made and there was only one kind of banana, but very many kinds of monkeys, there was a little old woman who had a big garden full of banana trees.	false	53.63	65.95	22.128967
5154_26558_000001_000001	It was very difficult for the old woman to gather the bananas herself, so she made a bargain with the largest monkey.	It was very difficult for the old woman to gather the bananas herself, so she made a bargain with the largest monkey.	true	66.62	72.13	21.88132
5154_26558_000001_000002	She told him that if he would gather the bunches of bananas for her she would give him half of them. The monkey gathered the bananas.	She told him that if he would gather the bunches of bananas for her she would give him half of them. The monkey gathered the bananas.	true	72.44	80.2	20.045044
5154_26558_000001_000003	When he took his half he gave the little old woman the bananas which grow at the bottom of the bunch and are small and wrinkled.	When he took his half he gave the little old woman the bananas which grow at the bottom of the bunch and are small and wrinkled.	true	80.69	87.34	21.370708
5154_26558_000001_000004	The nice big fat ones he kept for himself and carried them home to let them ripen in the dark.	The nice big fat ones he kept for himself and carried them home to let them ripen in the dark.	true	87.56	93.28	24.422657
5154_26558_000002_000000	The little old woman was very angry.	The little old woman was very angry.	true	94.13	96.49	23.576927
5154_26558_000002_000001	She lay awake all night trying to think of some way by which she could get even with the monkey.	She lay awake all night trying to think of some way by which she could get even with the monkey.	true	96.89	104.32	18.388823
5154_26558_000002_000002	At last she thought of a trick.	At last she thought of a trick.	true	104.84	106.93	18.420204
5154_26558_000003_000000	The next morning she made an image of wax which looked just like a little black boy.	The next morning she made an image of wax which looked just like a little black boy.	true	108.2	113.08	19
5154_26558_000003_000001	Then she placed a large flat basket on the top of the image's head and in the basket she placed the best ripe bananas she could find.	Then she placed a large flat basket on the top of the image's head and in the basket she placed the best ripe bananas she could find.	true	113.36	121.95	20.772913
5154_26558_000003_000002	They certainly looked very tempting.	They certainly looked very tempting.	false	121.95	124.81	15
5154_26558_000004_000000	After a little while the biggest monkey passed that way.	After a little while the biggest monkey passed that way.	true	125.15	128.68	18.26085
5154_26558_000004_000001	He saw the image of wax and thought that it was a boy peddling bananas.	He saw the image of wax and thought that it was a boy peddling bananas.	true	128.99	132.52	18.719505
5154_26558_000004_000002	He had often pushed over boy banana peddlers, upset their baskets and then had run away with the bananas.	He had often pushed over boy banana peddlers, upset their baskets and then had run away with the bananas.	true	132.86	138.82	20.208147
5154_26558_000004_000003	This morning he was feeling very good-natured so he thought that he would first try asking politely for the bananas.	This morning he was feeling very good-natured so he thought that he would first try asking politely for the bananas.	false	139.4	146.17	17
5154_26558_000005_000000	"O, peddler boy, peddler boy," he said to him, "please give me a banana." The image of wax answered never a word.	"O, peddler boy, peddler boy," he said to him, "please give me a banana." The image of wax answered never a word.	true	147.26	154.87	24.431435
5154_26558_000006_000000	Again the monkey said, this time in a little louder voice, "O, peddler boy, peddler boy, please give me a banana, just one little, ripe little, sweet little banana." The image of wax answered never a word.	Again the monkey said, this time in a little louder voice, "O, peddler boy, peddler boy, please give me a banana, just one little, ripe little, sweet little banana." The image of wax answered never a word.	false	156.35	173.53	21.582947
5154_26558_000007_000000	Then the monkey called out in his loudest voice, "O, peddler boy, peddler boy, if you don't give me a banana I'll give you such a push that it will upset all of your bananas." The image of wax was silent.	Then the monkey called out in his loudest voice, "O, peddler boy, peddler boy, if you don't give me a banana I'll give you such a push that it will upset all of your bananas." The image of wax was silent.	true	174.17	187.54	22.53266
5154_26558_000008_000000	The monkey ran toward the image of wax and struck it hard with his hand.	The monkey ran toward the image of wax and struck it hard with his hand.	true	188.48	192.28	22.902569
5154_26558_000008_000001	His hand remained firmly embedded in the wax.	His hand remained firmly embedded in the wax.	true	192.53	195.82	19.425734
5154_26558_000009_000000	"O, peddler boy, peddler boy, let go my hand," the monkey called out. "Let go my hand and give me a banana or else I'll give you a hard, hard blow with my other hand." The image of wax did not let go.	"O, peddler boy, peddler boy, let go my hand," the monkey called out. "Let go my hand and give me a banana or else I'll give you a hard, hard blow with my other hand." The image of wax did not let go.	true	196.58	209.68	22.850603
5154_26558_000010_000000	The monkey gave the image a hard, hard blow with his other hand.	The monkey gave the image a hard, hard blow with his other hand.	true	211.19	214.45	25.811993
5154_26558_000010_000001	The other hand remained firmly embedded in the wax.	The other hand remained firmly embedded in the wax.	true	214.73	218.11	23.380558
5154_26558_000011_000000	Then the monkey called out, "O, peddler boy, peddler boy, let go my two hands.	Then the monkey called out, "O, peddler boy, peddler boy, let go my two hands.	true	218.75	222.79	25.229788
5154_26558_000011_000001	Let go my two hands and give me a banana or else I will give you a kick with my foot." The image of wax did not let go.	Let go my two hands and give me a banana or else I will give you a kick with my foot." The image of wax did not let go.	true	223.34	232.78	23.229185
5154_26558_000012_000000	The monkey gave the image a kick with his foot and his foot remained stuck fast in the wax.	The monkey gave the image a kick with his foot and his foot remained stuck fast in the wax.	true	232.91	238.36	21.862568
5154_26558_000013_000000	"O, peddler boy, peddler boy," the monkey cried, "let go my foot.	"O, peddler boy, peddler boy," the monkey cried, "let go my foot.	false	239.24	243.22	25.240284
5154_26558_000013_000001	Let go my two hands and my foot and give me a banana or else I'll give you a kick with my other foot." The image of wax did not let go.	Let go my two hands and my foot and give me a banana or else I'll give you a kick with my other foot." The image of wax did not let go.	true	243.23	253.09	23.55404
5154_26558_000014_000000	Then the monkey who was now very angry, gave the image of wax a kick with his foot and his foot remained stuck fast in the wax.	Then the monkey who was now very angry, gave the image of wax a kick with his foot and his foot remained stuck fast in the wax.	true	254.21	264.19	21.41106
5154_26558_000015_000000	The monkey shouted, "O, peddler boy, peddler boy, let go my foot.	The monkey shouted, "O, peddler boy, peddler boy, let go my foot.	true	264.95	269.055	25.954361
5154_26558_000015_000001	Let go my two feet and my two hands and give me a banana or else I'll give you a push with my body." The image of wax did not let go.	Let go my two feet and my two hands and give me a banana or else I'll give you a push with my body." The image of wax did not let go.	true	269.055	278.53	22.58594
5154_26558_000016_000000	The monkey gave the image of wax a push with his body.	The monkey gave the image of wax a push with his body.	true	279.62	282.7	24.11055
5154_26558_000016_000001	His body remained caught fast in the wax.	His body remained caught fast in the wax.	true	282.8	286.18	21.711544
5154_26558_000017_000000	"O, peddler boy, peddler boy," the monkey shouted, "let go my body! Let go my body and my two feet and my two hands or I'll call all the other monkeys to help me!"	"O, peddler boy, peddler boy," the monkey shouted, "let go my body! Let go my body and my two feet and my two hands or I'll call all the other monkeys to help me!"	true	287.06	297.88	23.039587
5154_26558_000017_000001	The image of wax did not let go.	The image of wax did not let go.	true	298.82	301.66	24.890987
5154_26558_000018_000000	Then the monkey made such an uproar with his cries and shouts that very soon monkeys came running from all directions.	Then the monkey made such an uproar with his cries and shouts that very soon monkeys came running from all directions.	true	303.11	309.55	20
5154_26558_000018_000001	There were big monkeys and little monkeys and middle-sized monkeys.	There were big monkeys and little monkeys and middle sized monkeys.	true	309.98	313.87	19
5154_26558_000018_000002	A whole army of monkeys had come to the aid of the biggest monkey.	A whole army of monkeys had come to the aid of the biggest monkey.	true	314.09	317.95	21.015663
5154_26558_000019_000000	It was the very littlest monkey who thought of a plan to help the biggest monkey out of his plight.	It was the very littlest monkey who thought of a plan to help the biggest monkey out of his plight.	true	318.86	323.83	20
