5154_26558_000000_000000	Perhaps you do not know it, but the monkeys think that all the bananas belong to them.	Perhaps you do not know it, but the monkeys think that all the bananas belong to them.
5154_26558_000001_000001	It was very difficult for the old woman to gather the bananas herself, so she made a bargain with the largest monkey.	It was very difficult for the old woman to gather the bananas herself, so she made a bargain with the largest monkey.
5154_26558_000001_000002	She told him that if he would gather the bunches of bananas for her she would give him half of them. The monkey gathered the bananas.	She told him that if he would gather the bunches of bananas for her she would give him half of them. The monkey gathered the bananas.
5154_26558_000001_000003	When he took his half he gave the little old woman the bananas which grow at the bottom of the bunch and are small and wrinkled.	When he took his half he gave the little old woman the bananas which grow at the bottom of the bunch and are small and wrinkled.
5154_26558_000001_000004	The nice big fat ones he kept for himself and carried them home to let them ripen in the dark.	The nice big fat ones he kept for himself and carried them home to let them ripen in the dark.
5154_26558_000002_000000	The little old woman was very angry.	The little old woman was very angry.
5154_26558_000003_000001	Then she placed a large flat basket on the top of the image's head and in the basket she placed the best ripe bananas she could find.	Then she placed a large flat basket on the top of the image's head and in the basket she placed the best ripe bananas she could find.
5154_26558_000004_000002	He had often pushed over boy banana peddlers, upset their baskets and then had run away with the bananas.	He had often pushed over boy banana peddlers, upset their baskets and then had run away with the bananas.
5154_26558_000005_000000	"O, peddler boy, peddler boy," he said to him, "please give me a banana." The image of wax answered never a word.	"O, peddler boy, peddler boy," he said to him, "please give me a banana." The image of wax answered never a word.
5154_26558_000007_000000	Then the monkey called out in his loudest voice, "O, peddler boy, peddler boy, if you don't give me a banana I'll give you such a push that it will upset all of your bananas." The image of wax was silent.	Then the monkey called out in his loudest voice, "O, peddler boy, peddler boy, if you don't give me a banana I'll give you such a push that it will upset all of your bananas." The image of wax was silent.
5154_26558_000008_000000	The monkey ran toward the image of wax and struck it hard with his hand.	The monkey ran toward the image of wax and struck it hard with his hand.
5154_26558_000009_000000	"O, peddler boy, peddler boy, let go my hand," the monkey called out. "Let go my hand and give me a banana or else I'll give you a hard, hard blow with my other hand." The image of wax did not let go.	"O, peddler boy, peddler boy, let go my hand," the monkey called out. "Let go my hand and give me a banana or else I'll give you a hard, hard blow with my other hand." The image of wax did not let go.
5154_26558_000010_000000	The monkey gave the image a hard, hard blow with his other hand.	The monkey gave the image a hard, hard blow with his other hand.
5154_26558_000010_000001	The other hand remained firmly embedded in the wax.	The other hand remained firmly embedded in the wax.
5154_26558_000011_000000	Then the monkey called out, "O, peddler boy, peddler boy, let go my two hands.	Then the monkey called out, "O, peddler boy, peddler boy, let go my two hands.
5154_26558_000011_000001	Let go my two hands and give me a banana or else I will give you a kick with my foot." The image of wax did not let go.	Let go my two hands and give me a banana or else I will give you a kick with my foot." The image of wax did not let go.
5154_26558_000012_000000	The monkey gave the image a kick with his foot and his foot remained stuck fast in the wax.	The monkey gave the image a kick with his foot and his foot remained stuck fast in the wax.
5154_26558_000013_000001	Let go my two hands and my foot and give me a banana or else I'll give you a kick with my other foot." The image of wax did not let go.	Let go my two hands and my foot and give me a banana or else I'll give you a kick with my other foot." The image of wax did not let go.
5154_26558_000014_000000	Then the monkey who was now very angry, gave the image of wax a kick with his foot and his foot remained stuck fast in the wax.	Then the monkey who was now very angry, gave the image of wax a kick with his foot and his foot remained stuck fast in the wax.
5154_26558_000015_000000	The monkey shouted, "O, peddler boy, peddler boy, let go my foot.	The monkey shouted, "O, peddler boy, peddler boy, let go my foot.
5154_26558_000015_000001	Let go my two feet and my two hands and give me a banana or else I'll give you a push with my body." The image of wax did not let go.	Let go my two feet and my two hands and give me a banana or else I'll give you a push with my body." The image of wax did not let go.
5154_26558_000016_000000	The monkey gave the image of wax a push with his body.	The monkey gave the image of wax a push with his body.
5154_26558_000016_000001	His body remained caught fast in the wax.	His body remained caught fast in the wax.
5154_26558_000017_000000	"O, peddler boy, peddler boy," the monkey shouted, "let go my body! Let go my body and my two feet and my two hands or I'll call all the other monkeys to help me!"	"O, peddler boy, peddler boy," the monkey shouted, "let go my body! Let go my body and my two feet and my two hands or I'll call all the other monkeys to help me!"
5154_26558_000017_000001	The image of wax did not let go.	The image of wax did not let go.
5154_26558_000018_000000	Then the monkey made such an uproar with his cries and shouts that very soon monkeys came running from all directions.	Then the monkey made such an uproar with his cries and shouts that very soon monkeys came running from all directions.
5154_26558_000018_000002	A whole army of monkeys had come to the aid of the biggest monkey.	A whole army of monkeys had come to the aid of the biggest monkey.
5154_26558_000019_000000	It was the very littlest monkey who thought of a plan to help the biggest monkey out of his plight.	It was the very littlest monkey who thought of a plan to help the biggest monkey out of his plight.
5154_26558_000019_000001	The monkeys were to climb up into the biggest tree and pile themselves one on top of another until they made a pyramid of monkeys.	The monkeys were to climb up into the biggest tree and pile themselves one on top of another until they made a pyramid of monkeys.
5154_26558_000020_000000	This is what all the big-sized, little-sized, middle-sized monkeys did.	This is what all the big sized, little sized, middle sized monkeys did.
5154_26558_000020_000001	The monkey with the loudest voice on top of the pyramid made the sun hear.	The monkey with the loudest voice on top of the pyramid made the sun hear.
5154_26558_000020_000002	The sun came at once.	The sun came at once.
5154_26558_000021_000001	After a while the wax began to melt.	After a while the wax began to melt.
5154_26558_000021_000002	The monkey was at last able to pull out one of his hands.	The monkey was at last able to pull out one of his hands.
5154_26558_000021_000003	The sun poured down more of his hottest rays and soon the monkey was able to pull out his two hands.	The sun poured down more of his hottest rays and soon the monkey was able to pull out his two hands.
5154_26558_000021_000004	Then he could pull out one foot, then another, and in a little while his body, too.	Then he could pull out one foot, then another, and in a little while his body, too.
5154_26558_000022_000000	When the little old woman saw what had happened she was very much discouraged about raising bananas.	When the little old woman saw what had happened she was very much discouraged about raising bananas.
5154_26558_000022_000001	She decided to move to another part of the world where she raised cabbages instead of bananas.	She decided to move to another part of the world where she raised cabbages instead of bananas.
