6993_83606_000000_000000	[36-1] _Second Visit to the United States_, i.	[thirty six to one] underscore Second Visit to the United States underscore, i.	false	0	3.21	16.467333
6993_83606_000000_000001	p. 252.	p. two hundred fifty two.	false	3.21	4.32	21.366962
6993_83606_000001_000000	[37-1] Martius, _Von dem Rechtzustande unter den Ureinwohnern Brasiliens_, p. 80: Muenchen, 1832; recently republished in his _Beitraege zur Ethnographie und Sprachenkunde Amerika's_: Leipzig, 1867.	[thirty seven to one] Martius, underscore Von dem Rechtzustande unter den Ureinwohnern Brasiliens underscore, p. eighty: Muenchen, eighteen thirty two; recently republished in his underscore Beitraege zur Ethnographie und Sprachenkunde Amerika's underscore: Leipzig, eighteen sixty seven.	false	4.32	11.97	19.772886
6993_83606_000002_000000	[38-1] _Athapaskische Sprachstamm_, p. 164: Berlin, 1856.	[thirty eight to one] underscore Athapaskische Sprachstamm underscore, p. one hundred sixty four: Berlin, eighteen fifty six.	false	11.97	17.88	22.89621
6993_83606_000003_000000	[38-2] Martius, _Von dem Rechtzustande unter den Ureinwohnern Brasiliens_, p. 77.	[thirty eight to two] Martius, underscore Von dem Rechtzustande unter den Ureinwohnern Brasiliens underscore, p. seventy seven.	false	17.88	24.42	21.984856
6993_83606_000004_000000	CHAPTER II.	CHAPTER two.	false	24.42	28.02	21.026947
6993_83606_000005_000000	THE IDEA OF GOD.	THE IDEA OF GOD.	true	28.02	29.58	20.26714
6993_83606_000006_000000	An intuition common to the species.--Words expressing it in American languages derived either from ideas of above in space, or of life manifested by breath.--Examples.--No conscious monotheism, and but little idea of immateriality discoverable.--Still less any moral dualism of deities, the Great Good Spirit and the Great Bad Spirit being alike terms and notions of foreign importation.	An intuition common to the species.--Words expressing it in American languages derived either from ideas of above in space, or of life manifested by breath.--Examples.--No conscious monotheism, and but little idea of immateriality discoverable.--Still less any moral dualism of deities, the Great Good Spirit and the Great Bad Spirit being alike terms and notions of foreign importation.	false	29.58	59.26	20.8736
6993_83606_000007_000000	If we accept the definition that mythology is the idea of God expressed in symbol, figure, and narrative, and always struggling toward a clearer utterance, it is well not only to trace this idea in its very earliest embodiment in language, but also, for the sake of comparison, to ask what is its latest and most approved expression.	If we accept the definition that mythology is the idea of God expressed in symbol, figure, and narrative, and always struggling toward a clearer utterance, it is well not only to trace this idea in its very earliest embodiment in language, but also, for the sake of comparison, to ask what is its latest and most approved expression.	true	60.44	82.62	20.75389
6993_83606_000007_000001	The reply to this is given us by Immanuel Kant.	The reply to this is given us by Immanuel Kant.	false	82.62	86.47	19.934246
6993_83606_000007_000002	He has shown that our reason, dwelling on the facts of experience, constantly seeks the principles which connect them together, and only rests satisfied in the conviction that there is a highest and first principle which reconciles all their discrepancies and binds them into one.	He has shown that our reason, dwelling on the facts of experience, constantly seeks the principles which connect them together, and only rests satisfied in the conviction that there is a highest and first principle which reconciles all their discrepancies and binds them into one.	true	86.66	104.14	20.8587
6993_83606_000007_000003	This he calls the Ideal of Reason.	This he calls the Ideal of Reason.	true	104.24	107.08	19.931784
6993_83606_000007_000004	It must be true, for it is evolved from the laws of reason, our only test of truth. Furthermore, the sense of personality and the voice of conscience, analyzed to their sources, can only be explained by the assumption of an infinite personality and an absolute standard of right.	It must be true, for it is evolved from the laws of reason, our only test of truth. Furthermore, the sense of personality and the voice of conscience, analyzed to their sources, can only be explained by the assumption of an infinite personality and an absolute standard of right.	true	107.63	126.49	21.391321
6993_83606_000007_000005	Or, if to some all this appears but wire-drawn metaphysical subtlety, they are welcome to the definition of the realist, that the idea of God is the sum of those intelligent activities which the individual, reasoning from the analogy of his own actions, imagines to be behind and to bring about natural phenomena.[44-1] If either of these be correct, it were hard to conceive how any tribe or even any sane man could be without some notion of divinity.	Or, if to some all this appears but wire drawn metaphysical subtlety, they are welcome to the definition of the realist, that the idea of God is the sum of those intelligent activities which the individual, reasoning from the analogy of his own actions, imagines to be behind and to bring about natural phenomena.[forty four to one] If either of these be correct, it were hard to conceive how any tribe or even any sane man could be without some notion of divinity.	false	126.8	156.16	20.326876
6993_83606_000008_000000	Certainly in America no instance of its absence has been discovered. Obscure, grotesque, unworthy it often was, but everywhere man was oppressed with a _sensus numinis_, a feeling that invisible, powerful agencies were at work around him, who, as they willed, could help or hurt him.	Certainly in America no instance of its absence has been discovered. Obscure, grotesque, unworthy it often was, but everywhere man was oppressed with a underscore sensus numinis underscore, a feeling that invisible, powerful agencies were at work around him, who, as they willed, could help or hurt him.	false	156.86	175.12	19.994698
6993_83606_000008_000001	In every heart was an altar to the Unknown God.	In every heart was an altar to the Unknown God.	true	175.61	178.84	20.240084
6993_83606_000008_000002	Not that it was customary to attach any idea of unity to these unseen powers.	Not that it was customary to attach any idea of unity to these unseen powers.	true	178.85	184.15	19.47721
6993_83606_000008_000003	The supposition that in ancient times and in very unenlightened conditions, before mythology had grown, a monotheism prevailed, which afterwards at various times was revived by reformers, is a belief that should have passed away when the delights of savage life and the praises of a state of nature ceased to be the themes of philosophers.	The supposition that in ancient times and in very unenlightened conditions, before mythology had grown, a monotheism prevailed, which afterwards at various times was revived by reformers, is a belief that should have passed away when the delights of savage life and the praises of a state of nature ceased to be the themes of philosophers.	false	184.28	206.32	21.506004
6993_83606_000008_000004	We are speaking of a people little capable of abstraction.	We are speaking of a people little capable of abstraction.	true	206.78	210.34	22.030527
6993_83606_000008_000005	The exhibitions of force in nature seemed to them the manifestations of that mysterious power felt by their self-consciousness; to combine these various manifestations and recognize them as the operations of one personality, was a step not easily taken.	The exhibitions of force in nature seemed to them the manifestations of that mysterious power felt by their self consciousness; to combine these various manifestations and recognize them as the operations of one personality, was a step not easily taken.	true	210.44	227.41	20.727224
6993_83606_000008_000006	Yet He is not far from every one of us.	Yet He is not far from every one of us.	true	227.72	230.17	20.31442
6993_83606_000008_000007	"Whenever man thinks clearly, or feels deeply, he conceives God as self-conscious unity," says Carriere, with admirable insight; and elsewhere, "we have monotheism, not in contrast to polytheism, not clear to the thought, but in living intuition in the religious sentiments."[45-1]	"Whenever man thinks clearly, or feels deeply, he conceives God as self conscious unity," says Carriere, with admirable insight; and elsewhere, "we have monotheism, not in contrast to polytheism, not clear to the thought, but in living intuition in the religious sentiments."[forty five to one]	false	230.45	251.34	21.573814
6993_83606_000009_000000	Thus it was among the Indians.	Thus it was among the Indians.	true	251.34	253.09	16
6993_83606_000009_000001	Therefore a word is usually found in their languages analogous to none in any European tongue, a word comprehending all manifestations of the unseen world, yet conveying no sense of personal unity.	Therefore a word is usually found in their languages analogous to none in any European tongue, a word comprehending all manifestations of the unseen world, yet conveying no sense of personal unity.	true	253.43	266.95	20.012377
