1100_124547_000000_000000	"For an hour, in Minneapolis, I must have been near Erik.	"For an hour, in Minneapolis, I must have been near Erik.	false	5.13	10.68	15
1100_124547_000000_000001	He's still there, somewhere.	He's still there, somewhere.	false	10.68	11.94	10
1100_124547_000000_000002	He'll be gone when I come back.	He'll be gone when I come back.	false	11.94	14.19	22
1100_124547_000000_000003	I'll never know where he has gone."	I'll never know where he has gone."	false	14.19	16.44	11
1100_124547_000001_000000	As Kennicott switched on the seat-light she turned drearily to the illustrations in a motion-picture magazine.	As Kennicott switched on the seat light she turned drearily to the illustrations in a motion picture magazine.	false	16.44	22.74	19
1100_124547_000002_000000	CHAPTER XXXIV	CHAPTER thirty four	true	22.74	24.22	19.73574
1100_124547_000003_000000	THEY journeyed for three and a half months.	THEY journeyed for three and a half months.	true	25.46	27.675	20
1100_124547_000003_000001	They saw the Grand Canyon, the adobe walls of Sante Fe and, in a drive from El Paso into Mexico, their first foreign land.	They saw the Grand Canyon, the adobe walls of Sante Fe and, in a drive from El Paso into Mexico, their first foreign land.	false	27.675	35.95	18
1100_124547_000003_000002	They jogged from San Diego and La Jolla to Los Angeles, Pasadena, Riverside, through towns with bell-towered missions and orange-groves; they viewed Monterey and San Francisco and a forest of sequoias.	They jogged from San Diego and La Jolla to Los Angeles, Pasadena, Riverside, through towns with bell towered missions and orange groves; they viewed Monterey and San Francisco and a forest of sequoias.	true	36.14	49.51	14
1100_124547_000003_000003	They bathed in the surf and climbed foothills and danced, they saw a polo game and the making of motion-pictures, they sent one hundred and seventeen souvenir post-cards to Gopher Prairie, and once, on a dune by a foggy sea when she was walking alone, Carol found an artist, and he looked up at her and said, "Too damned wet to paint; sit down and talk," and so for ten minutes she lived in a romantic novel.	They bathed in the surf and climbed foothills and danced, they saw a polo game and the making of motion pictures, they sent one hundred and seventeen souvenir post cards to Gopher Prairie, and once, on a dune by a foggy sea when she was walking alone, Carol found an artist, and he looked up at her and said, "Too damned wet to paint; sit down and talk," and so for ten minutes she lived in a romantic novel.	false	49.88	76.45	20
1100_124547_000004_000000	Her only struggle was in coaxing Kennicott not to spend all his time with the tourists from the ten thousand other Gopher Prairies.	Her only struggle was in coaxing Kennicott not to spend all his time with the tourists from the ten thousand other Gopher Prairies.	true	76.7	84.1	15
1100_124547_000004_000001	In winter, California is full of people from Iowa and Nebraska, Ohio and Oklahoma, who, having traveled thousands of miles from their familiar villages, hasten to secure an illusion of not having left them.	In winter, California is full of people from Iowa and Nebraska, Ohio and Oklahoma, who, having traveled thousands of miles from their familiar villages, hasten to secure an illusion of not having left them.	true	84.38	97.66	13
1100_124547_000004_000002	They hunt for people from their own states to stand between them and the shame of naked mountains; they talk steadily, in Pullmans, on hotel porches, at cafeterias and motion-picture shows, about the motors and crops and county politics back home.	They hunt for people from their own states to stand between them and the shame of naked mountains; they talk steadily, in Pullmans, on hotel porches, at cafeterias and motion picture shows, about the motors and crops and county politics back home.	true	98	113.29	16
1100_124547_000004_000003	Kennicott discussed land-prices with them, he went into the merits of the several sorts of motor cars with them, he was intimate with train porters, and he insisted on seeing the Luke Dawsons at their flimsy bungalow in Pasadena, where Luke sat and yearned to go back and make some more money.	Kennicott discussed land prices with them, he went into the merits of the several sorts of motor cars with them, he was intimate with train porters, and he insisted on seeing the luke Dawsons at their flimsy bungalow in Pasadena, where luke sat and yearned to go back and make some more money.	true	113.57	131.32	15
1100_124547_000004_000004	But Kennicott gave promise of learning to play.	But Kennicott gave promise of learning to play.	true	131.66	134.38	15
1100_124547_000004_000005	He shouted in the pool at the Coronado, and he spoke of (though he did nothing more radical than speak of) buying evening-clothes.	He shouted in the pool at the Coronado, and he spoke of (though he did nothing more radical than speak of) buying evening clothes.	true	134.48	142.59	18
1100_124547_000004_000006	Carol was touched by his efforts to enjoy picture galleries, and the dogged way in which he accumulated dates and dimensions when they followed monkish guides through missions.	Carol was touched by his efforts to enjoy picture galleries, and the dogged way in which he accumulated dates and dimensions when they followed monkish guides through missions.	true	142.59	152.29	14
1100_124547_000005_000000	She felt strong.	She felt strong.	true	152.6	154.03	21.516047
1100_124547_000005_000001	Whenever she was restless she dodged her thoughts by the familiar vagabond fallacy of running away from them, of moving on to a new place, and thus she persuaded herself that she was tranquil.	Whenever she was restless she dodged her thoughts by the familiar vagabond fallacy of running away from them, of moving on to a new place, and thus she persuaded herself that she was tranquil.	false	154.13	164.89	18
1100_124547_000005_000002	In March she willingly agreed with Kennicott that it was time to go home. She was longing for Hugh.	In March she willingly agreed with Kennicott that it was time to go home. She was longing for Hugh.	true	165.11	170.77	18.696363
1100_124547_000006_000000	They left Monterey on April first, on a day of high blue skies and poppies and a summer sea.	They left Monterey on April first, on a day of high blue skies and poppies and a summer sea.	false	170.96	177.04	16
1100_124547_000007_000000	As the train struck in among the hills she resolved, "I'm going to love the fine Will Kennicott quality that there is in Gopher Prairie.	As the train struck in among the hills she resolved, "I'm going to love the fine Will Kennicott quality that there is in Gopher Prairie.	true	177.35	186.34	18
1100_124547_000007_000001	The nobility of good sense.	The nobility of good sense.	true	186.71	188.77	20
1100_124547_000007_000002	It will be sweet to see Vida and Guy and the Clarks.	It will be sweet to see Vida and Guy and the Clarks.	false	188.93	192.25	18
1100_124547_000007_000003	And I'm going to see my baby!	And I'm going to see my baby!	true	192.44	194.29	18
1100_124547_000007_000004	All the words he'll be able to say now!	All the words he'll be able to say now!	true	194.72	197.05	15
1100_124547_000007_000005	It's a new start.	It's a new start.	true	197.45	198.97	23.091656
1100_124547_000007_000006	Everything will be different!"	Everything will be different!"	true	198.98	200.83	16.407497
1100_124547_000008_000000	Thus on April first, among dappled hills and the bronze of scrub oaks, while Kennicott seesawed on his toes and chuckled, "Wonder what Hugh'll say when he sees us?"	Thus on April first, among dappled hills and the bronze of scrub oaks, while Kennicott seesawed on his toes and chuckled, "Wonder what Hugh'll say when he sees us?"	false	201.47	212.74	16
1100_124547_000009_000000	Three days later they reached Gopher Prairie in a sleet storm.	Three days later they reached Gopher Prairie in a sleet storm.	true	212.99	216.87	19
1100_124547_000010_000000	II	two	false	216.87	217.98	-5
1100_124547_000011_000000	No one knew that they were coming; no one met them; and because of the icy roads, the only conveyance at the station was the hotel 'bus, which they missed while Kennicott was giving his trunk-check to the station agent--the only person to welcome them.	No one knew that they were coming; no one met them; and because of the icy roads, the only conveyance at the station was the hotel 'bus, which they missed while Kennicott was giving his trunk check to the station agent-the only person to welcome them.	true	217.98	232.84	17
1100_124547_000011_000001	Carol waited for him in the station, among huddled German women with shawls and umbrellas, and ragged-bearded farmers in corduroy coats; peasants mute as oxen, in a room thick with the steam of wet coats, the reek of the red-hot stove, the stench of sawdust boxes which served as cuspidors.	Carol waited for him in the station, among huddled German women with shawls and umbrellas, and ragged bearded farmers in corduroy coats; peasants mute as oxen, in a room thick with the steam of wet coats, the reek of the red hot stove, the stench of sawdust boxes which served as cuspidors.	true	232.97	251.14	18
1100_124547_000011_000002	The afternoon light was as reluctant as a winter dawn.	The afternoon light was as reluctant as a winter dawn.	false	251.48	255.15	22
1100_124547_000012_000000	"This is a useful market-center, an interesting pioneer post, but it is not a home for me," meditated the stranger Carol.	"This is a useful market center, an interesting pioneer post, but it is not a home for me," meditated the stranger Carol.	true	255.15	262.84	18.531942
1100_124547_000013_000000	Kennicott suggested, "I'd 'phone for a flivver but it'd take quite a while for it to get here.	Kennicott suggested, "I'd 'phone for a flivver but it'd take quite a while for it to get here.	true	263.33	268.26	17
1100_124547_000013_000001	Let's walk."	Let's walk."	true	268.26	269.38	19.743532
1100_124547_000014_000000	They stepped uncomfortably from the safety of the plank platform and, balancing on their toes, taking cautious strides, ventured along the road.	They stepped uncomfortably from the safety of the plank platform and, balancing on their toes, taking cautious strides, ventured along the road.	true	269.54	277.93	18
1100_124547_000014_000001	The sleety rain was turning to snow.	The sleety rain was turning to snow.	false	277.97	280.06	19.090843
1100_124547_000014_000002	The air was stealthily cold. Beneath an inch of water was a layer of ice, so that as they wavered with their suit-cases they slid and almost fell.	The air was stealthily cold. Beneath an inch of water was a layer of ice, so that as they wavered with their suit cases they slid and almost fell.	true	280.16	290.17	19
1100_124547_000014_000003	The wet snow drenched their gloves; the water underfoot splashed their itching ankles.	The wet snow drenched their gloves; the water underfoot splashed their itching ankles.	true	290.84	296.23	21
1100_124547_000014_000004	They scuffled inch by inch for three blocks.	They scuffled inch by inch for three blocks.	true	296.45	299.2	21
1100_124547_000014_000005	In front of Harry Haydock's Kennicott sighed:	In front of Harry Haydock's Kennicott sighed:	true	299.21	301.93	19
1100_124547_000015_000000	"We better stop in here and 'phone for a machine."	"We better stop in here and 'phone for a machine."	true	302.24	305.11	19
1100_124547_000016_000000	She followed him like a wet kitten.	She followed him like a wet kitten.	true	305.21	307.24	19.62113
1100_124547_000017_000000	The Haydocks saw them laboring up the slippery concrete walk, up the perilous front steps, and came to the door chanting:	The Haydocks saw them laboring up the slippery concrete walk, up the perilous front steps, and came to the door chanting:	true	307.73	314.68	19
1100_124547_000018_000000	"Well, well, well, back again, eh?	"Well, well, well, back again, eh?	true	314.75	317.35	14
1100_124547_000018_000001	Say, this is fine!	Say, this is fine!	true	317.45	319.035	16
1100_124547_000018_000002	Have a fine trip? My, you look like a rose, Carol.	Have a fine trip? My, you look like a rose, Carol.	true	319.035	322.24	13
1100_124547_000018_000003	How did you like the coast, doc?	How did you like the coast, doc?	true	322.52	324.555	19
1100_124547_000018_000004	Well, well, well!	Well, well, well!	true	324.555	325.92	11
1100_124547_000018_000005	Where-all did you go?"	Where all did you go?"	true	325.92	327.22	17
1100_124547_000019_000000	But as Kennicott began to proclaim the list of places achieved, Harry interrupted with an account of how much he himself had seen, two years ago.	But as Kennicott began to proclaim the list of places achieved, Harry interrupted with an account of how much he himself had seen, two years ago.	true	327.62	335.98	15
