2573_178449_000001_000000	CHAPTER XIX	CHAPTER nineteen
2573_178449_000003_000000	Presently, however, he spoke effectively.	Presently, however, he spoke effectively.
2573_178449_000003_000002	"Here's another difference between Midas and chicken," Sheridan remarked, grimly.	"Here's another difference between Midas and chicken," Sheridan remarked, grimly.
2573_178449_000003_000003	"Midas can eat rooster, but rooster can't eat Midas.	"Midas can eat rooster, but rooster can't eat Midas.
2573_178449_000003_000005	Midas looks to me like he had the advantage there."	Midas looks to me like he had the advantage there."
2573_178449_000004_000000	Bibbs retained enough presence of mind to transfer the capon breast to his plate without dropping it and to respond, "Yes--he crows over it."	Bibbs retained enough presence of mind to transfer the capon breast to his plate without dropping it and to respond, "Yes-he crows over it."
2573_178449_000005_000000	Having returned his antagonists's fire in this fashion, he blushed--for he could blush distinctly now--and his mother looked upon him with pleasure, thought the reference to Midas and roosters was of course jargon to her.	Having returned his antagonists's fire in this fashion, he blushed-for he could blush distinctly now-and his mother looked upon him with pleasure, thought the reference to Midas and roosters was of course jargon to her.
2573_178449_000005_000001	"Did you ever see anybody improve the way that child has!" she exclaimed.	"Did you ever see anybody improve the way that child has!" she exclaimed.
2573_178449_000005_000002	"I declare, Bibbs, sometimes lately you look right handsome!"	"I declare, Bibbs, sometimes lately you look right handsome!"
2573_178449_000006_000000	"He's got to be such a gadabout," Edith giggled.	"He's got to be such a gadabout," Edith giggled.
2573_178449_000007_000000	"I found something of his on the floor up-stairs this morning, before anybody was up," said Sheridan.	"I found something of his on the floor up stairs this morning, before anybody was up," said Sheridan.
2573_178449_000007_000001	"I reckon if people lose things in this house and expect to get 'em back, they better get up as soon as I do."	"I reckon if people lose things in this house and expect to get 'em back, they better get up as soon as I do."
2573_178449_000008_000000	"What was it he lost?" asked Edith.	"What was it he lost?" asked Edith.
2573_178449_000009_000001	"Seems to me like I forgot to bring it home with me.	"Seems to me like I forgot to bring it home with me.
2573_178449_000009_000002	I looked it over--thought probably it was something pretty important, belongin' to a busy man like him." He affected to search his pockets.	I looked it over-thought probably it was something pretty important, belongin' to a busy man like him." He affected to search his pockets.
2573_178449_000009_000003	"What DID I do with it, now?	"What DID I do with it, now?
2573_178449_000009_000004	Oh yes!	Oh yes!
2573_178449_000011_000000	Sheridan gave him a grin.	Sheridan gave him a grin.
2573_178449_000011_000001	"Perhaps pretty soon you'll be gettin' up early enough to find things before I do!"	"Perhaps pretty soon you'll be gettin' up early enough to find things before I do!"
2573_178449_000013_000001	He spoke lightly, not sadly.	He spoke lightly, not sadly.
2573_178449_000014_000000	"Yes, it's come.	"Yes, it's come.
2573_178449_000014_000001	I've shirked and put off, but I can't shirk and put off any longer.	I've shirked and put off, but I can't shirk and put off any longer.
2573_178449_000014_000002	It's really my part to go to him--at least it would save my face.	It's really my part to go to him-at least it would save my face.
2573_178449_000014_000003	He means what he says, and the time's come to serve my sentence. Hard labor for life, I think."	He means what he says, and the time's come to serve my sentence. Hard labor for life, I think."
2573_178449_000015_000000	Mary shook her head.	Mary shook her head.
2573_178449_000015_000001	"I don't think so.	"I don't think so.
2573_178449_000015_000002	He's too kind."	He's too kind."
2573_178449_000016_000000	"You think my father's KIND?" And Bibbs stared at her.	"You think my father's KIND?" And Bibbs stared at her.
2573_178449_000017_000001	I'm sure of it.	I'm sure of it.
2573_178449_000017_000003	It's only that he has to be kind in his own way--because he can't understand any other way."	It's only that he has to be kind in his own way-because he can't understand any other way."
2573_178449_000018_000001	"If that's what you mean by 'kind'!"	"If that's what you mean by 'kind'!"
2573_178449_000019_000000	She looked at him gravely, earnest concern in her friendly eyes.	She looked at him gravely, earnest concern in her friendly eyes.
2573_178449_000019_000001	"It's going to be pretty hard for you, isn't it?"	"It's going to be pretty hard for you, isn't it?"
2573_178449_000020_000001	"This has been just the last flicker of revolt.	"This has been just the last flicker of revolt.
2573_178449_000020_000003	To-morrow I'll be a day-laborer."	To morrow I'll be a day laborer."
2573_178449_000021_000000	"What is it like--exactly?"	"What is it like-exactly?"
2573_178449_000022_000000	"I get up at six," he said.	"I get up at six," he said.
