2053_138901_000002_000000	CHAPTER LXV.	CHAPTER sixty five.
2053_138901_000003_000000	The First Kiss.	The First Kiss.
2053_138901_000004_000000	"Hush!" said the widow, "there's a carriage coming on the road--close to us." Mrs. Greenow, as she spoke these words, drew back from the Captain's arms before the first kiss of permitted ante-nuptial love had been exchanged.	"Hush!" said the widow, "there's a carriage coming on the road-close to us." mrs Greenow, as she spoke these words, drew back from the Captain's arms before the first kiss of permitted ante nuptial love had been exchanged.
2053_138901_000004_000001	The scene was on the high road from Shap to Vavasor, and as she was still dressed in all the sombre habiliments of early widowhood, and as neither he nor his sweetheart were under forty, perhaps it was as well that they were not caught toying together in so very public a place.	The scene was on the high road from Shap to Vavasor, and as she was still dressed in all the sombre habiliments of early widowhood, and as neither he nor his sweetheart were under forty, perhaps it was as well that they were not caught toying together in so very public a place.
2053_138901_000004_000002	But they were only just in time to escape the vigilant eyes of a new visitor.	But they were only just in time to escape the vigilant eyes of a new visitor.
2053_138901_000004_000003	Round the corner of the road, at a sharp trot, came the Shap post-horse, with the Shap gig behind him,--the same gig which had brought Bellfield to Vavasor on the previous day,--and seated in the gig, looming large, with his eyes wide awake to everything round him, was--Mr.	Round the corner of the road, at a sharp trot, came the Shap post horse, with the Shap gig behind him,--the same gig which had brought Bellfield to Vavasor on the previous day,--and seated in the gig, looming large, with his eyes wide awake to everything round him, was-mr
2053_138901_000004_000004	Cheesacre.	Cheesacre.
2053_138901_000005_000001	As regarded her, her annoyance had chiefly reference to her two nieces, and especially to Alice. How was she to account for this second lover?	As regarded her, her annoyance had chiefly reference to her two nieces, and especially to Alice. How was she to account for this second lover?
2053_138901_000005_000004	Before the wheels had stopped, Mrs. Greenow had begun to reflect whether it might be possible that she should send Mr. Cheesacre back without letting him go on to the Hall; but if Mrs. Greenow was dismayed, what were the feelings of the Captain?	Before the wheels had stopped, mrs Greenow had begun to reflect whether it might be possible that she should send mr Cheesacre back without letting him go on to the Hall; but if mrs Greenow was dismayed, what were the feelings of the Captain?
2053_138901_000006_000000	"That man's wanted by the police," said Cheesacre, speaking while the gig was still in motion.	"That man's wanted by the police," said Cheesacre, speaking while the gig was still in motion.
2053_138901_000006_000001	"He's wanted by the police, Mrs. Greenow," and in his ardour he stood up in the gig and pointed at Bellfield. Then the gig stopped suddenly, and he fell back into his seat in his effort to prevent his falling forward.	"He's wanted by the police, mrs Greenow," and in his ardour he stood up in the gig and pointed at Bellfield. Then the gig stopped suddenly, and he fell back into his seat in his effort to prevent his falling forward.
2053_138901_000006_000002	"He's wanted by the police," he shouted out again, as soon as he was able to recover his voice.	"He's wanted by the police," he shouted out again, as soon as he was able to recover his voice.
2053_138901_000007_000000	Mrs. Greenow turned pale beneath the widow's veil which she had dropped.	mrs Greenow turned pale beneath the widow's veil which she had dropped.
2053_138901_000007_000001	What might not her Captain have done?	What might not her Captain have done?
2053_138901_000007_000003	"Oh, my!" she said, and dropped her hand from his arm, which she had taken.	"Oh, my!" she said, and dropped her hand from his arm, which she had taken.
2053_138901_000008_000000	"It's false," said Bellfield.	"It's false," said Bellfield.
2053_138901_000009_000000	"It's true," said Cheesacre.	"It's true," said Cheesacre.
2053_138901_000010_000000	"I'll indict you for slander, my friend," said Bellfield.	"I'll indict you for slander, my friend," said Bellfield.
2053_138901_000011_000000	"Pay me the money you owe me," said Cheesacre.	"Pay me the money you owe me," said Cheesacre.
2053_138901_000011_000001	"You're a swindler!"	"You're a swindler!"
2053_138901_000012_000000	Mrs. Greenow cared little as to her lover being a swindler in Mr. Cheesacre's estimation.	mrs Greenow cared little as to her lover being a swindler in mr Cheesacre's estimation.
2053_138901_000012_000001	Such accusations from him she had heard before.	Such accusations from him she had heard before.
2053_138901_000012_000002	But she did care very much as to this mission of the police against her Captain.	But she did care very much as to this mission of the police against her Captain.
2053_138901_000012_000003	If that were true, the Captain could be her Captain no longer.	If that were true, the Captain could be her Captain no longer.
2053_138901_000012_000004	"What is this I hear, Captain Bellfield?" she said.	"What is this I hear, Captain Bellfield?" she said.
2053_138901_000013_000000	"It's a lie and a slander.	"It's a lie and a slander.
2053_138901_000013_000002	What police are after me, Mr. Cheesacre?"	What police are after me, mr Cheesacre?"
2053_138901_000014_000000	"It's the police, or the sheriff's officer, or something of the kind," said Cheesacre.	"It's the police, or the sheriff's officer, or something of the kind," said Cheesacre.
2053_138901_000015_000002	Sheriff's officers can be paid, and there's an end of them."	Sheriff's officers can be paid, and there's an end of them."
2053_138901_000016_000000	"I'll indict him for the libel--I will, as sure as I'm alive," said Bellfield.	"I'll indict him for the libel-I will, as sure as I'm alive," said Bellfield.
2053_138901_000017_000000	"Nonsense," said the widow.	"Nonsense," said the widow.
2053_138901_000017_000001	"Don't you make a fool of yourself.	"Don't you make a fool of yourself.
2053_138901_000017_000002	When men can't pay their way they must put up with having things like that said of them.	When men can't pay their way they must put up with having things like that said of them.
2053_138901_000017_000003	Mr. Cheesacre, where were you going?"	mr Cheesacre, where were you going?"
2053_138901_000018_000000	"I was going to Vavasor Hall, on purpose to caution you."	"I was going to Vavasor Hall, on purpose to caution you."
2053_138901_000019_000000	"It's too late," said Mrs. Greenow, sinking behind her veil.	"It's too late," said mrs Greenow, sinking behind her veil.
2053_138901_000020_000000	"Why, you haven't been and married him since yesterday?	"Why, you haven't been and married him since yesterday?
2053_138901_000022_000000	"I'm not one to intrude where I'm not wanted.	"I'm not one to intrude where I'm not wanted.
2053_138901_000022_000001	You may be sure of that.	You may be sure of that.
2053_138901_000024_000000	Nevertheless, the widow had contrived to reconcile the two men before she reached the Hall.	Nevertheless, the widow had contrived to reconcile the two men before she reached the Hall.
2053_138901_000024_000001	They had actually shaken hands, and the lamb Cheesacre had agreed to lie down with the wolf Bellfield.	They had actually shaken hands, and the lamb Cheesacre had agreed to lie down with the wolf Bellfield.
2053_138901_000024_000002	Cheesacre, moreover, had contrived to whisper into the widow's ears the true extent of his errand into Westmoreland.	Cheesacre, moreover, had contrived to whisper into the widow's ears the true extent of his errand into Westmoreland.
2053_138901_000024_000003	This, however, he did not do altogether in Bellfield's hearing.	This, however, he did not do altogether in Bellfield's hearing.
2053_138901_000024_000005	She merely frowned at him, and bade him begone, so that the walk which Mrs. Greenow began with one lover she ended in company with the other.	She merely frowned at him, and bade him begone, so that the walk which mrs Greenow began with one lover she ended in company with the other.
2053_138901_000025_000000	Bellfield, who was sent on to the house, found Alice and Kate surveying the newly arrived carpet bag.	Bellfield, who was sent on to the house, found Alice and Kate surveying the newly arrived carpet bag.
