7286_92935_000001_000000	CHAPTER XXV	CHAPTER twenty five
7286_92935_000002_000000	FLORENCE NIGHTINGALE	FLORENCE NIGHTINGALE
7286_92935_000004_000000	She was born in 1822 in the city of Florence in Italy, and was named after the place where she first drew breath.	She was born in eighteen twenty two in the city of Florence in Italy, and was named after the place where she first drew breath.
7286_92935_000004_000001	Her father was William Nightingale, an English gentleman, and her elder sister, Parthenope, also took her name from the place where she was born, for Parthenope is the ancient term for Naples.	Her father was William Nightingale, an English gentleman, and her elder sister, Parthenope, also took her name from the place where she was born, for Parthenope is the ancient term for Naples.
7286_92935_000005_000000	The Nightingale family did not remain long in Italy, and soon after the birth of his youngest child William Nightingale, with his wife and two little daughters, returned to England where the two girls spent their childhood in a rambling old house in Derbyshire with many traditions and stories attached to it.	The Nightingale family did not remain long in Italy, and soon after the birth of his youngest child William Nightingale, with his wife and two little daughters, returned to England where the two girls spent their childhood in a rambling old house in Derbyshire with many traditions and stories attached to it.
7286_92935_000005_000001	Here Florence conceived a love for nursing and used to tend sick animals in the neighborhood and when she grew older, to sit up with and cheer the sick among the cottagers.	Here Florence conceived a love for nursing and used to tend sick animals in the neighborhood and when she grew older, to sit up with and cheer the sick among the cottagers.
7286_92935_000005_000003	Poor men used to come hat in hand to the old house requesting that Miss Florence spend a few hours with a sick wife or a young mother, and the Nightingales were kind enough and sensible enough to allow their daughter to do the work for which she had so evident an inclination.	Poor men used to come hat in hand to the old house requesting that Miss Florence spend a few hours with a sick wife or a young mother, and the Nightingales were kind enough and sensible enough to allow their daughter to do the work for which she had so evident an inclination.
7286_92935_000006_000001	Sick people were expected to be cared for by their relatives; hospitals were inefficient and badly run, and the comforts of the modern sickroom were unknown.	Sick people were expected to be cared for by their relatives; hospitals were inefficient and badly run, and the comforts of the modern sickroom were unknown.
7286_92935_000006_000002	As Florence grew older she thought a great deal about these things, and finally decided that she would do something which at that time was regarded almost as strange as if she had declared her intention of visiting the North Pole--she said she was going to become a professional trained nurse, and went abroad to study nursing on the Continent which was far ahead of England in such matters.	As Florence grew older she thought a great deal about these things, and finally decided that she would do something which at that time was regarded almost as strange as if she had declared her intention of visiting the North Pole-she said she was going to become a professional trained nurse, and went abroad to study nursing on the Continent which was far ahead of England in such matters.
7286_92935_000008_000000	This home, like many another benevolent institution in those times, was badly administered.	This home, like many another benevolent institution in those times, was badly administered.
7286_92935_000008_000001	As it constantly showed a deficit, its friends had become discouraged in supporting it, and the subscriptions on which it lived had been falling off.	As it constantly showed a deficit, its friends had become discouraged in supporting it, and the subscriptions on which it lived had been falling off.
7286_92935_000008_000002	The ladies who were compelled to remain there did not receive the care that they should have had, and were unhappy and dispirited.	The ladies who were compelled to remain there did not receive the care that they should have had, and were unhappy and dispirited.
7286_92935_000008_000003	This was the state of affairs when Florence Nightingale became the Superintendent of the Home.	This was the state of affairs when Florence Nightingale became the Superintendent of the Home.
7286_92935_000009_000000	In a very short time the Home was completely changed.	In a very short time the Home was completely changed.
7286_92935_000009_000001	Miss Nightingale had personally visited the former subscribers, and secured once more their help and patronage.	Miss Nightingale had personally visited the former subscribers, and secured once more their help and patronage.
7286_92935_000010_000000	Then war broke out between England, France and Turkey on the one side and Russia on the other,--a war that was brought about among other reasons by the desire of the Russian Czar to seize and hold the port of Constantinople.	Then war broke out between England, France and Turkey on the one side and Russia on the other,--a war that was brought about among other reasons by the desire of the Russian Czar to seize and hold the port of Constantinople.
7286_92935_000010_000001	Great Britain and France supported the Turks and active fighting commenced.	Great Britain and France supported the Turks and active fighting commenced.
7286_92935_000010_000002	The theater of war soon shifted to the Crimean Peninsula where the British and French laid siege to the town of Sebastopol which was Russia's most important fortress and chief base of supplies.	The theater of war soon shifted to the Crimean Peninsula where the British and French laid siege to the town of Sebastopol which was Russia's most important fortress and chief base of supplies.
7286_92935_000010_000003	Before the walls of Sebastopol there took place severe fighting, which continued until bitter winter rendered further campaigning impossible.	Before the walls of Sebastopol there took place severe fighting, which continued until bitter winter rendered further campaigning impossible.
7286_92935_000011_000000	While the war was going on thousands of sick and wounded British soldiers were pouring into the base hospitals at Scutari, where no provision for their care had been made.	While the war was going on thousands of sick and wounded British soldiers were pouring into the base hospitals at Scutari, where no provision for their care had been made.
7286_92935_000011_000001	With the constant flood of wounded men, and men who were dying of dysentery and cholera, with no medical supplies and little food, with no nurses and only a few doctors, the condition of the British wounded soon became terrible beyond description.	With the constant flood of wounded men, and men who were dying of dysentery and cholera, with no medical supplies and little food, with no nurses and only a few doctors, the condition of the British wounded soon became terrible beyond description.
7286_92935_000011_000002	As there were no field dressing stations they had to be carried for days with their wounds undressed before they reached the hospital, and when they arrived it was often some time before the harassed doctors could care for them.	As there were no field dressing stations they had to be carried for days with their wounds undressed before they reached the hospital, and when they arrived it was often some time before the harassed doctors could care for them.
7286_92935_000011_000003	They were brought in with their uniforms covered with filth and blood, and were laid in long rows on the floors of the hospital where few cots were to be found.	They were brought in with their uniforms covered with filth and blood, and were laid in long rows on the floors of the hospital where few cots were to be found.
7286_92935_000011_000004	Vermin crawled over the floors, over the walls and over the bodies of the helpless men.	Vermin crawled over the floors, over the walls and over the bodies of the helpless men.
7286_92935_000011_000005	Rats gnawed the fingers of the wounded who were too weak to drive them away.	Rats gnawed the fingers of the wounded who were too weak to drive them away.
7286_92935_000011_000006	There were no conveniences of any kind and many men died of exhaustion because no food adequate for the sick could be prepared.	There were no conveniences of any kind and many men died of exhaustion because no food adequate for the sick could be prepared.
7286_92935_000011_000007	All the food, we are told, consisted of beef and vegetables boiled together in one huge caldron, into which new supplies were thrown indiscriminately as fast as they were delivered.	All the food, we are told, consisted of beef and vegetables boiled together in one huge caldron, into which new supplies were thrown indiscriminately as fast as they were delivered.
7286_92935_000011_000008	The bread was moldy and the beef too tough even for well men to eat.	The bread was moldy and the beef too tough even for well men to eat.
7286_92935_000012_000001	But owing to the inefficiency and red tape of the War Department, the supplies were not delivered, but lay rotting in warehouses and in the holds of vessels while men died for the want of them.	But owing to the inefficiency and red tape of the War Department, the supplies were not delivered, but lay rotting in warehouses and in the holds of vessels while men died for the want of them.
7286_92935_000012_000002	On one occasion, we are told, a consignment of shoes for the soldiers turned out to be in women's sizes.	On one occasion, we are told, a consignment of shoes for the soldiers turned out to be in women's sizes.
7286_92935_000012_000003	Improper inspections resulted in high profits, for the army contractors made uniforms out of shoddy and leather accouterments from paper, filled the cores of hay bales with kale stocks and cheated the Government right and left without forbearance or conscience.	Improper inspections resulted in high profits, for the army contractors made uniforms out of shoddy and leather accouterments from paper, filled the cores of hay bales with kale stocks and cheated the Government right and left without forbearance or conscience.
7286_92935_000013_000000	Then the newspapers began calling for English women to go to the Crimea and care for the sick, and Florence Nightingale heard the call.	Then the newspapers began calling for English women to go to the Crimea and care for the sick, and Florence Nightingale heard the call.
7286_92935_000013_000001	She wrote a letter to Sydney Herbert who was Minister of War, volunteering to organize a body of nurses and go out to the Crimea to care for the wounded.	She wrote a letter to Sydney Herbert who was Minister of War, volunteering to organize a body of nurses and go out to the Crimea to care for the wounded.
7286_92935_000014_000000	Right then a curious thing happened.	Right then a curious thing happened.
7286_92935_000014_000001	The War Department had already decided that Miss Nightingale was the one person who could take charge of the reorganization of the hospitals in the Crimea, and had written a letter requesting her services.	The War Department had already decided that Miss Nightingale was the one person who could take charge of the reorganization of the hospitals in the Crimea, and had written a letter requesting her services.
7286_92935_000014_000002	Offer and request crossed each other in the mails.	Offer and request crossed each other in the mails.
7286_92935_000014_000003	On the following day her appointment was officially announced, and she was overwhelmed with proffers of assistance from all sides.	On the following day her appointment was officially announced, and she was overwhelmed with proffers of assistance from all sides.
