1079_128632_000001_000000	Salt the fish and dip in equal parts of flour and corn-meal, thoroughly mixed.	Salt the fish and dip in equal parts of flour and corn meal, thoroughly mixed.
1079_128632_000002_000000	FRIED BROOK-TROUT	FRIED BROOK TROUT
1079_128632_000005_000000	Remove the fillets from slices of sea-trout, dip in beaten egg, then in seasoned crumbs, and fry in deep fat.	Remove the fillets from slices of sea trout, dip in beaten egg, then in seasoned crumbs, and fry in deep fat.
1079_128632_000005_000001	Serve with Tartar Sauce.	Serve with Tartar Sauce.
1079_128632_000007_000000	Boil and cool a trout and divide into fillets, removing the bone. Season with lemon-juice, chopped onion, and minced parsley, and cover with a very thick Cream Sauce.	Boil and cool a trout and divide into fillets, removing the bone. Season with lemon juice, chopped onion, and minced parsley, and cover with a very thick Cream Sauce.
1079_128632_000007_000001	Dip into crumbs, then into beaten egg, then into crumbs, fry in deep fat, and serve with any preferred sauce.	Dip into crumbs, then into beaten egg, then into crumbs, fry in deep fat, and serve with any preferred sauce.
1079_128632_000008_000000	FRIED TROUT WITH MUSHROOM SAUCE	FRIED TROUT WITH MUSHROOM SAUCE
1079_128632_000010_000000	TROUT WITH REMOULADE SAUCE	TROUT WITH REMOULADE SAUCE
1079_128632_000011_000000	Saute a small trout in butter, drain on brown paper, and serve with Remoulade Sauce.	Saute a small trout in butter, drain on brown paper, and serve with Remoulade Sauce.
1079_128632_000012_000000	FILLETS OF TROUT A L'AURORE	FILLETS OF TROUT A L'AURORE
1079_128632_000013_000000	Saute the fillets of a cleaned trout in butter, seasoning with salt and pepper.	Saute the fillets of a cleaned trout in butter, seasoning with salt and pepper.
1079_128632_000015_000000	Scrape and clean the trout, stuff with seasoned crumbs, and put into a buttered baking-dish.	Scrape and clean the trout, stuff with seasoned crumbs, and put into a buttered baking dish.
1079_128632_000015_000002	Bake, basting frequently.	Bake, basting frequently.
1079_128632_000015_000003	Thicken the liquid with butter and flour cooked together, pour over the fish, and serve.	Thicken the liquid with butter and flour cooked together, pour over the fish, and serve.
