6233_61742_000004_000000	CHAPTER THIRTY EIGHT.	CHAPTER THIRTY EIGHT.
6233_61742_000005_000000	THE AVENGERS.	THE AVENGERS.
6233_61742_000006_000000	Hastily--perhaps too truly--construing the sinister evidence, the half-frantic father leaped into the bloody saddle, and galloped direct for the Fort.	Hastily-perhaps too truly-construing the sinister evidence, the half frantic father leaped into the bloody saddle, and galloped direct for the Fort.
6233_61742_000007_000000	Calhoun, upon his own horse, followed close after.	Calhoun, upon his own horse, followed close after.
6233_61742_000009_000000	The Indians were out, and near at hand, reaping their harvest of scalps! That of young Poindexter was the firstfruits of their sanguinary gleaning!	The Indians were out, and near at hand, reaping their harvest of scalps! That of young Poindexter was the firstfruits of their sanguinary gleaning!
6233_61742_000010_000000	Henry Poindexter--the noble generous youth who had not an enemy in all Texas!	Henry Poindexter-the noble generous youth who had not an enemy in all Texas!
6233_61742_000010_000001	Who but Indians could have spilled such innocent blood?	Who but Indians could have spilled such innocent blood?
6233_61742_000010_000002	Only the Comanches could have been so cruel?	Only the Comanches could have been so cruel?
6233_61742_000011_000000	Among the horsemen, who came quickly together on the parade ground of Port Inge, no one doubted that the Comanches had done the deed.	Among the horsemen, who came quickly together on the parade ground of Port Inge, no one doubted that the Comanches had done the deed.
6233_61742_000011_000001	It was simply a question of how, when, and where.	It was simply a question of how, when, and where.
6233_61742_000012_000000	The blood drops pretty clearly, proclaimed the first.	The blood drops pretty clearly, proclaimed the first.
6233_61742_000012_000001	He who had shed them must have been shot, or speared, while sitting in his saddle.	He who had shed them must have been shot, or speared, while sitting in his saddle.
6233_61742_000012_000002	They were mostly on the off side; where they presented an appearance, as if something had been slaked over them.	They were mostly on the off side; where they presented an appearance, as if something had been slaked over them.
6233_61742_000012_000004	Of course it was the body of the rider as it slipped lifeless to the earth.	Of course it was the body of the rider as it slipped lifeless to the earth.
6233_61742_000014_000000	According to them the blood was scarce "ten hours old:" in other words, must have been shed about ten hours before.	According to them the blood was scarce "ten hours old:" in other words, must have been shed about ten hours before.
6233_61742_000017_000001	Where was the body to be found?	Where was the body to be found?
6233_61742_000018_000000	After that, where should the assassins be sought for?	After that, where should the assassins be sought for?
6233_61742_000019_000000	These were the questions discussed by the mixed council of settlers and soldiers, hastily assembled at Port Inge, and presided over by the commandant of the Fort--the afflicted father standing speechless by his side.	These were the questions discussed by the mixed council of settlers and soldiers, hastily assembled at Port Inge, and presided over by the commandant of the Fort-the afflicted father standing speechless by his side.
6233_61742_000020_000000	The last was of special importance.	The last was of special importance.
6233_61742_000024_000001	It was directly negatived by the major himself.	It was directly negatived by the major himself.
6233_61742_000025_000001	The party must be kept together, or run the risk of being attacked, and perhaps cut off, in detail!	The party must be kept together, or run the risk of being attacked, and perhaps cut off, in detail!
6233_61742_000026_000000	The argument was deemed conclusive.	The argument was deemed conclusive.
6233_61742_000027_000000	It was decided that the searchers should proceed in a body.	It was decided that the searchers should proceed in a body.
6233_61742_000028_000000	In what direction?	In what direction?
6233_61742_000028_000001	This still remained the subject of discussion.	This still remained the subject of discussion.
6233_61742_000029_000001	Who last saw Henry Poindexter?	Who last saw Henry Poindexter?
6233_61742_000030_000000	His father and cousin were first appealed to.	His father and cousin were first appealed to.
6233_61742_000032_000000	The answer of Calhoun was less direct, and, perhaps, less satisfactory. He had conversed with his cousin at a later hour, and had bidden him good night, under the impression that he was retiring to his room.	The answer of Calhoun was less direct, and, perhaps, less satisfactory. He had conversed with his cousin at a later hour, and had bidden him good night, under the impression that he was retiring to his room.
