1066_4479_000003_000000	"Here is April come!" said she, "I get quite anxious about you.	"Here is April come!" said she, "I get quite anxious about you.
1066_4479_000003_000001	June will soon be here."	June will soon be here."
1066_4479_000004_000000	"But I have never fixed on June or any other month--merely looked forward to the summer in general."	"But I have never fixed on June or any other month-merely looked forward to the summer in general."
1066_4479_000005_000000	"But have you really heard of nothing?"	"But have you really heard of nothing?"
1066_4479_000009_000003	A cousin of Mr. Suckling, Mrs. Bragge, had such an infinity of applications; every body was anxious to be in her family, for she moves in the first circle. Wax-candles in the schoolroom!	A cousin of mr Suckling, mrs Bragge, had such an infinity of applications; every body was anxious to be in her family, for she moves in the first circle. Wax candles in the schoolroom!
1066_4479_000009_000004	You may imagine how desirable!	You may imagine how desirable!
1066_4479_000011_000000	"Trouble!	"Trouble!
1066_4479_000011_000002	You are afraid of giving me trouble; but I assure you, my dear Jane, the Campbells can hardly be more interested about you than I am.	You are afraid of giving me trouble; but I assure you, my dear Jane, the Campbells can hardly be more interested about you than I am.
1066_4479_000011_000003	I shall write to Mrs. Partridge in a day or two, and shall give her a strict charge to be on the look-out for any thing eligible."	I shall write to mrs Partridge in a day or two, and shall give her a strict charge to be on the look out for any thing eligible."
1066_4479_000014_000002	There are places in town, offices, where inquiry would soon produce something--Offices for the sale--not quite of human flesh--but of human intellect."	There are places in town, offices, where inquiry would soon produce something-Offices for the sale-not quite of human flesh-but of human intellect."
1066_4479_000015_000000	"Oh! my dear, human flesh!	"Oh! my dear, human flesh!
1066_4479_000017_000000	"Something that would do!" repeated Mrs. Elton.	"Something that would do!" repeated mrs Elton.
1066_4479_000020_000000	"You may well class the delight, the honour, and the comfort of such a situation together," said Jane, "they are pretty sure to be equal; however, I am very serious in not wishing any thing to be attempted at present for me.	"You may well class the delight, the honour, and the comfort of such a situation together," said Jane, "they are pretty sure to be equal; however, I am very serious in not wishing any thing to be attempted at present for me.
1066_4479_000022_000000	In this style she ran on; never thoroughly stopped by any thing till Mr. Woodhouse came into the room; her vanity had then a change of object, and Emma heard her saying in the same half-whisper to Jane,	In this style she ran on; never thoroughly stopped by any thing till mr Woodhouse came into the room; her vanity had then a change of object, and Emma heard her saying in the same half whisper to Jane,
1066_4479_000023_000006	How do you like it?--Selina's choice--handsome, I think, but I do not know whether it is not over-trimmed; I have the greatest dislike to the idea of being over-trimmed--quite a horror of finery.	How do you like it?--Selina's choice-handsome, I think, but I do not know whether it is not over trimmed; I have the greatest dislike to the idea of being over trimmed-quite a horror of finery.
1066_4479_000023_000007	I must put on a few ornaments now, because it is expected of me.	I must put on a few ornaments now, because it is expected of me.
1066_4479_000023_000011	Do you think it will look well?"	Do you think it will look well?"
1066_4479_000024_000001	He had returned to a late dinner, and walked to Hartfield as soon as it was over.	He had returned to a late dinner, and walked to Hartfield as soon as it was over.
1066_4479_000024_000002	He had been too much expected by the best judges, for surprize--but there was great joy.	He had been too much expected by the best judges, for surprize-but there was great joy.
1066_4479_000025_000001	He gave her a letter, it was from Frank, and to herself; he had met with it in his way, and had taken the liberty of opening it.	He gave her a letter, it was from Frank, and to herself; he had met with it in his way, and had taken the liberty of opening it.
1066_4479_000026_000000	"Read it, read it," said he, "it will give you pleasure; only a few lines--will not take you long; read it to Emma."	"Read it, read it," said he, "it will give you pleasure; only a few lines-will not take you long; read it to Emma."
1066_4479_000028_000000	"Well, he is coming, you see; good news, I think.	"Well, he is coming, you see; good news, I think.
1066_4479_000028_000002	As to her illness, all nothing of course.	As to her illness, all nothing of course.
1066_4479_000028_000004	They will stay a good while when they do come, and he will be half his time with us.	They will stay a good while when they do come, and he will be half his time with us.
1066_4479_000028_000006	Have you finished it?	Have you finished it?
1066_4479_000028_000008	Put it up, put it up; we will have a good talk about it some other time, but it will not do now.	Put it up, put it up; we will have a good talk about it some other time, but it will not do now.
1066_4479_000029_000000	Mrs. Weston was most comfortably pleased on the occasion.	mrs Weston was most comfortably pleased on the occasion.
1066_4479_000030_000000	Mr. Weston, however, too eager to be very observant, too communicative to want others to talk, was very well satisfied with what she did say, and soon moved away to make the rest of his friends happy by a partial communication of what the whole room must have overheard already.	mr Weston, however, too eager to be very observant, too communicative to want others to talk, was very well satisfied with what she did say, and soon moved away to make the rest of his friends happy by a partial communication of what the whole room must have overheard already.
