6075_57154_000000_000000	"There is not a man you see who couldn't give a reason for his being there.	"There is not a man you see who couldn't give a reason for his being there.	false	0	5.67	17.75292
6075_57154_000000_000001	He has an object in view,--though perhaps it may be no better than to rob his neighbour.	He has an object in view,--though perhaps it may be no better than to rob his neighbour.	false	5.67	15.18	18.969852
6075_57154_000000_000002	But here there seems to be no possible motive."	But here there seems to be no possible motive."	false	15.18	18.705	18.008972
6075_57154_000001_000000	CHAPTER XI.	CHAPTER eleven.	true	18.705	19.68	16
6075_57154_000002_000000	FROM IMPINGTON GORSE.	FROM i m p i n g t o n GORSE.	false	19.68	23.26	15.965431
6075_57154_000003_000000	The fox ran straight from the covert through his well-known haunts to Impington Park, and as the hounds were astray there for two or three minutes there was a general idea that he too had got up into a tree,--which would have amused the Senator very much had the Senator been there.	The fox ran straight from the covert through his well-known haunts to Impington Park, and as the hounds were astray there for two or three minutes there was a general idea that he too had got up into a tree,--which would have amused the Senator very much had the Senator been there.	true	23.96	41.02	19
6075_57154_000003_000001	But neither had the country nor the pace been adapted to wheels, and the Senator and the Paragon were now returning along the road towards Bragton.	But neither had the country nor the pace been adapted to wheels, and the Senator and the Paragon were now returning along the road towards Bragton.	true	41.36	50.5	18.968513
6075_57154_000003_000002	The fox had tried his old earths at Impington High wood, and had then skulked back along the outside of the covert. Had not one of the whips seen him he would have been troubled no further on that day,--a fact, which if it could have been explained to the Senator in all its bearings, would greatly have added to his delight.	The fox had tried his old earths at Impington High wood, and had then skulked back along the outside of the covert. Had not one of the whips seen him he would have been troubled no further on that day,--a fact, which if it could have been explained to the Senator in all its bearings, would greatly have added to his delight.	true	50.87	70.18	18.897427
6075_57154_000003_000003	But Dick viewed him; and with many holloas and much blowing of horns, and prayers from Captain Glomax that gentlemen would only be so good as to hold their tongues, and a full-tongued volley of abuse from half the field against an unfortunate gentleman who rode after the escaping fox before a hound was out of the covert, they settled again to their business.	But Dick viewed him; and with many holloas and much blowing of horns, and prayers from Captain Glomax that gentlemen would only be so good as to hold their tongues, and a full tongued volley of abuse from half the field against an unfortunate gentleman who rode after the escaping fox before a hound was out of the covert, they settled again to their business.	true	70.52	92.62	18.362337
6075_57154_000003_000004	It was pretty to see the quiet ease and apparent nonchalance and almost affected absence of bustle of those who knew their work,--among whom were especially to be named young Hampton, and the elder Botsey, and Lord Rufford, and, above all, a dark-visaged, long-whiskered, sombre, military man who had been in the carriage with Lord Rufford, and who had hardly spoken a word to any one the whole day.	It was pretty to see the quiet ease and apparent nonchalance and almost affected absence of bustle of those who knew their work,--among whom were especially to be named young Hampton, and the elder Botsey, and Lord Rufford, and, above all, a dark visaged, long whiskered, sombre, military man who had been in the carriage with Lord Rufford, and who had hardly spoken a word to any one the whole day.	false	92.99	119.47	18
6075_57154_000003_000005	This was the celebrated Major Caneback, known to all the world as one of the dullest men and best riders across country that England had ever produced.	This was the celebrated Major Caneback, known to all the world as one of the dullest men and best riders across country that England had ever produced.	true	119.84	129.34	16
