7117_86732_000002_000000	Chapter 28.	Chapter twenty eight.
7117_86732_000002_000001	The Prison Register.	The Prison Register.
7117_86732_000003_000000	The day after that in which the scene we have just described had taken place on the road between Bellegarde and Beaucaire, a man of about thirty or two and thirty, dressed in a bright blue frock coat, nankeen trousers, and a white waistcoat, having the appearance and accent of an Englishman, presented himself before the mayor of Marseilles.	The day after that in which the scene we have just described had taken place on the road between Bellegarde and Beaucaire, a man of about thirty or two and thirty, dressed in a bright blue frock coat, nankeen trousers, and a white waistcoat, having the appearance and accent of an Englishman, presented himself before the mayor of Marseilles.
7117_86732_000003_000001	"Sir," said he, "I am chief clerk of the house of Thomson & French, of Rome.	"Sir," said he, "I am chief clerk of the house of Thomson and French, of Rome.
7117_86732_000003_000003	We have a hundred thousand francs or thereabouts loaned on their securities, and we are a little uneasy at reports that have reached us that the firm is on the brink of ruin.	We have a hundred thousand francs or thereabouts loaned on their securities, and we are a little uneasy at reports that have reached us that the firm is on the brink of ruin.
7117_86732_000003_000004	I have come, therefore, express from Rome, to ask you for information."	I have come, therefore, express from Rome, to ask you for information."
7117_86732_000004_000000	"Sir," replied the mayor.	"Sir," replied the mayor.
7117_86732_000004_000002	He has lost four or five vessels, and suffered by three or four bankruptcies; but it is not for me, although I am a creditor myself to the amount of ten thousand francs, to give any information as to the state of his finances.	He has lost four or five vessels, and suffered by three or four bankruptcies; but it is not for me, although I am a creditor myself to the amount of ten thousand francs, to give any information as to the state of his finances.
7117_86732_000006_000000	"But," said the Englishman, "this looks very much like a suspension of payment."	"But," said the Englishman, "this looks very much like a suspension of payment."
7117_86732_000008_000000	The Englishman appeared to reflect a moment, and then said,--"From which it would appear, sir, that this credit inspires you with considerable apprehension?"	The Englishman appeared to reflect a moment, and then said,--"From which it would appear, sir, that this credit inspires you with considerable apprehension?"
7117_86732_000009_000000	"To tell you the truth, I consider it lost."	"To tell you the truth, I consider it lost."
7117_86732_000010_000000	"Well, then, I will buy it of you!"	"Well, then, I will buy it of you!"
7117_86732_000011_000000	"You?"	"You?"
7117_86732_000012_000000	"Yes, I!"	"Yes, I!"
7117_86732_000013_000000	"But at a tremendous discount, of course?"	"But at a tremendous discount, of course?"
7117_86732_000014_000000	"No, for two hundred thousand francs.	"No, for two hundred thousand francs.
7117_86732_000014_000001	Our house," added the Englishman with a laugh, "does not do things in that way."	Our house," added the Englishman with a laugh, "does not do things in that way."
7117_86732_000015_000000	"And you will pay"--	"And you will pay"--
7117_86732_000017_000000	"That's no affair of mine," replied the Englishman, "that is the affair of the house of Thomson & French, in whose name I act.	"That's no affair of mine," replied the Englishman, "that is the affair of the house of Thomson and French, in whose name I act.
7117_86732_000017_000001	They have, perhaps, some motive to serve in hastening the ruin of a rival firm. But all I know, sir, is, that I am ready to hand you over this sum in exchange for your assignment of the debt.	They have, perhaps, some motive to serve in hastening the ruin of a rival firm. But all I know, sir, is, that I am ready to hand you over this sum in exchange for your assignment of the debt.
7117_86732_000017_000002	I only ask a brokerage."	I only ask a brokerage."
7117_86732_000018_000002	Whatever you say."	Whatever you say."
7117_86732_000019_000000	"Sir," replied the Englishman, laughing, "I am like my house, and do not do such things--no, the commission I ask is quite different."	"Sir," replied the Englishman, laughing, "I am like my house, and do not do such things-no, the commission I ask is quite different."
7117_86732_000020_000000	"Name it, sir, I beg."	"Name it, sir, I beg."
7117_86732_000021_000000	"You are the inspector of prisons?"	"You are the inspector of prisons?"
7117_86732_000022_000000	"I have been so these fourteen years."	"I have been so these fourteen years."
7117_86732_000023_000000	"You keep the registers of entries and departures?"	"You keep the registers of entries and departures?"
7117_86732_000024_000000	"I do."	"I do."
7117_86732_000026_000000	"There are special reports on every prisoner."	"There are special reports on every prisoner."
