7117_86732_000000_000000	"In what way?"	"In what way?"	false	0	1.53	19.718533
7117_86732_000001_000000	"Why, the fair is on at Beaucaire, there are always jewellers from Paris there, and I will show it to them.	"Why, the fair is on at Beaucaire, there are always jewellers from Paris there, and I will show it to them.	false	1.53	5.49	20.271067
7117_86732_000001_000001	Look after the house, wife, and I shall be back in two hours," and Caderousse left the house in haste, and ran rapidly in the direction opposite to that which the priest had taken.	Look after the house, wife, and I shall be back in two hours," and Caderousse left the house in haste, and ran rapidly in the direction opposite to that which the priest had taken.	false	5.49	11.31	23.13335
7117_86732_000001_000002	"Fifty thousand francs!" muttered La Carconte when left alone; "it is a large sum of money, but it is not a fortune."	"Fifty thousand francs!" muttered La Carconte when left alone; "it is a large sum of money, but it is not a fortune."	false	11.31	19.2	22.554825
7117_86732_000002_000000	Chapter 28.	Chapter twenty eight.	true	19.2	20.47	23.06851
7117_86732_000002_000001	The Prison Register.	The Prison Register.	true	20.48	21.82	21.131805
7117_86732_000003_000000	The day after that in which the scene we have just described had taken place on the road between Bellegarde and Beaucaire, a man of about thirty or two and thirty, dressed in a bright blue frock coat, nankeen trousers, and a white waistcoat, having the appearance and accent of an Englishman, presented himself before the mayor of Marseilles.	The day after that in which the scene we have just described had taken place on the road between Bellegarde and Beaucaire, a man of about thirty or two and thirty, dressed in a bright blue frock coat, nankeen trousers, and a white waistcoat, having the appearance and accent of an Englishman, presented himself before the mayor of Marseilles.	true	23.75	43.87	21.43649
7117_86732_000003_000001	"Sir," said he, "I am chief clerk of the house of Thomson & French, of Rome.	"Sir," said he, "I am chief clerk of the house of Thomson and French, of Rome.	true	44.81	50.29	23.104124
7117_86732_000003_000002	We are, and have been these ten years, connected with the house of Morrel & Son, of Marseilles.	We are, and have been these ten years, connected with the house of Morrel and Son, of Marseilles.	true	50.63	55.9	18
7117_86732_000003_000003	We have a hundred thousand francs or thereabouts loaned on their securities, and we are a little uneasy at reports that have reached us that the firm is on the brink of ruin.	We have a hundred thousand francs or thereabouts loaned on their securities, and we are a little uneasy at reports that have reached us that the firm is on the brink of ruin.	true	56.54	65.56	20.01337
7117_86732_000003_000004	I have come, therefore, express from Rome, to ask you for information."	I have come, therefore, express from Rome, to ask you for information."	true	65.99	69.67	21.799948
7117_86732_000004_000000	"Sir," replied the mayor.	"Sir," replied the mayor.	true	71.09	72.94	21.240643
7117_86732_000004_000001	"I know very well that during the last four or five years misfortune has seemed to pursue M. Morrel.	"I know very well that during the last four or five years misfortune has seemed to pursue m Morrel.	false	73.16	79.3	16
7117_86732_000004_000002	He has lost four or five vessels, and suffered by three or four bankruptcies; but it is not for me, although I am a creditor myself to the amount of ten thousand francs, to give any information as to the state of his finances.	He has lost four or five vessels, and suffered by three or four bankruptcies; but it is not for me, although I am a creditor myself to the amount of ten thousand francs, to give any information as to the state of his finances.	true	79.91	92.95	20.613106
7117_86732_000004_000003	Ask of me, as mayor, what is my opinion of M. Morrel, and I shall say that he is a man honorable to the last degree, and who has up to this time fulfilled every engagement with scrupulous punctuality. This is all I can say, sir; if you wish to learn more, address yourself to M. de Boville, the inspector of prisons, No. 15, Rue de Nouailles; he has, I believe, two hundred thousand francs in Morrel's hands, and if there be any grounds for apprehension, as this is a greater amount than mine, you will most probably find him better informed than myself."	Ask of me, as mayor, what is my opinion of m Morrel, and I shall say that he is a man honorable to the last degree, and who has up to this time fulfilled every engagement with scrupulous punctuality. This is all I can say, sir; if you wish to learn more, address yourself to m de Boville, the inspector of prisons, no fifteen, Rue de Nouailles; he has, I believe, two hundred thousand francs in Morrel's hands, and if there be any grounds for apprehension, as this is a greater amount than mine, you will most probably find him better informed than myself."	false	93.32	129.16	20.245737
7117_86732_000005_000000	The Englishman seemed to appreciate this extreme delicacy, made his bow and went away, proceeding with a characteristic British stride towards the street mentioned.	The Englishman seemed to appreciate this extreme delicacy, made his bow and went away, proceeding with a characteristic British stride towards the street mentioned.	false	131.18	140.1	20
7117_86732_000005_000001	M. de Boville was in his private room, and the Englishman, on perceiving him, made a gesture of surprise, which seemed to indicate that it was not the first time he had been in his presence. As to M. de Boville, he was in such a state of despair, that it was evident all the faculties of his mind, absorbed in the thought which occupied him at the moment, did not allow either his memory or his imagination to stray to the past.	M. de Boville was in his private room, and the Englishman, on perceiving him, made a gesture of surprise, which seemed to indicate that it was not the first time he had been in his presence. As to m de Boville, he was in such a state of despair, that it was evident all the faculties of his mind, absorbed in the thought which occupied him at the moment, did not allow either his memory or his imagination to stray to the past.	false	140.1	164.92	20.456512
