4598_6176_000000_000000	"Agnes, you must not imagine you are cured.	"Agnes, you must not imagine you are cured.	false	0	1.05	23.686516
4598_6176_000000_000001	That you are ashamed of yourself now is no sign that the cause for such shame has ceased.	That you are ashamed of yourself now is no sign that the cause for such shame has ceased.	false	1.05	2.82	22
4598_6176_000000_000002	In new circumstances, especially after you have done well for a while, you will be in danger of thinking just as much of yourself as before.	In new circumstances, especially after you have done well for a while, you will be in danger of thinking just as much of yourself as before.	false	2.82	6.06	23.046213
4598_6176_000000_000003	So beware of yourself.	So beware of yourself.	false	6.06	6.54	11
4598_6176_000000_000004	I am going from home, and leave you in charge of the house.	I am going from home, and leave you in charge of the house.	false	6.54	7.98	17
4598_6176_000000_000005	Do just as I tell you till my return."	Do just as I tell you till my return."	false	7.98	10.17	21.403149
4598_6176_000001_000000	She then gave her the same directions she had formerly given Rosamond--with this difference, that she told her to go into the picture-hall when she pleased, showing her the entrance, against which the clock no longer stood--and went away, closing the door behind her.	She then gave her the same directions she had formerly given Rosamond-with this difference, that she told her to go into the picture hall when she pleased, showing her the entrance, against which the clock no longer stood-and went away, closing the door behind her.	false	10.17	21.9	25.437157
4598_6176_000002_000000	VIII.	eight.	true	21.9	22.57	30.554283
4598_6176_000003_000000	As soon as she was left alone, Agnes set to work tidying and dusting the cottage, made up the fire, watered the bed, and cleaned the inside of the windows: the wise woman herself always kept the outside of them clean.	As soon as she was left alone, Agnes set to work tidying and dusting the cottage, made up the fire, watered the bed, and cleaned the inside of the windows: the wise woman herself always kept the outside of them clean.	true	23.75	37.42	25.469168
4598_6176_000003_000001	When she had done, she found her dinner--of the same sort she was used to at home, but better--in the hole of the wall.	When she had done, she found her dinner-of the same sort she was used to at home, but better-in the hole of the wall.	true	37.91	45.64	24.354975
4598_6176_000003_000002	When she had eaten it, she went to look at the pictures.	When she had eaten it, she went to look at the pictures.	true	45.95	49.24	25.299534
4598_6176_000004_000000	By this time her old disposition had begun to rouse again.	By this time her old disposition had begun to rouse again.	true	50.06	53.59	22
4598_6176_000004_000001	She had been doing her duty, and had in consequence begun again to think herself Somebody.	She had been doing her duty, and had in consequence begun again to think herself Somebody.	true	54.11	60.01	23.944353
