4598_6176_000002_000000	VIII.	eight.
4598_6176_000003_000000	As soon as she was left alone, Agnes set to work tidying and dusting the cottage, made up the fire, watered the bed, and cleaned the inside of the windows: the wise woman herself always kept the outside of them clean.	As soon as she was left alone, Agnes set to work tidying and dusting the cottage, made up the fire, watered the bed, and cleaned the inside of the windows: the wise woman herself always kept the outside of them clean.
4598_6176_000003_000001	When she had done, she found her dinner--of the same sort she was used to at home, but better--in the hole of the wall.	When she had done, she found her dinner-of the same sort she was used to at home, but better-in the hole of the wall.
4598_6176_000003_000002	When she had eaten it, she went to look at the pictures.	When she had eaten it, she went to look at the pictures.
4598_6176_000004_000000	By this time her old disposition had begun to rouse again.	By this time her old disposition had begun to rouse again.
4598_6176_000004_000001	She had been doing her duty, and had in consequence begun again to think herself Somebody.	She had been doing her duty, and had in consequence begun again to think herself Somebody.
4598_6176_000004_000002	However strange it may well seem, to do one's duty will make any one conceited who only does it sometimes.	However strange it may well seem, to do one's duty will make any one conceited who only does it sometimes.
4598_6176_000004_000004	What honest boy would pride himself on not picking pockets?	What honest boy would pride himself on not picking pockets?
4598_6176_000004_000005	A thief who was trying to reform would.	A thief who was trying to reform would.
4598_6176_000004_000006	To be conceited of doing one's duty is then a sign of how little one does it, and how little one sees what a contemptible thing it is not to do it.	To be conceited of doing one's duty is then a sign of how little one does it, and how little one sees what a contemptible thing it is not to do it.
4598_6176_000004_000007	Could any but a low creature be conceited of not being contemptible?	Could any but a low creature be conceited of not being contemptible?
4598_6176_000004_000008	Until our duty becomes to us common as breathing, we are poor creatures.	Until our duty becomes to us common as breathing, we are poor creatures.
4598_6176_000005_000000	So Agnes began to stroke herself once more, forgetting her late self-stroking companion, and never reflecting that she was now doing what she had then abhorred.	So Agnes began to stroke herself once more, forgetting her late self stroking companion, and never reflecting that she was now doing what she had then abhorred.
4598_6176_000005_000001	And in this mood she went into the picture-gallery.	And in this mood she went into the picture gallery.
4598_6176_000006_000000	The first picture she saw represented a square in a great city, one side of which was occupied by a splendid marble palace, with great flights of broad steps leading up to the door.	The first picture she saw represented a square in a great city, one side of which was occupied by a splendid marble palace, with great flights of broad steps leading up to the door.
4598_6176_000006_000001	Between it and the square was a marble-paved court, with gates of brass, at which stood sentries in gorgeous uniforms, and to which was affixed the following proclamation in letters of gold, large enough for Agnes to read:--	Between it and the square was a marble paved court, with gates of brass, at which stood sentries in gorgeous uniforms, and to which was affixed the following proclamation in letters of gold, large enough for Agnes to read:--
4598_6176_000007_000000	"By the will of the King, from this time until further notice, every stray child found in the realm shall be brought without a moment's delay to the palace.	"By the will of the King, from this time until further notice, every stray child found in the realm shall be brought without a moment's delay to the palace.
4598_6176_000009_000000	"Can there be such a city in the world?" she said to herself.	"Can there be such a city in the world?" she said to herself.
4598_6176_000009_000001	"If I only knew where it was, I should set out for it at once.	"If I only knew where it was, I should set out for it at once.
4598_6176_000009_000002	THERE would be the place for a clever girl like me!"	THERE would be the place for a clever girl like me!"
4598_6176_000010_000000	Her eyes fell on the picture which had so enticed Rosamond.	Her eyes fell on the picture which had so enticed Rosamond.
4598_6176_000010_000001	It was the very country where her father fed his flocks.	It was the very country where her father fed his flocks.
4598_6176_000010_000002	Just round the shoulder of the hill was the cottage where her parents lived, where she was born and whence she had been carried by the beggar-woman.	Just round the shoulder of the hill was the cottage where her parents lived, where she was born and whence she had been carried by the beggar woman.
4598_6176_000011_000000	"Ah!" she said, "they didn't know me there.	"Ah!" she said, "they didn't know me there.
4598_6176_000011_000001	They little thought what I could be, if I had the chance.	They little thought what I could be, if I had the chance.
4598_6176_000011_000002	If I were but in this good, kind, loving, generous king's palace, I should soon be such a great lady as they never saw!	If I were but in this good, kind, loving, generous king's palace, I should soon be such a great lady as they never saw!
