6683_63839_000001_000000	SIR HENRY COLE.	SIR HENRY COLE.
6683_63839_000002_000000	He was an "Old Public Functionary" in the service of the British people.	He was an "Old Public Functionary" in the service of the British people.
6683_63839_000003_000000	When President Buchanan spoke of himself as an Old Public Functionary he was a good deal laughed at by some of the newspapers, and the phrase has since been frequently used in an opprobrious or satirical sense.	When President Buchanan spoke of himself as an Old Public Functionary he was a good deal laughed at by some of the newspapers, and the phrase has since been frequently used in an opprobrious or satirical sense.
6683_63839_000003_000001	This is to be regretted, for there is no character more respectable, and there are few so useful, as an intelligent and patriotic man of long standing in the public service.	This is to be regretted, for there is no character more respectable, and there are few so useful, as an intelligent and patriotic man of long standing in the public service.
6683_63839_000004_000000	The son of an officer in the British army, he was educated at that famous Blue-Coat School which is interesting to Americans because Lamb and Coleridge attended it.	The son of an officer in the British army, he was educated at that famous Blue Coat School which is interesting to Americans because Lamb and Coleridge attended it.
6683_63839_000004_000001	At the age of fifteen he received an appointment as clerk in the office of Public Records.	At the age of fifteen he received an appointment as clerk in the office of Public Records.
6683_63839_000004_000002	In due time, having proved his capacity and peculiar fitness, he was promoted to the post of Assistant Keeper, which gave him a respectable position and some leisure.	In due time, having proved his capacity and peculiar fitness, he was promoted to the post of Assistant Keeper, which gave him a respectable position and some leisure.
6683_63839_000005_000000	He proved to be in an eminent sense the right man in the right place. Besides publishing, from time to time, curious and interesting documents which he discovered in his office, he called attention, by a series of vigorous pamphlets, to the chaotic condition in which the public records of Great Britain were kept.	He proved to be in an eminent sense the right man in the right place. Besides publishing, from time to time, curious and interesting documents which he discovered in his office, he called attention, by a series of vigorous pamphlets, to the chaotic condition in which the public records of Great Britain were kept.
6683_63839_000005_000002	The records were rearranged, catalogued, rendered safe, and made accessible to students.	The records were rearranged, catalogued, rendered safe, and made accessible to students.
6683_63839_000005_000003	This has already led to important corrections in history, and to a great increase in the sum of historical knowledge.	This has already led to important corrections in history, and to a great increase in the sum of historical knowledge.
6683_63839_000006_000000	When the subject of cheap postage came up in 1840, the government offered four prizes of a hundred pounds each for suggestions in aid of Sir Rowland Hill's plan.	When the subject of cheap postage came up in eighteen forty, the government offered four prizes of a hundred pounds each for suggestions in aid of Sir Rowland Hill's plan.
6683_63839_000006_000001	One of these prizes was assigned to Henry Cole. He was one of the persons who first became converts to the idea of penny postage, and he lent the aid of his pen and influence to its adoption.	One of these prizes was assigned to Henry Cole. He was one of the persons who first became converts to the idea of penny postage, and he lent the aid of his pen and influence to its adoption.
