3258_169291_000000_000000	Chapter XII.	Chapter twelve.	false	0.6	24.48	21.268993
3258_169291_000000_000001	Raising Money	Raising Money	true	24.48	26.32	19.73204
3258_169291_000001_000000	When we opened our boarding department, we provided rooms in the attic of Porter Hall, our first building, for a number of girls.	When we opened our boarding department, we provided rooms in the attic of Porter Hall, our first building, for a number of girls.	true	26.42	34.21	16
3258_169291_000001_000001	But the number of students, of both sexes, continued to increase.	But the number of students, of both sexes, continued to increase.	true	34.55	38.83	23.509964
3258_169291_000001_000002	We could find rooms outside the school grounds for many of the young men, but the girls we did not care to expose in this way.	We could find rooms outside the school grounds for many of the young men, but the girls we did not care to expose in this way.	true	39.23	47.2	19
3258_169291_000001_000003	Very soon the problem of providing more rooms for the girls, as well as a larger boarding department for all the students, grew serious.	Very soon the problem of providing more rooms for the girls, as well as a larger boarding department for all the students, grew serious.	true	48.02	56.68	19
3258_169291_000001_000004	As a result, we finally decided to undertake the construction of a still larger building--a building that would contain rooms for the girls and boarding accommodations for all.	As a result, we finally decided to undertake the construction of a still larger building-a building that would contain rooms for the girls and boarding accommodations for all.	true	56.96	67.87	22.387877
3258_169291_000002_000000	After having had a preliminary sketch of the needed building made, we found that it would cost about ten thousand dollars.	After having had a preliminary sketch of the needed building made, we found that it would cost about ten thousand dollars.	true	68	75.07	17
3258_169291_000002_000001	We had no money whatever with which to begin; still we decided to give the needed building a name.	We had no money whatever with which to begin; still we decided to give the needed building a name.	true	75.26	81.79	19.468391
3258_169291_000002_000002	We knew we could name it, even though we were in doubt about our ability to secure the means for its construction.	We knew we could name it, even though we were in doubt about our ability to secure the means for its construction.	true	81.95	88.36	16
3258_169291_000002_000003	We decided to call the proposed building Alabama Hall, in honour of the state in which we were labouring.	We decided to call the proposed building Alabama Hall, in honour of the state in which we were labouring.	true	88.97	95.95	24.076405
3258_169291_000002_000004	Again Miss Davidson began making efforts to enlist the interest and help of the coloured and white people in and near Tuskegee.	Again Miss Davidson began making efforts to enlist the interest and help of the coloured and white people in and near Tuskegee.	true	96.47	104.83	23
3258_169291_000002_000005	They responded willingly, in proportion to their means. The students, as in the case of our first building, Porter Hall, began digging out the dirt in order to allow the laying of the foundations.	They responded willingly, in proportion to their means. The students, as in the case of our first building, Porter Hall, began digging out the dirt in order to allow the laying of the foundations.	true	105.05	117.22	21
3258_169291_000003_000000	When we seemed at the end of our resources, so far as securing money was concerned, something occurred which showed the greatness of General Armstrong--something which proved how far he was above the ordinary individual.	When we seemed at the end of our resources, so far as securing money was concerned, something occurred which showed the greatness of General Armstrong-something which proved how far he was above the ordinary individual.	true	117.47	131.23	20
3258_169291_000003_000001	When we were in the midst of great anxiety as to where and how we were to get funds for the new building, I received a telegram from General Armstrong asking me if I could spend a month travelling with him through the North, and asking me, if I could do so, to come to Hampton at once.	When we were in the midst of great anxiety as to where and how we were to get funds for the new building, I received a telegram from General Armstrong asking me if I could spend a month travelling with him through the North, and asking me, if I could do so, to come to Hampton at once.	true	131.63	150.495	20
3258_169291_000003_000002	Of course I accepted General Armstrong's invitation, and went to Hampton immediately.	Of course I accepted General Armstrong's invitation, and went to Hampton immediately.	true	150.495	155.71	19
3258_169291_000003_000003	On arriving there I found that the General had decided to take a quartette of singers through the North, and hold meetings for a month in important cities, at which meetings he and I were to speak.	On arriving there I found that the General had decided to take a quartette of singers through the North, and hold meetings for a month in important cities, at which meetings he and I were to speak.	true	155.81	167.77	21.791698
