3258_169291_000001_000001	But the number of students, of both sexes, continued to increase.	But the number of students, of both sexes, continued to increase.
3258_169291_000001_000004	As a result, we finally decided to undertake the construction of a still larger building--a building that would contain rooms for the girls and boarding accommodations for all.	As a result, we finally decided to undertake the construction of a still larger building-a building that would contain rooms for the girls and boarding accommodations for all.
3258_169291_000002_000003	We decided to call the proposed building Alabama Hall, in honour of the state in which we were labouring.	We decided to call the proposed building Alabama Hall, in honour of the state in which we were labouring.
3258_169291_000002_000004	Again Miss Davidson began making efforts to enlist the interest and help of the coloured and white people in and near Tuskegee.	Again Miss Davidson began making efforts to enlist the interest and help of the coloured and white people in and near Tuskegee.
3258_169291_000002_000005	They responded willingly, in proportion to their means. The students, as in the case of our first building, Porter Hall, began digging out the dirt in order to allow the laying of the foundations.	They responded willingly, in proportion to their means. The students, as in the case of our first building, Porter Hall, began digging out the dirt in order to allow the laying of the foundations.
3258_169291_000003_000000	When we seemed at the end of our resources, so far as securing money was concerned, something occurred which showed the greatness of General Armstrong--something which proved how far he was above the ordinary individual.	When we seemed at the end of our resources, so far as securing money was concerned, something occurred which showed the greatness of General Armstrong-something which proved how far he was above the ordinary individual.
3258_169291_000003_000001	When we were in the midst of great anxiety as to where and how we were to get funds for the new building, I received a telegram from General Armstrong asking me if I could spend a month travelling with him through the North, and asking me, if I could do so, to come to Hampton at once.	When we were in the midst of great anxiety as to where and how we were to get funds for the new building, I received a telegram from General Armstrong asking me if I could spend a month travelling with him through the North, and asking me, if I could do so, to come to Hampton at once.
3258_169291_000003_000003	On arriving there I found that the General had decided to take a quartette of singers through the North, and hold meetings for a month in important cities, at which meetings he and I were to speak.	On arriving there I found that the General had decided to take a quartette of singers through the North, and hold meetings for a month in important cities, at which meetings he and I were to speak.
3258_169291_000003_000004	Imagine my surprise when the General told me, further, that these meetings were to be held, not in the interests of Hampton, but in the interests of Tuskegee, and that the Hampton Institute was to be responsible for all the expenses.	Imagine my surprise when the General told me, further, that these meetings were to be held, not in the interests of Hampton, but in the interests of Tuskegee, and that the Hampton Institute was to be responsible for all the expenses.
3258_169291_000004_000001	A weak and narrow man would have reasoned that all the money which came to Tuskegee in this way would be just so much taken from the Hampton Institute; but none of these selfish or short-sighted feelings ever entered the breast of General Armstrong.	A weak and narrow man would have reasoned that all the money which came to Tuskegee in this way would be just so much taken from the Hampton Institute; but none of these selfish or short sighted feelings ever entered the breast of General Armstrong.
3258_169291_000004_000002	He was too big to be little, too good to be mean.	He was too big to be little, too good to be mean.
3258_169291_000004_000004	The General knew, too, that the way to strengthen Hampton was to make it a centre of unselfish power in the working out of the whole Southern problem.	The General knew, too, that the way to strengthen Hampton was to make it a centre of unselfish power in the working out of the whole Southern problem.
