968_122544_000000_000000	"Now what has brought the Honourable Jane up here?" said Dr. Rob.	"Now what has brought the Honourable Jane up here?" said dr Rob.	false	4.56	8.43	21.211164
968_122544_000001_000000	"Dashed if I know," said Dr. Mackenzie.	"Dashed if I know," said dr Mackenzie.	false	8.43	10.35	17
968_122544_000002_000000	"You must not swear, laddie," said Dr. Rob; "you had a pious mother."	"You must not swear, laddie," said dr Rob; "you had a pious mother."	false	10.35	20.1	22.76141
968_122544_000003_000000	CHAPTER XX	CHAPTER twenty	true	20.1	21.25	25.455347
968_122544_000004_000000	JANE REPORTS PROGRESS	JANE REPORTS PROGRESS	true	21.26	23.14	31.030722
968_122544_000005_000000	Letter from the Honourable Jane Champion to Sir Deryck Brand.	Letter from the Honourable Jane Champion to Sir Deryck Brand.	true	23.3	26.83	20
968_122544_000006_000000	Castle Gleneesh, N. B.	Castle Gleneesh, n b	false	26.99	29.34	24.038479
968_122544_000007_000000	My dear Deryck: My wires and post-cards have not told you much beyond the fact of my safe arrival.	My dear Deryck: My wires and post cards have not told you much beyond the fact of my safe arrival.	true	29.34	35.41	24.839153
968_122544_000007_000001	Having been here a fortnight, I think it is time I sent you a report.	Having been here a fortnight, I think it is time I sent you a report.	true	35.57	40.095	23.342318
968_122544_000007_000002	Only you must remember that I am a poor scribe.	Only you must remember that I am a poor scribe.	false	40.095	42.825	23
968_122544_000007_000003	From infancy it has always been difficult to me to write anything beyond that stock commencement: "I hope you are quite well;" and I approach the task of a descriptive letter with an effort which is colossal.	From infancy it has always been difficult to me to write anything beyond that stock commencement: "I hope you are quite well;" and I approach the task of a descriptive letter with an effort which is colossal.	false	42.825	55.15	24.918396
968_122544_000007_000004	And yet I wish I might, for once, borrow the pen of a ready writer; because I cannot help knowing that I have been passing through experiences such as do not often fall to the lot of a woman.	And yet I wish I might, for once, borrow the pen of a ready writer; because I cannot help knowing that I have been passing through experiences such as do not often fall to the lot of a woman.	true	55.34	66.67	23.73328
968_122544_000008_000000	Nurse Rosemary Gray is getting on capitally.	Nurse Rosemary Gray is getting on capitally.	false	66.89	69.765	16
968_122544_000008_000001	She is making herself indispensable to the patient, and he turns to her with a completeness of confidence which causes her heart to swell with professional pride.	She is making herself indispensable to the patient, and he turns to her with a completeness of confidence which causes her heart to swell with professional pride.	true	69.765	78.49	21
