2999_156968_000001_000000	AIM OF THE BIBLICAL WRITERS IN RECOUNTING THE FLOOD STORY.	AIM OF THE BIBLICAL WRITERS IN RECOUNTING THE FLOOD STORY.
2999_156968_000002_000002	Is it possible that the prophetic and priestly historians found these stories on the lips of the people and sought in this heroic way to divest them of their polytheistic form and, in certain respects, immoral implications?	Is it possible that the prophetic and priestly historians found these stories on the lips of the people and sought in this heroic way to divest them of their polytheistic form and, in certain respects, immoral implications?
2999_156968_000003_000001	In this respect the two variant Biblical narratives are in perfect agreement.	In this respect the two variant Biblical narratives are in perfect agreement.
2999_156968_000003_000002	The destruction of mankind came not as the fiat of an arbitrary Deity, but because of the purpose which God had before him in the work of creation, and because that purpose was good.	The destruction of mankind came not as the fiat of an arbitrary Deity, but because of the purpose which God had before him in the work of creation, and because that purpose was good.
2999_156968_000003_000003	Men by their sins and wilful failure to observe his benign laws were thwarting that purpose.	Men by their sins and wilful failure to observe his benign laws were thwarting that purpose.
2999_156968_000003_000004	Hence in accord with the just laws of the universe their destruction was unavoidable, and it came even as effect follows cause.	Hence in accord with the just laws of the universe their destruction was unavoidable, and it came even as effect follows cause.
2999_156968_000003_000005	On the other hand, these ancient teachers taught with inimitable skill that God would not destroy that which was worthy of preservation.	On the other hand, these ancient teachers taught with inimitable skill that God would not destroy that which was worthy of preservation.
2999_156968_000004_000001	The story as told is not merely an illustration of the truth that righteousness brings its just reward, but of the profounder principle that it is the morally fit who survive.	The story as told is not merely an illustration of the truth that righteousness brings its just reward, but of the profounder principle that it is the morally fit who survive.
2999_156968_000004_000002	In both of the versions Noah in a very true sense represents the beginning of a new creation: he is the traditional father of a better race.	In both of the versions Noah in a very true sense represents the beginning of a new creation: he is the traditional father of a better race.
2999_156968_000004_000003	To him are given the promises which God was eager to realize in the life of humanity.	To him are given the promises which God was eager to realize in the life of humanity.
2999_156968_000004_000004	In the poetic fancy of the ancient East even the resplendent rainbow, which proclaimed the return of the sun after the storm, was truly interpreted as evidence of God's fatherly love and care for his children.	In the poetic fancy of the ancient East even the resplendent rainbow, which proclaimed the return of the sun after the storm, was truly interpreted as evidence of God's fatherly love and care for his children.
2999_156968_000004_000005	In the light of these profound religious teachings may any one reasonably question the right of these stories to a place in the Bible?	In the light of these profound religious teachings may any one reasonably question the right of these stories to a place in the Bible?
2999_156968_000004_000007	Is it not evidence of superlative teaching skill to use that which is familiar and, therefore, of interest to those taught, in order to inculcate the deeper moral and religious truths of life?	Is it not evidence of superlative teaching skill to use that which is familiar and, therefore, of interest to those taught, in order to inculcate the deeper moral and religious truths of life?
2999_156968_000007_000000	It is interesting and illuminating to note how the ancient Hebrew prophets in their religious teaching forecast the discoveries and scientific methods of our day.	It is interesting and illuminating to note how the ancient Hebrew prophets in their religious teaching forecast the discoveries and scientific methods of our day.
