2999_156968_000000_000000	IV.	i v.	false	14.82	30.585	21.511658
2999_156968_000001_000000	AIM OF THE BIBLICAL WRITERS IN RECOUNTING THE FLOOD STORY.	AIM OF THE BIBLICAL WRITERS IN RECOUNTING THE FLOOD STORY.	true	30.585	34.3	20.909666
2999_156968_000002_000000	The practical question which at once suggests itself is, What place or right has this ancient Semitic tradition, if such it is, among the Biblical narratives?	The practical question which at once suggests itself is, What place or right has this ancient Semitic tradition, if such it is, among the Biblical narratives?	false	35.27	45.99	20.10492
2999_156968_000002_000001	At best the historical data which it preserves are exceedingly small and of doubtful value.	At best the historical data which it preserves are exceedingly small and of doubtful value.	false	45.99	52.84	20.015259
2999_156968_000002_000002	Is it possible that the prophetic and priestly historians found these stories on the lips of the people and sought in this heroic way to divest them of their polytheistic form and, in certain respects, immoral implications?	Is it possible that the prophetic and priestly historians found these stories on the lips of the people and sought in this heroic way to divest them of their polytheistic form and, in certain respects, immoral implications?	true	53.3	67.62	21.830942
2999_156968_000002_000003	A minute comparison of the Babylonian and Biblical accounts indicates that this may perhaps be precisely what has been done; but the majestic, just God of the Biblical narratives is far removed from the capricious, intriguing gods of the Babylonian tradition, who hang like flies over the battlements of heaven, stupefied with terror because of the destruction which they had wrought.	A minute comparison of the Babylonian and Biblical accounts indicates that this may perhaps be precisely what has been done; but the majestic, just God of the Biblical narratives is far removed from the capricious, intriguing gods of the Babylonian tradition, who hang like flies over the battlements of heaven, stupefied with terror because of the destruction which they had wrought.	false	67.62	92.2	20.759958
2999_156968_000003_000000	Each of the Biblical narrators seems to be seeking also by means of these illustrations to teach certain universal moral and religious truths.	Each of the Biblical narrators seems to be seeking also by means of these illustrations to teach certain universal moral and religious truths.	true	93.17	101.71	19.426064
2999_156968_000003_000001	In this respect the two variant Biblical narratives are in perfect agreement.	In this respect the two variant Biblical narratives are in perfect agreement.	true	102.29	107.35	22.90055
2999_156968_000003_000002	The destruction of mankind came not as the fiat of an arbitrary Deity, but because of the purpose which God had before him in the work of creation, and because that purpose was good.	The destruction of mankind came not as the fiat of an arbitrary Deity, but because of the purpose which God had before him in the work of creation, and because that purpose was good.	true	107.9	120.13	21.73105
2999_156968_000003_000003	Men by their sins and wilful failure to observe his benign laws were thwarting that purpose.	Men by their sins and wilful failure to observe his benign laws were thwarting that purpose.	true	120.56	126.97	20.021166
2999_156968_000003_000004	Hence in accord with the just laws of the universe their destruction was unavoidable, and it came even as effect follows cause.	Hence in accord with the just laws of the universe their destruction was unavoidable, and it came even as effect follows cause.	true	127.31	136.81	20.413933
2999_156968_000003_000005	On the other hand, these ancient teachers taught with inimitable skill that God would not destroy that which was worthy of preservation.	On the other hand, these ancient teachers taught with inimitable skill that God would not destroy that which was worthy of preservation.	true	137.45	146.74	21.887423
2999_156968_000004_000000	In each of the accounts the character of Noah stands in striking contrast with those of his contemporaries.	In each of the accounts the character of Noah stands in striking contrast with those of his contemporaries.	true	147.14	153.19	19.701721
2999_156968_000004_000001	The story as told is not merely an illustration of the truth that righteousness brings its just reward, but of the profounder principle that it is the morally fit who survive.	The story as told is not merely an illustration of the truth that righteousness brings its just reward, but of the profounder principle that it is the morally fit who survive.	true	153.59	165.55	22.794823
2999_156968_000004_000002	In both of the versions Noah in a very true sense represents the beginning of a new creation: he is the traditional father of a better race.	In both of the versions Noah in a very true sense represents the beginning of a new creation: he is the traditional father of a better race.	true	165.83	176.35	20.427526
2999_156968_000004_000003	To him are given the promises which God was eager to realize in the life of humanity.	To him are given the promises which God was eager to realize in the life of humanity.	true	176.96	182.83	21.523802
2999_156968_000004_000004	In the poetic fancy of the ancient East even the resplendent rainbow, which proclaimed the return of the sun after the storm, was truly interpreted as evidence of God's fatherly love and care for his children.	In the poetic fancy of the ancient East even the resplendent rainbow, which proclaimed the return of the sun after the storm, was truly interpreted as evidence of God's fatherly love and care for his children.	true	183.47	197.62	21.637506
2999_156968_000004_000005	In the light of these profound religious teachings may any one reasonably question the right of these stories to a place in the Bible?	In the light of these profound religious teachings may any one reasonably question the right of these stories to a place in the Bible?	true	198.41	206.74	21.772577
2999_156968_000004_000006	Did not Jesus himself frequently use illustrations drawn from earlier history or from nature to make clear his teachings?	Did not Jesus himself frequently use illustrations drawn from earlier history or from nature to make clear his teachings?	false	207.65	215.71	21.006695
2999_156968_000004_000007	Is it not evidence of superlative teaching skill to use that which is familiar and, therefore, of interest to those taught, in order to inculcate the deeper moral and religious truths of life?	Is it not evidence of superlative teaching skill to use that which is familiar and, therefore, of interest to those taught, in order to inculcate the deeper moral and religious truths of life?	true	217.04	229.29	21.680674
2999_156968_000005_000000	V.	V.	false	229.29	231.66	16.440523
2999_156968_000006_000000	SURVIVAL OF THE FITTEST IN THE NATURAL WORLD.	SURVIVAL OF THE FITTEST IN THE NATURAL WORLD.	true	231.66	234.82	19.851978
2999_156968_000007_000000	It is interesting and illuminating to note how the ancient Hebrew prophets in their religious teaching forecast the discoveries and scientific methods of our day.	It is interesting and illuminating to note how the ancient Hebrew prophets in their religious teaching forecast the discoveries and scientific methods of our day.	true	235.4	246.13	20.419865
2999_156968_000007_000001	This was because they had grasped universal principles.	This was because they had grasped universal principles.	true	246.71	249.79	21.87289
2999_156968_000008_000000	Since the memorable evening in July, 1858, in which the views of Darwin and Wallace on the principles of variation and selection in the natural world were sent to the Linnaean Society in London, the leading scientists have laid great stress upon the doctrine of the survival of the "fittest" as the true explanation of progress in the natural world.	Since the memorable evening in July, eighteen fifty eight, in which the views of Darwin and Wallace on the principles of variation and selection in the natural world were sent to the Linnaean Society in London, the leading scientists have laid great stress upon the doctrine of the survival of the "fittest" as the true explanation of progress in the natural world.	true	250.64	274.6	19.560226
2999_156968_000008_000001	It was apparently made clear by Darwin, and supported by sufficient evidence, that "any being, if it vary however slightly, in any manner profitable to itself, under the complex and somewhat varying conditions of life, will have a better chance of surviving, and thus be naturally selected."	It was apparently made clear by Darwin, and supported by sufficient evidence, that "any being, if it vary however slightly, in any manner profitable to itself, under the complex and somewhat varying conditions of life, will have a better chance of surviving, and thus be naturally selected."	true	275.39	294.25	19.850586
2999_156968_000009_000000	This principle, since that day, has been thoroughly worked out in practically all the important fields of both the plant and animal world.	This principle, since that day, has been thoroughly worked out in practically all the important fields of both the plant and animal world.	true	294.83	303.49	20.916864
2999_156968_000009_000001	Moreover, the doctrine of evolution, dependent upon this principle, has exerted so great an influence upon the process of investigation and thinking in all fields of activity that the resulting change in method has amounted to a revolution.	Moreover, the doctrine of evolution, dependent upon this principle, has exerted so great an influence upon the process of investigation and thinking in all fields of activity that the resulting change in method has amounted to a revolution.	true	303.89	319.72	20.344128
2999_156968_000009_000002	The principle is applied not only in the field of biology, but also in the realm of astronomy, where we study the evolution of worlds, and in psychology, history, social science, where we speak of the development of human traits and of the growth of economic, political and social institutions.	The principle is applied not only in the field of biology, but also in the realm of astronomy, where we study the evolution of worlds, and in psychology, history, social science, where we speak of the development of human traits and of the growth of economic, political and social institutions.	true	320.72	341.17	20.717592
2999_156968_000010_000000	It is necessary to remember in applying such a brief statement of a principle, that the words are used in a highly technical sense. The word "fittest" by no means need imply the best from the point of view of beauty or strength or usefulness in nature; nor does it necessarily mean, in reference to society, best from the point of view of morals or a higher civilization.	It is necessary to remember in applying such a brief statement of a principle, that the words are used in a highly technical sense. The word "fittest" by no means need imply the best from the point of view of beauty or strength or usefulness in nature; nor does it necessarily mean, in reference to society, best from the point of view of morals or a higher civilization.	true	341.84	367.42	19.33911
2999_156968_000010_000001	Rather the "fittest" means the being best adapted to the conditions under which it is living, or to its environment.	Rather the "fittest" means the being best adapted to the conditions under which it is living, or to its environment.	true	367.91	376.36	19.781427
2999_156968_000010_000002	As a matter of fact, it is the general opinion that in practically all fields this principle works toward progress in the highest and best sense; but it is always a matter for specific study as well as of great scientific interest and importance, to determine where and how the variation and the corresponding selection tend to promote the morally good. Especially is this true in the study of society, where we should endeavor to see whether or not the "fittest" means also the highest from the moral and religious point of view.	As a matter of fact, it is the general opinion that in practically all fields this principle works toward progress in the highest and best sense; but it is always a matter for specific study as well as of great scientific interest and importance, to determine where and how the variation and the corresponding selection tend to promote the morally good. Especially is this true in the study of society, where we should endeavor to see whether or not the "fittest" means also the highest from the moral and religious point of view.	false	376.79	414.73	20.12322
2999_156968_000011_000000	The story of the flood gives us a most interesting example of the way in which the ancient Hebrews looked upon such a process of selection in the moral and religious world and taught it as a divine principle.	The story of the flood gives us a most interesting example of the way in which the ancient hebrews looked upon such a process of selection in the moral and religious world and taught it as a divine principle.	true	415.4	429.52	19.618341
2999_156968_000011_000001	It is, therefore, one of the most suggestive and interesting of the writings of the early Israelites.	It is, therefore, one of the most suggestive and interesting of the writings of the early Israelites.	true	430.01	437.13	20.35634
2999_156968_000012_000000	VI.	VI.	false	437.13	440.07	16.227587
2999_156968_000013_000000	THE SURVIVAL OF THE FITTEST IN SOCIAL AND POLITICAL LIFE.	THE SURVIVAL OF THE FITTEST IN SOCIAL AND POLITICAL LIFE.	true	440.07	443.95	19.545017
2999_156968_000014_000000	From our modern point of view, the ancient Hebrew writers had a far deeper knowledge of moral and religious questions than of natural science.	From our modern point of view, the ancient Hebrew writers had a far deeper knowledge of moral and religious questions than of natural science.	true	444.95	454	18.83559
2999_156968_000014_000001	They had a far keener sense of what was socially beneficial than of what was scientifically true.	They had a far keener sense of what was socially beneficial than of what was scientifically true.	true	454.43	460.84	18.837421
2999_156968_000014_000002	However we may estimate their knowledge of geology and biology, we must grant that their beliefs regarding the good and ill effects of human action have in them much that is universally true, even though we may not follow them throughout in their theories of divine wrath and immediate earthly punishment of the wicked.	However we may estimate their knowledge of geology and biology, we must grant that their beliefs regarding the good and ill effects of human action have in them much that is universally true, even though we may not follow them throughout in their theories of divine wrath and immediate earthly punishment of the wicked.	false	461.57	482.08	19.662508
2999_156968_000015_000000	But is it not true almost invariably, if we look at social questions of every kind in a comprehensive way, that the survival of the fittest means the survival of the morally best?	But is it not true almost invariably, if we look at social questions of every kind in a comprehensive way, that the survival of the fittest means the survival of the morally best?	true	482.81	495.07	19.202093
2999_156968_000015_000001	That the religion which endures is of the highest type?	That the religion which endures is of the highest type?	true	495.71	498.94	18.179762
2999_156968_000015_000002	Business success in the long run, is so strongly based upon mutual confidence and trust, that, especially in these later days of credit organization, the dishonest man or even the tricky man cannot prosper long.	Business success in the long run, is so strongly based upon mutual confidence and trust, that, especially in these later days of credit organization, the dishonest man or even the tricky man cannot prosper long.	true	499.34	514	20.558716
2999_156968_000015_000003	A sales manager of a prominent institution said lately that the chief difficulty that he had with his men was to make them always tell the truth.	A sales manager of a prominent institution said lately that the chief difficulty that he had with his men was to make them always tell the truth.	true	514.61	523.9	21.416458
2999_156968_000015_000004	For the sake of making an important sale they were often inclined to misrepresent his goods.	For the sake of making an important sale they were often inclined to misrepresent his goods.	true	524.24	530.11	24.198368
2999_156968_000015_000005	"But nothing," he added, "will so surely kill all business as misrepresentation." Even a gambling book-maker on the race tracks in New York, before such work was forbidden by law, is said to have proudly claimed that absolute justice and honesty toward his customers was essential to his success and had therefore become the rule of his life. Although it is sometimes said that the man who guides his life by the maxim, "Honesty is the best policy," is in reality not honest at heart, it must nevertheless be granted that in business the survival of the fittest means the survival of the most honest business man.	"But nothing," he added, "will so surely kill all business as misrepresentation." Even a gambling book maker on the race tracks in New York, before such work was forbidden by law, is said to have proudly claimed that absolute justice and honesty toward his customers was essential to his success and had therefore become the rule of his life. Although it is sometimes said that the man who guides his life by the maxim, "Honesty is the best policy," is in reality not honest at heart, it must nevertheless be granted that in business the survival of the fittest means the survival of the most honest business man.	true	530.3	571.03	20.216476
2999_156968_000016_000000	It may perhaps have been true in the days of Machiavelli that cruelty and treachery would aid the unscrupulous petty despot of Italy to secure and at times to maintain his dukedom; but certainly in modern days, when in all civilized countries permanently prosperous government is based ultimately upon the will of the people, the successful ruler can no longer be treacherous and cruel.	It may perhaps have been true in the days of Machiavelli that cruelty and treachery would aid the unscrupulous petty despot of Italy to secure and at times to maintain his dukedom; but certainly in modern days, when in all civilized countries permanently prosperous government is based ultimately upon the will of the people, the successful ruler can no longer be treacherous and cruel.	true	571.58	596.32	21.42281
