100_121669_000001_000000	Tom, the Piper's Son	Tom, the Piper's Son
100_121669_000003_000000	Tom, Tom, the piper's son, Stole a pig and away he run; The pig was eat and Tom was beat And Tom ran crying down the street.	Tom, Tom, the piper's son, Stole a pig and away he run; The pig was eat and Tom was beat And Tom ran crying down the street.
100_121669_000004_000000	There was not a worse vagabond in Shrewsbury than old Barney the piper.	There was not a worse vagabond in Shrewsbury than old Barney the piper.
100_121669_000004_000001	He never did any work except to play the pipes, and he played so badly that few pennies ever found their way into his pouch.	He never did any work except to play the pipes, and he played so badly that few pennies ever found their way into his pouch.
100_121669_000004_000002	It was whispered around that old Barney was not very honest, but he was so sly and cautious that no one had ever caught him in the act of stealing, although a good many things had been missed after they had fallen into the old man's way.	It was whispered around that old Barney was not very honest, but he was so sly and cautious that no one had ever caught him in the act of stealing, although a good many things had been missed after they had fallen into the old man's way.
100_121669_000005_000000	Barney had one son, named Tom; and they lived all alone in a little hut away at the end of the village street, for Tom's mother had died when he was a baby.	Barney had one son, named Tom; and they lived all alone in a little hut away at the end of the village street, for Tom's mother had died when he was a baby.
100_121669_000005_000001	You may not suppose that Tom was a very good boy, since he had such a queer father; but neither was he very bad, and the worst fault he had was in obeying his father's wishes when Barney wanted him to steal a chicken for their supper or a pot of potatoes for their breakfast.	You may not suppose that Tom was a very good boy, since he had such a queer father; but neither was he very bad, and the worst fault he had was in obeying his father's wishes when Barney wanted him to steal a chicken for their supper or a pot of potatoes for their breakfast.
100_121669_000005_000002	Tom did not like to steal, but he had no one to teach him to be honest, and so, under his father's guidance, he fell into bad ways.	Tom did not like to steal, but he had no one to teach him to be honest, and so, under his father's guidance, he fell into bad ways.
100_121669_000006_000000	One morning	One morning
100_121669_000007_000000	Tom, Tom, the piper's son, Was hungry when the day begun; He wanted a bun and asked for one, But soon found out that there were none.	Tom, Tom, the piper's son, Was hungry when the day begun; He wanted a bun and asked for one, But soon found out that there were none.
100_121669_000008_000000	"What shall we do?" he asked his father	"What shall we do?" he asked his father
100_121669_000009_000000	"Go hungry," replied Barney, "unless you want to take my pipes and play in the village.	"Go hungry," replied Barney, "unless you want to take my pipes and play in the village.
100_121669_000009_000001	Perhaps they will give you a penny."	Perhaps they will give you a penny."
100_121669_000010_000000	"No," answered Tom, shaking his head; "no one will give me a penny for playing; but Farmer Bowser might give me a penny to stop playing, if I went to his house.	"No," answered Tom, shaking his head; "no one will give me a penny for playing; but Farmer Bowser might give me a penny to stop playing, if I went to his house.
100_121669_000010_000001	He did last week, you know."	He did last week, you know."
100_121669_000012_000000	So Tom took his father's pipes and walked over the hill to Farmer Bowser's house; for you must know that	So Tom took his father's pipes and walked over the hill to Farmer Bowser's house; for you must know that
100_121669_000013_000000	Tom, Tom, the piper's son, Learned to play when he was young; But the only tune that he could play Was "Over the hills and far away."	Tom, Tom, the piper's son, Learned to play when he was young; But the only tune that he could play Was "Over the hills and far away."
100_121669_000014_000000	And he played this one tune as badly as his father himself played, so that the people were annoyed when they heard him, and often begged him to stop.	And he played this one tune as badly as his father himself played, so that the people were annoyed when they heard him, and often begged him to stop.
100_121669_000015_000000	When he came to Farmer Bowser's house, Tom started up the pipes and began to play with all his might.	When he came to Farmer Bowser's house, Tom started up the pipes and began to play with all his might.
100_121669_000015_000001	The farmer was in his woodshed, sawing wood, so he did not hear the pipes; and the farmer's wife was deaf, and could not hear them.	The farmer was in his woodshed, sawing wood, so he did not hear the pipes; and the farmer's wife was deaf, and could not hear them.
100_121669_000015_000002	But a little pig that had strayed around in front of the house heard the noise, and ran away in great fear to the pigsty.	But a little pig that had strayed around in front of the house heard the noise, and ran away in great fear to the pigsty.
100_121669_000016_000000	Then, as Tom saw the playing did no good, he thought he would sing also, and therefore he began bawling, at the top of his voice,	Then, as Tom saw the playing did no good, he thought he would sing also, and therefore he began bawling, at the top of his voice,
100_121669_000017_000000	"Over the hills, not a great ways off, The woodchuck died with the whooping-cough!"	"Over the hills, not a great ways off, The woodchuck died with the whooping cough!"
100_121669_000018_000000	The farmer had stopped sawing to rest, just then; and when he heard the singing he rushed out of the shed, and chased Tom away with a big stick of wood.	The farmer had stopped sawing to rest, just then; and when he heard the singing he rushed out of the shed, and chased Tom away with a big stick of wood.
100_121669_000018_000001	The boy went back to his father, and said, sorrowfully, for he was more hungry than before,	The boy went back to his father, and said, sorrowfully, for he was more hungry than before,
100_121669_000019_000000	"The farmer gave me nothing but a scolding; but there was a very nice pig running around the yard."	"The farmer gave me nothing but a scolding; but there was a very nice pig running around the yard."
100_121669_000020_000000	"How big was it?" asked Barney.	"How big was it?" asked Barney.
100_121669_000021_000000	"Oh, just about big enough to make a nice dinner for you and me."	"Oh, just about big enough to make a nice dinner for you and me."
100_121669_000023_000000	Tom knew very well what he meant by that, so he laid down the pipes, and went back to the farmer's house.	Tom knew very well what he meant by that, so he laid down the pipes, and went back to the farmer's house.
100_121669_000025_000000	The piper was very glad to see the pig, and said to Tom,	The piper was very glad to see the pig, and said to Tom,
100_121669_000026_000000	"You are a good son, and the pig is very nice and fat.	"You are a good son, and the pig is very nice and fat.
100_121669_000026_000001	We shall have a dinner fit for a king."	We shall have a dinner fit for a king."
100_121669_000027_000000	It was not long before the piper had the pig killed and cut into pieces and boiling in the pot.	It was not long before the piper had the pig killed and cut into pieces and boiling in the pot.
100_121669_000027_000001	Only the tail was left out, for Tom wanted to make a whistle of it, and as there was plenty to eat besides the tail his father let him have it.	Only the tail was left out, for Tom wanted to make a whistle of it, and as there was plenty to eat besides the tail his father let him have it.
100_121669_000028_000000	The piper and his son had a fine dinner that day, and so great was their hunger that the little pig was all eaten up at one meal!	The piper and his son had a fine dinner that day, and so great was their hunger that the little pig was all eaten up at one meal!
100_121669_000030_000000	Now Farmer Bowser, when he had finished sawing the wood, found it was time to feed the pig, so he took a pail of meal and went to the pigsty.	Now Farmer Bowser, when he had finished sawing the wood, found it was time to feed the pig, so he took a pail of meal and went to the pigsty.
100_121669_000030_000001	But when he came to the sty there was no pig to be seen, and he searched all round the place for a good hour without finding it.	But when he came to the sty there was no pig to be seen, and he searched all round the place for a good hour without finding it.
100_121669_000031_000000	"Piggy, piggy, piggy!" he called, but no piggy came, and then he knew his pig had been stolen.	"Piggy, piggy, piggy!" he called, but no piggy came, and then he knew his pig had been stolen.
100_121669_000031_000001	He was very angry, indeed, for the pig was a great pet, and he had wanted to keep it till it grew very big.	He was very angry, indeed, for the pig was a great pet, and he had wanted to keep it till it grew very big.
100_121669_000032_000000	So he put on his coat and buckled a strap around his waist, and went down to the village to see if he could find out who had stolen his pig.	So he put on his coat and buckled a strap around his waist, and went down to the village to see if he could find out who had stolen his pig.
100_121669_000033_000000	Up and down the street he went, and in and out the lanes, but no traces of the pig could he find anywhere.	Up and down the street he went, and in and out the lanes, but no traces of the pig could he find anywhere.
100_121669_000033_000001	And that was no great wonder, for the pig was eaten by that time and its bones picked clean.	And that was no great wonder, for the pig was eaten by that time and its bones picked clean.
100_121669_000034_000000	Finally the farmer came to the end of the street where the piper lived in his little hut, and there he saw Tom sitting on a bench and blowing on a whistle made from a pig's tail.	Finally the farmer came to the end of the street where the piper lived in his little hut, and there he saw Tom sitting on a bench and blowing on a whistle made from a pig's tail.
100_121669_000035_000000	"Where did you get that tail?" asked the farmer.	"Where did you get that tail?" asked the farmer.
100_121669_000036_000000	"I found it," said naughty Tom, beginning to be frightened.	"I found it," said naughty Tom, beginning to be frightened.
100_121669_000037_000000	"Let me see it," demanded the farmer; and when he had looked at it carefully he cried out,	"Let me see it," demanded the farmer; and when he had looked at it carefully he cried out,
100_121669_000038_000000	"This tail belonged to my little pig, for I know very well the curl at the end of it!	"This tail belonged to my little pig, for I know very well the curl at the end of it!
100_121669_000038_000001	Tell me, you rascal, where is the pig?"	Tell me, you rascal, where is the pig?"
100_121669_000039_000000	Then Tom fell in a tremble, for he knew his wickedness was discovered.	Then Tom fell in a tremble, for he knew his wickedness was discovered.
100_121669_000040_000000	"The pig is eat, your honor," he answered.	"The pig is eat, your honor," he answered.
100_121669_000041_000000	The farmer said never a word, but his face grew black with anger, and, unbuckling the strap that was about his waist, he waved it around his head, and whack! came the strap over Tom's back.	The farmer said never a word, but his face grew black with anger, and, unbuckling the strap that was about his waist, he waved it around his head, and whack! came the strap over Tom's back.
100_121669_000042_000000	"Ow, ow!" cried the boy, and started to run down the street.	"Ow, ow!" cried the boy, and started to run down the street.
100_121669_000044_000000	It was dark before he came back to his home, and his father was still asleep; so Tom crept into the hut and went to bed.	It was dark before he came back to his home, and his father was still asleep; so Tom crept into the hut and went to bed.
100_121669_000044_000001	But he had received a good lesson and never after that could the old piper induce him to steal.	But he had received a good lesson and never after that could the old piper induce him to steal.
100_121669_000045_000000	When Tom showed by his actions his intention of being honest he soon got a job of work to do, and before long he was able to earn a living more easily, and a great deal more honestly, than when he stole the pig to get a dinner and suffered a severe beating as a punishment.	When Tom showed by his actions his intention of being honest he soon got a job of work to do, and before long he was able to earn a living more easily, and a great deal more honestly, than when he stole the pig to get a dinner and suffered a severe beating as a punishment.
