543_133212_000000_000000	"I should be glad to see such a rarity," said Martin.	"I should be glad to see such a rarity," said Martin.	false	0	2.97	15.466057
543_133212_000001_000000	Candide immediately sent to ask the Lord Pococurante permission to wait upon him the next day.	Candide immediately sent to ask the Lord Pococurante permission to wait upon him the next day.	false	2.97	5.85	20.056887
543_133212_000002_000000	XXV	twenty five	true	5.85	7.27	18.360998
543_133212_000003_000000	THE VISIT TO LORD POCOCURANTE, A NOBLE VENETIAN.	THE VISIT TO LORD p o c o c u r a n t e, A NOBLE VENETIAN.	false	7.28	11.92	20.176788
543_133212_000004_000000	Candide and Martin went in a gondola on the Brenta, and arrived at the palace of the noble Signor Pococurante.	Candide and Martin went in a gondola on the Brenta, and arrived at the palace of the noble Signor Pococurante.	false	12.26	20.25	17
543_133212_000004_000001	The gardens, laid out with taste, were adorned with fine marble statues.	The gardens, laid out with taste, were adorned with fine marble statues.	true	20.25	25.665	14
543_133212_000004_000002	The palace was beautifully built.	The palace was beautifully built.	true	25.665	28.005	21
543_133212_000004_000003	The master of the house was a man of sixty, and very rich.	The master of the house was a man of sixty, and very rich.	true	28.005	32.055	16
543_133212_000004_000004	He received the two travellers with polite indifference, which put Candide a little out of countenance, but was not at all disagreeable to Martin.	He received the two travellers with polite indifference, which put Candide a little out of countenance, but was not at all disagreeable to Martin.	true	32.055	41.92	16
543_133212_000005_000000	First, two pretty girls, very neatly dressed, served them with chocolate, which was frothed exceedingly well.	First, two pretty girls, very neatly dressed, served them with chocolate, which was frothed exceedingly well.	true	42.05	49.605	18
543_133212_000005_000001	Candide could not refrain from commending their beauty, grace, and address.	Candide could not refrain from commending their beauty, grace, and address.	true	49.605	54.18	12
543_133212_000006_000000	"They are good enough creatures," said the Senator.	"They are good enough creatures," said the Senator.	false	54.18	57.33	19.284754
543_133212_000006_000001	"I make them lie with me sometimes, for I am very tired of the ladies of the town, of their coquetries, of their jealousies, of their quarrels, of their humours, of their pettinesses, of their prides, of their follies, and of the sonnets which one must make, or have made, for them.	"I make them lie with me sometimes, for I am very tired of the ladies of the town, of their coquetries, of their jealousies, of their quarrels, of their humours, of their pettinesses, of their prides, of their follies, and of the sonnets which one must make, or have made, for them.	true	57.33	79.03	15
543_133212_000006_000002	But after all, these two girls begin to weary me."	But after all, these two girls begin to weary me."	true	79.1	83.59	16.352488
543_133212_000007_000000	After breakfast, Candide walking into a long gallery was surprised by the beautiful pictures.	After breakfast, Candide walking into a long gallery was surprised by the beautiful pictures.	true	83.81	90.16	15
543_133212_000007_000001	He asked, by what master were the two first.	He asked, by what master were the two first.	true	90.2	93.81	19.916655
543_133212_000008_000000	"They are by Raphael," said the Senator.	"They are by Raphael," said the Senator.	false	93.81	96.795	18.750175
543_133212_000008_000001	"I bought them at a great price, out of vanity, some years ago.	"I bought them at a great price, out of vanity, some years ago.	true	96.795	101.13	14
543_133212_000008_000002	They are said to be the finest things in Italy, but they do not please me at all.	They are said to be the finest things in Italy, but they do not please me at all.	false	101.13	106.485	18
543_133212_000008_000003	The colours are too dark, the figures are not sufficiently rounded, nor in good relief; the draperies in no way resemble stuffs.	The colours are too dark, the figures are not sufficiently rounded, nor in good relief; the draperies in no way resemble stuffs.	true	106.485	116.22	18
543_133212_000008_000004	In a word, whatever may be said, I do not find there a true imitation of nature.	In a word, whatever may be said, I do not find there a true imitation of nature.	false	116.22	123.42	16
543_133212_000008_000005	I only care for a picture when I think I see nature itself; and there are none of this sort.	I only care for a picture when I think I see nature itself; and there are none of this sort.	true	123.42	130.15	19
543_133212_000008_000006	I have a great many pictures, but I prize them very little."	I have a great many pictures, but I prize them very little."	true	130.28	135.16	19
543_133212_000009_000000	While they were waiting for dinner Pococurante ordered a concert. Candide found the music delicious.	While they were waiting for dinner Pococurante ordered a concert. Candide found the music delicious.	true	135.29	142.63	17
543_133212_000010_000000	"This noise," said the Senator, "may amuse one for half an hour; but if it were to last longer it would grow tiresome to everybody, though they durst not own it.	"This noise," said the Senator, "may amuse one for half an hour; but if it were to last longer it would grow tiresome to everybody, though they durst not own it.	true	142.7	155.44	15
543_133212_000010_000001	Music, to-day, is only the art of executing difficult things, and that which is only difficult cannot please long.	Music, to day, is only the art of executing difficult things, and that which is only difficult cannot please long.	true	155.51	165.885	20.002031
543_133212_000010_000002	Perhaps I should be fonder of the opera if they had not found the secret of making of it a monster which shocks me.	Perhaps I should be fonder of the opera if they had not found the secret of making of it a monster which shocks me.	true	165.885	173.77	14
543_133212_000010_000003	Let who will go to see bad tragedies set to music, where the scenes are contrived for no other end than to introduce two or three songs ridiculously out of place, to show off an actress's voice.	Let who will go to see bad tragedies set to music, where the scenes are contrived for no other end than to introduce two or three songs ridiculously out of place, to show off an actress's voice.	true	173.78	189.73	17
543_133212_000010_000004	Let who will, or who can, die away with pleasure at the sight of an eunuch quavering the _role_ of Caesar, or of Cato, and strutting awkwardly upon the stage.	Let who will, or who can, die away with pleasure at the sight of an eunuch quavering the underscore role underscore of Caesar, or of Cato, and strutting awkwardly upon the stage.	false	189.92	203.22	19
543_133212_000010_000005	For my part I have long since renounced those paltry entertainments which constitute the glory of modern Italy, and are purchased so dearly by sovereigns."	For my part one have long since renounced those paltry entertainments which constitute the glory of modern Italy, and are purchased so dearly by sovereigns."	false	203.22	214.93	17
543_133212_000011_000000	Candide disputed the point a little, but with discretion.	Candide disputed the point a little, but with discretion.	true	214.94	218.97	19
543_133212_000011_000001	Martin was entirely of the Senator's opinion.	Martin was entirely of the Senator's opinion.	true	218.97	222.34	15
543_133212_000012_000000	They sat down to table, and after an excellent dinner they went into the library.	They sat down to table, and after an excellent dinner they went into the library.	true	222.44	227.97	21
543_133212_000012_000001	Candide, seeing a Homer magnificently bound, commended the virtuoso on his good taste.	Candide, seeing a Homer magnificently bound, commended the virtuoso on his good taste.	true	227.97	234.94	16
543_133212_000013_000000	"There," said he, "is a book that was once the delight of the great Pangloss, the best philosopher in Germany."	"There," said he, "is a book that was once the delight of the great Pangloss, the best philosopher in Germany."	true	235.01	242.62	17
543_133212_000014_000000	"It is not mine," answered Pococurante coolly.	"It is not mine," answered Pococurante coolly.	true	242.72	246.33	17
543_133212_000014_000001	"They used at one time to make me believe that I took a pleasure in reading him.	"They used at one time to make me believe that I took a pleasure in reading him.	true	246.33	251.25	15
543_133212_000014_000002	But that continual repetition of battles, so extremely like one another; those gods that are always active without doing anything decisive; that Helen who is the cause of the war, and who yet scarcely appears in the piece; that Troy, so long besieged without being taken; all these together caused me great weariness.	But that continual repetition of battles, so extremely like one another; those gods that are always active without doing anything decisive; that Helen who is the cause of the war, and who yet scarcely appears in the piece; that Troy, so long besieged without being taken; all these together caused me great weariness.	false	251.25	275.59	16
543_133212_000014_000003	I have sometimes asked learned men whether they were not as weary as I of that work.	I have sometimes asked learned men whether they were not as weary as I of that work.	true	275.66	281.16	17
543_133212_000014_000004	Those who were sincere have owned to me that the poem made them fall asleep; yet it was necessary to have it in their library as a monument of antiquity, or like those rusty medals which are no longer of use in commerce."	Those who were sincere have owned to me that the poem made them fall asleep; yet it was necessary to have it in their library as a monument of antiquity, or like those rusty medals which are no longer of use in commerce."	true	281.16	296.295	16
543_133212_000015_000000	"But your Excellency does not think thus of Virgil?" said Candide.	"But your Excellency does not think thus of Virgil?" said Candide.	true	296.295	300.72	18
