2272_152282_000000_000000	WARWICK THE KINGMAKER	WARWICK THE KINGMAKER	true	26.55	28.24	27.334812
2272_152282_000001_000000	LIVED FROM 1428-1471	LIVED FROM fourteen twenty eight to fourteen seventy one	true	28.31	32.43	21.612673
2272_152282_000002_000000	I	I	false	32.43	34.5	16.1988
2272_152282_000003_000000	The earl of Warwick, known as the "kingmaker," was the most famous man in England for many years after the death of Henry V. He lived in a great castle with two towers higher than most church spires. It is one of the handsomest dwellings in the world and is visited every year by thousands of people.	The earl of Warwick, known as the "kingmaker," was the most famous man in England for many years after the death of Henry the fifth He lived in a great castle with two towers higher than most church spires. It is one of the handsomest dwellings in the world and is visited every year by thousands of people.	true	34.5	51.55	20
2272_152282_000003_000001	The kingmaker had a guard of six hundred men.	The kingmaker had a guard of six hundred men.	true	51.77	54.22	19
2272_152282_000003_000002	At his house in London meals were served to so many people that six fat oxen were eaten at breakfast alone.	At his house in London meals were served to so many people that six fat oxen were eaten at breakfast alone.	true	54.35	60.64	18
2272_152282_000003_000003	He had a hundred and ten estates in different parts of England and no less than 30,000 persons were fed daily at his board.	He had a hundred and ten estates in different parts of England and no less than thirty thousand persons were fed daily at his board.	true	60.77	67.45	16
2272_152282_000003_000004	He owned the whole city of Worcester, and besides this and three islands, Jersey, Guernsey and Alderney, so famed in our time for their cattle, belonged to him.	He owned the whole city of Worcester, and besides this and three islands, Jersey, Guernsey and Alderney, so famed in our time for their cattle, belonged to him.	false	67.7	77.35	21
2272_152282_000004_000000	He had a cousin of whom he was as fond as if he were a brother. This was Richard, duke of York, who was also own cousin to King Henry VI, the son of Henry V.	He had a cousin of whom he was as fond as if he were a brother. This was Richard, duke of York, who was also own cousin to King Henry the sixth, the son of Henry the fifth	false	77.36	87.16	22.473137
2272_152282_000005_000000	One evening as the sun was setting, and the warders were going to close the gates of the city of York for the night, a loud blast of a horn was heard.	One evening as the sun was setting, and the warders were going to close the gates of the city of York for the night, a loud blast of a horn was heard.	false	87.35	95.145	16
2272_152282_000005_000001	It was made by the sentry on the wall near the southern gate.	It was made by the sentry on the wall near the southern gate.	false	95.145	98.5	13
2272_152282_000005_000002	An armed troop was approaching.	An armed troop was approaching.	true	98.54	100.27	24.431507
2272_152282_000005_000003	When they drew near the gate their scarlet coats embroidered with the figure of a boar proved them to be the men of the earl of Warwick.	When they drew near the gate their scarlet coats embroidered with the figure of a boar proved them to be the men of the earl of Warwick.	false	100.37	107.13	18
2272_152282_000005_000004	The earl himself was behind them.	The earl himself was behind them.	true	107.13	109.08	21
2272_152282_000005_000005	The gate was opened.	The gate was opened.	true	109.08	110.53	26.146122
2272_152282_000006_000000	Passing through it and on to the castle, the earl and his company were soon within its strong stone walls.	Passing through it and on to the castle, the earl and his company were soon within its strong stone walls.	true	110.78	116.86	20
2272_152282_000007_000000	"Cousin," said the earl of Warwick to the duke of York as they sat talking before a huge log fire in the great room of the castle, "England will not long endure the misrule of a king who is half the time out of his mind."	"Cousin," said the earl of Warwick to the duke of York as they sat talking before a huge log fire in the great room of the castle, "England will not long endure the misrule of a king who is half the time out of his mind."	true	116.99	128.08	17
2272_152282_000008_000000	The earl spoke the truth.	The earl spoke the truth.	true	128.39	129.85	26.970062
