3866_9920_000001_000015	"Thirty francs."	"Thirty francs."
3866_9920_000001_000016	"What is your name?" "Olympie." "You shall have fifty francs, and you shall be called Nicolette."	"What is your name?" "Olympie." "You shall have fifty francs, and you shall be called Nicolette."
3866_9920_000003_000001	He had all sorts of prejudices and took all sorts of liberties.	He had all sorts of prejudices and took all sorts of liberties.
3866_9920_000003_000013	You are finely taken aback, and really, you are excessively ignorant.	You are finely taken aback, and really, you are excessively ignorant.
3866_9920_000003_000020	This manner of procedure was good-tempered.	This manner of procedure was good tempered.
3866_9920_000003_000025	He added: "I insist upon it that the mother shall treat them well. I shall go to see them from time to time." And this he did.	He added: "I insist upon it that the mother shall treat them well. I shall go to see them from time to time." And this he did.
3866_9920_000003_000039	He took an immense amount of snuff, and had a particularly graceful manner of plucking at his lace ruffle with the back of one hand.	He took an immense amount of snuff, and had a particularly graceful manner of plucking at his lace ruffle with the back of one hand.
3866_9920_000008_000002	He dined at five o'clock, and after that his door was open.	He dined at five o'clock, and after that his door was open.
3866_9920_000010_000001	They had come into the world ten years apart.	They had come into the world ten years apart.
3866_9920_000011_000001	No paradise becomes terrestrial in our day.	No paradise becomes terrestrial in our day.
3866_9920_000011_000002	The younger wedded the man of her dreams, but she died.	The younger wedded the man of her dreams, but she died.
3866_9920_000013_000001	Her modesty was carried to the other extreme of blackness. She cherished a frightful memory of her life; one day, a man had beheld her garter.	Her modesty was carried to the other extreme of blackness. She cherished a frightful memory of her life; one day, a man had beheld her garter.
3866_9920_000014_000000	Age had only served to accentuate this pitiless modesty.	Age had only served to accentuate this pitiless modesty.
3866_9920_000016_000000	In spite of this favored Lancer, the label: Prude, under which we have classed her, suited her to absolute perfection.	In spite of this favored Lancer, the label: Prude, under which we have classed her, suited her to absolute perfection.
3866_9920_000018_000002	Mademoiselle Vaubois, perfect in her style, was the ermine of stupidity without a single spot of intelligence.	Mademoiselle Vaubois, perfect in her style, was the ermine of stupidity without a single spot of intelligence.
3866_9920_000019_000001	This is the case with passive natures.	This is the case with passive natures.
3866_9920_000019_000004	There breathed from her whole person the stupor of a life that was finished, and which had never had a beginning.	There breathed from her whole person the stupor of a life that was finished, and which had never had a beginning.
3866_9920_000022_000000	This was his grandson.	This was his grandson.
