479_107479_000000_000000	III	three	true	18.06	18.61	20.742113
479_107479_000001_000000	THE ADVENTURE OF MRS.	THE ADVENTURE OF mrs	true	18.68	19.86	22.352491
479_107479_000001_000001	GASTER'S MAID	GASTER'S MAID	true	19.86	20.65	20
479_107479_000002_000000	Two days after my bargain with Mr. Harold Van Gilt, in which he acquired possession of the Scrappe jades and Mrs. Van Raffles and I shared the proceeds of the ten thousand dollars check, I was installed at Bolivar Lodge as head-butler and steward, my salary to consist of what I could make out of it on the side, plus ten per cent. of the winnings of my mistress.	Two days after my bargain with mr Harold Van Gilt, in which he acquired possession of the Scrappe jades and mrs Van Raffles and I shared the proceeds of the ten thousand dollars check, I was installed at Bolivar Lodge as head butler and steward, my salary to consist of what I could make out of it on the side, plus ten per cent. of the winnings of my mistress.	true	20.72	37.32	23
479_107479_000002_000001	It was not long before I discovered that the job was a lucrative one.	It was not long before I discovered that the job was a lucrative one.	false	37.32	40.93	19.538185
479_107479_000002_000002	From various tradesmen of the town I received presents of no little value in the form sometimes of diamond scarf-pins, gold link sleeve-buttons, cases of fine wines for my own use, and in one or two instances checks of substantial value.	From various tradesmen of the town I received presents of no little value in the form sometimes of diamond scarf pins, gold link sleeve buttons, cases of fine wines for my own use, and in one or two instances checks of substantial value.	true	41.24	53.58	19
479_107479_000002_000003	There was also what was called a steward's rebate on the monthly bills, which in circles where lavish entertainment is the order of the day amounted to a tidy little income in itself.	There was also what was called a steward's rebate on the monthly bills, which in circles where lavish entertainment is the order of the day amounted to a tidy little income in itself.	false	53.58	63.22	23.013983
479_107479_000002_000004	My only embarrassment lay in the contact into which I was necessarily brought with other butlers, with whom I was perforce required to associate.	My only embarrassment lay in the contact into which I was necessarily brought with other butlers, with whom I was perforce required to associate.	false	63.44	70.96	22.73829
479_107479_000002_000005	This went very much against the grain at first, for, although I am scarcely more than a thief after all, I am an artistic one, and still retain the prejudice against inferior associations which an English gentleman whatever the vicissitudes of his career can never quite rid himself of.	This went very much against the grain at first, for, although I am scarcely more than a thief after all, I am an artistic one, and still retain the prejudice against inferior associations which an English gentleman whatever the vicissitudes of his career can never quite rid himself of.	true	71.03	85.78	20.684227
479_107479_000002_000006	I had to join their club--an exclusive organization of butlers and "gentlemen's gentlemen"--otherwise valets--and in order to quiet all suspicion of my real status in the Van Raffles household I was compelled to act the part in a fashion which revolted me.	I had to join their club-an exclusive organization of butlers and "gentlemen's gentlemen"--otherwise valets-and in order to quiet all suspicion of my real status in the Van Raffles household I was compelled to act the part in a fashion which revolted me.	true	86.36	99.61	22.085491
479_107479_000002_000007	Otherwise the position was pleasant, and, as I have intimated, more than lucrative.	Otherwise the position was pleasant, and, as I have intimated, more than lucrative.	true	99.98	105.4	20.370308
479_107479_000003_000000	It did not take me many days to discover that Henriette was a worthy successor to her late husband.	It did not take me many days to discover that Henriette was a worthy successor to her late husband.	true	105.68	110.59	21.627409
479_107479_000003_000001	Few opportunities for personal profit escaped her eye, and I was able to observe as time went on and I noted the accumulation of spoons, forks, nutcrackers, and gimcracks generally that she brought home with her after her calls upon or dinners with ladies of fashion that she had that quality of true genius which never overlooks the smallest details.	Few opportunities for personal profit escaped her eye, and I was able to observe as time went on and I noted the accumulation of spoons, forks, nutcrackers, and gimcracks generally that she brought home with her after her calls upon or dinners with ladies of fashion that she had that quality of true genius which never overlooks the smallest details.	true	110.78	129.64	21
479_107479_000004_000000	The first big coup after my arrival, as the result of her genius, was in the affair of Mrs. Gaster's maid.	The first big coup after my arrival, as the result of her genius, was in the affair of mrs Gaster's maid.	false	130.28	136.36	22.131678
479_107479_000004_000001	Henriette had been to a bridge afternoon at Mrs. Gaster's and upon her return manifested an extraordinary degree of excitement.	Henriette had been to a bridge afternoon at mrs Gaster's and upon her return manifested an extraordinary degree of excitement.	true	136.64	143.17	21
479_107479_000004_000002	Her color was high, and when she spoke her voice was tremulous.	Her color was high, and when she spoke her voice was tremulous.	true	143.27	146.26	21.570156
479_107479_000004_000003	Her disturbed condition was so evident that my heart sank into my boots, for in our business nerve is a _sine qua non_ of success, and it looked to me as if Henriette was losing hers.	Her disturbed condition was so evident that my heart sank into my boots, for in our business nerve is a underscore sine qua non underscore of success, and it looked to me as if Henriette was losing hers.	false	146.63	156.1	22
479_107479_000004_000004	She has probably lost at cards to-day, I thought, and it has affected her usual calmness.	She has probably lost at cards to day, I thought, and it has affected her usual calmness.	false	156.65	160.93	21.743715
479_107479_000004_000005	I must do something to warn her against this momentary weakness.	I must do something to warn her against this momentary weakness.	true	161.18	164.29	20
479_107479_000004_000006	With this idea in mind, when the opportunity presented itself later I spoke.	With this idea in mind, when the opportunity presented itself later I spoke.	false	164.93	168.75	20.194738
479_107479_000005_000000	"You lost at bridge to-day, Henriette," I said.	"You lost at bridge to day, Henriette," I said.	false	168.75	171.4	22.619896
479_107479_000006_000000	"Yes," she replied.	"Yes," she replied.	true	171.71	172.65	25
479_107479_000006_000001	"Twenty-five hundred dollars in two hours.	"Twenty five hundred dollars in two hours.	true	172.65	174.3	18
479_107479_000006_000002	How did you guess?"	How did you guess?"	true	174.3	175.18	22.861923
479_107479_000007_000000	"By your manner," said I. "You are as nervous as a young girl at a commencement celebration.	"By your manner," said i "You are as nervous as a young girl at a commencement celebration.	false	175.52	179.44	20.059908
479_107479_000007_000001	This won't do, Henriette.	This won't do, Henriette.	true	179.78	181.24	22.76385
479_107479_000007_000002	Nerves will prove your ruin, and if you can't stand your losses at bridge, what will you do in the face of the greater crisis which in our profession is likely to confront us in the shape of an unexpected visit of police at any moment?"	Nerves will prove your ruin, and if you can't stand your losses at bridge, what will you do in the face of the greater crisis which in our profession is likely to confront us in the shape of an unexpected visit of police at any moment?"	false	181.25	191.44	21.70538
479_107479_000008_000000	Her answer was a ringing laugh.	Her answer was a ringing laugh.	true	192.05	193.87	18.160585
479_107479_000009_000000	"You absurd old rabbit," she murmured.	"You absurd old rabbit," she murmured.	false	194.03	196.44	21.475422
479_107479_000009_000001	"As if I cared about my losses at bridge!	"As if I cared about my losses at bridge!	true	196.44	198.27	23.213688
479_107479_000009_000002	Why, my dear Bunny, I lost that money on purpose.	Why, my dear Bunny, I lost that money on purpose.	false	198.27	200.95	20.382887
479_107479_000009_000003	You don't suppose that I am going to risk my popularity with these Newport ladies by winning, do you?	You don't suppose that I am going to risk my popularity with these Newport ladies by winning, do you?	true	201.29	205.72	20
479_107479_000009_000004	Not I, my boy.	Not I, my boy.	true	206.06	207.09	18.634472
479_107479_000009_000005	I plan too far ahead for that.	I plan too far ahead for that.	false	207.09	208.81	22.300312
479_107479_000009_000006	For the good of our cause it is my task to lose steadily and with good grace.	For the good of our cause it is my task to lose steadily and with good grace.	true	209.06	212.65	22.220005
479_107479_000009_000007	This establishes my credit, proves my amiability, and confirms my popularity."	This establishes my credit, proves my amiability, and confirms my popularity."	true	212.96	217.21	20.571722
479_107479_000010_000000	"But you are very much excited by something, Henriette," said I. "You cannot deny that."	"But you are very much excited by something, Henriette," said i "You cannot deny that."	true	217.76	221.74	20.932106
479_107479_000011_000000	"I don't--but it is the prospect of future gain, not the reality of present losses, that has taken me off my poise," she said.	"I don't-but it is the prospect of future gain, not the reality of present losses, that has taken me off my poise," she said.	true	222.29	228.34	21.217123
479_107479_000011_000001	"Whom do you suppose I saw at Mrs. Gaster's to-day?"	"Whom do you suppose I saw at mrs Gaster's to day?"	true	228.53	231.28	16.576801
479_107479_000012_000000	"No detectives, I hope," I replied, paling at the thought.	"No detectives, I hope," I replied, paling at the thought.	false	231.5	234.61	24.048986
479_107479_000013_000000	"No, sir," she laughed.	"No, sir," she laughed.	false	234.95	236.31	18.200857
479_107479_000013_000001	"Mrs. Gaster's maid.	"mrs Gaster's maid.	true	236.31	237.45	15
479_107479_000013_000002	We must get her, Bunny."	We must get her, Bunny."	true	237.45	238.59	23
479_107479_000014_000000	"Oh, tush!" I ejaculated.	"Oh, tush!" I ejaculated.	false	238.59	241.035	18.617418
479_107479_000014_000001	"All this powwow over another woman's maid!"	"All this powwow over another woman's maid!"	true	241.035	243.64	25.102724
479_107479_000015_000000	"You don't understand," said Henriette.	"You don't understand," said Henriette.	true	243.95	245.85	20.223022
479_107479_000015_000001	"It wasn't the maid so much as the woman that startled me, Bunny.	"It wasn't the maid so much as the woman that startled me, Bunny.	false	245.85	248.73	20
479_107479_000015_000002	You can't guess who she was."	You can't guess who she was."	true	248.73	250.39	24
479_107479_000016_000000	"How should I?" I demanded.	"How should I?" I demanded.	true	250.7	252.28	21.033192
479_107479_000017_000000	"She was Fiametta de Belleville, one of the most expert hands in our business.	"She was Fiametta de Belleville, one of the most expert hands in our business.	true	252.44	255.91	21.928234
