2061_147110_000000_000000	CHAPTER II	CHAPTER two	true	24.24	25.36	21
2061_147110_000001_000000	THE SEA LINK LOST 1745	THE SEA LINK LOST seventeen forty five	true	25.43	28.81	20.32908
2061_147110_000002_000000	Rome would not rest till she had ruined Carthage.	Rome would not rest till she had ruined Carthage.	true	30.44	33.43	20
2061_147110_000002_000001	Britain would not rest till she had seen Dunkirk demolished.	Britain would not rest till she had seen Dunkirk demolished.	true	33.83	37.395	19
2061_147110_000002_000002	New England would not rest till she had taken Louisbourg.	New England would not rest till she had taken Louisbourg.	true	37.395	40.72	18.485453
2061_147110_000003_000000	Louisbourg was unique in all America, and that was its undoing.	Louisbourg was unique in all America, and that was its undoing.	true	41.15	45.07	18
2061_147110_000003_000001	It was the one sentinel beside the gateway to New France; therefore it ought to be taken before Quebec and Canada were attacked.	It was the one sentinel beside the gateway to New France; therefore it ought to be taken before Quebec and Canada were attacked.	true	45.29	52.81	17
2061_147110_000003_000002	It was the one corsair lying in perpetual wait beside the British lines of seaborne trade; therefore it must be taken before British shipping could be safe.	It was the one corsair lying in perpetual wait beside the British lines of seaborne trade; therefore it must be taken before British shipping could be safe.	true	53	62.71	18
2061_147110_000003_000003	It was the one French sea link between the Old World and the New; therefore its breaking was of supreme importance.	It was the one French sea link between the Old World and the New; therefore its breaking was of supreme importance.	true	63.11	70.09	17
2061_147110_000003_000004	It was the one real fortress ever heard of in America, and it was in absolutely alien hands; therefore, so ran New England logic, it was most offensive to all true Britons, New Englanders, and Puritans; to all rivals in smuggling, trade, and privateering; and to all right-thinking people generally.	It was the one real fortress ever heard of in America, and it was in absolutely alien hands; therefore, so ran New England logic, it was most offensive to all true Britons, New Englanders, and Puritans; to all rivals in smuggling, trade, and privateering; and to all right thinking people generally.	false	70.25	90.16	15
2061_147110_000004_000000	The weakness of Louisbourg was very welcome news to energetic Massachusetts.	The weakness of Louisbourg was very welcome news to energetic Massachusetts.	false	90.89	95.65	14
