510_130560_000000_000000	V. Karmu and Dharmu.	V. Karmu and Dharmu.	false	24.555	32.85	21.13823
510_130560_000001_000000	There were once two brothers Karmu and Dharmu.	There were once two brothers Karmu and Dharmu.	true	32.85	36.79	22.189213
510_130560_000001_000001	Karmu was a farmer and Dharmu was a trader; once when Dharmu was away from home Karmu gave a religious feast and did not invite Dharmu's household; when Dharmu returned and learnt this, he told his wife that he also would perform the ceremonies in his house, so they set to work and were employed in cooking rice and vegetables far into the night; and Karam Gosain came down to see what preparations Dharmu was making in his honour, and he watched from the back of the house.	Karmu was a farmer and Dharmu was a trader; once when Dharmu was away from home Karmu gave a religious feast and did not invite Dharmu's household; when Dharmu returned and learnt this, he told his wife that he also would perform the ceremonies in his house, so they set to work and were employed in cooking rice and vegetables far into the night; and Karam Gosain came down to see what preparations Dharmu was making in his honour, and he watched from the back of the house.	false	37.22	73.48	20.22477
510_130560_000002_000000	Just then Dharmu strained off the water from the cooked rice and threw it out of the window, and it fell on Karam Gosain and scalded him, and as the flies and insects worried the wound, Karam Gosain went off to the Ganges and buried himself in the middle of the stream.	Just then Dharmu strained off the water from the cooked rice and threw it out of the window, and it fell on Karam Gosain and scalded him, and as the flies and insects worried the wound, Karam Gosain went off to the Ganges and buried himself in the middle of the stream.	false	74.42	94.12	20.674374
510_130560_000002_000001	As he had thus offended Karam Gosain, all Dharmu's undertakings failed and he fell into deep poverty, and had not even enough to eat, so he had to take service with his brother Karmu.	As he had thus offended Karam Gosain, all Dharmu's undertakings failed and he fell into deep poverty, and had not even enough to eat, so he had to take service with his brother Karmu.	false	95.09	109.09	21.649023
510_130560_000002_000002	When the time for transplanting the rice came, Dharmu used to plough and dig the ditches and mend the gaps along with the day labourers.	When the time for transplanting the rice came, Dharmu used to plough and dig the ditches and mend the gaps along with the day labourers.	true	110.24	119.29	21.717003
510_130560_000002_000003	Karmu told him not to work himself but act as overseer of the other labourers, and the labourers also told him that it was not suitable for him to work as a labourer himself, but Dharmu said that he must earn his wages and insisted on working; and in the same way Dharmu's wife might have acted as overseer of the women, but she was ashamed not to work too.	Karmu told him not to work himself but act as overseer of the other labourers, and the labourers also told him that it was not suitable for him to work as a labourer himself, but Dharmu said that he must earn his wages and insisted on working; and in the same way Dharmu's wife might have acted as overseer of the women, but she was ashamed not to work too.	false	120.14	145.6	20.14886
510_130560_000003_000000	One day they were transplanting the rice and Karmu brought out breakfast for the labourers; he told Dharmu and his wife to wash their hands and come and eat; but they answered that they belonged to the household and that the hired labourers should be fed first, so the labourers ate and they ate up all the rice and there was nothing left for Dharmu and his wife.	One day they were transplanting the rice and Karmu brought out breakfast for the labourers; he told Dharmu and his wife to wash their hands and come and eat; but they answered that they belonged to the household and that the hired labourers should be fed first, so the labourers ate and they ate up all the rice and there was nothing left for Dharmu and his wife.	false	146.45	169.84	22.057272
510_130560_000003_000001	When the midday meal was brought the same thing happened, Dharmu and his wife got nothing; but they hoped that it would be made up to them when the wages were paid, and worked on fasting.	When the midday meal was brought the same thing happened, Dharmu and his wife got nothing; but they hoped that it would be made up to them when the wages were paid, and worked on fasting.	true	170.63	182.17	21.605879
510_130560_000003_000002	At evening when they came to pay the wages in kind, Dharmu's name was called out first, but he told his brother to pay the labourers first, and in doing this the paddy was all used up and there was nothing left for Dharmu and his wife; so they went home sorrowfully and their children cried for food and they had nothing to give them.	At evening when they came to pay the wages in kind, Dharmu's name was called out first, but he told his brother to pay the labourers first, and in doing this the paddy was all used up and there was nothing left for Dharmu and his wife; so they went home sorrowfully and their children cried for food and they had nothing to give them.	false	183.26	206.44	20.347559
510_130560_000003_000003	In the night Dharmu's wife said "They promised to pay us for merely looking after the work and instead, we worked hard and have still got nothing.	In the night Dharmu's wife said "They promised to pay us for merely looking after the work and instead, we worked hard and have still got nothing.	true	207.53	217.42	21.595592
