4110_11533_000000_000000	Earth, the Marauder	Earth, the Marauder	false	0.6	2.88	14
4110_11533_000001_000000	CONCLUSION OF A THREE-PART NOVEL	CONCLUSION OF A THREE PART NOVEL	false	2.88	12.75	23.394756
4110_11533_000002_000000	_By Arthur J. Burks_	underscore By Arthur j Burks underscore	false	12.75	29.94	22.641628
4110_11533_000003_000000	CHAPTER XIX	CHAPTER nineteen	true	29.94	31.47	29.269428
4110_11533_000004_000000	_Desolation_	underscore Desolation underscore	false	31.47	36.24	14.9440975
4110_11533_000005_000000	Stranger, more thrilling even than had been the flight of the Earth after being forced out of its orbit, was the flight of those dozen aircars of the Moon, bearing the rebels of Dalis' Gens back to Earth.	Stranger, more thrilling even than had been the flight of the Earth after being forced out of its orbit, was the flight of those dozen aircars of the Moon, bearing the rebels of Dalis' Gens back to Earth.	true	36.24	49.98	21.816587
4110_11533_000006_000000	[Sidenote: Martian fire-balls and the terrific Moon-cubes wreak tremendous destruction on helpless Earth in the final death struggle of the warring worlds.]	[Sidenote: Martian fire balls and the terrific Moon cubes wreak tremendous destruction on helpless Earth in the final death struggle of the warring worlds.]	false	49.98	50.7	22.705858
4110_11533_000007_000000	For the light which glowed from the bodies of the rebels, which had been given them by their passage through the white flames, was transmitted to the cars themselves, so that they glowed as with an inner radiance of their own--like comets flashing across the night.	For the light which glowed from the bodies of the rebels, which had been given them by their passage through the white flames, was transmitted to the cars themselves, so that they glowed as with an inner radiance of their own-like comets flashing across the night.	true	50.7	66.22	23.159025
4110_11533_000008_000000	Strange alchemy, which Sarka wondered about and, wondering, looked ahead to the time when he should be able, within his laboratory, to analyze the force it embodied, and thus gain new scientific knowledge of untold value to people of the Earth.	Strange alchemy, which Sarka wondered about and, wondering, looked ahead to the time when he should be able, within his laboratory, to analyze the force it embodied, and thus gain new scientific knowledge of untold value to people of the Earth.	true	67.22	84.07	21.953087
4110_11533_000009_000000	As the cars raced across outer darkness, moving at top speed, greater than ever attained before by man, greater than even these mighty cars had traveled, Sarka looked ahead, and wondered about the fearful report his father had just given him.	As the cars raced across outer darkness, moving at top speed, greater than ever attained before by man, greater than even these mighty cars had traveled, Sarka looked ahead, and wondered about the fearful report his father had just given him.	false	85.1	100.51	22.769756
4110_11533_000010_000000	That there was an alliance between Mars and the Moon seemed almost unbelievable.	That there was an alliance between Mars and the Moon seemed almost unbelievable.	true	101.15	105.82	21.013805
4110_11533_000010_000001	How had they managed the first contact, the first negotiations leading to the compact between two such alien peoples?	How had they managed the first contact, the first negotiations leading to the compact between two such alien peoples?	true	106.1	113.77	22.18795
4110_11533_000010_000002	Had there been any flights exchanged by the two worlds, surely the scientists of Earth would have known about it.	Had there been any flights exchanged by the two worlds, surely the scientists of Earth would have known about it.	true	114.32	121.24	24.082462
4110_11533_000010_000003	But there had not, though there had been times and times when Sarka had peered closely enough at the surface of both the Moon and of Mars to see the activities, or the results of the activities, of the peoples of the two worlds.	But there had not, though there had been times and times when Sarka had peered closely enough at the surface of both the Moon and of Mars to see the activities, or the results of the activities, of the peoples of the two worlds.	true	121.4	136.81	23.018522
4110_11533_000011_000000	Somehow, however, communication, if Sarka the Second had guessed correctly, had been managed between Mars and the Moon; and now that the Earth was a free flying orb the two were in alliance against it, perhaps for the same reason that the Earth had gone a-voyaging.	Somehow, however, communication, if Sarka the Second had guessed correctly, had been managed between Mars and the Moon; and now that the Earth was a free flying orb the two were in alliance against it, perhaps for the same reason that the Earth had gone a voyaging.	true	137.54	154.75	21.130032
4110_11533_000012_000000	Side by side sat Sarka and Jaska, their eager eyes peering through the forward end of the flashing aircar toward the Earth, growing minute by minute larger.	Side by side sat Sarka and Jaska, their eager eyes peering through the forward end of the flashing aircar toward the Earth, growing minute by minute larger.	true	156.56	167.32	22.364544
4110_11533_000012_000001	They were able, after some hours, to make out the outlines of what had once been continents, to see the shadows in valleys which had once held the oceans of Earth....	They were able, after some hours, to make out the outlines of what had once been continents, to see the shadows in valleys which had once held the oceans of Earth....	true	167.6	178.18	21.28782
4110_11533_000013_000000	And always, as they stared and literally willed the cubes which piloted and were the motive power of the aircars to speed and more speed, that marvelous display of interplanetary fireworks which had aroused the concern of Sarka the Second.	And always, as they stared and literally willed the cubes which piloted and were the motive power of the aircars to speed and more speed, that marvelous display of interplanetary fireworks which had aroused the concern of Sarka the Second.	true	179.24	195.58	21.932962
4110_11533_000014_000000	What were those lights?	What were those lights?	true	196.43	198.25	23.255238
