4110_11533_000003_000000	CHAPTER XIX	CHAPTER nineteen
4110_11533_000005_000000	Stranger, more thrilling even than had been the flight of the Earth after being forced out of its orbit, was the flight of those dozen aircars of the Moon, bearing the rebels of Dalis' Gens back to Earth.	Stranger, more thrilling even than had been the flight of the Earth after being forced out of its orbit, was the flight of those dozen aircars of the Moon, bearing the rebels of Dalis' Gens back to Earth.
4110_11533_000007_000000	For the light which glowed from the bodies of the rebels, which had been given them by their passage through the white flames, was transmitted to the cars themselves, so that they glowed as with an inner radiance of their own--like comets flashing across the night.	For the light which glowed from the bodies of the rebels, which had been given them by their passage through the white flames, was transmitted to the cars themselves, so that they glowed as with an inner radiance of their own-like comets flashing across the night.
4110_11533_000008_000000	Strange alchemy, which Sarka wondered about and, wondering, looked ahead to the time when he should be able, within his laboratory, to analyze the force it embodied, and thus gain new scientific knowledge of untold value to people of the Earth.	Strange alchemy, which Sarka wondered about and, wondering, looked ahead to the time when he should be able, within his laboratory, to analyze the force it embodied, and thus gain new scientific knowledge of untold value to people of the Earth.
4110_11533_000010_000000	That there was an alliance between Mars and the Moon seemed almost unbelievable.	That there was an alliance between Mars and the Moon seemed almost unbelievable.
4110_11533_000010_000001	How had they managed the first contact, the first negotiations leading to the compact between two such alien peoples?	How had they managed the first contact, the first negotiations leading to the compact between two such alien peoples?
4110_11533_000010_000002	Had there been any flights exchanged by the two worlds, surely the scientists of Earth would have known about it.	Had there been any flights exchanged by the two worlds, surely the scientists of Earth would have known about it.
4110_11533_000010_000003	But there had not, though there had been times and times when Sarka had peered closely enough at the surface of both the Moon and of Mars to see the activities, or the results of the activities, of the peoples of the two worlds.	But there had not, though there had been times and times when Sarka had peered closely enough at the surface of both the Moon and of Mars to see the activities, or the results of the activities, of the peoples of the two worlds.
4110_11533_000011_000000	Somehow, however, communication, if Sarka the Second had guessed correctly, had been managed between Mars and the Moon; and now that the Earth was a free flying orb the two were in alliance against it, perhaps for the same reason that the Earth had gone a-voyaging.	Somehow, however, communication, if Sarka the Second had guessed correctly, had been managed between Mars and the Moon; and now that the Earth was a free flying orb the two were in alliance against it, perhaps for the same reason that the Earth had gone a voyaging.
4110_11533_000012_000000	Side by side sat Sarka and Jaska, their eager eyes peering through the forward end of the flashing aircar toward the Earth, growing minute by minute larger.	Side by side sat Sarka and Jaska, their eager eyes peering through the forward end of the flashing aircar toward the Earth, growing minute by minute larger.
4110_11533_000012_000001	They were able, after some hours, to make out the outlines of what had once been continents, to see the shadows in valleys which had once held the oceans of Earth....	They were able, after some hours, to make out the outlines of what had once been continents, to see the shadows in valleys which had once held the oceans of Earth....
4110_11533_000013_000000	And always, as they stared and literally willed the cubes which piloted and were the motive power of the aircars to speed and more speed, that marvelous display of interplanetary fireworks which had aroused the concern of Sarka the Second.	And always, as they stared and literally willed the cubes which piloted and were the motive power of the aircars to speed and more speed, that marvelous display of interplanetary fireworks which had aroused the concern of Sarka the Second.
4110_11533_000014_000000	What were those lights?	What were those lights?
4110_11533_000014_000001	Whence did they emanate?	Whence did they emanate?
4110_11533_000014_000002	Sarka the Second had said that they came from Mars, yet Mars was invisible to those in the speeding aircars, which argued that it was hidden behind the Earth. There was no way of knowing how close it was to the home of these rebels of Dalis' Gens.	Sarka the Second had said that they came from Mars, yet Mars was invisible to those in the speeding aircars, which argued that it was hidden behind the Earth. There was no way of knowing how close it was to the home of these rebels of Dalis' Gens.
4110_11533_000015_000000	And ever, as they flashed forward, Sarka was recalling that vague hint on the lips of Jaska, to the effect that Luar, for all her sovereignty of the Moon, might be, nonetheless, a native of the Earth.	And ever, as they flashed forward, Sarka was recalling that vague hint on the lips of Jaska, to the effect that Luar, for all her sovereignty of the Moon, might be, nonetheless, a native of the Earth.
4110_11533_000015_000001	But....	But....
4110_11533_000016_000000	How?	How?
4110_11533_000016_000001	Why?	Why?
4110_11533_000016_000002	When?	When?
4110_11533_000016_000003	There were no answers to any of the questions yet.	There were no answers to any of the questions yet.
4110_11533_000016_000004	If she were a native of Earth, how had she reached the Moon?	If she were a native of Earth, how had she reached the Moon?
4110_11533_000016_000006	Who was she?	Who was she?
4110_11533_000016_000007	Her name, Luar, was a strange one, and Sarka studied it for many minutes, rolling the odd syllables of it over his tongue, wondering where, on the Earth, he had heard names, or words, similar to it.	Her name, Luar, was a strange one, and Sarka studied it for many minutes, rolling the odd syllables of it over his tongue, wondering where, on the Earth, he had heard names, or words, similar to it.
4110_11533_000016_000008	This produced no result, until he tried substituting various letters; then, again, adding various letters.	This produced no result, until he tried substituting various letters; then, again, adding various letters.
4110_11533_000019_000000	His mind went back to the clucking sounds which, among the Gnomes of the Moon, passed for speech.	His mind went back to the clucking sounds which, among the Gnomes of the Moon, passed for speech.
4110_11533_000019_000001	He pondered anew.	He pondered anew.
4110_11533_000021_000000	"Yes, Jaska," he said suddenly, "somewhere on Earth, when we reach it, we may discover the secret of Luar--and know far more about Dalis than we have ever known before!"	"Yes, Jaska," he said suddenly, "somewhere on Earth, when we reach it, we may discover the secret of Luar-and know far more about Dalis than we have ever known before!"
4110_11533_000022_000001	By intuition, she already knew.	By intuition, she already knew.
4110_11533_000022_000002	Let Sarka arrive at her conclusion by scientific methods if he desired, and she would simply smile anew.	Let Sarka arrive at her conclusion by scientific methods if he desired, and she would simply smile anew.
4110_11533_000023_000000	Sarka thought of the manner in which Jaska and he had been transported to the Moon; of how much Dalis seemed to know of the secrets of the laboratory of the Sarkas.	Sarka thought of the manner in which Jaska and he had been transported to the Moon; of how much Dalis seemed to know of the secrets of the laboratory of the Sarkas.
4110_11533_000023_000001	Might he not have known, two centuries ago, of the Secret Exit Dome, and somehow managed to make use of it in some ghastly experiment?	Might he not have known, two centuries ago, of the Secret Exit Dome, and somehow managed to make use of it in some ghastly experiment?
4110_11533_000023_000002	And still the one question remained unanswered: Who was Luar?	And still the one question remained unanswered: Who was Luar?
4110_11533_000024_000000	The Earth was now so close that details were plainly seen.	The Earth was now so close that details were plainly seen.
4110_11533_000024_000001	The Himalayas were out of sight, over the Earth, and by a mental command Sarka managed to change slightly the course of the dozen aircars.	The Himalayas were out of sight, over the Earth, and by a mental command Sarka managed to change slightly the course of the dozen aircars.
4110_11533_000025_000000	In their flight, which had been, to them a flight through the glories of a super-heavenly Universe, they had lost all count of time.	In their flight, which had been, to them a flight through the glories of a super heavenly Universe, they had lost all count of time.
4110_11533_000025_000001	Neither Sarka nor Jaska, nor yet the people in those other aircars, could have told how long they had been flying, when, coming over the curve of the Earth, at an elevation of something like three miles, they were able at last to see into the area which had once housed the Gens of Dalis.	Neither Sarka nor Jaska, nor yet the people in those other aircars, could have told how long they had been flying, when, coming over the curve of the Earth, at an elevation of something like three miles, they were able at last to see into the area which had once housed the Gens of Dalis.
4110_11533_000027_000000	The Gens of Dalis had occupied all the territory northward to the Pole, from a line drawn east and west through the southernmost of what had once been the Hawaiian Islands.	The Gens of Dalis had occupied all the territory northward to the Pole, from a line drawn east and west through the southernmost of what had once been the Hawaiian Islands.
