1472_142848_000005_000000	CHAPTER XXXVI.	CHAPTER thirty six.
1472_142848_000007_000004	Beverages, consisting of water, containing a considerable quantity of carbonic acid.	Beverages, consisting of water, containing a considerable quantity of carbonic acid.
1472_142848_000007_000005	3.	three.
1472_142848_000007_000006	Beverages composed partly of fermented liquors.	Beverages composed partly of fermented liquors.
1472_142848_000008_000001	Of the common class of beverages, consisting of water impregnated with carbonic acid gas, we may name soda-water, single and double, ordinary effervescing draughts, and ginger-beer.	Of the common class of beverages, consisting of water impregnated with carbonic acid gas, we may name soda water, single and double, ordinary effervescing draughts, and ginger beer.
1472_142848_000009_000001	The beverages composed partly of fermented liquors, are hot spiced wines, bishop, egg-flip, egg-hot, ale posset, sack posset, punch, and spirits-and-water.	The beverages composed partly of fermented liquors, are hot spiced wines, bishop, egg flip, egg hot, ale posset, sack posset, punch, and spirits and water.
1472_142848_000010_000001	We will, however, forthwith treat on the most popular of our beverages, beginning with the one which makes "the cup that cheers but not inebriates."	We will, however, forthwith treat on the most popular of our beverages, beginning with the one which makes "the cup that cheers but not inebriates."
1472_142848_000011_000002	Pepys says, in his Diary,--"September 25th, 1661.--I sent for a cup of tea (a China drink), of which I had never drunk before." Two years later it was so rare a commodity in England, that the English East-India Company bought 2 lbs. 2 oz. of it, as a present for his majesty.	Pepys says, in his Diary,--"september twenty fifth sixteen sixty one.--I sent for a cup of tea (a China drink), of which I had never drunk before." Two years later it was so rare a commodity in England, that the English East India Company bought two pounds. two ounces. of it, as a present for his majesty.
1472_142848_000012_000001	Linnaeus was induced to think that there were two species of tea-plant, one of which produced the black, and the other the green teas; but later observations do not confirm this.	Linnaeus was induced to think that there were two species of tea plant, one of which produced the black, and the other the green teas; but later observations do not confirm this.
1472_142848_000012_000002	When the leaves of black and green tea are expanded by hot water, and examined by the botanist, though a difference of character is perceived, yet this is not sufficient to authorize considering them as distinct species.	When the leaves of black and green tea are expanded by hot water, and examined by the botanist, though a difference of character is perceived, yet this is not sufficient to authorize considering them as distinct species.
1472_142848_000012_000003	The tea-tree flourishes best in temperate regions; in China it is indigenous.	The tea tree flourishes best in temperate regions; in China it is indigenous.
1472_142848_000012_000004	The part of China where the best tea is cultivated, is called by us the "tea country." The cultivation of the plant requires great care.	The part of China where the best tea is cultivated, is called by us the "tea country." The cultivation of the plant requires great care.
1472_142848_000012_000005	It is raised chiefly on the sides of hills; and, in order to increase the quantity and improve the quality of the leaves, the shrub is pruned, so as not to exceed the height of from two to three feet, much in the same manner as the vine is treated in France.	It is raised chiefly on the sides of hills; and, in order to increase the quantity and improve the quality of the leaves, the shrub is pruned, so as not to exceed the height of from two to three feet, much in the same manner as the vine is treated in France.
1472_142848_000012_000006	They pluck the leaves, one selecting them according to the kinds of tea required; and, notwithstanding the tediousness of the operation, each labourer is able to gather from four to ten or fifteen pounds a day.	They pluck the leaves, one selecting them according to the kinds of tea required; and, notwithstanding the tediousness of the operation, each labourer is able to gather from four to ten or fifteen pounds a day.
1472_142848_000012_000008	Teas of the finest flavour consist of the youngest leaves; and as these are gathered at four different periods of the year, the younger the leaves the higher flavoured the tea, and the scarcer, and consequently the dearer, the article.	Teas of the finest flavour consist of the youngest leaves; and as these are gathered at four different periods of the year, the younger the leaves the higher flavoured the tea, and the scarcer, and consequently the dearer, the article.
1472_142848_000013_000002	There are about a dozen different kinds; but the principal are Bohea, Congou, and Souchong, and signify, respectively, inferior, middling, and superior.	There are about a dozen different kinds; but the principal are Bohea, Congou, and Souchong, and signify, respectively, inferior, middling, and superior.
1472_142848_000014_000001	Tea, when chemically analyzed, is found to contain woody fibre, mucilage, a considerable quantity of the astringent principle, or tannin, a narcotic principle, which is, perhaps, connected with a peculiar aroma.	Tea, when chemically analyzed, is found to contain woody fibre, mucilage, a considerable quantity of the astringent principle, or tannin, a narcotic principle, which is, perhaps, connected with a peculiar aroma.
1472_142848_000014_000002	The tannin is shown by its striking a black colour with sulphate of iron, and is the cause of the dark stain which is always formed when tea is spilt upon buff-coloured cottons dyed with iron.	The tannin is shown by its striking a black colour with sulphate of iron, and is the cause of the dark stain which is always formed when tea is spilt upon buff coloured cottons dyed with iron.
1472_142848_000014_000006	We have in tea, of many kinds, a beverage which contains the active constituents of the most powerful mineral springs, and, however small the amount of iron may be which we daily take in this form, it cannot be destitute of influence on the vital processes."	We have in tea, of many kinds, a beverage which contains the active constituents of the most powerful mineral springs, and, however small the amount of iron may be which we daily take in this form, it cannot be destitute of influence on the vital processes."
1472_142848_000015_000002	The leaves of the sloe, white thorn, ash, elder, and some others, have been employed for this purpose; such as the leaves of the speedwell, wild germander, black currants, syringa, purple-spiked willow-herb, sweet-brier, and cherry-tree.	The leaves of the sloe, white thorn, ash, elder, and some others, have been employed for this purpose; such as the leaves of the speedwell, wild germander, black currants, syringa, purple spiked willow herb, sweet brier, and cherry tree.
1472_142848_000015_000003	Some of these are harmless, others are to a certain degree poisonous; as, for example, are the leaves of all the varieties of the plum and cherry tribe, to which the sloe belongs.	Some of these are harmless, others are to a certain degree poisonous; as, for example, are the leaves of all the varieties of the plum and cherry tribe, to which the sloe belongs.
1472_142848_000015_000004	Adulteration by means of these leaves is by no means a new species of fraud; and several acts of parliament, from the time of George II., have been passed, specifying severe penalties against those guilty of the offence, which, notwithstanding numerous convictions, continues to the present time.	Adulteration by means of these leaves is by no means a new species of fraud; and several acts of parliament, from the time of George the second., have been passed, specifying severe penalties against those guilty of the offence, which, notwithstanding numerous convictions, continues to the present time.
1472_142848_000016_000002	The greatest care should be taken that it has not been exposed to the air, which destroys its flavour.	The greatest care should be taken that it has not been exposed to the air, which destroys its flavour.
1472_142848_000017_000001	It would be impossible, in the space at our command, to enumerate the various modes adopted in different countries for "making coffee;" that is, the phrase commonly understood to mean the complete preparation of this delicious beverage for drinking.	It would be impossible, in the space at our command, to enumerate the various modes adopted in different countries for "making coffee;" that is, the phrase commonly understood to mean the complete preparation of this delicious beverage for drinking.
1472_142848_000017_000002	For performing this operation, such recipes or methods as we have found most practical will be inserted in their proper place; but the following facts connected with coffee will be found highly interesting.	For performing this operation, such recipes or methods as we have found most practical will be inserted in their proper place; but the following facts connected with coffee will be found highly interesting.
1472_142848_000019_000001	It appears that coffee was first introduced into England by Daniel Edwards, a Turkey merchant, whose servant, Pasqua, a Greek, understood the manner of roasting it.	It appears that coffee was first introduced into England by Daniel Edwards, a Turkey merchant, whose servant, Pasqua, a Greek, understood the manner of roasting it.
1472_142848_000019_000002	This servant, under the patronage of Edwards, established the first coffee-house in London, in George Yard, Lombard Street.	This servant, under the patronage of Edwards, established the first coffee house in London, in George Yard, Lombard Street.
1472_142848_000020_000001	Of the various kinds of coffee the Arabian is considered the best. It is grown chiefly in the districts of Aden and Mocha; whence the name of our Mocha coffee.	Of the various kinds of coffee the Arabian is considered the best. It is grown chiefly in the districts of Aden and Mocha; whence the name of our Mocha coffee.
1472_142848_000020_000002	Mocha coffee has a smaller and rounder bean than any other, and likewise a more agreeable smell and taste.	Mocha coffee has a smaller and rounder bean than any other, and likewise a more agreeable smell and taste.
1472_142848_000021_000001	A considerable change takes place in the arrangement of the constituents of coffee by the application of heat in roasting it. Independently of one of the objects of roasting, namely, that of destroying its toughness and rendering it easily ground, its tannin and other principles are rendered partly soluble in water; and it is to the tannin that the brown colour of the decoction of coffee is owing.	A considerable change takes place in the arrangement of the constituents of coffee by the application of heat in roasting it. Independently of one of the objects of roasting, namely, that of destroying its toughness and rendering it easily ground, its tannin and other principles are rendered partly soluble in water; and it is to the tannin that the brown colour of the decoction of coffee is owing.
1472_142848_000022_000001	The roasting of coffee in the best manner requires great nicety, and much of the qualities of the beverage depends upon the operation. The roasting of coffee for the dealers in London and Paris has now become a separate branch of business, and some of the roasters perform the operation on a great scale, with considerable skill.	The roasting of coffee in the best manner requires great nicety, and much of the qualities of the beverage depends upon the operation. The roasting of coffee for the dealers in London and Paris has now become a separate branch of business, and some of the roasters perform the operation on a great scale, with considerable skill.
1472_142848_000022_000002	Roasted coffee loses from 20 to 30 per cent, by sufficient roasting, and the powder suffers much by exposure to the air; but, while raw, it not only does not lose its flavour for a year or two, but improves by keeping.	Roasted coffee loses from twenty to thirty per cent, by sufficient roasting, and the powder suffers much by exposure to the air; but, while raw, it not only does not lose its flavour for a year or two, but improves by keeping.
