1472_142848_000000_000000	_Time_.--From 1-1/4 to 1-1/2 hour.	underscore Time underscore.--From one minus one quarter to one minus one half hour.	false	0	4.32	17.667067
1472_142848_000000_000001	_Average cost_, 2s.	underscore Average cost underscore, twos.	false	4.32	5.88	18.964254
1472_142848_000001_000000	_Sufficient_ to make 2 moderate-sized cakes.	underscore Sufficient underscore to make two moderate sized cakes.	false	5.88	11.46	18.941334
1472_142848_000002_000000	_Seasonable_ at any time.	underscore Seasonable underscore at any time.	false	11.46	18.45	20.750679
1472_142848_000003_000000	[Illustration]	[Illustration]	false	18.45	19.56	20.862661
1472_142848_000004_000000	[Illustration]	[Illustration]	false	19.56	19.95	-5
1472_142848_000005_000000	CHAPTER XXXVI.	CHAPTER thirty six.	true	19.95	21.28	21.51026
1472_142848_000006_000000	GENERAL OBSERVATIONS ON BEVERAGES.	GENERAL OBSERVATIONS ON BEVERAGES.	true	21.71	23.88	19
1472_142848_000007_000000	1789.	seventeen eighty nine.	false	23.88	26.13	-9
1472_142848_000007_000001	Beverages are innumerable in their variety; but the ordinary beverages drunk in the British isles, may be divided into three classes:--1.	Beverages are innumerable in their variety; but the ordinary beverages drunk in the British isles, may be divided into three classes:-minus one.	false	26.13	34.12	18.484594
1472_142848_000007_000002	Beverages of the simplest kind not fermented.	Beverages of the simplest kind not fermented.	true	34.37	37.38	19.228493
1472_142848_000007_000003	2.	two.	false	37.38	39	18.40388
1472_142848_000007_000004	Beverages, consisting of water, containing a considerable quantity of carbonic acid.	Beverages, consisting of water, containing a considerable quantity of carbonic acid.	true	39	43.69	20
1472_142848_000007_000005	3.	three.	true	44.33	44.98	22.42942
1472_142848_000007_000006	Beverages composed partly of fermented liquors.	Beverages composed partly of fermented liquors.	true	45.29	47.86	21
1472_142848_000007_000007	Of the first class may be mentioned,--water, toast-and-water, barley-water, eau sucre, lait sucre, cheese and milk whey, milk-and-water, lemonade, orangeade, sherbet, apple and pear juice, capillaire, vinegar-and-water, raspberry vinegar and water.	Of the first class may be mentioned,--water, toast and water, barley water, eau sucre, lait sucre, cheese and milk whey, milk and water, lemonade, orangeade, sherbet, apple and pear juice, capillaire, vinegar and water, raspberry vinegar and water.	false	48.35	67.8	21.761019
1472_142848_000008_000000	1790.	seventeen ninety.	false	67.8	69.84	-20
1472_142848_000008_000001	Of the common class of beverages, consisting of water impregnated with carbonic acid gas, we may name soda-water, single and double, ordinary effervescing draughts, and ginger-beer.	Of the common class of beverages, consisting of water impregnated with carbonic acid gas, we may name soda water, single and double, ordinary effervescing draughts, and ginger beer.	true	69.84	80.61	21.467337
1472_142848_000009_000000	1791.	seventeen ninety one.	false	80.61	81.885	-20
1472_142848_000009_000001	The beverages composed partly of fermented liquors, are hot spiced wines, bishop, egg-flip, egg-hot, ale posset, sack posset, punch, and spirits-and-water.	The beverages composed partly of fermented liquors, are hot spiced wines, bishop, egg flip, egg hot, ale posset, sack posset, punch, and spirits and water.	true	81.885	93.87	21.265915
1472_142848_000010_000000	1792.	seventeen ninety two.	false	93.87	95.145	-1
1472_142848_000010_000001	We will, however, forthwith treat on the most popular of our beverages, beginning with the one which makes "the cup that cheers but not inebriates."	We will, however, forthwith treat on the most popular of our beverages, beginning with the one which makes "the cup that cheers but not inebriates."	true	95.145	102.99	20
1472_142848_000011_000000	1793.	seventeen ninety three.	false	102.99	104.175	-20
1472_142848_000011_000001	The beverage called tea has now become almost a necessary of life. Previous to the middle of the 17th century it was not used in England, and it was wholly unknown to the Greeks and Romans.	The beverage called tea has now become almost a necessary of life. Previous to the middle of the seventeenth century it was not used in England, and it was wholly unknown to the Greeks and romans.	true	104.175	115.18	19.849062
1472_142848_000011_000002	Pepys says, in his Diary,--"September 25th, 1661.--I sent for a cup of tea (a China drink), of which I had never drunk before." Two years later it was so rare a commodity in England, that the English East-India Company bought 2 lbs. 2 oz. of it, as a present for his majesty.	Pepys says, in his Diary,--"september twenty fifth sixteen sixty one.--I sent for a cup of tea (a China drink), of which I had never drunk before." Two years later it was so rare a commodity in England, that the English East India Company bought two pounds. two ounces. of it, as a present for his majesty.	true	115.52	134.98	20.28249
1472_142848_000011_000003	In 1666 it was sold in London for sixty shillings a pound.	In sixteen sixty six it was sold in London for sixty shillings a pound.	true	135.5	139.75	17
1472_142848_000011_000004	From that date the consumption has gone on increasing from 5,000 lbs. to 50,000,000 lbs.	From that date the consumption has gone on increasing from five thousand pounds. to fifty million pounds.	true	140.33	145.95	17
1472_142848_000012_000000	1794.	seventeen ninety four.	false	145.95	147.48	-8
1472_142848_000012_000001	Linnaeus was induced to think that there were two species of tea-plant, one of which produced the black, and the other the green teas; but later observations do not confirm this.	Linnaeus was induced to think that there were two species of tea plant, one of which produced the black, and the other the green teas; but later observations do not confirm this.	true	147.48	157.84	20.873184
1472_142848_000012_000002	When the leaves of black and green tea are expanded by hot water, and examined by the botanist, though a difference of character is perceived, yet this is not sufficient to authorize considering them as distinct species.	When the leaves of black and green tea are expanded by hot water, and examined by the botanist, though a difference of character is perceived, yet this is not sufficient to authorize considering them as distinct species.	true	158.27	169.81	21
1472_142848_000012_000003	The tea-tree flourishes best in temperate regions; in China it is indigenous.	The tea tree flourishes best in temperate regions; in China it is indigenous.	true	170.69	175.42	22.775438
1472_142848_000012_000004	The part of China where the best tea is cultivated, is called by us the "tea country." The cultivation of the plant requires great care.	The part of China where the best tea is cultivated, is called by us the "tea country." The cultivation of the plant requires great care.	true	175.79	183.31	21.526459
1472_142848_000012_000005	It is raised chiefly on the sides of hills; and, in order to increase the quantity and improve the quality of the leaves, the shrub is pruned, so as not to exceed the height of from two to three feet, much in the same manner as the vine is treated in France.	It is raised chiefly on the sides of hills; and, in order to increase the quantity and improve the quality of the leaves, the shrub is pruned, so as not to exceed the height of from two to three feet, much in the same manner as the vine is treated in France.	true	183.74	197.59	20.96634
1472_142848_000012_000006	They pluck the leaves, one selecting them according to the kinds of tea required; and, notwithstanding the tediousness of the operation, each labourer is able to gather from four to ten or fifteen pounds a day.	They pluck the leaves, one selecting them according to the kinds of tea required; and, notwithstanding the tediousness of the operation, each labourer is able to gather from four to ten or fifteen pounds a day.	true	198.05	209.74	21.654589
1472_142848_000012_000007	When the trees attain to six or seven years of age, the produce becomes so inferior that they are removed to make room for a fresh succession, or they are cut down to allow of numerous young shoots.	When the trees attain to six or seven years of age, the produce becomes so inferior that they are removed to make room for a fresh succession, or they are cut down to allow of numerous young shoots.	true	210.53	220.84	19
1472_142848_000012_000008	Teas of the finest flavour consist of the youngest leaves; and as these are gathered at four different periods of the year, the younger the leaves the higher flavoured the tea, and the scarcer, and consequently the dearer, the article.	Teas of the finest flavour consist of the youngest leaves; and as these are gathered at four different periods of the year, the younger the leaves the higher flavoured the tea, and the scarcer, and consequently the dearer, the article.	true	221.48	234.18	20.237925
1472_142848_000013_000000	1795.	seventeen ninety five.	false	234.18	235.17	-6
1472_142848_000013_000001	The various names by which teas are sold in the British market are corruptions of Chinese words.	The various names by which teas are sold in the British market are corruptions of Chinese words.	true	235.17	239.77	15
1472_142848_000013_000002	There are about a dozen different kinds; but the principal are Bohea, Congou, and Souchong, and signify, respectively, inferior, middling, and superior.	There are about a dozen different kinds; but the principal are Bohea, Congou, and Souchong, and signify, respectively, inferior, middling, and superior.	true	240.23	249.88	20.934422
1472_142848_000013_000003	Teas are often perfumed and flavoured with the leaves of different kinds of plants grown on purpose.	Teas are often perfumed and flavoured with the leaves of different kinds of plants grown on purpose.	true	250.37	255.49	18
1472_142848_000013_000004	Different tea-farms in China produce teas of various qualities, raised by skilful cultivation on various soils.	Different tea farms in China produce teas of various qualities, raised by skilful cultivation on various soils.	true	256.04	262.35	19
1472_142848_000014_000000	1796.	seventeen ninety six.	false	262.35	263.715	-20
1472_142848_000014_000001	Tea, when chemically analyzed, is found to contain woody fibre, mucilage, a considerable quantity of the astringent principle, or tannin, a narcotic principle, which is, perhaps, connected with a peculiar aroma.	Tea, when chemically analyzed, is found to contain woody fibre, mucilage, a considerable quantity of the astringent principle, or tannin, a narcotic principle, which is, perhaps, connected with a peculiar aroma.	true	263.715	276.37	20.323332
1472_142848_000014_000002	The tannin is shown by its striking a black colour with sulphate of iron, and is the cause of the dark stain which is always formed when tea is spilt upon buff-coloured cottons dyed with iron.	The tannin is shown by its striking a black colour with sulphate of iron, and is the cause of the dark stain which is always formed when tea is spilt upon buff coloured cottons dyed with iron.	true	277.01	286.99	20.830194
1472_142848_000014_000003	A constituent called _Theine_ has also been discovered in tea, supposed to be identical with _Caffeine_, one of the constituents of coffee.	A constituent called underscore Theine underscore has also been discovered in tea, supposed to be identical with underscore Caffeine underscore, one of the constituents of coffee.	false	287.69	296.2	20.675425
1472_142848_000014_000004	Liebig says, "Theine yields, in certain processes of decomposition, a series of most remarkable products, which have much analogy with those derived from uric acid in similar circumstances.	Liebig says, "Theine yields, in certain processes of decomposition, a series of most remarkable products, which have much analogy with those derived from uric acid in similar circumstances.	true	297.11	308.44	17
1472_142848_000014_000005	The infusion of tea differs from that of coffee, by containing iron and manganese.	The infusion of tea differs from that of coffee, by containing iron and manganese.	true	309.11	313.45	15
