3046_137739_000002_000003	It is the story of the Butterfly that Stamped.	It is the story of the Butterfly that Stamped.
3046_137739_000004_000001	He understood what the beasts said, what the birds said, what the fishes said, and what the insects said.	He understood what the beasts said, what the birds said, what the fishes said, and what the insects said.
3046_137739_000005_000002	When he turned it once, Afrits and Djinns came Out of the earth to do whatever he told them.	When he turned it once, Afrits and Djinns came Out of the earth to do whatever he told them.
3046_137739_000005_000003	When he turned it twice, Fairies came down from the sky to do whatever he told them; and when he turned it three times, the very great angel Azrael of the Sword came dressed as a water-carrier, and told him the news of the three worlds, Above--Below--and Here.	When he turned it twice, Fairies came down from the sky to do whatever he told them; and when he turned it three times, the very great angel Azrael of the Sword came dressed as a water carrier, and told him the news of the three worlds, Above-Below-and Here.
3046_137739_000006_000002	Once he tried to feed all the animals in all the world in one day, but when the food was ready an Animal came out of the deep sea and ate it up in three mouthfuls.	Once he tried to feed all the animals in all the world in one day, but when the food was ready an Animal came out of the deep sea and ate it up in three mouthfuls.
3046_137739_000009_000001	So, when they quarrelled too much, he only walked by himself in one part of the beautiful Palace gardens and wished he had never been born.	So, when they quarrelled too much, he only walked by himself in one part of the beautiful Palace gardens and wished he had never been born.
3046_137739_000011_000000	And Balkis the Most Beautiful said, 'O my Lord and Treasure of my Soul, what will you do?'	And Balkis the Most Beautiful said, 'O my Lord and Treasure of my Soul, what will you do?'
3046_137739_000014_000000	Presently two Butterflies flew under the tree, quarrelling.	Presently two Butterflies flew under the tree, quarrelling.
3046_137739_000015_000001	Don't you know that if I stamped with my foot all Suleiman-bin-Daoud's Palace and this garden here would immediately vanish in a clap of thunder.'	Don't you know that if I stamped with my foot all Suleiman bin Daoud's Palace and this garden here would immediately vanish in a clap of thunder.'
3046_137739_000017_000001	What made you tell that awful fib to your wife?--for doubtless she is your wife.'	What made you tell that awful fib to your wife?--for doubtless she is your wife.'
3046_137739_000018_000001	She is my wife; and you know what wives are like.	She is my wife; and you know what wives are like.
