3046_137739_000000_000000	THE BUTTERFLY THAT STAMPED	THE BUTTERFLY THAT STAMPED	false	4.44	23.085	18.805534
3046_137739_000001_000000	THIS, O my Best Beloved, is a story--a new and a wonderful story--a story quite different from the other stories--a story about The Most Wise Sovereign Suleiman-bin-Daoud--Solomon the Son of David.	THIS, O my Best Beloved, is a story-a new and a wonderful story-a story quite different from the other stories-a story about The Most Wise Sovereign Suleiman bin Daoud-Solomon the Son of David.	true	23.085	37.75	19.73938
3046_137739_000002_000000	There are three hundred and fifty-five stories about Suleiman-bin-Daoud; but this is not one of them.	There are three hundred and fifty five stories about Suleiman bin Daoud; but this is not one of them.	true	38.42	44.29	19
3046_137739_000002_000001	It is not the story of the Lapwing who found the Water; or the Hoopoe who shaded Suleimanbin-Daoud from the heat.	It is not the story of the Lapwing who found the Water; or the Hoopoe who shaded Suleimanbin Daoud from the heat.	false	44.69	51.85	19
3046_137739_000002_000002	It is not the story of the Glass Pavement, or the Ruby with the Crooked Hole, or the Gold Bars of Balkis.	It is not the story of the Glass Pavement, or the Ruby with the Crooked Hole, or the Gold Bars of Balkis.	false	52.04	59.31	19.478258
3046_137739_000002_000003	It is the story of the Butterfly that Stamped.	It is the story of the Butterfly that Stamped.	true	59.31	62.11	23.820799
3046_137739_000003_000000	Now attend all over again and listen!	Now attend all over again and listen!	true	62.27	64.96	19.463749
3046_137739_000004_000000	Suleiman-bin-Daoud was wise.	Suleiman bin Daoud was wise.	true	65.6	67.78	19.80676
3046_137739_000004_000001	He understood what the beasts said, what the birds said, what the fishes said, and what the insects said.	He understood what the beasts said, what the birds said, what the fishes said, and what the insects said.	true	67.88	75.34	20.29413
3046_137739_000004_000002	He understood what the rocks said deep under the earth when they bowed in towards each other and groaned; and he understood what the trees said when they rustled in the middle of the morning.	He understood what the rocks said deep under the earth when they bowed in towards each other and groaned; and he understood what the trees said when they rustled in the middle of the morning.	true	75.53	85.9	16
3046_137739_000004_000003	He understood everything, from the bishop on the bench to the hyssop on the wall, and Balkis, his Head Queen, the Most Beautiful Queen Balkis, was nearly as wise as he was.	He understood everything, from the bishop on the bench to the hyssop on the wall, and Balkis, his Head Queen, the Most Beautiful Queen Balkis, was nearly as wise as he was.	false	86.09	96.82	21
3046_137739_000005_000000	Suleiman-bin-Daoud was strong.	Suleiman bin Daoud was strong.	true	97.58	100.48	18
3046_137739_000005_000001	Upon the third finger of the right hand he wore a ring.	Upon the third finger of the right hand he wore a ring.	false	100.73	104.08	20
3046_137739_000005_000002	When he turned it once, Afrits and Djinns came Out of the earth to do whatever he told them.	When he turned it once, Afrits and Djinns came Out of the earth to do whatever he told them.	true	104.51	110.34	20
3046_137739_000005_000003	When he turned it twice, Fairies came down from the sky to do whatever he told them; and when he turned it three times, the very great angel Azrael of the Sword came dressed as a water-carrier, and told him the news of the three worlds, Above--Below--and Here.	When he turned it twice, Fairies came down from the sky to do whatever he told them; and when he turned it three times, the very great angel Azrael of the Sword came dressed as a water carrier, and told him the news of the three worlds, Above-Below-and Here.	true	110.34	127.93	20.809694
3046_137739_000006_000000	And yet Suleiman-bin-Daoud was not proud.	And yet Suleiman bin Daoud was not proud.	true	128.66	132.31	19.619247
3046_137739_000006_000001	He very seldom showed off, and when he did he was sorry for it.	He very seldom showed off, and when he did he was sorry for it.	true	132.86	136.69	18.57421
3046_137739_000006_000002	Once he tried to feed all the animals in all the world in one day, but when the food was ready an Animal came out of the deep sea and ate it up in three mouthfuls.	Once he tried to feed all the animals in all the world in one day, but when the food was ready an Animal came out of the deep sea and ate it up in three mouthfuls.	true	137	147.37	21.447866
3046_137739_000006_000003	Suleiman-bin-Daoud was very surprised and said, 'O Animal, who are you?' And the Animal said, 'O King, live for ever!	Suleiman bin Daoud was very surprised and said, 'O Animal, who are you?' And the Animal said, 'O King, live for ever!	true	147.74	155.89	19.84386
3046_137739_000006_000004	I am the smallest of thirty thousand brothers, and our home is at the bottom of the sea.	I am the smallest of thirty thousand brothers, and our home is at the bottom of the sea.	true	156.02	161.32	19
