6690_73073_000000_000000	CHAPTER THE SECOND	CHAPTER THE SECOND	false	0.93	11.55	13
6690_73073_000001_000000	HERESIES; OR THE THINGS THAT GOD IS NOT	HERESIES; o r THE THINGS THAT GOD IS NOT	false	11.55	30.48	19.097132
6690_73073_000002_000000	1.	one.	true	30.48	31.03	25.726934
6690_73073_000002_000001	HERESIES ARE MISCONCEPTIONS OF GOD	HERESIES ARE MISCONCEPTIONS OF GOD	true	31.4	34.84	17.73111
6690_73073_000003_000000	Religion is not a plant that has grown from one seed; it is like a lake that has been fed by countless springs.	Religion is not a plant that has grown from one seed; it is like a lake that has been fed by countless springs.	true	36.65	43.72	15
6690_73073_000003_000001	It is a great pool of living water, mingled from many sources and tainted with much impurity.	It is a great pool of living water, mingled from many sources and tainted with much impurity.	true	43.91	49.84	9
6690_73073_000003_000002	It is synthetic in its nature; it becomes simpler from original complexities; the sediment subsides.	It is synthetic in its nature; it becomes simpler from original complexities; the sediment subsides.	true	50.24	57.79	16
6690_73073_000004_000000	A life perfectly adjusted to its surroundings is a life without mentality; no judgment is called for, no inhibition, no disturbance of the instinctive flow of perfect reactions.	A life perfectly adjusted to its surroundings is a life without mentality; no judgment is called for, no inhibition, no disturbance of the instinctive flow of perfect reactions.	false	58.88	70.78	12
6690_73073_000004_000001	Such a life is bliss, or nirvana.	Such a life is bliss, or nirvana.	true	71.45	74.2	17
6690_73073_000004_000002	It is unconsciousness below dreaming.	It is unconsciousness below dreaming.	true	74.54	77.2	9
6690_73073_000004_000003	Consciousness is discord evoking the will to adjust; it is inseparable from need.	Consciousness is discord evoking the will to adjust; it is inseparable from need.	true	77.78	83.71	13
6690_73073_000004_000004	At every need consciousness breaks into being.	At every need consciousness breaks into being.	true	84.32	87.22	12
6690_73073_000004_000005	Imperfect adjustments, needs, are the rents and tatters in the smooth dark veil of being through which the light of consciousness shines--the light of consciousness and will of which God is the sun.	Imperfect adjustments, needs, are the rents and tatters in the smooth dark veil of being through which the light of consciousness shines-the light of consciousness and will of which God is the sun	true	87.65	100.6	19
