2775_134792_000004_000000	CHAPTER V--AT BOMBARDA'S	CHAPTER five-AT BOMBARDA'S
2775_134792_000005_000000	The Russian mountains having been exhausted, they began to think about dinner; and the radiant party of eight, somewhat weary at last, became stranded in Bombarda's public house, a branch establishment which had been set up in the Champs-Elysees by that famous restaurant-keeper, Bombarda, whose sign could then be seen in the Rue de Rivoli, near Delorme Alley.	The Russian mountains having been exhausted, they began to think about dinner; and the radiant party of eight, somewhat weary at last, became stranded in Bombarda's public house, a branch establishment which had been set up in the Champs Elysees by that famous restaurant keeper, Bombarda, whose sign could then be seen in the Rue de Rivoli, near Delorme Alley.
2775_134792_000007_000000	"They made beneath the table A noise, a clatter of the feet that was abominable,"	"They made beneath the table A noise, a clatter of the feet that was abominable,"
2775_134792_000008_000000	says Moliere.	says Moliere.
2775_134792_000009_000000	This was the state which the shepherd idyl, begun at five o'clock in the morning, had reached at half-past four in the afternoon.	This was the state which the shepherd idyl, begun at five o'clock in the morning, had reached at half past four in the afternoon.
2775_134792_000009_000001	The sun was setting; their appetites were satisfied.	The sun was setting; their appetites were satisfied.
2775_134792_000010_000001	The horses of Marly, those neighing marbles, were prancing in a cloud of gold.	The horses of Marly, those neighing marbles, were prancing in a cloud of gold.
2775_134792_000010_000002	Carriages were going and coming.	Carriages were going and coming.
2775_134792_000010_000003	A squadron of magnificent body-guards, with their clarions at their head, were descending the Avenue de Neuilly; the white flag, showing faintly rosy in the setting sun, floated over the dome of the Tuileries.	A squadron of magnificent body guards, with their clarions at their head, were descending the Avenue de Neuilly; the white flag, showing faintly rosy in the setting sun, floated over the dome of the Tuileries.
2775_134792_000012_000000	"Give us back our father from Ghent, Give us back our father."	"Give us back our father from Ghent, Give us back our father."
2775_134792_000014_000000	"Taking all things into consideration, Sire, there is nothing to be feared from these people.	"Taking all things into consideration, Sire, there is nothing to be feared from these people.
2775_134792_000014_000002	These are very pretty men, Sire.	These are very pretty men, Sire.
2775_134792_000014_000004	There is nothing to be feared on the part of the populace of Paris the capital.	There is nothing to be feared on the part of the populace of Paris the capital.
2775_134792_000014_000006	It is not dangerous.	It is not dangerous.
2775_134792_000014_000007	In short, it is an amiable rabble."	In short, it is an amiable rabble."
2775_134792_000015_000003	The ingenuous police of the Restoration beheld the populace of Paris in too "rose-colored" a light; it is not so much of "an amiable rabble" as it is thought.	The ingenuous police of the Restoration beheld the populace of Paris in too "rose colored" a light; it is not so much of "an amiable rabble" as it is thought.
2775_134792_000015_000005	Give him a pike, he will produce the 10th of August; give him a gun, you will have Austerlitz.	Give him a pike, he will produce the tenth of August; give him a gun, you will have Austerlitz.
2775_134792_000015_000006	He is Napoleon's stay and Danton's resource.	He is Napoleon's stay and Danton's resource.
2775_134792_000015_000007	Is it a question of country, he enlists; is it a question of liberty, he tears up the pavements.	Is it a question of country, he enlists; is it a question of liberty, he tears up the pavements.
2775_134792_000015_000009	Take care! he will make of the first Rue Grenetat which comes to hand Caudine Forks.	Take care! he will make of the first Rue Grenetat which comes to hand Caudine Forks.
2775_134792_000015_000010	When the hour strikes, this man of the faubourgs will grow in stature; this little man will arise, and his gaze will be terrible, and his breath will become a tempest, and there will issue forth from that slender chest enough wind to disarrange the folds of the Alps.	When the hour strikes, this man of the faubourgs will grow in stature; this little man will arise, and his gaze will be terrible, and his breath will become a tempest, and there will issue forth from that slender chest enough wind to disarrange the folds of the Alps.
2775_134792_000015_000011	It is, thanks to the suburban man of Paris, that the Revolution, mixed with arms, conquers Europe.	It is, thanks to the suburban man of Paris, that the Revolution, mixed with arms, conquers Europe.
2775_134792_000015_000012	He sings; it is his delight.	He sings; it is his delight.
2775_134792_000015_000013	Proportion his song to his nature, and you will see!	Proportion his song to his nature, and you will see!
2775_134792_000016_000001	The dinner, as we have said, was drawing to its close.	The dinner, as we have said, was drawing to its close.
