836_131106_000000_000000	Macaulay, in his "Lays of Ancient Rome," thus alludes to the legend:	Macaulay, in his "Lays of Ancient Rome," thus alludes to the legend:	false	0	2.73	10.659387
836_131106_000001_000000	"So like they were, no mortal Might one from other know; White as snow their armor was, Their steeds were white as snow. Never on earthly anvil Did such rare armor gleam, And never did such gallant steeds Drink of an earthly stream.	"So like they were, no mortal Might one from other know; White as snow their armor was, Their steeds were white as snow. Never on earthly anvil Did such rare armor gleam, And never did such gallant steeds Drink of an earthly stream.	false	2.73	11.49	19.804012
836_131106_000002_000000	"Back comes the chief in triumph Who in the hour of fight Hath seen the great Twin Brethren In harness on his right. Safe comes the ship to haven, Through billows and through gales. If once the great Twin Brethren Sit shining on the sails."	"Back comes the chief in triumph Who in the hour of fight Hath seen the great Twin Brethren In harness on his right. Safe comes the ship to haven, Through billows and through gales. If once the great Twin Brethren Sit shining on the sails."	false	11.49	23.1	18.176136
836_131106_000003_000000	CHAPTER XXI	CHAPTER twenty one	true	23.1	24.55	23
836_131106_000004_000000	BACCHUS--ARIADNE	BACCHUS-ARIADNE	true	24.95	26.86	23.567823
836_131106_000005_000000	BACCHUS	BACCHUS	true	29.12	32.86	18.843672
836_131106_000006_000000	Bacchus was the son of Jupiter and Semele.	Bacchus was the son of Jupiter and Semele.	true	33.23	35.89	19
836_131106_000006_000001	Juno, to gratify her resentment against Semele, contrived a plan for her destruction. Assuming the form of Beroe, her aged nurse, she insinuated doubts whether it was indeed Jove himself who came as a lover.	Juno, to gratify her resentment against Semele, contrived a plan for her destruction. Assuming the form of Beroe, her aged nurse, she insinuated doubts whether it was indeed Jove himself who came as a lover.	true	36.08	52.18	19.739462
836_131106_000006_000002	Heaving a sigh, she said, "I hope it will turn out so, but I can't help being afraid.	Heaving a sigh, she said, "I hope it will turn out so, but I can't help being afraid.	true	52.82	58.99	21.21789
836_131106_000006_000003	People are not always what they pretend to be.	People are not always what they pretend to be.	true	59.09	61.9	19
836_131106_000006_000004	If he is indeed Jove, make him give some proof of it.	If he is indeed Jove, make him give some proof of it.	true	62.48	66.52	20.303806
836_131106_000006_000005	Ask him to come arrayed in all his splendors, such as he wears in heaven.	Ask him to come arrayed in all his splendors, such as he wears in heaven.	true	67.1	72.22	16
836_131106_000006_000006	That will put the matter beyond a doubt." Semele was persuaded to try the experiment.	That will put the matter beyond a doubt." Semele was persuaded to try the experiment.	true	72.53	81.73	22.772654
836_131106_000006_000007	She asks a favor, without naming what it is.	She asks a favor, without naming what it is.	true	81.98	85.3	16
836_131106_000006_000008	Jove gives his promise, and confirms it with the irrevocable oath, attesting the river Styx, terrible to the gods themselves.	Jove gives his promise, and confirms it with the irrevocable oath, attesting the river Styx, terrible to the gods themselves.	false	85.79	94.33	21
836_131106_000006_000009	Then she made known her request.	Then she made known her request.	true	95.24	97.81	21
836_131106_000006_000010	The god would have stopped her as she spake, but she was too quick for him.	The god would have stopped her as she spake, but she was too quick for him.	true	98.33	102.79	25
