7688_105390_000000_000000	"I am ready to go," she said, taking his arm.	"I am ready to go," she said, taking his arm.	false	0	1.68	20.486242
7688_105390_000000_000001	At the door of the box she turned and looked straight at Chauvelin, who, with his CHAPEAU-BRAS under his arm, and a curious smile round his thin lips, was preparing to follow the strangely ill-assorted couple.	At the door of the box she turned and looked straight at Chauvelin, who, with his CHAPEAU BRAS under his arm, and a curious smile round his thin lips, was preparing to follow the strangely ill assorted couple.	false	1.68	6.36	18.869812
7688_105390_000001_000000	"It is only AU REVOIR, Chauvelin," she said pleasantly, "we shall meet at my Lord Grenville's ball, anon."	"It is only AU REVOIR, Chauvelin," she said pleasantly, "we shall meet at my Lord Grenville's ball, anon."	false	6.36	8.31	18.449717
7688_105390_000002_000000	And in her eyes the astute Frenchman, read, no doubt, something which caused him profound satisfaction, for, with a sarcastic smile, he took a delicate pinch of snuff, then, having dusted his dainty lace jabot, he rubbed his thin, bony hands contentedly together.	And in her eyes the astute Frenchman, read, no doubt, something which caused him profound satisfaction, for, with a sarcastic smile, he took a delicate pinch of snuff, then, having dusted his dainty lace jabot, he rubbed his thin, bony hands contentedly together.	false	8.31	22.59	20.278908
7688_105390_000003_000000	CHAPTER XI LORD GRENVILLE'S BALL	CHAPTER eleven LORD GRENVILLE'S BALL	false	22.59	29.61	18.625435
7688_105390_000004_000000	The historic ball given by the then Secretary of State for Foreign Affairs--Lord Grenville--was the most brilliant function of the year. Though the autumn season had only just begun, everybody who was anybody had contrived to be in London in time to be present there, and to shine at this ball, to the best of his or her respective ability.	The historic ball given by the then Secretary of State for Foreign Affairs-Lord Grenville-was the most brilliant function of the year. Though the autumn season had only just begun, everybody who was anybody had contrived to be in London in time to be present there, and to shine at this ball, to the best of his or her respective ability.	true	29.61	51.04	19.91022
7688_105390_000005_000000	His Royal Highness the Prince of Wales had promised to be present. He was coming on presently from the opera.	His Royal Highness the Prince of Wales had promised to be present. He was coming on presently from the opera.	true	51.77	59.08	20.586258
7688_105390_000005_000001	Lord Grenville himself had listened to the two first acts of ORPHEUS, before preparing to receive his guests.	Lord Grenville himself had listened to the two first acts of ORPHEUS, before preparing to receive his guests.	false	59.6	65.89	16
7688_105390_000005_000002	At ten o'clock--an unusually late hour in those days--the grand rooms of the Foreign Office, exquisitely decorated with exotic palms and flowers, were filled to overflowing.	At ten o'clock-an unusually late hour in those days-the grand rooms of the Foreign Office, exquisitely decorated with exotic palms and flowers, were filled to overflowing.	true	66.41	77.62	19
7688_105390_000005_000003	One room had been set apart for dancing, and the dainty strains of the minuet made a soft accompaniment to the gay chatter, the merry laughter of the numerous and brilliant company.	One room had been set apart for dancing, and the dainty strains of the minuet made a soft accompaniment to the gay chatter, the merry laughter of the numerous and brilliant company.	true	78.11	89.35	19.645292
7688_105390_000006_000000	In a smaller chamber, facing the top of the fine stairway, the distinguished host stood ready to receive his guests.	In a smaller chamber, facing the top of the fine stairway, the distinguished host stood ready to receive his guests.	true	90.74	98.05	18
7688_105390_000006_000001	Distinguished men, beautiful women, notabilities from every European country had already filed past him, had exchanged the elaborate bows and curtsies with him, which the extravagant fashion of the time demanded, and then, laughing and talking, had dispersed in the ball, reception, and card rooms beyond.	Distinguished men, beautiful women, notabilities from every European country had already filed past him, had exchanged the elaborate bows and curtsies with him, which the extravagant fashion of the time demanded, and then, laughing and talking, had dispersed in the ball, reception, and card rooms beyond.	false	98.69	120.28	19.777447
7688_105390_000007_000000	Not far from Lord Grenville's elbow, leaning against one of the console tables, Chauvelin, in his irreproachable black costume, was taking a quiet survey of the brilliant throng.	Not far from Lord Grenville's elbow, leaning against one of the console tables, Chauvelin, in his irreproachable black costume, was taking a quiet survey of the brilliant throng.	true	120.65	132.73	19.125118
7688_105390_000007_000001	He noted that Sir Percy and Lady Blakeney had not yet arrived, and his keen, pale eyes glanced quickly towards the door every time a new-comer appeared.	He noted that Sir Percy and Lady Blakeney had not yet arrived, and his keen, pale eyes glanced quickly towards the door every time a new comer appeared.	true	133.64	143.08	16
7688_105390_000008_000000	He stood somewhat isolated: the envoy of the Revolutionary Government of France was not likely to be very popular in England, at a time when the news of the awful September massacres, and of the Reign of Terror and Anarchy, had just begun to filtrate across the Channel.	He stood somewhat isolated: the envoy of the Revolutionary Government of France was not likely to be very popular in England, at a time when the news of the awful September massacres, and of the Reign of Terror and Anarchy, had just begun to filtrate across the Channel.	false	143.72	159.7	15
7688_105390_000009_000000	In his official capacity he had been received courteously by his English colleagues: Mr. Pitt had shaken him by the hand; Lord Grenville had entertained him more than once; but the more intimate circles of London society ignored him altogether; the women openly turned their backs upon him; the men who held no official position refused to shake his hand.	In his official capacity he had been received courteously by his English colleagues: mr Pitt had shaken him by the hand; Lord Grenville had entertained him more than once; but the more intimate circles of London society ignored him altogether; the women openly turned their backs upon him; the men who held no official position refused to shake his hand.	true	160.34	183.01	20.19583
7688_105390_000010_000000	But Chauvelin was not the man to trouble himself about these social amenities, which he called mere incidents in his diplomatic career.	But Chauvelin was not the man to trouble himself about these social amenities, which he called mere incidents in his diplomatic career.	false	183.5	191.35	15
7688_105390_000010_000001	He was blindly enthusiastic for the revolutionary cause, he despised all social inequalities, and he had a burning love for his own country: these three sentiments made him supremely indifferent to the snubs he received in this fog-ridden, loyalist, old-fashioned England.	He was blindly enthusiastic for the revolutionary cause, he despised all social inequalities, and he had a burning love for his own country: these three sentiments made him supremely indifferent to the snubs he received in this fog ridden, loyalist, old-fashioned England.	true	191.54	208.77	16
